Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
The general formula for alkynes is,CnH2n+2,CnH2n,CnH2n-2,CnHn,C,Alkynes have the general formula CnH2n-2 due to two hydrogen atoms being removed for each triple bond formed.,NET,Conceptual,Medium,Chemistry,Hydrocarbons
Which of the following is an example of an alkene?,Ethane,Ethyne,Ethene,Methane,C,Alkenes contain at least one carbon-to-carbon double bond; ethene (C2H4) is the simplest alkene.,NET,Conceptual,Medium,Chemistry,Hydrocarbons
The reaction of alkanes with chlorine in the presence of light is an example of,Electrophilic substitution,Nucleophilic substitution,Free radical substitution,Elimination reaction,C,"The reaction involves the formation of free radicals due to homolytic cleavage of Cl-Cl bond, leading to substitution.",NET,Conceptual,Medium,Chemistry,Hydrocarbons
The product of the reaction between 1-butene and HBr is,1-bromobutane,2-bromobutane,Both A and B,None of these,C,"The reaction follows Markovnikov's rule, but due to the possibility of rearrangement and direct addition, both 1-bromobutane and 2-bromobutane can form.",NET,Conceptual,Medium,Chemistry,Hydrocarbons
Which of the following alkenes will produce the same product on reaction with HBr in the presence or absence of peroxide?,1-butene,2-butene,Isobutene,All,C,Isobutene gives the same product (2-bromo-2-methylpropane) due to the stability of the tertiary carbocation formed.,NET,Conceptual,Medium,Chemistry,Hydrocarbons
The ozonolysis of 2-butene gives,Acetaldehyde,Acetone,Formaldehyde,"Both A and B are incorrect, answer is A",A,Ozonolysis of 2-butene yields acetaldehyde (CH3CHO) due to the cleavage of the double bond.,NET,Conceptual,Medium,Chemistry,Hydrocarbons
The most stable alkene is,1-butene,2-butene,Isobutene,All are equally stable,C,Isobutene is most stable due to maximum hyperconjugation (9 alpha hydrogens) and minimum steric hindrance.,NET,Conceptual,Medium,Chemistry,Hydrocarbons
The reaction of benzene with chlorine in the presence of AlCl3 is,Electrophilic substitution,Nucleophilic substitution,Free radical substitution,Addition reaction,A,The reaction is an example of electrophilic aromatic substitution where Cl+ acts as the electrophile.,NET,Conceptual,Medium,Chemistry,Hydrocarbons
The nitration of benzene is an example of,Electrophilic substitution,Nucleophilic substitution,Free radical substitution,Addition reaction,A,"Nitration involves the electrophile NO2+ attacking the benzene ring, a characteristic of electrophilic aromatic substitution.",NET,Conceptual,Medium,Chemistry,Hydrocarbons
The major product of the sulfonation of toluene is,Ortho-toluenesulfonic acid,Meta-toluenesulfonic acid,Para-toluenesulfonic acid,Both A and C,D,"The methyl group is ortho/para directing, thus major products are ortho and para-toluenesulfonic acids.",NET,Conceptual,Medium,Chemistry,Hydrocarbons
The hydrogenation of alkenes is,Stereospecific syn-addition,Stereospecific anti-addition,Non-stereospecific,None of these,A,"Hydrogenation occurs through syn-addition, where both hydrogen atoms add to the same face of the alkene.",NET,Conceptual,Medium,Chemistry,Hydrocarbons
The treatment of an alkyl halide with magnesium gives,Alkane,Alkene,Grignard reagent,Alkyne,C,The reaction of an alkyl halide with magnesium produces a Grignard reagent (RMgX).,NET,Conceptual,Medium,Chemistry,Hydrocarbons
The reaction of a Grignard reagent with CO2 gives,Alcohol,Carboxylic acid,Ketone,Aldehyde,B,Grignard reagents react with CO2 to form carboxylic acids after acidification.,NET,Conceptual,Medium,Chemistry,Hydrocarbons
