Profile,Name,URL,About,Find companies,Description,Primary Industry,Size,Type,Location,Country,Domain
dr LASER,dr LASER,https://www.linkedin.com/company/dr-laser,"We specialize in Laser Skin Rejuvenation, Laser Hair Removal, Facials, Hair Restoration, Laser Tattoo Removal, Botox, Vampire Facial, PRP, Dermal Fillers, Microneedling, Ultherapy, Collagen Injections & FRAXEL. We offer all of these services and more. Please let us know if there is another type of service you would like to see, we love hearing about our customers wants and needs!

Founded upon the principles of impeccable patient services and cutting-edge technology, dr LASER merges science and beauty to help you maximize your life. Our treatments are performed by a team of licensed and experienced skin care specialists and registered nurses.

Our dedicated medical advisory team is constantly evaluating new therapies and procedures so that we can produce beautiful results from your very first visit. dr LASER guarantees a transformation to your most confident self.",,"We specialize in Laser Skin Rejuvenation, Laser Hair Removal, Facials, Hair Restoration, Laser Tattoo Removal, Botox, Vampire Facial, PRP, Dermal Fillers, Microneedling, Ultherapy, Collagen Injections & FRAXEL. We offer all of these services and more. Please let us know if there is another type of service you would like to see, we love hearing about our customers wants and needs!

Founded upon the principles of impeccable patient services and cutting-edge technology, dr LASER merges science and beauty to help you maximize your life. Our treatments are performed by a team of licensed and experienced skin care specialists and registered nurses.

Our dedicated medical advisory team is constantly evaluating new therapies and procedures so that we can produce beautiful results from your very first visit. dr LASER guarantees a transformation to your most confident self.",Medical Practices,11-50 employees,Privately Held,"Santa Monica, CA",United States,drlaserla.com
Bella Vi Spa & Aesthetics,Bella Vi Spa & Aesthetics,https://www.linkedin.com/company/bella-vi-spa-aesthetics,"At Bella Vi, we offer the widest range of cutting-edge aesthetic procedures. We are proud to be recognized as being among the most educated in aesthetic treatments, and an industry leader in our area. We want you to have a positive experience and an amazing result. When you look amazing, nothing holds you back. At Bella Vi, we are obsessed with beauty in all its forms and can help you be red-carpet ready, and glamorous beyond expectations.",,"At Bella Vi, we offer the widest range of cutting-edge aesthetic procedures. We are proud to be recognized as being among the most educated in aesthetic treatments, and an industry leader in our area. We want you to have a positive experience and an amazing result. When you look amazing, nothing holds you back. At Bella Vi, we are obsessed with beauty in all its forms and can help you be red-carpet ready, and glamorous beyond expectations.",Medical Practices,11-50 employees,Privately Held,"Evansville, Indiana",United States,bellavimedspa.com
DeLozier Cosmetic Surgery Center,DeLozier Cosmetic Surgery Center,https://www.linkedin.com/company/delozier,"Board Certified Nashville Plastic Surgeon Joseph B. DeLozier III, M.D., F.A.C.S. specializes in Cosmetic and Reconstructive Surgery. Dr. DeLozier is a nationally renowned board certified plastic surgeon who is active in the local and national medical communities. Dr. DeLozier is also committed to improving the lives of his patients. Whether his patients have suffered from an accident or they want to enhance their aesthetic appeal, Dr. DeLozier creates beautiful results that help achieve lifelong goals.",,"Board Certified Nashville Plastic Surgeon Joseph B. DeLozier III, M.D., F.A.C.S. specializes in Cosmetic and Reconstructive Surgery. Dr. DeLozier is a nationally renowned board certified plastic surgeon who is active in the local and national medical communities. Dr. DeLozier is also committed to improving the lives of his patients. Whether his patients have suffered from an accident or they want to enhance their aesthetic appeal, Dr. DeLozier creates beautiful results that help achieve lifelong goals.",Medical Practices,11-50 employees,Privately Held,"Nashville, Tennessee",United States,drdelozier.com
REFINE Medical Spa,REFINE Medical Spa,https://www.linkedin.com/company/refine-medspa.com,"REFINE Medical Spa specializes in providing exceptional aesthetic procedures and injectables at competitive prices. Our experienced healthcare professionals are leading experts in the aesthetics industry and highly skilled injectors. 

Our services include wrinkle relaxers such as BOTOX, DYSPORT, and XEOMIN as well as fillers, which include JUVEDERM, RESTYLANE, RADIESSE, and SCULPTRA. Through consultation, we learn our clients' specific needs, evaluate the appropriate treatment options, and provide detailed education on each procedure. 

REFINE Medical Spa partners with leading aesthetic manufacturers to ensure our prices are the best in the area. We pride ourself on providing affordable, top-level injectables.",,"REFINE Medical Spa specializes in providing exceptional aesthetic procedures and injectables at competitive prices. Our experienced healthcare professionals are leading experts in the aesthetics industry and highly skilled injectors. 

Our services include wrinkle relaxers such as BOTOX, DYSPORT, and XEOMIN as well as fillers, which include JUVEDERM, RESTYLANE, RADIESSE, and SCULPTRA. Through consultation, we learn our clients' specific needs, evaluate the appropriate treatment options, and provide detailed education on each procedure. 

REFINE Medical Spa partners with leading aesthetic manufacturers to ensure our prices are the best in the area. We pride ourself on providing affordable, top-level injectables.",Medical Practices,11-50 employees,Privately Held,"Texas, Southlake",United States,refine-medspa.com
Biltmore Restorative Medicine,Biltmore Restorative Medicine,https://www.linkedin.com/company/biltmore-restorative-medicine,"Biltmore Restorative Medicine & Aesthetics is the region’s ultimate medical practice for restorative medicine and hormone balancing. Through highly specialized, state of the art treatments, Biltmore Restorative Medicine & Aesthetics supports the health and vitality of both men and women. To provide our clients a complete restorative experience, we also offer premium aesthetic services for hair, skin and body… all to make you look and feel amazing.

Dr. George Ibrahim is one of the region’s few physicians specifically trained in hormone balancing. He is board-certified in urology and has completed a fellowship in anti-aging and regenerative medicine. He is a graduate of Duke University’s School of Medicine & Davidson College. Dr. Ibrahim has decades of experience in both women’s and men’s health.

Biltmore Restorative Medicine is perfect for the individual seeking treatments to defy aging and improve vitality, from the very best.",,"Biltmore Restorative Medicine & Aesthetics is the region’s ultimate medical practice for restorative medicine and hormone balancing. Through highly specialized, state of the art treatments, Biltmore Restorative Medicine & Aesthetics supports the health and vitality of both men and women. To provide our clients a complete restorative experience, we also offer premium aesthetic services for hair, skin and body… all to make you look and feel amazing.

Dr. George Ibrahim is one of the region’s few physicians specifically trained in hormone balancing. He is board-certified in urology and has completed a fellowship in anti-aging and regenerative medicine. He is a graduate of Duke University’s School of Medicine & Davidson College. Dr. Ibrahim has decades of experience in both women’s and men’s health.

Biltmore Restorative Medicine is perfect for the individual seeking treatments to defy aging and improve vitality, from the very best.",Medical Practices,11-50 employees,Privately Held,"Asheville, North Carolina",United States,biltmorerestorativemedicine.com
Northwest Dermatology & Covet MedSpa,Northwest Dermatology & Covet MedSpa,https://www.linkedin.com/company/northwestdermatology&covetmedspa,"Northwest Dermatology Group, PC, is one of the most successful and trusted dermatological practices in Southeastern Michigan. For more than 50 years, Northwest Dermatology has provided expert care in diseases associated with the skin, hair and nails. Our providers are board certified, highly skilled, and dedicated.",,"Northwest Dermatology Group, PC, is one of the most successful and trusted dermatological practices in Southeastern Michigan. For more than 50 years, Northwest Dermatology has provided expert care in diseases associated with the skin, hair and nails. Our providers are board certified, highly skilled, and dedicated.",Medical Practices,11-50 employees,Privately Held,"Southfield, MI",United States,nw-derm.com
Houston Skin (Dermatology Associates of Texas),Houston Skin (Dermatology Associates of Texas),https://www.linkedin.com/company/houstonskin,"Dermatology Associates of Texas (Houston Skin), is a leading medical and cosmetic dermatology practice in the greater Houston area, serving the communities of Webster, the Houston Museum District, and Pearland, Texas. The highly trained team of dermatologists welcomes patients in to receive the most current medical and cosmetic skin treatments and products available and to improve or maintain their overall skin health.Patients regularly visit Dermatology Associates of Texas with new or worsening skin irritation or other symptoms. The team provides in-depth evaluations and can accurately diagnose common and uncommon conditions like acne, rosacea, cold sores, eczema, shingles, and psoriasis. They also test moles and other growths for skin cancer and can provide Mohs surgery as treatment. Every patient receives an individualized care plan for their condition at Dermatology Associates of Texas. In addition to prescription medications and helpful home care tips, the team at Dermatology Associates of Texas provides many in-office treatments and therapies to target skin conditions or hair loss. A few featured options are platelet-rich plasma (PRP) for hair loss, laser treatments, chemical peels, and corticosteroid injections. In addition to clinical services, Dermatology Associates of Texas offers a broad selection of elective cosmetic treatments. Patients frequently visit for cosmetic injectables like Botox® and fillers, body contouring, earlobe repair, microdermabrasion, facials, and microneedling.",,"Dermatology Associates of Texas (Houston Skin), is a leading medical and cosmetic dermatology practice in the greater Houston area, serving the communities of Webster, the Houston Museum District, and Pearland, Texas. 

The highly trained team of dermatologists welcomes patients in to receive the most current medical and cosmetic skin treatments and products available and to improve or maintain their overall skin health.

Patients regularly visit Dermatology Associates of Texas with new or worsening skin irritation or other symptoms. The team provides in-depth evaluations and can accurately diagnose common and uncommon conditions like acne, rosacea, cold sores, eczema, shingles, and psoriasis. They also test moles and other growths for skin cancer and can provide Mohs surgery as treatment. 

Every patient receives an individualized care plan for their condition at Dermatology Associates of Texas. In addition to prescription medications and helpful home care tips, the team at Dermatology Associates of Texas provides many in-office treatments and therapies to target skin conditions or hair loss. 

A few featured options are platelet-rich plasma (PRP) for hair loss, laser treatments, chemical peels, and corticosteroid injections. 

In addition to clinical services, Dermatology Associates of Texas offers a broad selection of elective cosmetic treatments. Patients frequently visit for cosmetic injectables like Botox and fillers, body contouring, earlobe repair, microdermabrasion, facials, and microneedling.",Medical Practices,11-50 employees,Privately Held,"Houston, Texas",United States,houstonskin.com
"Robert N. Young, MD, FACS","Robert N. Young, MD, FACS",https://www.linkedin.com/company/dryoungforever,"Dr. Robert N. Young, MD, FACS is a Board Certified Plastic Surgeon in San Antonio, Texas. With over 30 years of cosmetic surgery specialty, Dr. Young performs cosmetic plastic surgery for total body enhancement, but is widely recognized for his specialty in breast augmentation in his San Antonio practice. Dr. Young offers breast, body and facial surgeries in his brand new in-office Surgery Center which is fully accredited by QUAD A.",,"Dr. Robert N. Young, MD, FACS is a Board Certified Plastic Surgeon in San Antonio, Texas. With over 30 years of cosmetic surgery specialty, Dr. Young performs cosmetic plastic surgery for total body enhancement, but is widely recognized for his specialty in breast augmentation in his San Antonio practice. Dr. Young offers breast, body and facial surgeries in his brand new in-office Surgery Center which is fully accredited by QUAD A.",Medical Practices,11-50 employees,Privately Held,"Shavano Park, Texas",United States,dr-youngforever.com
New Health Kansas,New Health Kansas,https://www.linkedin.com/company/new-health-kansas,"Improved health. Renewed energy. Restored you. You only optimized.  That is what we do at New Health Kansas, whether it is extra pounds you would like to shed or perhaps you need a boost to regain your vitality and vigor for life, we can help with that too. New Health Kansas provides an array of services that could enhance and improve your quality of living to help you live a better more fulfilling life. This is accomplished through vigorous programs that are monitored by our physican, Dr. Ekwensi A. Griffith. It is our belief that with the correct strategy developed with you and your unique situation, and if monitored properly, an individual can maximize their health and ability to be healthier. Success for our patients means many different things to each one, but they all have one thing in common... consulting regularly with a New Health Kansas health coach.",,"Improved health. Renewed energy. Restored you. You only optimized.  That is what we do at New Health Kansas, whether it is extra pounds you would like to shed or perhaps you need a boost to regain your vitality and vigor for life, we can help with that too. New Health Kansas provides an array of services that could enhance and improve your quality of living to help you live a better more fulfilling life. This is accomplished through vigorous programs that are monitored by our physican, Dr. Ekwensi A. Griffith. It is our belief that with the correct strategy developed with you and your unique situation, and if monitored properly, an individual can maximize their health and ability to be healthier. Success for our patients means many different things to each one, but they all have one thing in common... consulting regularly with a New Health Kansas health coach.",Medical Practices,2-10 employees,Privately Held,"Topeka, Kansas",United States,newhealthkansas.com
Remedy Skin + Body,Remedy Skin + Body,https://www.linkedin.com/company/remedy-skin-body,"Remedy Skin + Body provides a full suite of cosmetic dermatology, aesthetic, and spa services at three beautiful locations in Westlake Village & Malibu, CA. Remedy sells the finest pharmaceutical- and medical-grade skin care products on-site and through SkinGrin.com. Talia Emery, M.D. and her team of experts aspire to exceed your expectations in service, expertise, and outcomes.",,"Remedy Skin + Body provides a full suite of cosmetic dermatology, aesthetic, and spa services at three beautiful locations in Westlake Village & Malibu, CA. Remedy sells the finest pharmaceutical- and medical-grade skin care products on-site and through SkinGrin.com. Talia Emery, M.D. and her team of experts aspire to exceed your expectations in service, expertise, and outcomes.",Medical Practices,11-50 employees,Privately Held,"Westlake Village, CA",United States,remedyskinandbody.com
