Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"For a first-order reaction, the rate constant is 0.01 s^-1. What is the half-life?",69.3 s,100 s,50 s,200 s,A,"For a first-order reaction, t1/2 = 0.693 / k = 0.693 / 0.01 = 69.3 s, using the formula t1/2 = ln(2) / k.",NET,Conceptual,Medium,Chemistry,Reaction Kinetics
The rate of reaction A + B -> products is given by rate = k[A]²[B]. The order of reaction is,1,2,3,0,C,"Order is the sum of exponents in the rate law, here 2 + 1 = 3, so the order is 3.",NET,Conceptual,Medium,Chemistry,Reaction Kinetics
"For the reaction 2NO + O2 -> 2NO2, the rate law is rate = k[NO]²[O2]. If [NO] is doubled and [O2] is halved, the rate",doubles,halves,remains same,becomes 2 times,D,"New rate = k(2[NO])²([O2]/2) = k(4[NO]²)([O2]/2) = 2k[NO]²[O2], so rate becomes 2 times the original.",NET,Conceptual,Medium,Chemistry,Reaction Kinetics
The unit of rate constant for a zero-order reaction is,s^-1,mol L^-1 s^-1,L mol^-1 s^-1,mol² L^-2 s^-1,B,"For zero-order, rate = k, so k has units of rate, which is concentration/time, i.e., mol L^-1 s^-1.",NET,Conceptual,Medium,Chemistry,Reaction Kinetics
The half-life of a radioactive substance is 20 years. What fraction remains after 1 / 2 40 years?, 1/4, 1/2, 1/8, 1/16,D,"After 20 years, 1/2 remains; after 40 years, 1/4; after 60 years, 1/8; after 80 years (2 * 40 years), 1/16 remains.",NET,Conceptual,Medium,Chemistry,Reaction Kinetics
"For a reaction with rate law rate = k[A][B]², if [A] is doubled and [B] is tripled, the rate increases by a factor of",6,12,18,24,C,"New rate = k(2[A])(3[B])² = k(2[A])(9[B]²) = 18k[A][B]², so rate increases by 18 times.",NET,Conceptual,Medium,Chemistry,Reaction Kinetics
The rate constant of a reaction is 0.05 s^-1 at 25°C and 0.15 s^-1 at 35°C. The activation energy is,50 kJ/mol,60.3 kJ/mol,70 kJ/mol,80 kJ/mol,B,"Using Arrhenius equation, ln(k2/k1) = (Ea/R)(1/T1 - 1/T2), we get Ea = 60.3 kJ/mol, with R = 8.314 J/(mol K).",NET,Conceptual,Medium,Chemistry,Reaction Kinetics
"The reaction A -> B is first-order with k = 0.02 min^-1. If [A]0 = 1 M, [A] at t = 50 min is",0.368 M,0.135 M,0.368 M (2),0.5 M,A,"For first-order, [A] = [A]0 * e^(-kt) = 1 * e^(-0.02*50) = e^(-1) = 0.368 M.",NET,Conceptual,Medium,Chemistry,Reaction Kinetics
"For a second-order reaction, the half-life is",independent of initial concentration,directly proportional to initial concentration,inversely proportional to initial concentration,directly proportional to square of initial concentration,C,"For second-order, t1/2 = 1/(k[A]0), so t1/2 is inversely proportional to [A]0.",NET,Conceptual,Medium,Chemistry,Reaction Kinetics
"The rate of reaction 2A + B -> products is given by rate = k[A][B]. If [A] = [B] = 0.1 M, the rate is 0.01 M/s. The rate constant k is",1 M^-1 s^-1,0.1 M^-1 s^-1,10 M^-1 s^-1,0.01 M^-1 s^-1,A,k = rate / ([A][B]) = 0.01 / (0.1 * 0.1) = 1 M^-1 s^-1.,NET,Conceptual,Medium,Chemistry,Reaction Kinetics
