Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
Resolve (x + 1) / (x² + 1) into partial fractions.,(x + 1) / (x² + 1),1 / (x + i) + 1 / (x - i),(x + 1) / (x + i) + (x + 1) / (x - i),(1/2) / (x + i) + (1/2) / (x - i),B,Use formula for partial fraction decomposition with irreducible quadratic factors: (x + 1) / (x² + 1) = A(x - i) + B(x + i).,NET,Conceptual,Medium,Mathematics,Partial Fractions
The partial fraction decomposition of 1 / (x - 1)(x + 2) is,1/3(x - 1) + 1/3(x + 2),1/3(x - 1) - 1/3(x + 2),-1/3(x - 1) + 1/3(x + 2),1/(x - 1) + 1/(x + 2),B,Apply formula for partial fraction decomposition with distinct linear factors: 1 / (x - 1)(x + 2) = A/(x - 1) + B/(x + 2).,NET,Conceptual,Medium,Mathematics,Partial Fractions
Resolve 3x / (x - 1)(x + 2) into partial fractions.,1/(x - 1) + 2/(x + 2),1/(x - 1) - 2/(x + 2),2/(x - 1) + 1/(x + 2),2/(x - 1) - 1/(x + 2),A,"Use partial fraction decomposition: 3x / (x - 1)(x + 2) = A/(x - 1) + B/(x + 2), then equate coefficients.",NET,Conceptual,Medium,Mathematics,Partial Fractions
The value of A in the partial fraction decomposition of 1 / (x - 2)²(x + 1) = A/(x - 2) + B/(x - 2)² + C/(x + 1) is,-1/9, 1/9,-1/3, 1/3,A,"Clear fractions, then equate coefficients to find A: 1 = A(x - 2)(x + 1) + B(x + 1) + C(x - 2)².",NET,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (x² + 1) / (x + 1)(x² + 4) into partial fractions.,2/5(x + 1) + (3x - 2)/5(x² + 4),2/5(x + 1) + (3x + 2)/5(x² + 4),1/(x + 1) + x/(x² + 4),1/(x + 1) + (x + 1)/(x² + 4),A,Use partial fraction decomposition with distinct linear and irreducible quadratic factors.,NET,Conceptual,Medium,Mathematics,Partial Fractions
The partial fraction decomposition of (x + 2) / (x² - 4) is,1/(x - 2) + 1/(x + 2),1/2(x + 2) + 1/4(x - 2),1/4(x - 2) + 1/4(x + 2),1/4(x + 2) + 3/4(x - 2),C,"First factor denominator, then apply partial fraction decomposition: (x + 2) / (x - 2)(x + 2) = A/(x - 2) + B/(x + 2).",NET,Conceptual,Medium,Mathematics,Partial Fractions
The value of B in 1 / (x - 1)²(x + 2) = A/(x - 1) + B/(x - 1)² + C/(x + 2) is, 1/3, 1/9,1, 1/2,A,Clear fractions and substitute x = 1 to find B: 1 = B(1 + 2).,NET,Conceptual,Medium,Mathematics,Partial Fractions
Resolve 2x / (x + 1)(x² + 1) into partial fractions.,1/(x + 1) + (x - 1)/(x² + 1),1/(x + 1) + (1 - x)/(x² + 1),-1/(x + 1) + (x + 1)/(x² + 1),-1/(x + 1) + (x - 1)/(x² + 1),D,Use partial fraction decomposition with distinct linear and irreducible quadratic factors.,NET,Conceptual,Medium,Mathematics,Partial Fractions
The partial fraction decomposition of 1 / (x + 1)(x + 2)(x + 3) is,1/2(x + 1) - 1/(x + 2) + 1/2(x + 3),1/(x + 1) - 1/(x + 2) + 1/(x + 3),-1/2(x + 1) + 1/(x + 2) - 1/2(x + 3),1/(x + 1) + 1/(x + 2) + 1/(x + 3),A,Apply partial fraction decomposition with distinct linear factors: 1 / (x + 1)(x + 2)(x + 3) = A/(x + 1) + B/(x + 2) + C/(x + 3).,NET,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (2x + 1) / (x - 1)(x + 2) into partial fractions.,1/(x - 1) + 1/(x + 2),1/(x - 1) + 2/(x + 2),2/(x + 2) + 1/(x - 1),2/3(x - 1) + 1/3(x + 2),D,Use formula for partial fraction decomposition: (2x + 1) / (x - 1)(x + 2) = A/(x - 1) + B/(x + 2).,NET,Conceptual,Medium,Mathematics,Partial Fractions
The partial fraction decomposition of x / (x² + 2x + 1) is,1/(x + 1) - 1/(x + 1)²,1/(x + 1) + 1/(x + 1)²,-1/(x + 1) + 1/(x + 1)²,1/(x + 1) - 2/(x + 1)²,A,"First factor denominator, then apply partial fraction decomposition: x / (x + 1)² = A/(x + 1) + B/(x + 1)².",NET,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (x + 1) / (x - 1)² into partial fractions.,1/(x - 1) + 2/(x - 1)²,1/(x - 1) + 1/(x - 1)²,1/(x - 1) - 1/(x - 1)²,2/(x - 1) + 1/(x - 1)²,A,Apply partial fraction decomposition with repeated linear factors: (x + 1) / (x - 1)² = A/(x - 1) + B/(x - 1)².,NET,Conceptual,Medium,Mathematics,Partial Fractions
The value of C in 1 / (x - 1)(x + 1)² = A/(x - 1) + B/(x + 1) + C/(x + 1)² is, 1/4,-1/4, 1/2,1,A,Clear fractions and substitute x = -1 to find C: 1 = C(-1 - 1).,NET,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (x + 3) / (x + 1)(x² + 4) into partial fractions.,1/5(x + 1) + (4 - x)/5(x² + 4),2/5(x + 1) + (x + 1)/5(x² + 4),1/(x + 1) + x/(x² + 4),2/(x + 1) + (x - 1)/(x² + 4),A,Use partial fraction decomposition with distinct linear and irreducible quadratic factors.,NET,Conceptual,Medium,Mathematics,Partial Fractions
The partial fraction decomposition of 1 / (x² - 1) is,1/2(x - 1) - 1/2(x + 1),1/(x - 1) + 1/(x + 1),1/(x - 1) - 1/(x + 1),-1/(x - 1) + 1/(x + 1),A,"First factor denominator, then apply partial fraction decomposition: 1 / (x - 1)(x + 1) = A/(x - 1) + B/(x + 1).",NET,Conceptual,Medium,Mathematics,Partial Fractions
The value of A in 1 / (x + 2)(x - 1)² = A/(x + 2) + B/(x - 1) + C/(x - 1)² is, 1/9,-1/9, 1/3,-1/3,B,"Clear fractions, then equate coefficients to find A: 1 = A(x - 1)² + B(x + 2)(x - 1) + C(x + 2).",NET,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (2x - 1) / (x + 1)(x - 2) into partial fractions.,1/(x + 1) + 1/(x - 2),1/(x - 2) + 2/(x + 1),2/3(x + 1) + 1/3(x - 2),1/3(x + 1) + 5/3(x - 2),D,Apply partial fraction decomposition: (2x - 1) / (x + 1)(x - 2) = A/(x + 1) + B/(x - 2).,NET,Conceptual,Medium,Mathematics,Partial Fractions
The partial fraction decomposition of x² / (x + 1)(x + 2) is,1 + 1/(x + 1) + 4/(x + 2),1 - 1/(x + 1) + 4/(x + 2),1 + 4/(x + 1) - 9/(x + 2),1 + 4/(x + 2) - 1/(x + 1),D,"First divide, then apply partial fraction decomposition: x² / (x + 1)(x + 2) = 1 + A/(x + 1) + B/(x + 2).",NET,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (x + 2) / (x² + 4x + 4) into partial fractions.,1/(x + 2) + 0/(x + 2)²,1/(x + 2) - 0/(x + 2)²,0/(x + 2) + 1/(x + 2)²,-1/(x + 2) + 1/(x + 2)²,D,"First factor denominator, then apply partial fraction decomposition: (x + 2) / (x + 2)² = A/(x + 2) + B/(x + 2)².",NET,Conceptual,Medium,Mathematics,Partial Fractions
The partial fraction decomposition of 1 / (x + 1)(x² + 2x + 1) is,1/(x + 1) - 1/(x + 1)²,1/(x + 1) + 1/(x + 1)² - 1/(x + 1)³,1/(x + 1)² - 1/(x + 1)³,1/(x + 1) - 1/(x + 1)² + 1/(x + 1)³,A,"First factor denominator, then apply partial fraction decomposition: 1 / (x + 1)³ = A/(x + 1) + B/(x + 1)² + C/(x + 1)³.",NET,Conceptual,Medium,Mathematics,Partial Fractions
Decompose 1 / (x² - 4) into partial fractions.,1 / (2(x - 2)) - 1 / (2(x + 2)),1 / (x - 2) + 1 / (x + 2),1 / (4(x - 2)) - 1 / (4(x + 2)),1 / (x² - 4),C,"Factor denominator as (x - 2)(x + 2), then use A / (x - 2) + B / (x + 2) form.",ECAT,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (2x + 1) / ((x + 1)(x + 2)) into partial fractions.,1 / (x + 1) + 1 / (x + 2),-1 / (x + 1) + 3 / (x + 2),2 / (x + 1) - 1 / (x + 2),3 / (x + 1) + 1 / (x + 2),B,"Use A / (x + 1) + B / (x + 2) form, equate coefficients, and solve for A and B.",ECAT,Conceptual,Medium,Mathematics,Partial Fractions
Decompose (x + 2) / (x² + 3x + 2) into partial fractions.,1 / (x + 1) + 0 / (x + 2),-1 / (x + 1) + 2 / (x + 2),1 / (x + 1) + 0 / (x + 2) (2),2 / (x + 1) - 1 / (x + 2),C,"Factor denominator, use A / (x + 1) + B / (x + 2) form, and solve for A and B.",ECAT,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (x² + 1) / (x³ + x) into partial fractions.,1 / x + (1 - x) / (x² + 1),1 / x + x / (x² + 1),1 / (x + 1) + 1 / (x - 1),1 / x + (x² + 1) / (x³ + x),A,"Factor denominator as x(x² + 1), use A / x + (Bx + C) / (x² + 1) form.",ECAT,Conceptual,Medium,Mathematics,Partial Fractions
The partial fraction decomposition of 1 / (x(x + 1)) is,1 / x - 1 / (x + 1),1 / (x + 1) - 1 / x,1 / x + 1 / (x + 1),-1 / x + 1 / (x + 1),A,"Use A / x + B / (x + 1) form, equate coefficients, and solve for A and B.",ECAT,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (3x + 2) / ((x + 1)(x + 2)) into partial fractions.,-1 / (x + 1) + 4 / (x + 2),1 / (x + 1) + 2 / (x + 2),4 / (x + 1) - 1 / (x + 2),2 / (x + 1) + 1 / (x + 2),A,"Use A / (x + 1) + B / (x + 2) form, equate coefficients, and solve for A and B.",ECAT,Conceptual,Medium,Mathematics,Partial Fractions
Decompose (x + 3) / (x² - x - 2) into partial fractions.,2 / 3(x + 1) + 1 / 3(x - 2),1 / (x + 1) + 1 / (x - 2),5 / 3(x - 2) - 2 / 3(x + 1),4 / (x + 1) - 3 / (x - 2),C,"Factor denominator, use A / (x + 1) + B / (x - 2) form, and solve for A and B.",ECAT,Conceptual,Medium,Mathematics,Partial Fractions
The partial fraction decomposition of (2x + 3) / (x² + 2x + 1) is,2 / (x + 1) + 1 / (x + 1)²,2 / (x + 1) - 1 / (x + 1)²,1 / (x + 1) + 1 / (x + 1)²,1 / (x + 1) - 1 / (x + 1)²,C,"Use A / (x + 1) + B / (x + 1)² form for repeated roots, equate coefficients.",ECAT,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (x + 1) / ((x + 2)²) into partial fractions.,1 / (x + 2) - 1 / (x + 2)²,1 / (x + 2) + 1 / (x + 2)²,-1 / (x + 2) + 1 / (x + 2)²,1 / (x + 2) + 0 / (x + 2)²,A,"Use A / (x + 2) + B / (x + 2)² form for repeated roots, equate coefficients.",ECAT,Conceptual,Medium,Mathematics,Partial Fractions
Decompose 1 / (x(x² + 1)) into partial fractions.,1 / x - x / (x² + 1),1 / x + x / (x² + 1),1 / x - (x + 1) / (x² + 1),1 / (x + 1) + 1 / (x² + 1),A,"Use A / x + (Bx + C) / (x² + 1) form, equate coefficients, and solve for A, B, and C.",ECAT,Conceptual,Medium,Mathematics,Partial Fractions
The partial fraction decomposition of (x² + 2) / (x(x + 1)) is,2 / x - 1 / (x + 1),1 / x + (x + 1) / (x + 1),2 / x + 1 / (x + 1),2 / x - 1 / (x + 1) + x / (x + 1),A,"Divide numerator by denominator, then use partial fractions.",ECAT,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (x + 2) / ((x + 1)(x + 3)) into partial fractions.,1 / 2(x + 1) + 1 / 2(x + 3),-1 / 2(x + 1) + 3 / 2(x + 3),1 / (x + 1) + 1 / (x + 3),3 / 2(x + 1) - 1 / 2(x + 3),B,"Use A / (x + 1) + B / (x + 3) form, equate coefficients, and solve for A and B.",ECAT,Conceptual,Medium,Mathematics,Partial Fractions
Decompose (2x + 1) / (x² + x) into partial fractions.,1 / x + 1 / (x + 1),1 / x - 1 / (x + 1),-1 / x + 3 / (x + 1),3 / x + 1 / (x + 1),A,"Factor denominator, use A / x + B / (x + 1) form, equate coefficients.",ECAT,Conceptual,Medium,Mathematics,Partial Fractions
The partial fraction decomposition of (x + 1) / (x² - 1) is,1 / (x - 1),1 / (2(x - 1)) + 1 / (2(x + 1)),1 / (x + 1),1 / (x + 1) + 1 / (x - 1),B,"Factor denominator as (x + 1)(x - 1), use A / (x + 1) + B / (x - 1) form.",ECAT,Conceptual,Medium,Mathematics,Partial Fractions
Resolve (3x - 2) / ((x - 1)(x + 2)) into partial fractions.,5 / 3(x - 1) + 4 / 3(x + 2),1 / (x - 1) + 2 / (x + 2),4 / 3(x - 1) + 1 / 3(x + 2),1 / (x + 2) + 2 / (x - 1),C,"Use A / (x - 1) + B / (x + 2) form, equate coefficients, and solve for A and B.",ECAT,Conceptual,Medium,Mathematics,Partial Fractions
