Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,____ focus was on the scientific study of observable behavior that could be objectively measured and verified:,Psychoanalysis's,Structuralism's,Functionalism's,Behaviorism's,D
2,The tallest tree in the world is a,Date Palm,Redwood,Cedar,Eucalyptus,B
3,Which of the following is not an example of modern slavery_______ .,All of these are examples of modern slavery,Human trafficking,Bonded labour,Child labour,A
4,Montevideo is the capital of,Paraguay,Uruguay,Nicaragua,Fiji,B
5,Bangladesh got independence in:,1970,1971,1972,1973,B
6,Antenna' is used in:,Football,Basketball,Handball,Volleyball,D
8,Historical materialism is one of the tools in:,Behavioralism,Utilitarianism,Marxism,None of these,C
9,The ballpoint pen was invented by_______.,Laszlo Biro,Chester Carlson,Johannes Gutenberg,Petrache Poenaru,A
11,The Brunei Dollar is the currency. What is the capital of Brunei?,Cape Town,Millburn,Town Hall,Bandar Seri Begawan,D
12,Carpology is the study of,Fruit,Seeds,Both fruit and seeds,None of these,C
14,Libya is located in?,South Africa,North Asia,North Africa,Central Africa,C
15,Amnesty International is an organization for:,Fighting Global Terrorism,Helping the third world countries,Welfare of Refugees,Human Rights,D
17,Which port is the largest sugar exporting port in the world?,Lisbon,Recife,Lagos,Mombasa,B
18,"The famous novel ""Frankenstein"" was written by:",Edgar Allan Poe,H.G. Wells,Ian Fleming,Mary Shelley,D
19,____ is a type of preferred stock that provides a greater guarantee of dividend payments to its holders.,Cumulative preferred stock,Non-cumulative preferred stock,Common stock,None of these,A
20,The atomic bomb was dropped on the city of Nagasaki on,"on August 6, 1945","on August 9, 1945","on August 12, 1945","on August 3, 1945",B
21,Poland's news agency is ___________.,PNP,APP,PAN,PAP,D
22,China’s biggest e-commerce company is _____________.,Alibaba,Baidu,Amazon,Daraz,A
23,The European Renaissance started from which country?,Greece,Germany,England,Italy,D
24,Who was the father of the Slave Dynasty?,Qutb-ud-Din Aibak,Khizr Khan,Bahlul Lodi,None of these,A
25,Croatia is an Eastern European country with a long coastline on the____________.,Dead sea,Sea of Azov,Adriatic Sea,Red sea,C
26,"The South Pacific Nuclear Free Zone Treaty was signed by the United States, United Kingdom, and which Pacific state?",Soviet Union,China,New Zealand,Germany,C
27,AGI is the news agency of ___________.,India,Germany,South Africa,Italy,D
28,National insignia of Pakistan is__________.,Deodar,Indus dolphin,Crescent and star,None of these,C
29,"The ""Russian Information Telegraph Agency"" (TASS) is the news agency of",Korea,Russia,China,Iran,B
30,Which of the following countries is not a member of BRICS?,South Africa,India,China,Belgium,D
31,Who was the world's first female Prime Minister?,Indira Gandhi,Sirimavo Bandaranaike,Margaret Thatcher,None of these,B
