Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,"From 2008 to 2009, the sales of a book decreased by 80 percent. If the sales in 2010 were the same as in 2008, by what percent did they increase from 2009 to 2010?",80 percent,120 percent,400 percent,None of these,C
2,"The ratio of the ages of two students is 3:2. If one is 5 years older than the other, then the age of the younger student is:",5,15,10,None of these,C
3,"If 2994 ÷ 14.5 = 172, then 29.94 ÷ 1.45 = ?",1.72,0.172,17.2,None of these,C
4,The medians of a triangle cut each other in the ratio:,4:01,3:01,2:01,1:01,C
5,"If '2/3 of A = '75 percent of B = '0.6 of C, then A:B:C is:",'3:4:5,'9:8:10,'9:11:14,None of these,B
6,How many millimeters are there in one centimeter?,10,20,500,1000,A
7,A man rows to a place 48 km distant and back in 14 hours. He finds that he can row 4 km with the stream in the same time as 3 km against the stream. The rate of the stream is:,5 km/h,4 km/h,3 km/h,1 km/h,D
8,What is the value of x in 3x - 15 - 6 = 0?,6,7,9,-9,B
9,"'Find the average of 5/6, 4/3, 3/4:",'35/36,'38/37,'1,'6/5,A
10,"The ratio of two numbers a and b is 3:5. If 2 is added to both the numbers, the ratio becomes 2:3. Find b?",15,10,8,5,B
11,"If a person earns 80,000 in a week and saves 20,000, then the amount they spend is 60,000, which is ____ of their total salary.",25 percent,50 percent,75 percent,95 percent,C
12,"In a triangle ABC, ∠A = 30° and ∠B = 60°. The length of side AB is 10 cm. What is the length of side BC?",5√3 cm,10√3 cm,5 cm,20 cm,C
13,A hockey team won 6 games and lost 8. What is the ratio of wins to the total number of games?,6:08,8:06,3:07,6:14,A
14,What is 9/11 + 5/7?,45660,45718,118/77,None of these,C
15,10 people standing in a row shake hands with each other. How many total handshakes occur?,55,45,35,None of above,B
16,"In a mixture of 60 liters, the ratio of milk and water is 2:1. What amount of water must be added to make the ratio of milk to water 1:2?",10,20,60,None of these,C
17,"Which term of the AP 2, 11, 20, 29, ..... is 290:",33,34,35,36,A
18,"The angle of depression of a car, standing on the ground, from the top of a 75 m high tower, is 30°. The distance of the car from the base of the tower (in m) is:",25√3,50√3,75√3,None of these,C
19,"Three boxes have some average weight. When one box which weighs 89 kg is replaced by another box, the average weight increases by 5 kg. How much does the new box weigh?",109 kg,94 kg,104 kg,84 kg,C
20,"A sum of Rs. 12,500 amounts to Rs. 15,500 in 4 years after interest. What is the rate of interest?",3 percent,5 percent,6 percent,7 percent,C
21,The selling price of an article is Rs. 118 and the profit earned is 50 percent. The cost price of the article is:,77,68.5,78.66,80,C
22,"Complete the series 5, 9, 17, 33, ____",65,82,70,75,A
23,"If a person left a $10.47 tip on a breakfast that cost $87.25, what percentage was the tip?",10 percent,11 percent,12 percent,13 percent,B
24,(5/6) x (2/5) = ?,07-Nov,01-Mar,1,3,B
25,Solve: 6.334 × 10⁴,0.0006334,0.06334,6334,63340,D
26,"If 4^(4x + 1) = 1/64, then the value of x is:",0,1,-1,None of these,C
28,The angles of a triangle are in the ratio 2:7:11. The angles are:,"20°, 70°, 90°","20°, 70°, 110°","18°, 63°, 99°","23°, 54°, 110°",C
29,"The ratio of two numbers, a and b, is 3:5. If 2 is added to both numbers, the ratio becomes 2:3. What is the value of b?",8,10,15,5,B
31,The sum of two numbers 10 is and their product is 20. What is the sum of their reciprocals:,on Jan 10,on Jan 02,on 1,on 2,B
32,"If the sum of two numbers is 30 and their difference is 8, what is their product?",200,201,209,None of these,C
34,"If x = 0.5 and y = 0.2, then the value of √(0.6 × (3y)^x) is:",1,0.6,0.5,None of these,B
35,The product of two numbers is 72. Find the other number when one number is 9.,10,8,6,None of these,B
37,"Find the sum of two consecutive even numbers, the difference of whose squares is 84?",42,44,46,None of these,A
38,"If x = 3, then x³ = ?",6,9,27,81,C
