Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,Indian spy Kulbhushan Jadhav was arrested from:,Chitral,KPK,Balochistan,Gujrat,C
2,Which educational scheme was introduced by the Congress alongside the Wardha Scheme?,Vidya Mandir,Shuddhi,Sangathan,Khilafat,A
3,Ziarat was the summer residence of the chief commissioner of:,Punjab,KPK,Sindh,Balochistan,D
4,When did Pakistan join SEATO?,in 1956,in 1954,in 1960,in 1958,B
5,Zulfikar Ali Bhutto served as the _________ Prime Minister of Pakistan from 1973 to 1977.,7th,8th,9th,10th,C
6,The Muztagh Pass connects ________.,Hunza with Gilgit,Baltistan with Yarkand,Bannu with Afghanistan,Gilgit with Kashgar,B
8,____ is the largest dam of Pakistan.,Tarbela,Mangla,Warsak,Gomal Zam,A
9,The 'Day of Deliverance' was observed on the advice of __________.,The Muslim League,Quaid-e-Azam,Sir Aga Khan,Chaudhry Rahmat Ali,B
11,What percentage of the total area of Pakistan is covered with forests?,0.071,0.049,0.062,0.07,B
12,Which is the largest excavated mine in Pakistan?,Lakhra Coal Mines,Ghazi China Clay Mines,"The Salt Mines, Khewra","Salt Mines, Kalabagh",C
14,"Under the ""Treaty of Allahabad,"" Shah Alam II got the districts of Kora & Allahabad and was also given an annual pension of 2.6 million rupees; in return for this favor, which areas were given to the British by Shah Alam?",Diwani of Bengal,Bihar,Orissa,All of these,D
15,The Tehzeeb-ul-Akhlaq magazine was published in:,1865,1870,1875,1880,B
17,The Quaid-e-Azam resigned from the membership of the Imperial Legislative Council on account of:,Hindu Muslim riots,Rowlatt Act,Internal differences of Muslim League,Demand for Independence,B
18,Articles 8 to ________ of the 1973 Constitution deal with Fundamental Rights.,26,27,28,29,C
20,Whom did Lord Mountbatten replace in 1947 as Viceroy of India?,Lord Irwin,Lord Curzon,Sir Stafford Cripps,Lord Wavell,D
21,It was compulsory for a Mansabdar to hold at least ____ horsemen.,300-400,200-600,200-400,None of these,B
23,What is the National Tree of Pakistan?,Sheesham,Neem,Oak,None of these,D
24,When did PTV start color transmission?,in December 1978,in December 1975,in December 1973,in December 1976,D
25,John Marshall oversaw excavations at Mohenjo-daro starting in:,1920,1921,1922,None of these,D
26,When was the first postal stamp issued in Pakistan?,in 1947,in 1948,in 1949,in 1950,B
27,The boundary commission appointed at the time of independence was headed by:,Lord Wavell,Radcliffe,Irwin,Clive,B
28,The University of the Punjab in Lahore was established in _________.,In 1947,In 1905,In 1882,In 1884,C
29,The 1962 Constitution of Pakistan lasted for how many years?,6 years,7 years (approx. 6 years and 9 months),9 years,11 years,B
30,When Quaid e Azam left Congress?,In 1913,In 1915,In 1920,In 1918,C
31,The first museum in Pakistan was established in Karachi on _________.,"On April 17, 1951","On April 17, 1950","On May 17, 1950","On April 25, 1950",B
32,"Which famous Persian poet, known as the ""Homer of the East"", was associated with Mahmud's court?",Utbi,Baihaqi,Ferdowsi,Farrukhi Sistani,C
33,Risalo' is the best-known collection of romantic poetry in the ________ language.,Urdu,Sindhi,Arabic,Persian,B
34,"During the War of Independence of 1857, Sir Syed Ahmed Khan was working as a chief judicial officer in _________.",Bijnor,Meerut,Ghaziabad,None of these,A
35,The first Urdu newspaper published after the creation of Pakistan was:,Jang,Dawn,Imroze,Nawa-i-Waqt,C
36,Pakistan became a member of the World Bank in:,in 1951,in 1950,in 1952,in 1953,B
37,Where is the Chaukhandi graveyard located?,Nawabshah,Karachi,Dadu,Jamshoro,B
39,Faisalabad is famous for ____.,Textile,Poly Fiber,Cotton Fiber,Paper,A
40,"______ of the Constitution of Pakistan ensures equality before the law and equal protection of the law, and states that there shall be no discrimination on the basis of gender?",Article 22,Article 23,Article 24,Article 25,D
42,The translation of Tuzuk-i-Baburi into Persian was carried out by whom?,Abul Fazl,Faizi,Abdul Rahim,Todar Mal,C
43,Who was Shaukat Aziz?,President,Prime Minister,Chief Minister,Chairman Senate,B
45,"Congress accepted the Partition Plan immediately but Muslim League could not accept it immediately. At that time, Jinnah opined that:",We shall boycott it,The plan would be submitted to Muslim League council for discussion,We would present our priorities,The Plan is not practicable,B
46,Pakistan's GDP growth rate for the year 2017-18 was:,5.2 percent,5.3 percent,5.4 percent,None of these,C
48,"Shamsuddin Iltutmish, who ascended the throne in 1211, was originally a slave of whom?",Muhammad Ghuri,Aram Shah,Qutbuddin Aibak,Sultan Mas'ud,C
49,Who was the Viceroy of India at the time of the partition of Bengal?,Lord Curzon,Lord Wavell,Lord Minto,None of these,A
51,What was the real name of Shah Waliullah?,Qutb-ud-Din Ahmed Faruqi,Qutb-ud-Din Ahmed Siddiqui,Qutb-ud-Din Ahmed Syed,None of these,A
52,Who presented 14 points apart from Quaid-e-Azam?,Abul Kalam Azad,Inayatullah Khan Mashriqi,Nehru,Muhammad Ali Bogra,B
53,Who created the Utility Stores Corporation of Pakistan (Private) Limited?,Ayub Khan,Yahya Khan,Zulfikar Ali Bhutto,Zia-ul-Haq,C
