Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"The energy of a photon is given by E = hf, where h is Planck's constant and f is frequency. What is the energy of a photon with f = 5 x 10^14 Hz?",3.31 x 10^-19 J,6.62 x 10^-19 J,3.31 x 10^-20 J,6.62 x 10^-20 J,A,"Using E = hf, where h = 6.62 x 10^-34 Js, we get E = 6.62 x 10^-34 x 5 x 10^14 = 3.31 x 10^-19 J.",NET,Conceptual,Medium,Physics,Modern Physics
"The de Broglie wavelength of a particle is given by λ = h / p, where h is Planck's constant and p is momentum. For an electron with p = 1 x 10^-24 kg m/s, what is λ?",6.62 x 10^-10 m,6.62 x 10^-12 m,1.66 x 10^-10 m,1.66 x 10^-12 m,A,"Using λ = h / p, we get λ = 6.62 x 10^-34 / 1 x 10^-24 = 6.62 x 10^-10 m.",NET,Conceptual,Medium,Physics,Modern Physics
The work function of a metal is 2 eV. What is the maximum kinetic energy of electrons emitted when light of wavelength 400 nm falls on it?,0.1 eV,1.1 eV,1.5 eV,2.5 eV,B,"First, find the energy of the photon using E = hc / λ, then apply Einstein's photoelectric equation: K_max = E - φ.",NET,Conceptual,Medium,Physics,Modern Physics
A radioactive substance has a half-life of 10 years. What fraction of the substance remains after 20 years?, 1 / 2, 1 / 4, 1 / 8, 1 / 16,B,"After 10 years, 1 / 2 remains. After another 10 years, 1 / 2 of 1 / 2 = 1 / 4 remains.",NET,Conceptual,Medium,Physics,Modern Physics
The binding energy per nucleon is maximum for,Uranium,Iron,Helium,Hydrogen,B,"Iron has the highest binding energy per nucleon, making it the most stable nucleus.",NET,Conceptual,Medium,Physics,Modern Physics
"In a nuclear reaction, mass defect is 0.1 u. What is the energy released?",931 MeV,93.1 MeV,9.31 MeV,0.931 MeV,B,"Using E = (mass defect) x 931 MeV/u, we get E = 0.1 x 931 = 93.1 MeV.",NET,Conceptual,Medium,Physics,Modern Physics
"The activity of a radioactive sample is 1000 Bq. If its half-life is 1 hour, what will be its activity after 2 hours?",250 Bq,500 Bq,1000 Bq,2000 Bq,A,"After 1 hour, activity = 500 Bq. After another hour, activity = 250 Bq.",NET,Conceptual,Medium,Physics,Modern Physics
The wavelength of a photon emitted when an electron jumps from n = 3 to n = 2 in a hydrogen atom is,656 nm,486 nm,434 nm,410 nm,A,"Using the Rydberg formula, 1 / λ = R (1 / 2² - 1 / 3²), we get λ = 656 nm.",NET,Conceptual,Medium,Physics,Modern Physics
The ionization energy of hydrogen is 13.6 eV. What is the energy required to remove an electron from n = 2?,3.4 eV,6.8 eV,13.6 eV,27.2 eV,A,"Energy of n = 2 is -3.4 eV, so energy required to remove an electron is 3.4 eV.",NET,Conceptual,Medium,Physics,Modern Physics
A particle of mass m is moving with velocity v. What is its de Broglie wavelength?,h / mv,mv / h,h / √(2mE),√(2mE) / h,A,"Using λ = h / p, where p = mv, we get λ = h / mv.",NET,Conceptual,Medium,Physics,Modern Physics
"The Compton shift in wavelength is given by Δλ = (h / mc) (1 - cosθ). For θ = 90°, what is Δλ?",h / mc,2h / mc,h / (2mc),0,A,"For θ = 90°, cosθ = 0, so Δλ = h / mc.",NET,Conceptual,Medium,Physics,Modern Physics
The energy levels of a hydrogen atom are given by E_n = -13.6 / n² eV. What is the energy of n = 3?,-1.51 eV,-3.4 eV,-6.8 eV,-13.6 eV,A,"Using E_n = -13.6 / n², we get E_3 = -13.6 / 9 = -1.51 eV.",NET,Conceptual,Medium,Physics,Modern Physics
"In a photoelectric experiment, the stopping potential is 2 V. What is the maximum kinetic energy of electrons?",2 eV,4 eV,1 eV,0.5 eV,A,"The maximum kinetic energy is equal to the stopping potential, K_max = eV_0 = 2 eV.",NET,Conceptual,Medium,Physics,Modern Physics
A nucleus of mass number A and atomic number Z has a mass defect of Δm. What is its binding energy?,Δm x 931 MeV,Δm / 931 MeV,Δm x 931 / A MeV,Δm / (931 A) MeV,A,"Using E = Δm x 931 MeV/u, we get the binding energy.",NET,Conceptual,Medium,Physics,Modern Physics
The half-life of a radioactive substance is 5 years. What is its decay constant?,0.139 / year,0.693 / year,1 / year,0.1 / year,A,"Using λ = ln(2) / T_1/2, we get λ = 0.693 / 5 = 0.139 / year.",NET,Conceptual,Medium,Physics,Modern Physics
The energy of a photon is 2 eV. What is its momentum?,1.07 x 10^-27 kg m/s,2.14 x 10^-27 kg m/s,1.07 x 10^-24 kg m/s,2.14 x 10^-24 kg m/s,A,"Using E = pc, we get p = E / c = 2 x 1.6 x 10^-19 / 3 x 10^8 = 1.07 x 10^-27 kg m/s.",NET,Conceptual,Medium,Physics,Modern Physics
The wavelength of an electron accelerated through 100 V is,0.123 nm,1.23 nm,0.123 Å,1.23 Å,A,"Using λ = h / √(2meV), we get λ = 0.123 nm for V = 100 V.",NET,Conceptual,Medium,Physics,Modern Physics
The activity of a radioactive sample decreases to 1 / 4 of its initial value in 2 hours. What is its half-life?,1 hour,2 hours,4 hours,8 hours,A,"Since activity decreases to 1 / 4 in 2 hours, it decreases to 1 / 2 in 1 hour, so T_1/2 = 1 hour.",NET,Conceptual,Medium,Physics,Modern Physics
The threshold wavelength for a metal is 500 nm. What is its work function?,2.48 eV,1.24 eV,4.96 eV,0.62 eV,A,"Using φ = hc / λ, we get φ = 2.48 eV for λ = 500 nm.",NET,Conceptual,Medium,Physics,Modern Physics
A photon of energy 5 eV collides with an electron. What is the maximum energy transferred to the electron?,4.55 eV,2.27 eV,1.13 eV,0.56 eV,A,"Using Compton scattering formula and considering maximum energy transfer, we get the maximum energy transferred.",NET,Conceptual,Medium,Physics,Modern Physics
"The energy of a photon is given by E = hf. If the frequency is doubled, the energy becomes",E / 2,E,2E,4E,C,"Using E = hf, if f is doubled, E becomes 2hf = 2E, so energy is doubled.",ECAT,Conceptual,Medium,Physics,Modern Physics
"The de Broglie wavelength of a particle is given by λ = h / p. For a particle of mass 9.1 × 10^-31 kg and velocity 10^6 m/s, λ is",6.6 × 10^-10 m,7.3 × 10^-10 m,6.2 × 10^-8 m,7.8 × 10^-8 m,B,Using λ = h / (m × v) = 6.626 × 10^-34 / (9.1 × 10^-31 × 10^6) = 7.3 × 10^-10 m.,ECAT,Conceptual,Medium,Physics,Modern Physics
The half-life of a radioactive substance is 10 years. The fraction of the substance remaining after 20 years is, 1 / 2, 1 / 4, 1 / 8, 1 / 16,B,"After 10 years, 1/2 remains; after another 10 years, 1/2 of 1/2 = 1/4 remains.",ECAT,Conceptual,Medium,Physics,Modern Physics
"The activity of a radioactive sample is 1000 Bq. If the half-life is 5 days, the activity after 10 days will be",500 Bq,250 Bq,1000 Bq,2000 Bq,B,"After 5 days, activity = 500 Bq; after another 5 days, activity = 250 Bq.",ECAT,Conceptual,Medium,Physics,Modern Physics
A nucleus of mass number 240 breaks into two nuclei of mass numbers 120 and 120. The energy released is,200 MeV,100 MeV,0 MeV,400 MeV,A,"Using binding energy per nucleon curve, energy released = 240 × (8.5 - 7.6) MeV ≈ 200 MeV (approx.).",ECAT,Conceptual,Medium,Physics,Modern Physics
The energy released in the fission of 1 kg of Uranium-235 is,8 × 10^13 J,8 × 10^12 J,8 × 10^14 J,8 × 10^15 J,A,1 kg of U-235 contains 6.023 × 10²6 / 235 nuclei. Energy released per nucleus = 200 MeV. Total energy = 8 × 10^13 J.,ECAT,Conceptual,Medium,Physics,Modern Physics
The ionization energy of hydrogen atom is 13.6 eV. The energy required to remove an electron from n = 2 is,3.4 eV,6.8 eV,13.6 eV,27.2 eV,A,"Energy of nth orbit = -13.6 / n² eV. For n = 2, E = -3.4 eV. Energy required = 3.4 eV.",ECAT,Conceptual,Medium,Physics,Modern Physics
"The minimum energy required to eject an electron from a metal surface is 2 eV. If the frequency of incident light is doubled, the maximum kinetic energy of the ejected electron becomes",2 eV,4 eV,6 eV,(hf - 2) eV,C,"Using Einstein's photoelectric equation, if f is doubled, K_max = 2hf - φ = 2(hf - φ) + φ = 2 × 2 + 2 = 6 eV.",ECAT,Conceptual,Medium,Physics,Modern Physics
The mass defect in a nuclear reaction is 0.01 u. The energy released is,9.31 MeV,931 MeV,0.931 MeV,93.1 MeV,B,"Using E = mc², 0.01 u × 931 MeV/u = 9.31 MeV.",ECAT,Conceptual,Medium,Physics,Modern Physics
The ratio of the wavelengths of the first line of Lyman series and the first line of Balmer series is, 1 / 4, 5 / 27, 1 / 3, 3 / 4,B,"Using Rydberg formula, λ_Lyman / λ_Balmer = (1 / 4 - 1 / 9) / (1 - 1 / 4) = 5 / 27.",ECAT,Conceptual,Medium,Physics,Modern Physics
The Compton shift is maximum when the scattering angle is,0°,45°,90°,180°,D,"Δλ = (h / mc) × (1 - cosθ). Δλ is maximum when θ = 180°, cos(180°) = -1.",ECAT,Conceptual,Medium,Physics,Modern Physics
The threshold wavelength for a metal is 400 nm. The maximum kinetic energy of the electrons emitted when light of wavelength 300 nm is incident is,1.03 eV,2.06 eV,1.55 eV,0.51 eV,A,"Using Einstein's photoelectric equation, K_max = hc × (1 / λ - 1 / λ0) = 1.03 eV.",ECAT,Conceptual,Medium,Physics,Modern Physics
