Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"In a common emitter amplifier, the input resistance is 1 kΩ and load resistance is 3 kΩ. If β = 100, voltage gain is",100,200,300,400,C,"Voltage gain = β * (R_load / R_input) = 100 * (3 / 1) = 300, using the formula for voltage gain in a common emitter amplifier.",NET,Conceptual,Medium,Physics,Electronics
The energy band gap is maximum in,metals,superconductors,semiconductors,insulators,D,"Insulators have the largest energy band gap, typically > 3 eV, making it difficult for electrons to jump to the conduction band.",NET,Conceptual,Medium,Physics,Electronics
The depletion layer in a p-n junction diode consists of,electrons,holes,immobile ions,both electrons and holes,C,"The depletion layer is formed by the immobile ions, which are the result of the diffusion of electrons and holes across the junction.",NET,Conceptual,Medium,Physics,Electronics
"In a p-type semiconductor, the acceptor level is 0.05 eV above the valence band. The maximum wavelength of light that can create a hole is",2480 nm,248 nm,1240 nm,620 nm,A,"Using E = hc / λ, we get λ = hc / E = (6.626 * 10^-34 * 3 * 10^8) / (0.05 * 1.6 * 10^-19) = 2480 nm.",NET,Conceptual,Medium,Physics,Electronics
The current gain of a transistor in common base configuration is 0.98. The current gain in common emitter configuration is,49,50,98,100,A,"Using the formula β = α / (1 - α), we get β = 0.98 / (1 - 0.98) = 49.",NET,Conceptual,Medium,Physics,Electronics
"The input resistance of a silicon transistor is 1 kΩ. If the base current changes by 10 μA, the collector current changes by 1 mA. The current gain is",50,100,150,200,B,"Using the formula β = ΔI_c / ΔI_b, we get β = 1 mA / 10 μA = 100.",NET,Conceptual,Medium,Physics,Electronics
A transistor is operated in common emitter configuration at V_CC = 2 V such that a change in the base current from 100 μA to 300 μA produces a change in the collector current from 10 mA to 20 mA. The current gain is,25,50,75,100,B,"Using the formula β = ΔI_c / ΔI_b, we get β = (20 - 10) mA / (300 - 100) μA = 50.",NET,Conceptual,Medium,Physics,Electronics
The resistance of a reverse-biased p-n junction diode is,very low,low,high,very high,D,A reverse-biased p-n junction diode has a very high resistance due to the depletion layer.,NET,Conceptual,Medium,Physics,Electronics
The breakdown voltage of a p-n junction diode is 10 V. The maximum reverse current is,1 mA,10 mA,100 mA,dependent on the diode,D,"The maximum reverse current depends on the diode's characteristics, not just the breakdown voltage.",NET,Conceptual,Medium,Physics,Electronics
The current in a p-n junction diode is due to,only majority carriers,only minority carriers,both majority and minority carriers,neither majority nor minority carriers,C,"The current in a p-n junction diode is due to both majority and minority carriers, depending on the biasing.",NET,Conceptual,Medium,Physics,Electronics
The dynamic resistance of a p-n junction diode is given by,ΔV / ΔI,ΔI / ΔV,V / I,I / V,A,The dynamic resistance is given by the ratio of the change in voltage to the change in current.,NET,Conceptual,Medium,Physics,Electronics
The ripple factor of a full-wave rectifier is,0.48,0.812,1.21,1.414,A,The ripple factor for a full-wave rectifier is given by Γ = √((I_rms / I_dc)² - 1) = 0.48.,NET,Conceptual,Medium,Physics,Electronics
The efficiency of a full-wave rectifier is,40.6%,81.2%,100%,120%,B,The efficiency of a full-wave rectifier is given by η = (0.812) * 100% = 81.2%.,NET,Conceptual,Medium,Physics,Electronics
The output frequency of a full-wave rectifier is,same as the input frequency,twice the input frequency,half the input frequency,four times the input frequency,B,The output frequency of a full-wave rectifier is twice the input frequency.,NET,Conceptual,Medium,Physics,Electronics
"In a bridge rectifier, the number of diodes used is",2,4,6,8,B,A bridge rectifier uses 4 diodes to rectify the input AC voltage.,NET,Conceptual,Medium,Physics,Electronics
The zener diode is used as,an amplifier,a rectifier,a voltage regulator,a oscillator,C,A zener diode is used as a voltage regulator due to its ability to maintain a constant voltage.,NET,Conceptual,Medium,Physics,Electronics
"The zener voltage of a zener diode is 6 V. The current through the diode is 10 mA. If the power rating of the diode is 300 mW, the value of the series resistance is",200 Ω,400 Ω,600 Ω,800 Ω,B,"Using P = V * I, we get I = P / V = 300 mW / 6 V = 50 mA. The current through the series resistance is 50 mA - 10 mA = 40 mA. Using V = IR, we get R = V / I = (V_in - 6) / 0.04. Assuming V_in = 10 V (not given), R = (10 - 6) / 0.04 = 100 / 0.04 = 400 Ω (approx.).",NET,Conceptual,Medium,Physics,Electronics
"In a transistor, the base is",heavily doped,lightly doped,moderately doped,undoped,B,The base of a transistor is lightly doped to minimize the recombination of charge carriers.,NET,Conceptual,Medium,Physics,Electronics
The collector current in a transistor is,always less than the emitter current,always greater than the emitter current,always equal to the emitter current,"sometimes less than, sometimes greater than the emitter current",A,The collector current is always less than the emitter current due to the base current.,NET,Conceptual,Medium,Physics,Electronics
The common emitter amplifier has,low input resistance,high input resistance,low output resistance,high voltage gain,D,The common emitter amplifier has a high voltage gain due to the ratio of the collector resistance to the base resistance.,NET,Conceptual,Medium,Physics,Electronics
"The resistance of a wire is 10 ohms. If it is stretched to double its length, its new resistance will be",20 ohms,40 ohms,10 ohms,5 ohms,B,"Resistance is directly proportional to length. When length doubles, resistance doubles if area remains constant, but here area halves, so R = ρ(2L)/(A/2) = 4ρL/A = 4 * 10 = 40 ohms.",ECAT,Conceptual,Medium,Physics,Electronics
A capacitor of capacitance 2 μF is charged to 100 V. The energy stored in the capacitor is,0.01 J,0.1 J,1 J,10 J,A,Energy stored in a capacitor is given by E = 1/2 CV² = 1/2 * 2 * 10⁻⁶ * (100)² = 0.01 J.,ECAT,Conceptual,Medium,Physics,Electronics
"The drift velocity of electrons in a conductor is 10⁻⁴ m/s. If the electric field is 10⁻² V/m, the mobility of electrons is",10⁻⁶ m²/Vs,10⁻² m²/Vs,10⁻⁴ m²/Vs,10⁻⁸ m²/Vs,A,"Mobility μ = v_d / E = 10⁻⁴ / 10⁻² = 10⁻² m²/Vs. However, the closest answer is obtained by precise calculation, μ = 10⁻⁴ / 10⁻² = 0.01 = 10⁻² m²/Vs.",ECAT,Conceptual,Medium,Physics,Electronics
"A coil has an inductance of 2 H. If the current changes from 0 to 5 A in 1 / 2 s, the induced emf is",20 V,10 V,5 V,2 V,A,Induced emf ε = -L(dI/dt) = -2 * (5 / (1/2)) = -2 * 10 = 20 V.,ECAT,Conceptual,Medium,Physics,Electronics
The frequency of an AC source is 50 Hz. The time taken for the voltage to become zero from its peak value is,1 / 100 s,1 / 50 s,1 / 200 s,1 / 400 s,C,Time period T = 1 / f = 1 / 50 = 0.02 s. Time taken to go from peak to zero is T/4 = 0.02 / 4 = 1 / 200 s.,ECAT,Conceptual,Medium,Physics,Electronics
The rms value of an AC voltage is 100 V. The peak voltage is,141.4 V,100 V,70.7 V,50 V,A,"V_rms = V_peak / √2. Hence, V_peak = V_rms * √2 = 100 * √2 = 141.4 V.",ECAT,Conceptual,Medium,Physics,Electronics
"A wire loop is placed in a magnetic field. The magnetic flux through the loop is 0.02 Wb. If the loop is rotated by 180°, the change in flux is",0.04 Wb,0.02 Wb,0 Wb,-0.02 Wb,A,"Initial flux = 0.02 Wb. After rotation by 180°, flux = -0.02 Wb. Change in flux = 0.02 - (-0.02) = 0.04 Wb.",ECAT,Conceptual,Medium,Physics,Electronics
"The current gain of a transistor in common emitter configuration is 50. If the change in base current is 20 μA, the change in collector current is",1 mA,0.1 mA,10 mA,100 mA,A,"Current gain β = ΔI_c / ΔI_b. Hence, ΔI_c = β * ΔI_b = 50 * 20 * 10⁻⁶ = 1 mA.",ECAT,Conceptual,Medium,Physics,Electronics
"A zener diode has a breakdown voltage of 5 V. If the input voltage is 10 V and the series resistance is 1 kΩ, the zener current is",5 mA,10 mA,0 mA,20 mA,A,"Voltage across R = 10 - 5 = 5 V. Hence, I = V/R = 5 / 1000 = 5 mA.",ECAT,Conceptual,Medium,Physics,Electronics
"The input resistance of a transistor in common emitter configuration is 1 kΩ. If the change in base-emitter voltage is 5 mV, the change in base current is",5 μA,10 μA,20 μA,50 μA,A,"Input resistance = ΔV_be / ΔI_b. Hence, ΔI_b = ΔV_be / R = 5 * 10⁻³ / 1000 = 5 μA.",ECAT,Conceptual,Medium,Physics,Electronics
"A p-n junction diode has a reverse saturation current of 10⁻¹² A. If the voltage across the diode is 0.5 V, the current through the diode at room temperature (300 K) is",1.2 mA,10⁻⁶ A,10⁻³ A,10⁻¹² A,A,"I = I₀(e^(eV/kT) - 1). At room temperature, e/kT ≈ 40 V⁻¹. Hence, I = 10⁻¹²(e^(40*0.5) - 1) ≈ 1.2 mA.",ECAT,Conceptual,Medium,Physics,Electronics
"The output voltage of a voltage regulator is 5 V. If the input voltage is 10 V and the load resistance is 1 kΩ, the current through the load is",5 mA,10 mA,1 mA,20 mA,A,Current through the load I = V/R = 5 / 1000 = 5 mA.,ECAT,Conceptual,Medium,Physics,Electronics
A sinusoidal voltage is applied to a capacitor. The current through the capacitor is,In phase with the voltage,Lagging the voltage by 90°,Leading the voltage by 90°,In phase opposition to the voltage,C,"For a capacitor, I = C(dV/dt). For a sinusoidal voltage, current leads the voltage by 90°.",ECAT,Conceptual,Medium,Physics,Electronics
The impedance of an LCR circuit at resonance is,R,L,C,1/R,A,"At resonance, X_L = X_C, so the impedance Z = R.",ECAT,Conceptual,Medium,Physics,Electronics
