Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,What is the molecular formula for nitric acid?,HNO3,H2NO4,HNO2,HN2O2,A
2,The first process in a petroleum refinery is known as:,Reforming,Distillation,Improve Octane Number,None of these,B
3,"The smallest branches of an artery, which lead into tiny blood vessels, are called:",Arterioles,Capillaries,Venules,Veins,A
4,Radioactivity is measured by:,Geiger-Muller counters,Polarimeter,Calorimeter,Colorimeter,A
5,The area of microbiology that is concerned with the occurrence of disease in human populations is:,Immunology,Parasitology,Epidemiology,None of these,C
6,Pneumonia is caused by which bacteria?,Bacillus,Cocci,Vibrio,None of these,B
7,"In a simple cylindrical projection, the scale is also Right along the ______ by construction.",Latitudes,South pole,Meridians,None of these,C
8,The life of an RBC in human blood is:,130 days,160 days,120 days,115 days,C
9,The instrument used to measure wind speed is the:,Hygrometer,Anemometer,Hydrometer,Barometer,B
10,Which is the brightest planet in the solar system?,Mars,Venus,Jupiter,Mercury,B
11,The units of electricity consumed by a 2500-watt appliance in one hour are:,25 units,2.25 units,2.5 units,0.25 units,C
12,The approximate age of the Milky Way is:,13.6 billion years,14.5 billion years,15.5 billion years,16.5 billion years,A
13,A virus causes:,Cholera,Typhus,Typhoid,Scurvy,B
14,What ailment is caused by the blockage of a blood vessel by a blood clot?,Arteriosclerosis,Embolism,Heart failure,Thrombosis,D
15,Radiation activity is measured in:,Coulomb,Ohm,Becquerel (Bq),All of these,C
16,Which of the following was widely used as an anesthetic?,Methane,Ammonia,Chlorine,Chloroform,D
17,What is the mean distance of the Earth from the Sun in astronomical units (AU)?,101 AU,1 AU,10 AU,3.7 AU,B
18,"In his book 'Kitab al-Jabr wal-Muqabala', Al-Khwarizmi:",Solved Ptolemy's hypothesis,Solved linear and quadratic equations,Solved nth root solutions graphically,Laid the foundation for optics,B
19,Dynamics is the study of:,Movements of Earth,Movement of bodies,Angles of bodies,Forces acting on bodies,D
20,Which of the following is affected by leukemia?,Nerves,Blood,Lungs,None of the above,B
21,Light energy is converted into chemical energy by:,Electrolysis,Respiration,Transpiration,Photosynthesis,D
22,The half-life of a radioactive element is 8 days. How long will it take to reduce from 10 mg to 5 mg?,4 days,12 days,16 days,8 days,D
23,The 'stone' formed in a human kidney consists mostly of:,Magnesium sulfate,Calcium,Sodium acetate,Calcium oxalate,D
24,"Consider the following: 1) Camphor, 2) Chicory, 3) Vanilla. Which of these are plant products?",1 and 2 only,3 only,1 and 3 only,"1, 2, and 3",D
25,A person with which of the following blood groups is considered a universal recipient?,B+,O+,AB+,None of these,C
26,Water vapor is a:,Snowflake,Raindrop,Cloud droplet,Gas,D
27,"Acquired Immunodeficiency Syndrome (AIDS) is a chronic, potentially life-threatening condition caused by which pathogen?",Virus,Protozoa,Bacteria,Fungus,A
28,Why do the front wheels of motor cars lean outward slightly?,It is done to allow for a difference in angles; this gives stability to the car while taking a turn.,It gives a broader base to the car.,It helps to avoid bumping on uneven roads.,None of these,D
29,Which month of the calendar year can lack a new moon?,May,February,December,None of these,B
30,"In a typical H-R diagram, stars are graphed by which two characteristics?",Luminosity and distance,Distance and temperature,Size and distance,Temperature and Luminosity,D
31,What is the abbreviation of RAM?,Random Access Memory,Read And Memorize,Reading Access Memory,None of these,A
