Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
99,"Change narration: The mother said to her son, ""May you be successful"".",The mother prayed that her son might be successful.,The mother asked if her son might be successful.,The mother prays that my son might be successful.,None of these,A
100,The synonym of Facet is:,Phase,Subsurface,Descend,None of these,A
101,"Change the narration: The general said to the soldiers, ""March forward and attack the foe.""",The general ordered the soldiers to march forward and to attack the foe,The general suggested to the soldiers to march forward and to attack the foe.,The general commanded the soldiers to march forward and attack the foe.,The general commanded the soldiers to march forward to attack the foe.,C
102,"I don't want to fight about who gets the car, so... Which type of verb is 'fight' in this context?",Dynamic verb,Stative verb,Phrasal verb,Finite verb,A
103,"The synonym of ""Radiant"" is:",Glowing,dull,obscure,None of these,A
104,Choose the correct analogy: Pride : Lion,Gaggle : Geese,Honor : Eagle,Enemy : Knight,Snarl : Wolf,A
105,I am sick ____ this idle life.,of,off,from,None of these,A
106,The antonym of Sophomoric is:,Venerable,Foolish,Infantile,None of these,A
107,Complete the following sentence to make it meaningful: None of you ______ done work correctly.,Has,Have,Were,None of these,B
108,To cry wolf means:,To listen eagerly,To turn pale,To give a false alarm,To keep off starvation,C
109,Vestige : ____ :: Vestment : Garb (choose the word that best completes the comparison),Footprint,Artery,Sacrament,Clergy,A
110,Choose the correct analogy: Mother : Daughter,Son : Father,Queen : Princess,Brother : Sister,None of these,B
111,What is meant by operationalization?,Algebra concepts,Social benefits,Abstract concepts,None of these,C
112,A synonym of Blasphemy is:,Irrespective,Irreverence,Unholy,None of these,B
113,"""To put one's hand to the plough"" means:",To handle the situation,To stop the conversation,To take a difficult task,To give up a task,C
115,Which preposition correctly completes the sentence: We must stoop down ___ ALLAH.,By,At,To,With,C
116,The authority failed to carry ____ its statutory duties.,With,on,out,Up,C
118,"What does the idiom ""At the drop of a hat"" mean?",After a long wait,Immediately or without hesitation,When something falls,In a slow and careful manner,B
119,Choose the antonym of BARREN:,Radiant,Fertile,Besiege,Reduce,B
121,"Choose the correct phrasal verb to complete the following sentence. Excuse me, could I ______ this dress, please?",try on,try out,try over,None of these,A
122,Which punctuation mark is used to indicate the end of declarative sentence.,Full stop,Exclamation point,Question mark,None of these,A
124,She came later than ____.,I,me,myself,None of these,A
125,Complete the sentence: A: ______? B: I'm going to study in the library.,What do you usually do at the weekend?,What are you doing now?,I am watching TV.,None of these,B
127,Select the most appropriate meaning of the given idiom: To call the shots,To be in debt,To lack control,To be blissfully happy,To take initiative,D
128,He not only read the book but also remembered what he read. The words 'not only... but also' are an example of which part of speech?,Adjective,Conjunction,Adverb,None of these,B
130,Fill in the blank: There is no reason ____ we get up so early in the morning.,When,Why,Whom,Do why,B
131,Change Voice: He is writing a book.,A book has been written by him.,A book is being written by him.,A book was being written by him.,None of these,B
132,"Choose one-word substitution for ""Policemen riding on motorcycles as guards of VIPs"":",Attendants,Commandos,Servants,None of these,D
133,De jure means:,by right,by law,by the way,by itself,B
134,A person who loves mankind:,Philanthropist,Anthropologist,Optometrist,None of these,A
135,Choose the antonym of: Sacrilegious?,Pious,Impious,Profane,None of these,A
136,The last holiday we spent in Canada was ____ expensive.,Much,So,Too,None of these,C
137,The synonym of Adumbrate is:,Outline,Ignore,Forget,None of these,A
138,The house is large ___ is quite old-fashioned.,and,Or,Which,But,D
