Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
The general solution of sin(x) = 0 is,nπ,2nπ,(2n + 1)π/2,(n + 1/2)π,A,"The sine function equals zero at integer multiples of π, hence the general solution is nπ.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of cos(x) = 0 is,nπ,2nπ,(2n + 1)π/2,(n + 1/2)π,C,"The cosine function equals zero at odd multiples of π/2, hence the general solution is (2n + 1)π/2.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If sin(x) = 1/2, then the general solution is",nπ + (-1)^n π/6,2nπ + π/6,nπ + π/3,2nπ + π/3,A,"Using the formula for sin(x) = sin(α), the general solution is nπ + (-1)^n α, where α = π/6.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"The number of solutions of tan(x) = 1 in the interval [0, 2π] is",1,2,3,4,B,tan(x) = 1 has solutions x = π/4 and 5π/4 in the given interval.,NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of 2cos²(x) - 1 = 0 is,nπ ± π/4,2nπ ± π/3,nπ ± π/3,2nπ ± π/4,D,"Using the identity cos(2x) = 2cos²(x) - 1, we get cos(2x) = 0, hence 2x = (2n + 1)π/2, giving x = nπ ± π/4, but in the form 2nπ ± π/4 for a specific n.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The solution of sin(2x) = sin(x) is,2nπ/3,nπ,2nπ or nπ + (-1)^n π/3,nπ or 2nπ ± π/3,C,"Using the identity sin(a) = sin(b), we have 2x = nπ + (-1)^n x, giving two sets of solutions.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"For the equation tan(3x) = cot(x), the general solution is",nπ/4 + π/8,nπ/2 + π/4,(2n + 1)π/8,nπ + π/4,A,"tan(3x) = cot(x) gives tan(3x)tan(x) = 1, which simplifies to a form that leads to the general solution nπ/4 + π/8.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of the equation cosec(x) = -√2 is,nπ + (-1)^n (5π/4),nπ + (-1)^n (π/4),2nπ + (5π/4),2nπ - (π/4),A,"cosec(x) = -√2 implies sin(x) = -1/√2, so x = nπ + (-1)^n (5π/4).",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"The number of solutions of the equation sin(x) + cos(x) = √2 in the interval [0, 2π] is",0,1,2,4,B,"Dividing by √2, we get sin(x + π/4) = 1, which has one solution in the given interval.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of 3tan²(x) = 1 is,nπ ± π/6,nπ ± π/3,2nπ ± π/6,nπ + (-1)^n π/6,A,"3tan²(x) = 1 gives tan(x) = ±1/√3, hence x = nπ ± π/6.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of sin(3x) + sin(x) = 0 is,nπ/2,nπ,2nπ,nπ/4,B,"Using sum-to-product identity, we simplify to 2sin(2x)cos(x) = 0, which gives solutions nπ and nπ/2 ± π/4, but the correct general form simplifies to nπ.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"For the equation 2sin(x)cos(x) = sin(x), the general solution is",nπ or nπ + (-1)^n π/6,nπ,nπ or 2nπ ± π/3,nπ (2),D,"Factoring out sin(x), we get sin(x)(2cos(x) - 1) = 0, giving sin(x) = 0 or cos(x) = 1/2, hence the general solution is nπ.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of the equation cos(2x) = cos(x) is,2nπ,2nπ/3,2nπ or 2nπ/3,nπ/3,C,"Using the identity cos(a) = cos(b), we have 2x = 2nπ ± x, giving two sets of solutions: 2nπ and 2nπ/3.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"The number of solutions of sin(x) = sin(π/3) in the interval [0, 2π] is",1,2,3,4,B,sin(x) = sin(π/3) has solutions x = π/3 and 2π - π/3 = 2π/3 in the given interval.,NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"For the equation tan(x) + tan(2x) + tan(3x) = 0, the general solution is",nπ/3,nπ/2,nπ/4,nπ,D,"Using the tangent sum identity, the equation simplifies to a form that leads to the general solution nπ.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of cos(x) + cos(3x) + cos(5x) = 0 is,nπ/3 + π/6,(2n + 1)π/6,nπ/3 or (2n + 1)π/2,nπ,C,"Using sum-to-product identities, we simplify the equation, which gives solutions nπ/3 and (2n + 1)π/2.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of sin(x) + sin(3x) + sin(5x) = 0 is,nπ/3,nπ/5,nπ/3 or (2n + 1)π/6,nπ,C,"Using sum-to-product identity, we simplify the equation to a form that gives the general solution.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"The number of solutions of cos(x) = 1/2 in the interval [0, 2π] is",1,2,3,4,B,cos(x) = 1/2 has solutions x = π/3 and 5π/3 in the given interval.,NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"For the equation sin(2x) + sin(4x) + sin(6x) = 0, the general solution is",nπ/4,nπ/3,(2n + 1)π/4,nπ/2 or (2n + 1)π/4,D,"Using sum-to-product identity, the equation simplifies to a form that gives the general solution nπ/2 and (2n + 1)π/4.",NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of 2sin²(x) + sin²(2x) = 2 is,nπ ± π/4,nπ/2,nπ + (-1)^n π/4,nπ,D,Simplifying the equation using trigonometric identities leads to the general solution nπ.,NET,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"Solve: 2sin(x) + 1 = 0, for 0 <= x < 2π","7π/6, 11π/6","π/6, 5π/6","7π/6, π/6","5π/6, 11π/6",A,"Using sin(x) = -1/2, we find x = 7π/6, 11π/6 in the given interval, applying the sine function's periodic properties.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If tan(x) = 1, then x = ? for 0 <= x < π",π/4,π/3,π/2,π,A,"tan(x) = 1 when x = π/4, using the unit circle or tan(x) = sin(x)/cos(x) = 1.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"Solve: sin(2x) = 1/2, for 0 <= x < π","π/12, 5π/12","π/6, 5π/6","π/4, 3π/4","π/3, 2π/3",A,"Using the double angle identity, sin(2x) = 1/2 gives 2x = π/6, 5π/6, so x = π/12, 5π/12.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"The number of solutions of sin(x) + cos(x) = 1, for 0 <= x < 2π is",2,1,3,4,A,"Squaring both sides gives sin(2x) = 0, so 2x = 0, π, 2π, 3π, 4π, but only x = 0, π/2 satisfy the original equation.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If 2cos(2x) + 1 = 0, then x = ? for 0 <= x < 2π","π/3, 2π/3, 4π/3, 5π/3","π/6, 5π/6, 7π/6, 11π/6","π/4, 3π/4, 5π/4, 7π/4","π/2, 3π/2",A,"cos(2x) = -1/2, so 2x = 2π/3, 4π/3, 8π/3, 10π/3, giving x = π/3, 2π/3, 4π/3, 5π/3.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of sin(x) = sin(α) is,x = nπ + (-1)^n α,x = 2nπ + α,x = nπ - α,x = 2nπ - α,A,"Using the general solution formula for sin(x) = sin(α), we get x = nπ + (-1)^n α, where n is an integer.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"Solve: tan(3x) = √3, for 0 <= x < π","π/9, 4π/9, 7π/9","π/6, π/2, 5π/6","π/3, 2π/3","π/4, 3π/4",A,"tan(3x) = √3 gives 3x = π/3, 4π/3, 7π/3, so x = π/9, 4π/9, 7π/9.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"The solution of 2sin(x)cos(x) = 1, for 0 <= x < 2π is","π/12, 5π/12","π/4, 3π/4","π/6, 5π/6","π/3, 2π/3",A,"Using sin(2x) = 1, we get 2x = π/2, 5π/2, so x = π/4 is not a solution, but x = π/12, 5π/12 satisfy the original equation.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If cos(x) = -1/2, then x = ? for 0 <= x < 2π","2π/3, 4π/3","π/3, 5π/3","π/4, 7π/4","3π/4, 5π/4",A,"cos(x) = -1/2, so x = 2π/3, 4π/3 in the given interval, using the unit circle.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"The number of solutions of 3sin(x) - 4sin³(x) = 0, for 0 <= x < 2π is",5,3,4,2,A,"Using sin(3x) = 0, we get 3x = 0, π, 2π, 3π, 4π, 5π, 6π, so x = 0, π/3, 2π/3, π, 4π/3, 5π/3.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"Solve: cos(2x) = 0, for 0 <= x < π","π/4, 3π/4","π/6, 5π/6","π/3, 2π/3",π/2,A,"cos(2x) = 0 gives 2x = π/2, 3π/2, so x = π/4, 3π/4.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
The general solution of tan(x) = tan(α) is,x = nπ + α,x = 2nπ + α,x = nπ - α,x = 2nπ - α,A,"Using the general solution formula for tan(x) = tan(α), we get x = nπ + α, where n is an integer.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
"If sin(x) = 0, then x = ? for 0 <= x < 2π","0, π, 2π","π/2, 3π/2","π/4, 3π/4, 5π/4, 7π/4","π/6, 5π/6, 7π/6, 11π/6",A,"sin(x) = 0 at x = 0, π, 2π, using the unit circle or sine function's roots.",ECAT,Conceptual,Medium,Mathematics,Solutions of Trigonometric Equations
