Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
Which of the following alkyl halides is most reactive towards SN1 reaction?,CH₃CH₂Cl,(CH₃)₃CCl,CH₃CH₂CH₂Cl,CH₃Cl,B,Tertiary alkyl halides are most reactive towards SN1 due to stable carbocation formation.,NET,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of 2-bromobutane with alc. KOH gives mainly,1-butene,2-butene,1-butanol,2-butanol,B,"Dehydrohalogenation follows Saytzeff's rule, forming more stable alkene.",NET,Conceptual,Medium,Chemistry,Alkyl Halides
The order of reactivity of alkyl halides towards SN2 reaction is,CH₃X > C₂H₅X > C₃H₇X,C₃H₇X > C₂H₅X > CH₃X,C₂H₅X > CH₃X > C₃H₇X,C₃H₇X > CH₃X > C₂H₅X,A,SN2 reactivity decreases with increasing alkyl group size due to steric hindrance.,NET,Conceptual,Medium,Chemistry,Alkyl Halides
Which alkyl halide is used in the preparation of Grignard reagent?,CH₃CH₂Br,CH₃CH₂I,Both A and B,None of these,C,"Both bromides and iodides can be used, but iodides are more reactive.",NET,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of alkyl halide with AgNO₂ gives,Nitroalkane,Alkyl nitrite,Both A and B,None of these,A,AgNO₂ reacts with alkyl halide to form nitroalkane through SN2 mechanism.,NET,Conceptual,Medium,Chemistry,Alkyl Halides
Which of the following is an example of vicinal dihalide?,CH₃CHCl₂,CH₂ClCH₂Cl,CCl₄,CH₃CH₂Cl,B,Vicinal dihalides have halogen atoms on adjacent carbon atoms.,NET,Conceptual,Medium,Chemistry,Alkyl Halides
The boiling point of alkyl halides increases with,Increase in molecular weight,Decrease in molecular weight,Branching,None of these,A,"Higher molecular weight alkyl halides have stronger London forces, increasing boiling point.",NET,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of alkyl halide with KCN gives,Alkyl cyanide,Alkyl isocyanide,Both A and B,None of these,A,KCN reacts with alkyl halide through SN2 to form alkyl cyanide.,NET,Conceptual,Medium,Chemistry,Alkyl Halides
The hydrolysis of tertiary butyl chloride is an example of,SN1 reaction,SN2 reaction,E1 reaction,E2 reaction,A,Tertiary alkyl halides undergo SN1 reaction due to stable carbocation formation.,NET,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of 1-bromopropane with alc. KOH gives,Propane,Propene,Propyne,Propanol,B,Dehydrohalogenation of alkyl halide gives alkene.,NET,Conceptual,Medium,Chemistry,Alkyl Halides
The density of alkyl halides,Decreases with increase in molecular weight,Increases with increase in molecular weight,Remains constant,None of these,B,Density generally increases with molecular weight due to increased atomic mass.,NET,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of alkyl halide with NaI in acetone is an example of,SN1 reaction,SN2 reaction,Finkelstein reaction,None of these,C,Finkelstein reaction involves exchange of halogen with iodide.,NET,Conceptual,Medium,Chemistry,Alkyl Halides
The most reactive alkyl halide towards SN2 reaction is,CH₃CH₂Br,CH₃Br,C₂H₅Br,(CH₃)₃CBr,B,Methyl halides are most reactive due to minimal steric hindrance.,NET,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of alkyl halide with Ag₂O gives,Alcohol,Ether,Both A and B,None of these,C,"Moist Ag₂O gives alcohol, while dry Ag₂O gives ether.",NET,Conceptual,Medium,Chemistry,Alkyl Halides
Which of the following is the most stable carbocation?,CH₃⁺,(CH₃)₃C⁺,C₂H₅⁺,C₃H₇⁺,B,Tertiary carbocations are most stable due to hyperconjugation.,NET,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of 2-chlorobutane with NaOH gives,2-butanol,1-butanol,2-butene,Both A and C,D,Both substitution and elimination reactions occur.,NET,Conceptual,Medium,Chemistry,Alkyl Halides
The order of reactivity of halogens in alkyl halides is,I > Br > Cl > F,F > Cl > Br > I,Cl > Br > I > F,None of these,A,Reactivity follows the order of leaving group ability.,NET,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of alkyl halide with NH₃ gives,Amine,Amide,Both A and B,None of these,A,Alkyl halide reacts with NH₃ to form primary amine.,NET,Conceptual,Medium,Chemistry,Alkyl Halides
The best solvent for SN2 reaction is,H₂O,DMSO,CH₃OH,None of these,B,Polar aprotic solvents like DMSO favor SN2 reactions.,NET,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of alkyl halide with NaCN gives,Alkyl cyanide,Alkyl isocyanide,Both A and B,None of these,A,NaCN reacts with alkyl halide through SN2 to form alkyl cyanide.,NET,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of 2-bromopropane with NaOH is an example of,SN1,SN2,E1,E2,B,Primary and secondary alkyl halides with strong nucleophile (NaOH) undergo SN2 reaction.,ECAT,Conceptual,Medium,Chemistry,Alkyl Halides
The major product of the reaction between (CH₃)₃CBr and CH₃O⁻ is,(CH₃)₃COCH₃,(CH₃)₂C=CH₂,(CH₃)₃CCH₃,CH₃Br,B,Tertiary alkyl halides with strong base (CH₃O⁻) undergo E2 elimination to form alkene.,ECAT,Conceptual,Medium,Chemistry,Alkyl Halides
Which alkyl halide will give the fastest rate of SN2 reaction?,CH₃CH₂Br,CH₃CH₂CH₂Br,(CH₃)₂CHBr,(CH₃)₃CBr,A,Less sterically hindered primary alkyl halides are more reactive towards SN2.,ECAT,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of alkyl halide with AgNO₃ gives,alkyl nitrate,alkyl nitrite,ether,none,A,Alkyl halides react with AgNO₃ to form alkyl nitrate.,ECAT,Conceptual,Medium,Chemistry,Alkyl Halides
The most stable carbocation among the following is,CH₃⁺,CH₃CH₂⁺,(CH₃)₂CH⁺,(CH₃)₃C⁺,D,Tertiary carbocations are most stable due to hyperconjugation.,ECAT,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of 1-bromopropane with NaCN gives,propanenitrile,propylamine,propanamide,propanoic acid,A,Primary alkyl halides undergo SN2 reaction with NaCN to form nitriles.,ECAT,Conceptual,Medium,Chemistry,Alkyl Halides
The order of reactivity of alkyl halides towards SN1 is,RI > RBr > RCl,RCl > RBr > RI,RBr > RI > RCl,RI > RCl > RBr,A,Weaker C-X bond (C-I) facilitates SN1 reaction.,ECAT,Conceptual,Medium,Chemistry,Alkyl Halides
Which of the following is a secondary alkyl halide?,CH₃CH₂Cl,(CH₃)₃CCl,(CH₃)₂CHCl,CH₃Cl,C,Secondary alkyl halides have the halide attached to a secondary carbon.,ECAT,Conceptual,Medium,Chemistry,Alkyl Halides
The major product of dehydrohalogenation of 2-bromobutane is,1-butene,2-butene,isobutene,none,B,More substituted alkenes (2-butene) are formed preferentially according to Saytzeff's rule.,ECAT,Conceptual,Medium,Chemistry,Alkyl Halides
The compound C₄H₉Br has,4 isomers,5 isomers,6 isomers,7 isomers,A,"C₄H₉Br has 4 structural isomers: 1-bromobutane, 2-bromobutane, 1-bromo-2-methylpropane, and 2-bromo-2-methylpropane.",ECAT,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of (CH₃)₃CCl with NaI in acetone is an example of,SN1,SN2,Finkelstein reaction,none,C,Tertiary alkyl halides undergo Finkelstein reaction (SN1) with NaI to form alkyl iodide.,ECAT,Conceptual,Medium,Chemistry,Alkyl Halides
The most reactive alkyl halide towards E2 reaction is,CH₃CH₂Cl,CH₃CH₂Br,CH₃CH₂I,(CH₃)₃CBr,D,Tertiary alkyl halides are more reactive towards E2 due to stable alkene formation.,ECAT,Conceptual,Medium,Chemistry,Alkyl Halides
The order of reactivity of alkyl halides towards E1 is,3° > 2° > 1°,1° > 2° > 3°,2° > 1° > 3°,2° > 3° > 1°,A,Tertiary alkyl halides are most reactive towards E1 due to stable carbocation formation.,ECAT,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of 1-chloropropane with NaOH in presence of water is,SN1,SN2,E1,E2,B,Primary alkyl halides with strong nucleophile (NaOH) undergo SN2 reaction.,ECAT,Conceptual,Medium,Chemistry,Alkyl Halides
The compound that will react fastest with NaOH is,CH₃CH₂Cl,CH₃CH₂Br,CH₃CH₂I,(CH₃)₃CCl,C,Weaker C-X bond (C-I) facilitates SN2 reaction.,ECAT,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of 2-bromopropane with sodium ethoxide in ethanol gives,propene,propane,2-ethoxypropane,1-propoxypropane,A,"E2 elimination reaction occurs, forming an alkene. Strong base (ethoxide) favors elimination over substitution.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Alkyl Halides
What is the major product of the reaction between 1-bromobutane and KCN?,1-butanol,pentanenitrile,butanenitrile,1-butanamine,C,"SN2 reaction occurs, where cyanide ion acts as a nucleophile, replacing bromide and forming a nitrile.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Alkyl Halides
Which alkyl halide is most reactive towards SN1 reaction?,1-chloropropane,2-chloropropane,1-bromopropane,2-bromo-2-methylpropane,D,Tertiary alkyl halides are most reactive in SN1 due to stable tertiary carbocation formation.,GIKI_PIEAS,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of alkyl halide with silver nitrate gives,alkyl nitrate,nitroalkane,alkyl nitrite,ether,A,Silver nitrate reacts with alkyl halides to form alkyl nitrates via an SN1 or SN2 pathway.,GIKI_PIEAS,Conceptual,Medium,Chemistry,Alkyl Halides
What is the product of the reaction of 1-bromo-2-methylpropane with magnesium in dry ether?,2-methylpropane,2-methylpropene,isobutylmagnesium bromide,tert-butylmagnesium bromide,C,Grignard reagent is formed by the reaction of an alkyl halide with magnesium in dry ether.,GIKI_PIEAS,Conceptual,Medium,Chemistry,Alkyl Halides
"The best method to prepare 2,2-dimethylpropane is",Wurtz reaction,Corey-House synthesis,reaction of tert-butyl chloride with lithium aluminum hydride,reaction of neopentyl bromide with sodium in ether,C,"Tertiary alkyl halides can be reduced to alkanes using LiAlH4, a good method for preparing 2,2-dimethylpropane.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of chloroform with aqueous KOH gives,potassium formate,dichlorocarbene,chloral hydrate,carbon monoxide,B,"Chloroform reacts with KOH to form dichlorocarbene, a reactive intermediate.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Alkyl Halides
The compound C6H5CH2Cl is,aryl halide,alkyl halide,benzyl halide,vinyl halide,C,"Benzyl halides have a halogen attached to a carbon next to a benzene ring, making C6H5CH2Cl a benzyl halide.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Alkyl Halides
The boiling point of alkyl halides follows the order,RI > RBr > RCl > RF,RF > RCl > RBr > RI,RCl > RBr > RI > RF,RBr > RI > RCl > RF,A,Boiling points of alkyl halides increase with increasing molecular weight and polarizability of the halogen.,GIKI_PIEAS,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of alkyl halides with KCN gives,isocyanide,nitrile,amine,amide,B,"KCN is a source of CN-, a good nucleophile that replaces halide in alkyl halides, forming a nitrile.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of bromoethane with sodium in dry ether gives,butane,ethane,ethene,ethyne,A,"Wurtz reaction involves the coupling of two alkyl halides in the presence of sodium, forming an alkane.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Alkyl Halides
The reaction of 1-chloropropane with alcoholic KOH gives,propene,propan-1-ol,propan-2-ol,cyclopropane,A,"E2 elimination reaction occurs with strong base (KOH) in alcohol, forming an alkene.",GIKI_PIEAS,Conceptual,Medium,Chemistry,Alkyl Halides
