Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"In an NPN transistor, the majority charge carriers in the base region are",electrons,holes,protons,neutrons,B,Holes are majority carriers in the P-type base region. Electrons are majority carriers in N-type regions.,Transistors,Easy,Physics,Electronics
The input resistance of an ideal operational amplifier is,zero,very low,very high,infinite,D,Ideal op-amp has infinite input resistance. Real op-amps have very high input resistance.,Operational Amplifiers,Easy,Physics,Electronics
A Zener diode is used as a,rectifier,voltage regulator,amplifier,oscillator,B,Zener diodes regulate voltage due to their specific reverse breakdown voltage.,Diodes,Easy,Physics,Electronics
The gain of a common emitter amplifier is given by,R_E/R_B,R_C/R_E,R_C/R_B,β*R_C/R_B,D,Common emitter gain is β times the ratio of collector resistance to base resistance.,Transistors,Medium,Physics,Electronics
The width of the depletion region in a PN junction diode increases when,forward biased,reverse biased,at zero bias,at high temperature,B,Reverse bias increases depletion width. Forward bias decreases it.,Diodes,Easy,Physics,Electronics
A logic gate that produces an output only when all inputs are different is called,AND gate,OR gate,XOR gate,NOT gate,C,XOR gate outputs 1 when inputs are different. AND and OR gates have different conditions.,Logic Gates,Medium,Physics,Electronics
The current gain of a transistor in common base configuration is,less than 1,equal to 1,greater than 1,very large,A,"Common base current gain is α, which is less than 1. It's typically around 0.98.",Transistors,Easy,Physics,Electronics
The output of a rectifier circuit is,AC,DC,pulsating DC,mixed AC and DC,C,Rectifiers convert AC to pulsating DC. Further filtering is needed for pure DC.,Rectifiers,Easy,Physics,Electronics
The Boolean expression for the output of a NAND gate is,A*B,A+B,A'*B',(A*B)',D,"NAND gate output is the negation of AND operation, hence (A*B)'.",Logic Gates,Medium,Physics,Electronics
"In a half-wave rectifier, the frequency of the output is",same as input frequency,twice the input frequency,half the input frequency,four times the input frequency,A,Half-wave rectification maintains the same frequency as the input AC.,Rectifiers,Easy,Physics,Electronics
A transistor amplifier is said to be in class A operation when,the collector current flows for the entire cycle,the collector current flows for half the cycle,the collector current flows for more than half but less than the entire cycle,the collector current is zero,A,Class A amplifiers have collector current throughout the input cycle.,Amplifiers,Medium,Physics,Electronics
The forbidden energy gap in a semiconductor is,the energy required to break a covalent bond,the energy required to move an electron from valence to conduction band,the energy released when an electron falls from conduction to valence band,the energy required to remove an electron from a metal surface,B,Forbidden energy gap is the energy difference between valence and conduction bands.,Semiconductors,Medium,Physics,Electronics
The device used to store electric charge is called,capacitor,inductor,resistor,transformer,A,Capacitors store electric charge. Inductors store magnetic energy.,Electronic Components,Easy,Physics,Electronics
The common mode rejection ratio (CMRR) is a measure of,the ability of an op-amp to reject common mode signals,the gain of an op-amp,the input resistance of an op-amp,the output resistance of an op-amp,A,CMRR measures an op-amp's ability to reject signals common to both inputs.,Operational Amplifiers,Medium,Physics,Electronics
The potential barrier across a PN junction is,0.3 V for Ge and 0.7 V for Si,0.7 V for Ge and 0.3 V for Si,same for Ge and Si,zero for both Ge and Si,A,Potential barrier is 0.3 V for Ge and 0.7 V for Si due to different material properties.,Diodes,Easy,Physics,Electronics
The emitter of a transistor is,heavily doped,lightly doped,moderately doped,undoped,A,Emitter is heavily doped to supply majority carriers. Base is lightly doped.,Transistors,Easy,Physics,Electronics
The output of an operational amplifier is,proportional to the difference between the two input voltages,proportional to the sum of the two input voltages,proportional to the product of the two input voltages,independent of the input voltages,A,"Op-amp output is proportional to the differential input voltage, not sum or product.",Operational Amplifiers,Medium,Physics,Electronics
A clamper circuit is used to,change the DC level of a waveform,change the amplitude of a waveform,filter out unwanted frequencies,amplify a signal,A,Clampers shift the DC level of a waveform without changing its shape.,Waveform Modification,Medium,Physics,Electronics
The typical application of a tunnel diode is in,oscillators,amplifiers,rectifiers,switches,A,Tunnel diodes are used in oscillators due to their negative resistance region.,Diodes,Hard,Physics,Electronics
