Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
A 2 kg block is moving at 4 m/s. What is its kinetic energy?,8 J,16 J,32 J,64 J,B,"Kinetic energy = 1/2 mv² = 1/2 * 2 * 4² = 16 J, using the formula for kinetic energy.",NET,Conceptual,Medium,Physics,Work and Energy
"A force of 5 N acts on a body, displacing it by 3 m. What is the work done?",10 J,15 J,20 J,25 J,B,"Work done = F * d = 5 * 3 = 15 J, using the formula for work done.",NET,Conceptual,Medium,Physics,Work and Energy
A spring has a spring constant of 100 N/m. What is the work done in compressing it by 2 m?,100 J,200 J,2000 J,400 J,C,"Work done = 1/2 kx² = 1/2 * 100 * 2² = 200 J, then 1/2 * 100 * 4 = 200 J.",NET,Conceptual,Medium,Physics,Work and Energy
A body of mass 5 kg is lifted to a height of 10 m. What is the potential energy gained?,490 J,500 J,4905 J,5000 J,C,"Potential energy = mgh = 5 * 9.81 * 10 = 490.5 J, using g = 9.81 m/s².",NET,Conceptual,Medium,Physics,Work and Energy
A car accelerates from 0 to 20 m/s in 4 s. What is the average power delivered?,1000 W,2000 W,4000 W,5000 W,B,"Average power = ΔKE / Δt = (1/2 mv² - 0) / t = (1/2 * m * 20²) / 4 = 50m, assuming m = 40 kg, then 2000 W.",NET,Conceptual,Medium,Physics,Work and Energy
A block of mass 2 kg is attached to a spring of spring constant 100 N/m. The block is displaced by 0.2 m and released. What is its kinetic energy when it passes through the equilibrium position?,2 J,4 J,6 J,8 J,A,"Kinetic energy = 1/2 kx² = 1/2 * 100 * 0.2² = 2 J, using conservation of energy.",NET,Conceptual,Medium,Physics,Work and Energy
"A force F = 2x + 3 acts on a body, where x is in meters. What is the work done in displacing the body from x = 0 to x = 4 m?",20 J,24 J,28 J,32 J,C,Work done = ∫F dx from 0 to 4 = ∫(2x + 3) dx = [x² + 3x] from 0 to 4 = 4² + 3*4 = 16 + 12 = 28 J.,NET,Conceptual,Medium,Physics,Work and Energy
A body is thrown upwards with an initial velocity of 20 m/s. What is its kinetic energy at the highest point?,0 J,100 J,200 J,400 J,A,"At the highest point, velocity = 0, so kinetic energy = 0, using the formula for kinetic energy.",NET,Conceptual,Medium,Physics,Work and Energy
A 5 kg block is moving at 2 m/s on a frictionless surface. What is its kinetic energy?,5 J,10 J,15 J,20 J,B,"Kinetic energy = 1/2 mv² = 1/2 * 5 * 2² = 10 J, using the formula for kinetic energy.",NET,Conceptual,Medium,Physics,Work and Energy
"A spring is compressed by 0.1 m. If its spring constant is 200 N/m, what is the potential energy stored?",1 J,2 J,0.5 J,1.5 J,A,"Potential energy = 1/2 kx² = 1/2 * 200 * 0.1² = 1 J, using the formula for potential energy.",NET,Conceptual,Medium,Physics,Work and Energy
A body of mass 10 kg is lifted to a height of 5 m in 2 s. What is the average power delivered?,245.25 W,250 W,2452.5 W,2500 W,A,"Average power = mgh / t = 10 * 9.81 * 5 / 2 = 245.25 W, using g = 9.81 m/s².",NET,Conceptual,Medium,Physics,Work and Energy
A car of mass 1500 kg accelerates from 0 to 30 m/s in 10 s. What is the average power delivered?,67500 W,6750 W,675 W,67.5 W,A,"Average power = ΔKE / Δt = (1/2 * 1500 * 30²) / 10 = 67500 W, using the formula for kinetic energy.",NET,Conceptual,Medium,Physics,Work and Energy
A block is attached to a spring of spring constant 50 N/m. The block is displaced by 0.2 m and released. What is the force acting on the block at x = 0.1 m?,5 N,10 N,-5 N,-10 N,C,"Force = -kx = -50 * 0.1 = -5 N, using Hooke's Law.",NET,Conceptual,Medium,Physics,Work and Energy
A body is moving in a circular path with a constant speed. What is the work done in one revolution?,0 J,Positive,Negative,Depends on the radius,A,"Work done = 0, since the force is perpendicular to the displacement, using the formula for work done.",NET,Conceptual,Medium,Physics,Work and Energy
A 2 kg block is moving at 3 m/s. What is its momentum?,5 kg m/s,6 kg m/s,4 kg m/s,8 kg m/s,B,"Momentum = mv = 2 * 3 = 6 kg m/s, using the formula for momentum.",NET,Conceptual,Medium,Physics,Work and Energy
A force of 10 N acts on a body for 2 s. What is the impulse?,10 Ns,20 Ns,15 Ns,25 Ns,B,"Impulse = F * Δt = 10 * 2 = 20 Ns, using the formula for impulse.",NET,Conceptual,Medium,Physics,Work and Energy
A body of mass 5 kg is moving at 4 m/s. What is its kinetic energy?,20 J,40 J,60 J,80 J,B,"Kinetic energy = 1/2 mv² = 1/2 * 5 * 4² = 40 J, using the formula for kinetic energy.",NET,Conceptual,Medium,Physics,Work and Energy
A spring has a potential energy of 10 J when compressed by 0.2 m. What is its spring constant?,500 N/m,1000 N/m,200 N/m,5000 N/m,A,"1/2 kx² = 10, so k = 2*10 / 0.2² = 500 N/m, using the formula for potential energy.",NET,Conceptual,Medium,Physics,Work and Energy
A body is thrown upwards with an initial velocity of 15 m/s. What is its potential energy at the highest point?,mgh,1/2 mv²,mgh = 1/2 mv²,0,C,"At the highest point, KE = 0, and PE = initial KE = 1/2 mv² = mgh, using conservation of energy.",NET,Conceptual,Medium,Physics,Work and Energy
A 10 kg block is lifted to a height of 2 m. What is the work done?,196.2 J,200 J,150 J,250 J,A,"Work done = mgh = 10 * 9.81 * 2 = 196.2 J, using g = 9.81 m/s².",NET,Conceptual,Medium,Physics,Work and Energy
A 2 kg block is moving with 5 m/s velocity. What is its kinetic energy?,25 J,10 J,20 J,30 J,A,"Kinetic energy = 0.5 * m * v² = 0.5 * 2 * 5² = 25 J, using the formula for kinetic energy.",ECAT,Conceptual,Medium,Physics,Work and Energy
"A force of 10 N acts on a body, displacing it by 2 m. What is the work done if the force is at 60° to displacement?",10 J,20 J,15 J,5 J,A,"Work done = F * d * cos(θ) = 10 * 2 * cos(60°) = 10 J, using the formula for work done with angle.",ECAT,Conceptual,Medium,Physics,Work and Energy
A spring with spring constant 100 N/m is compressed by 0.2 m. What is the potential energy stored?,2 J,4 J,1 J,3 J,A,"Potential energy = 0.5 * k * x² = 0.5 * 100 * 0.2² = 2 J, using the formula for elastic potential energy.",ECAT,Conceptual,Medium,Physics,Work and Energy
A body of mass 5 kg is lifted to a height of 2 m. What is the work done against gravity?,98 J,100 J,90 J,110 J,A,"Work done = m * g * h = 5 * 9.8 * 2 = 98 J, using the formula for work done against gravity.",ECAT,Conceptual,Medium,Physics,Work and Energy
A 10 kg block is moving with 4 m/s velocity. What is its kinetic energy?,80 J,60 J,40 J,20 J,A,"Kinetic energy = 0.5 * m * v² = 0.5 * 10 * 4² = 80 J, using the formula for kinetic energy.",ECAT,Conceptual,Medium,Physics,Work and Energy
"A force of 20 N acts on a body, displacing it by 3 m. What is the work done if the force is at 30° to displacement?",51.96 J,60 J,50 J,40 J,A,"Work done = F * d * cos(θ) = 20 * 3 * cos(30°) = 51.96 J, using the formula for work done with angle.",ECAT,Conceptual,Medium,Physics,Work and Energy
A 5 kg body is lifted to a height of 3 m. What is the work done against gravity?,147 J,150 J,140 J,160 J,A,"Work done = m * g * h = 5 * 9.8 * 3 = 147 J, using the formula for work done against gravity.",ECAT,Conceptual,Medium,Physics,Work and Energy
A spring with spring constant 50 N/m is compressed by 0.3 m. What is the potential energy stored?,2.25 J,3 J,1.5 J,4 J,A,"Potential energy = 0.5 * k * x² = 0.5 * 50 * 0.3² = 2.25 J, using the formula for elastic potential energy.",ECAT,Conceptual,Medium,Physics,Work and Energy
A car accelerates from 0 to 30 m/s in 6 s. What is the average power delivered?,2250 W,2500 W,2000 W,3000 W,A,"Average power = ΔKE / Δt = (0.5 * m * v²) / t = (0.5 * 1000 * 30²) / 6 = 2250 W for m = 1000 kg, using the formula for average power.",ECAT,Conceptual,Medium,Physics,Work and Energy
A 2 kg block is moving with 6 m/s velocity. What is its kinetic energy?,36 J,30 J,20 J,40 J,A,"Kinetic energy = 0.5 * m * v² = 0.5 * 2 * 6² = 36 J, using the formula for kinetic energy.",ECAT,Conceptual,Medium,Physics,Work and Energy
"A force of 15 N acts on a body, displacing it by 4 m. What is the work done if the force is at 45° to displacement?",42.43 J,40 J,45 J,50 J,A,"Work done = F * d * cos(θ) = 15 * 4 * cos(45°) = 42.43 J, using the formula for work done with angle.",ECAT,Conceptual,Medium,Physics,Work and Energy
A 3 kg body is lifted to a height of 2 m. What is the work done against gravity?,58.8 J,60 J,50 J,70 J,A,"Work done = m * g * h = 3 * 9.8 * 2 = 58.8 J, using the formula for work done against gravity.",ECAT,Conceptual,Medium,Physics,Work and Energy
A spring with spring constant 200 N/m is compressed by 0.1 m. What is the potential energy stored?,1 J,2 J,0.5 J,1.5 J,A,"Potential energy = 0.5 * k * x² = 0.5 * 200 * 0.1² = 1 J, using the formula for elastic potential energy.",ECAT,Conceptual,Medium,Physics,Work and Energy
A 4 kg block is moving with 8 m/s velocity. What is its kinetic energy?,128 J,120 J,100 J,150 J,A,"Kinetic energy = 0.5 * m * v² = 0.5 * 4 * 8² = 128 J, using the formula for kinetic energy.",ECAT,Conceptual,Medium,Physics,Work and Energy
A car accelerates from 0 to 25 m/s in 5 s. What is the average power delivered?,3125 W,3000 W,2500 W,3500 W,A,"Average power = ΔKE / Δt = (0.5 * m * v²) / t = (0.5 * 1000 * 25²) / 5 = 3125 W for m = 1000 kg, using the formula for average power.",ECAT,Conceptual,Medium,Physics,Work and Energy
