Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,Which of the following terms means to reckon?,Putare,Com,Computa,Computar,A
2,The speed of communications between any two devices on the Ethernet LAN is:,10 Mbps,100 Mbps,1000 Mbps,Both A and B,D
3,"In MS Excel 2016, we can go to cell A1 by pressing:",Ctrl + Home,Home,Shift + Home,Alt + Home,A
4,What is the extension of a PowerPoint presentation file?,.pp,.xls,.ptb,None of these,D
5,An optical disk is an electronic data storage medium that can be written to and read from using a ______ beam.,high-powered laser,low-powered laser,medium-powered laser,None of these,D
6,Angular is a framework of:,Php,Javascript,Python,None,B
7,How many ways can you save a document?,3,4,5,6,A
8,A chart can be put as a part of the presentation using:,Insert -> Chart,Insert -> Pictures -> Chart,Edit -> Chart,View -> Chart,A
9,A computer program that translates one program instruction at a time into machine language is called ______?,Interpreter,CPU,Compiler,None of these,A
10,"In a Windows PC, the shortcut for saving a Word document is:",CTRL + A,CTRL + B,CTRL + S,CTRL + V,C
11,"In a computer, an element which is not a part of a chart is:",Plot area,Fill handler,Series,Chart area,B
12,The task of performing operations like arithmetic and logical operations is called:,Processing,Storing,Sorting,Editing,A
13,"In Microsoft Word, Ctrl+1 is used for which of the following?",To set 1.5 line spacing,To set 0.5 line spacing,Double line spacing,Single line spacing,D
14,Integrated circuits (ICs) were used in the ____ generation of computers:,First,Second,Third,Fourth,C
16,Single spacing in an MS Word document causes '''' point line spacing.,10,12,14,16,B
17,Google was founded on:,"Sept 4, 1998",35860,35809,36027,A
19,What is Fisheye degree view?,90 Degree,180 Degree,360 Degree,None of above,B
20,The communication protocol used by the Internet is:,HTTP,WWW,TCP/IP,FTP,C
22,Which of the following is the correct option for sending the same letter to multiple persons?,Mail merge,Macros,Template,Alignment,A
23,Maximum zoom percentage in MS PowerPoint is:,200,400,600,800,B
25,The first completely 64-bit compatible version of Android was:,Android 4.0 Ice Cream Sandwich,Android 5.0 Lollipop,Android 3.0 Honeycomb,Android 2.3 Gingerbread,B
26,Excel is a program that is used to prepare a:,Database,Text document,Spreadsheet,Workbook,C
27,The shortcut key for the next slide is?,Dot,Space,Page up,Ctrl+F4,B
28,User-developed instructions for Excel are called ____?,Program,Macros,Procedure,All of these,B
29,Which of the following is not a function in Microsoft Excel?,SUM,MAX,MIN,AVG,D
30,"In Excel, which key is used to format a number in percentage format?",Ctrl+Shift+1,Ctrl+Shift+5,Ctrl+Shift+6,Ctrl+Shift+3,B
31,"In the world of computer science, what is Linux?",A malware,An application program,A firmware,An operating system,D
32,Which key is used to create a chart in MS Excel?,F3,F5,F11,F12,C
33,Which is a valid statement?,1 MB = 1024 bytes,1 KB = 1024 bytes,1 KB = 8 bytes,1 MB = 8 KB,B
35,Which operation is commonly associated with the Clipboard?,Copy and Paste data,Creating folders,Formatting text,Creating charts,A
36,BIOS stands for:,Basic Input Output Structure,Basic Input Operating System,Basic Input Output System,None of these,C
38,Which of the following are word processing software?,WordPerfect,Wordpad,MS Word,All of above,D
39,RAM can be treated as the waiting room for the computer’s processor.,Factory,Operating room,Waiting room,Planning room,C
41,Which of the following can you use to add times to the slides in a presentation?,Microsoft graph,Microsoft Table,Microsoft Excel,Microsoft Word,C
42,Who invented the first computer?,Charles Babbage,Howard Aiken,Vint Cerf,None of these,A
44,Which one of the following is not a system software?,Utility Software,Driver,Entertainment,Operating system,C
45,Which of the following sections does not typically exist in a slide layout?,Titles,Lists,Charts,Animations,D
46,ROM stands for:,Read-Only Memory,Read Over Memory,Read Of Memory,None of these,A
47,"If you will be displaying or printing your document in Ms Word on another computer, you’ll want to make sure and select the Embed TrueType Fonts option under the ‘Save’ tab.",Embed True Type Fonts,Embed Fonts,Save True Type Fonts,Save Fonts,A
48,Which PowerPoint feature allows the user to create a simple presentation without having to spend too much time on it: ______.,AutoContent Wizard,Animation,Color Schemes,Chart Wizard,A
50,Which one of the following is an input device?,Printer,Scanner,Monitor,Speaker,B
51,_______ is the high-speed memory used in a computer.,Hard Disk,RAM,Cache,None of these,C
52,A temporary storage place for information in a computer is called a:,Back Up,Buffer,Binary file,Data recorder,B
53,"In CorelDraw, for Ungroup, we use the shortkey:",Control + U,Altr + UG,Control + Shift,Control + F,A
54,Ctrl + X Shortcut is used in Microsoft Word to:,Close Document,Close Word Application,Cut the Selected Contents,Copy the Selected Contents,C
55,The first calculator was invented by:,Gottfried Leibniz,Blaise Pascal,William Oughtred,None of these,B
57,'Which is the full form of Wi-Fi?,Wireless Fidelity,Wired Fidelity,Wireless Focus,Wireless Field,A
58,Which of the following types of table constraints will best prevent the entry of duplicate rows by uniquely identifying each row?,Primary Key,Unique,Null,Foreign Key,A
60,Which key is used for creating a chart in MS Excel?,F11,F9,F7,F4,A
61,A cursor is a:,Pointing device,Pixel,Thin blinking line,None of these,C
63,MS Word offers different views of a document. How many?,2,3,4,5,D
64,Virtual Memory is typically located in:,RAM,CPU,Hard Drive,Flash Memory,C
66,Add or Remove Programs is a(n):,Productivity software,File manager,Utility program,Device driver,C
67,Word has Web authoring tools that allow you to incorporate hyperlinks on Web pages.,Bullets,Hyperlinks,Sounds,All of the above,D
69,A computer application program that displays data arranged in rows and columns is called a:,Spreadsheet,Register,Form,Box,A
70,Which short cut key is used to save a file with two names:,Save,Save as,Copy,Paste,B
71,What is the name of programs which control the hardware of a computer?,Drivers,Operators,Connectors,None of these,A
72,"In MS Excel, the dollar sign is used to ______ data.",Fix,Update,Filter,None of these,A
73,"'In an e-mail address, the name of the email service provider comes after the _ sign:",&,@,percent,#,B
74,"In MS Word, Ctrl+U is used as an alternative to:",Clicking the icon U,Underline the selected text,Right click on the selected text and select U,None of these,B
75,A polymorphic virus changes each time it is installed to avoid detection by antivirus software.,Polymorphic virus,Worm,Logical Bomb,Trojan Horse,A
76,Which of the following is not hardware?,RAM,Hard disk,Monitor,Windows XP,D
77,Types of e-commerce are:,Business-to-Business (B2B),Consumer-to-Consumer (C2C),Business-to-Consumer (B2C),All of above,D
78,Which option in the File pull-down menu is used to close a file in MS Word?,New,Quit,Close,Exit,C
79,Which of the following is used to create newspaper-style columns in Ms Word?,Format Columns,Table -> Insert Table,Format Tabs,Insert Textbox,C
80,"In mathematics, a solution to an equation that emerges from the process of solving the problem but is not a valid solution to the problem is called an ____ solution:",Homogeneous,Heterogeneous,Extraneous,Identical,C
81,MS Excel is:,System software,Driver,Application software,None of these,C
82,Ctrl + V Shortcut is used in Microsoft Word to:,Paste Texts in the beginning of the Document,Paste Images in the beginning of the Document,Paste Tables at the middle of the Document,None of the above,D
83,"If you need to change the typeface of a document, which menu will you choose in Ms Word?",Edit,View,Format,Tool,C
84,PowerPoint is called _______ software:,Presentation,Graphic,Word processing,Spreadsheet,A
85,"In computer science, a half-byte is also known as a:",Word,Two bits,Nibble,All of these,C
86,"In MS Access, which of the following data types allows alphanumeric characters and special symbols?",Text,Memo,AutoNumber,None of these,A
87,"Operating systems, editors, and debuggers come under?",Application software,System software,Utilities,None of these,B
88,The freezing of rows and columns in Excel is in which pane?,Freezing row,Freezing column,Freezing pane,None of these,C
89,A webpage has a unique address called:,Domain name,URL,IP address,None of these,B
91,______ is not necessary while performing a mail merge operation.,Word fields,Unique fields,Super fields,Primary fields,C
92,The On/Off power button is typically located at:,Front of the device,Back of the device,Top of the device,Side of the device,A
94,What is Internet?,A single network,A collection of unrelated computers,Interconnection of local area networks,Interconnection of wide area networks,D
95,"Audio, video, and PDF files can be sent through?",Gmail,Yahoo,WhatsApp,All of these,D
97,Which option in PowerPoint allows you to carry slides from one computer to another?,Save As,Save and Go,Pack and Go,Web and Go,C
98,To edit an embedded Excel worksheet object in a Word document:,Use the Excel menu bar and toolbars inside the Word application.,Edit the hyperlink.,Edit the data in the Excel source application.,Use the Word menu bar and toolbar.,A
100,A picture is made of:,Lines,Dots,Scratches,Lightings,B
101,Which of the following should you use if you want all the slides in the presentation to have the same “look”?,The slide layout option,Add a slide option,Outline view,A presentation design template,D
103,Where can you find the Draw Table tool button in Microsoft Word?,Formatting toolbar,Drawing toolbar,Standard toolbar,Tables and Formatting toolbar,A
104,Which key is used to create a chart in MS Excel?,F6,F1,F11,None of these,C
105,"To copy a picture of the screen to the Clipboard, use:",Alt Key,Shift Key,Print Screen Key,None of these,C
107,When you delete a text box object from a slide in a PowerPoint presentation:,"The object is deleted, but the text box and the text inside are left on the slide.","The text box remains, but the text is deleted.",The text box and text are both deleted.,None of these.,C
108,"Email, Gmail, and Yahoo are:",Client server,Email server,Web server,None of these,B
110,"To search and view a Web page, the software used is ____.",Web,World Wide Web,Web Browser,Search Engine,C
111,IP stands for:,Internet Process,Internet Program,Internet Protocol,None of these,C
113,"Using the ribbon, where should you go to activate the ruler on your Document?",View >> toolbars,File >> Open,View >> Ruler,Insert >> Reference,C
114,Which of the following is not a command in the Insert tab?,Page,Table,Link,Style,D
116,"'An electronic copy of data, such as a file viewed on a computer''s display, is called:",Soft copy,Gold copy,Hard copy,Premium copy,A
117,"To stop a slideshow in MS PowerPoint, which of the following options is correct?",Press F2,Press CTRL,Press Escape,Press F5,C
118,Which of the following tabs is not present in the control panel program in the start menu?,Web,Index,Search,Content,A
119,"In MS Excel, the function to return one value if a condition is true and another value if it's false is:",IF function,SUM function,DECIMAL function,INFO function,A
120,Which of the following panes is not available in the Task Pane?,Getting started,Clip Art,WordArt,Search results,C
121,HTTPS provides a ____ communication over a computer network.,Secure,Text,Voice,Video,A
122,Which shortcut key inserts a new slide in the current presentation in PowerPoint?,Ctrl + N,Ctrl + M,Ctrl + S,All of these,B
123,What is a motion path in Powerpoint?,A type of animation entrance effect,A method of advancing slides,A method of moving items on a slide,All of the above,C
124,Cybersecurity is related to _____.,Computer,Network,Software,All of these,D
125,The first compiler was developed by:,Ada Lovelace,Grace Hopper,John Backus,Alan Turing,B
126,What happens if you press Ctrl + Shift + F8 in Microsoft Word?,It activates extended selection,It activates the rectangular selection,It selects the paragraph on which the insertion line is,None of above,B
127,ASCII stands for:,American Standard Code for Inked Information,American Standard Code for Information Inked,American Standard Code for Information Interchange,Asian Standard Code for Information Interchange,C
129,_______ computers are also called personal computers?,Mainframe,Mini,Micro,Super,C
130,The document can be zoomed a maximum of up to:,100 percent,200 percent,400 percent,500 percent,D
132,Who is the founder of the audio and video conferencing tool Zoom?,Steve Wozniak,Steve Ericson,Michele George,Eric Yuan,D
133,"In a Windows PC, the shortcut key for restoring the last action in Microsoft PowerPoint is:",Ctrl + R,Ctrl + Z,Ctrl + Y,Ctrl + O,C
135,"In MS Windows, key F1 is mostly used for:",Exit,Refresh,Help,Restart,C
136,"When the Language bar is hidden, it means that you do not see it on the screen but it will be displayed the next time you start your computer.",Restored,Hidden,Minimized,Closed,B
138,You cannot link Excel worksheet data to a Word document:,With the right drag method,With a hyperlink,With the copy and paste special commands,With the copy and paste buttons on the standard toolbar,D
139,Where is the Office Button located in MS Word?,Left Upper,Left Bottom,Right Upper,Right Bottom,A
140,There can be many ways to insert a page number in a document. Which of the following lets you insert a page number in Ms Word?,Page number from the Insert menu,Footnote from the Insert menu,Page Setup from the file menu,Both a and c,A
141,What was the first network that provides the basis for the internet?,ARAPANET,AAPARANET,ARPANET,PARA NET,C
142,"The development of the IBM PC (Personal Computer), which we use in our daily life, was led by:",Charles Babbage,Dennis Ritchie,Philip Donald Estridge,None of these,C
143,"____ is used for presenting one's own work, report, or performance.",MS Word,MS Excel,MS PowerPoint,None of these,C
144,Which of the following statements is true about Minicomputers and Microcomputers?,Minicomputer works faster than Microcomputer,Microcomputer works faster than Minicomputer,Speed of both the computers is the same,The speeds of both these computers cannot be compared with the speed of,A
145,Which of the following extensions is used in MS PowerPoint:,.docx,.xlsx,.ppt,.jpeg,C
146,A barcode reader is a/an ____ device.,Output,Input,Display,Storage,B
147,Which of the following is not character spacing?,Expanded,Raised,Condensed,Both (A and C),B
148,"In Internet terminology, IP stands for:",Internet Protocol,Internet Provider,Internet Procedure,Internet Processor,A
149,Microsoft Office Accounting is:,A tool for managing business finances,Project management software to keep track of events and to create network charts and Gantt charts,Diagram and flow-charting software,None of these,A
150,What should you do if you require pasting the same format in many places?,Double-click the format painter then go on pasting in many places,Click the format painter then go on pasting to many places holding Ctrl Key,Click the Format painter and go on pasting in many places holding Alt Key,All of the above,A
151,The Pascal programming language was invented by:,Niklaus Wirth,Blaise Pascal,Dijkstra,Donald Knuth,A
152,Every web page has a unique address called:,HTTP,URL,HTML,DNS,B
153,Which function displays row data into column or column data into a row?,Hyperlink,Index,Transpose,Rows,C
154,Which of the following is not used to access the web?,ISDN,Modem,UDP,DSL,C
155,HDD stands for:,High Density Disk,Heavy Duty Diesel,Heating Degree Days,Hard Disk Drive,D
157,Which option allows you to print multiple slides on a single page?,Handouts,Notes pages,Outlines,Slides,A
158,"In 1997, which technological design was named after a Viking king?",Modem,McAfee,Bluetooth,Microsoft,C
160,Which technology is used in compact disks?,Mechanical,Electrical,Electromagnetic,Laser,D
161,What is the number of read-write heads in the drive for a 9-track magnetic tape?,9,16,18,27,A
163,"To apply center alignment, you can press:",Ctrl+S,Ctrl+C,Ctrl+C+A,Ctrl+E,D
164,Which allows access from one cell to another:,Address,Formulas,Values,None of these,A
166,Which of the following is a popular programming language for developing multimedia webpages?,BASIC,Assembler,Java,COBOL,C
167,"In which type of computer, data are represented as discrete signals?",Analog computer,Digital computer,Both,Hybrid Computer,B
168,An email cannot be sent without:,Subject,Attachment,Receiver's email address,Message,C
169,Numeric pad is present in:,Keyboard,Mouse,Joystick,All of these,A
170,"If '=B9' is written in Excel (not as a formula), then it shows:",Fraction,Date,Table,None of these,B
171,Ctrl + B Shortcut key is used in Ms Word to:,Search the selected text,Paste the selected text,Bold the selected text,Open the specified file,C
172,"After choosing a predefined template, the Color scheme option has to be chosen to change a background color in Ms PowerPoint.",Design template,Color scheme,Animation scheme,Color effects,B
173,"Google Chrome, Mozilla Firefox, and Opera are examples of:",Web browsers,Website addresses,Internet protocols,None of these,A
174,The bar used to display the current cell and its contents is:,Menu bar,Function bar,Formula bar,Object bar,C
175,What is MS Word?,A Word Processing Software,A Spreadsheet,An Operating system,None of These,A
176,The computer that processes both analog and digital is called a:,Analog computer,Digital computer,Hybrid computer,Mainframe computer,C
177,Which of the following is not a storage medium?,Hard Disk,Flash drive,DVD,Scanner,D
179,The ____ function calculates the largest value in a set of numbers.,Average,Count,Min,Max,D
180,How many menus does a calculator in Windows have?,Three,Five,Four,Two,A
182,"To open a template in Word, first go to File and:",Click New,Click Display,Click Open,Click Search,A
183,Which of the following registers is used to keep track of the address of the memory location where the next instruction is located?,Program Counter,Memory Data Register,Instruction Register,Memory Address Register,A
185,ASP stands for:,Active Start Pages,Action Start Pages,Active Server Pages,Active Standalone Pages,C
186,"You use a(n) input device, such as a keyboard or mouse, to input information.",Output device,Input device,Storage device,Processing device,B
188,Gwadar Port was built with the help of which country:,Malaysia,China,Oman,Singapore,B
189,The Page orientation can be in ____ style.,Landscape,Portrait,Landscape & Portrait,Digit Speed Line,C
190,Personal computers use a number of chips mounted on a main circuit board. What is the common name for such boards?,Daughter board,Motherboard,Father board,Breadboard,B
191,Which one is not a nickname of a version of Android?,Honeycomb,Cupcake,Gingerbread,Muffin,D
192,"MS Office provides help in many ways, which of these is one of them?",Help menu,What is this?,Office Assistant,All of the above,D
193,Which key deletes the character to the left of the cursor?,End,Backspace,Home,Delete,B
194,"In MS Excel, which function automatically totals a column or row of values?",Total,ADD,SUM,AVG,C
195,Where is the Computer BIOS stored?,DRAM,Flash,SRAM,None of these,B
196,A digitizer is also referred to as a:,Digital audio player,Digital video editor,Input Device,None of these,C
198,Which of these terms refers to the sharpness or clarity of an image?,Width,Resolution,Dot pitch,Depth,B
199,"In power point, the header and footer button can be found on the insert tab in which group?",Illustrations group,Object group,Text group,Tables group,C
201,Which of the following is not a part of the Control Panel?,My Documents,Display,Date and Time,None of these,A
202,We can find any and every command on the:,Menu bar,Standard toolbar,Formatting toolbar,Drawing toolbar,A
203,Which key do you press while clicking to select more than one file or folder?,Ctrl,Shift,Alt,None of these,A
204,Disk and tape drives are commonly used:,Hard copy,Soft copy,Secondary storage devices,None of the above,C
205,"When a logic bomb is activated by a time-related event, it is known as a:",Time-related bomb sequence,Virus,Time bomb,Trojan horse,C
207,The process of removing an unwanted part of an image is called:,Hiding,Cutting,Cropping,Bordering,C
208,A computer has better performance than a mechanical calculator due to:,Speed,Versatility,Storage,Accuracy,A
210,An executable program is one that is ready to run and does not need to be altered in any way.,Interpreter,High level,Compiler,Executable,D
211,Which of the following is a case that contains the electronic components of the computer used to process data?,System unit,Master section,Control port,Computer chip,A
213,The first page of any website is called:,Desktop,Home page,Web page,Open page,B
214,Which of the following can NOT be used to create a parallel style column?,Format Tabs,Table Insert Table,Insert Textbox,Format Columns,D
216,What is the shortcut key for “Justify Align” the selected text?,Ctrl + J,Ctrl + Shift + J,Ctrl + E,None of these,A
217,Ctrl + Backspace is the shortcut key to display the active cell in Excel.,Shift + Backspace,Ctrl + Backspace,Alt + Backspace,None,B
219,"Related to computers, what is ‘Wetware’?",Computer programs,Circuitry,Human brain,Chemical storage devices,C
220,You can use the format painter multiple times before you turn it off by ____.,You can use the format painter button only one time when you click it,Double-clicking the format painter button,Pressing the Ctrl key and clicking the format painter button,None of these,B
222,What is the purpose of inserting a header and footer in a document?,To enhance the overall appearance of the document,To mark the starting and ending of a page,To make a large document more readable,To allow page headers and footers to appear on the document when printed,D
