Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"When converting direct speech to indirect speech, the verb tense changes from present simple to",past simple,past perfect,present continuous,past continuous,A,The verb tense changes from present simple to past simple in indirect speech. Option B is incorrect because it changes to past perfect only when the direct speech is in present perfect or past simple.,Tense Changes,Easy,English,Direct and Indirect Speech
"The teacher said, 'The sun rises in the east.' Which of the following is the correct indirect form?",The teacher said that the sun rises in the east.,The teacher said that the sun rose in the east.,The teacher told that the sun rises in the east.,The teacher said that the sun has risen in the east.,A,Universal truths remain in the present tense in indirect speech. Option B is incorrect because it unnecessarily changes the tense.,Universal Truths,Medium,English,Direct and Indirect Speech
"She said, 'I will meet you tomorrow.' What is the correct indirect form?",She said that she will meet me tomorrow.,She said that she would meet me the next day.,She said that she will meet me the next day.,She said that she would meet me tomorrow.,B,"In indirect speech, 'will' changes to 'would' and 'tomorrow' changes to 'the next day'.",Tense and Time Changes,Medium,English,Direct and Indirect Speech
"The correct indirect form of 'He said, ""I have eaten breakfast.""' is",He said that he has eaten breakfast.,He said that he had eaten breakfast.,He said that he ate breakfast.,He said that he is eating breakfast.,B,"In indirect speech, present perfect tense changes to past perfect tense. Option A is incorrect because it doesn't change the tense.",Tense Changes,Easy,English,Direct and Indirect Speech
The pronoun 'I' in direct speech changes to,he/she,you,we,they,A,'I' changes to 'he' or 'she' depending on the subject in indirect speech. Option B is incorrect because 'I' doesn't change to 'you'.,Pronoun Changes,Easy,English,Direct and Indirect Speech
"The sentence 'The manager said, ""The meeting is scheduled for Friday.""' in indirect speech becomes",The manager said that the meeting was scheduled for Friday.,The manager said that the meeting is scheduled for Friday.,The manager said the meeting is scheduled for that Friday.,The manager said that the meeting had been scheduled for Friday.,B,"If the statement is still relevant or true, the tense may not change in indirect speech. Option A is incorrect because it changes the tense unnecessarily.",Tense Changes,Medium,English,Direct and Indirect Speech
"In indirect speech, the imperative sentence 'Close the door' becomes",to close the door,close the door,closed the door,closing the door,A,Imperative sentences change to infinitive form in indirect speech. Option B is incorrect because it remains in the imperative form.,Imperative Sentences,Easy,English,Direct and Indirect Speech
"The correct indirect form of the sentence 'She exclaimed, ""What a beautiful day!""' is",She exclaimed that it was a beautiful day.,She exclaimed that what a beautiful day it was.,She exclaimed that it is a beautiful day.,She exclaimed what a beautiful day it was.,D,"Exclamatory sentences change to a statement in indirect speech, often losing 'what' or 'how'. Option B is incorrect because it retains 'what' unnecessarily.",Exclamatory Sentences,Hard,English,Direct and Indirect Speech
"The sentence 'The teacher asked, ""Are you ready?""' becomes",The teacher asked if I was ready.,The teacher asked if I am ready.,The teacher asked are you ready.,The teacher asked if you are ready.,A,"In indirect speech, the verb tense changes and the pronoun is adjusted according to the subject. Option B is incorrect because it doesn't change the tense.",Interrogative Sentences,Medium,English,Direct and Indirect Speech
"The indirect form of 'He said, ""I am going to the market.""' is",He said that he is going to the market.,He said that he was going to the market.,He said he goes to the market.,He said he went to the market.,B,The present continuous tense changes to past continuous in indirect speech. Option A is incorrect because it doesn't change the tense.,Tense Changes,Easy,English,Direct and Indirect Speech
The phrase 'this' in direct speech changes to,that,these,those,this,A,'This' changes to 'that' in indirect speech. Option D is incorrect because 'this' doesn't remain the same.,Pronoun Changes,Easy,English,Direct and Indirect Speech
"The sentence 'She said, ""I will have finished my work by tomorrow.""' becomes",She said that she will have finished her work by tomorrow.,She said that she would have finished her work by the next day.,She said that she will finish her work by tomorrow.,She said that she is going to finish her work by tomorrow.,B,Future perfect tense changes to conditional perfect tense and 'tomorrow' changes to 'the next day'.,Tense and Time Changes,Hard,English,Direct and Indirect Speech
"The indirect form of 'The guide said, ""The hotel is just a mile from here.""' is",The guide said that the hotel was just a mile from there.,The guide said that the hotel is just a mile from here.,The guide said the hotel was just a mile away.,The guide said the hotel is just a mile from there.,A,"In indirect speech, 'is' changes to 'was' and 'here' changes to 'there'. Option B is incorrect because it doesn't change 'here' to 'there'.",Tense and Place Changes,Medium,English,Direct and Indirect Speech
"The sentence 'The boy said, ""I have been studying since morning.""' becomes",The boy said that he has been studying since morning.,The boy said that he had been studying since morning.,The boy said that he is studying since morning.,The boy said that he was studying since morning.,B,Present perfect continuous tense changes to past perfect continuous tense in indirect speech. Option A is incorrect because it doesn't change the tense.,Tense Changes,Medium,English,Direct and Indirect Speech
"The correct indirect form of 'The teacher commanded, ""Stand up!""' is",The teacher commanded to stand up.,The teacher commanded that the students should stand up.,The teacher commanded the students to stand up.,The teacher commanded the students stand up.,C,"Imperative sentences change to infinitive form in indirect speech, often with an object. Option A is incorrect because it lacks the object.",Imperative Sentences,Medium,English,Direct and Indirect Speech
"The sentence 'The man said, ""I was born in 1980.""' becomes",The man said that he was born in 1980.,The man said that he is born in 1980.,The man said he has been born in 1980.,The man said he born in 1980.,A,Past simple tense remains the same or changes to past perfect tense in indirect speech. Option B is incorrect because it doesn't change the tense.,Tense Changes,Easy,English,Direct and Indirect Speech
"The indirect form of 'She asked, ""Can you help me?""' is",She asked if I could help her.,She asked if I can help her.,She asked can you help me.,She asked if you can help her.,A,"In indirect speech, 'can' changes to 'could' and pronouns are adjusted. Option B is incorrect because it doesn't change 'can' to 'could'.",Interrogative Sentences,Medium,English,Direct and Indirect Speech
"The sentence 'The tourist asked, ""Where is the museum?""' becomes",The tourist asked where the museum is.,The tourist asked where the museum was.,The tourist asked where is the museum.,The tourist inquired the museum's location.,B,"In indirect speech, the verb tense changes and the word order is adjusted. Option A is incorrect because it doesn't change the tense.",Interrogative Sentences,Medium,English,Direct and Indirect Speech
"The sentence 'The child exclaimed, ""What fun we are having!""' becomes",The child exclaimed that what fun they were having.,The child exclaimed what fun they were having.,The child exclaimed that they were having fun.,The child exclaimed that they are having fun.,B,"Exclamatory sentences change to statements in indirect speech, often losing 'what' or retaining the exclamatory sense. Option A is incorrect because it retains 'what' unnecessarily.",Exclamatory Sentences,Hard,English,Direct and Indirect Speech
"The indirect form of 'The officer said, ""The meeting will start at 5 PM.""' is",The officer said that the meeting will start at 5 PM.,The officer said that the meeting would start at 5 PM.,The officer said the meeting starts at 5 PM.,The officer said that the meeting is going to start at 5 PM.,B,Future simple tense changes to conditional tense in indirect speech. Option A is incorrect because it doesn't change 'will' to 'would'.,Tense Changes,Easy,English,Direct and Indirect Speech
"The teacher said, ""The sun rises in the east."" Identify the error in converting it to indirect speech.",The teacher said that the sun rises in the east.,The teacher said that the sun rose in the east.,The teacher told that the sun rises in the east.,The teacher stated that the sun rises in the east.,C,"Error in 'told that'; 'told' requires an object, correct usage is 'said that'.",Reporting Verbs,Medium,English,Direct and Indirect Speech
"She exclaimed, ""What a beautiful day it is!"" The correct indirect speech is?",She exclaimed that it was a beautiful day.,She exclaimed it was a beautiful day.,She exclaimed that it is a beautiful day.,She said that it was a very beautiful day.,A,Correct conversion maintains exclamatory tone and changes verb tense.,Exclamatory Sentences,Easy,English,Direct and Indirect Speech
"The sentence ""He said, 'I will go tomorrow'"" in indirect speech becomes?",He said that he will go tomorrow.,He said that he would go the next day.,He said that he will go the next day.,He said he will go the following day.,B,Tense and time expressions change according to indirect speech rules.,Tense Changes,Medium,English,Direct and Indirect Speech
"The teacher commanded, ""Do your homework."" The correct indirect form is?",The teacher commanded that they do their homework.,The teacher commanded to do the homework.,The teacher ordered them to do their homework.,The teacher commanded that they should do homework.,C,Commanding someone is correctly converted using 'ordered to'.,Imperative Sentences,Easy,English,Direct and Indirect Speech
"The correct indirect speech for ""She asked, 'Are you coming?'"" is?",She asked if I was coming.,She asked are you coming.,She asked if you were coming.,She inquired if you are coming.,A,'Asked' is correctly followed by 'if' and a change in pronoun and tense.,Interrogative Sentences,Medium,English,Direct and Indirect Speech
"The principal said, ""The school will close on Friday."" The indirect speech is?",The principal said that the school will close on Friday.,The principal announced that the school would close on Friday.,The principal said the school would close on that Friday.,The principal said that the school would close on Friday.,D,Future tense changes to conditional in indirect speech.,Future Tense Changes,Easy,English,Direct and Indirect Speech
"The sentence ""'I have done my work,' she said"" becomes?",She said that she has done her work.,She said that she had done her work.,She said she has done her work.,She said that she is doing her work.,B,Present perfect tense changes to past perfect in indirect speech.,Tense Changes,Medium,English,Direct and Indirect Speech
"The teacher said, ""The capital of Pakistan is Islamabad."" In indirect speech, it becomes?",The teacher said that the capital of Pakistan is Islamabad.,The teacher said that the capital of Pakistan was Islamabad.,The teacher told that the capital of Pakistan is Islamabad.,The teacher stated the capital of Pakistan is Islamabad.,A,Universal truths remain in present tense in indirect speech.,Universal Truths,Easy,English,Direct and Indirect Speech
"The sentence ""He said to me, 'I am your friend'"" in indirect speech is?",He told me that he is my friend.,He said to me that he was my friend.,He told me that he was my friend.,He said that he is my friend.,C,Told requires an object and tense changes in indirect speech.,Reporting Verbs with Objects,Medium,English,Direct and Indirect Speech
"The boy said, ""I didn't break the glass."" The indirect speech is?",The boy said that he didn't break the glass.,The boy said that he had not broken the glass.,The boy denied breaking the glass.,The boy denied that he broke the glass.,B,Past simple tense changes to past perfect in indirect speech.,Tense Changes,Medium,English,Direct and Indirect Speech
"The correct indirect form of ""'Let's go,' he suggested"" is?",He suggested that they should go.,He suggested to go.,He suggested that they go.,He suggested going.,A,Suggestions are correctly converted using 'suggested that they should'.,Suggestions,Hard,English,Direct and Indirect Speech
"The teacher advised, ""Work hard to succeed."" The indirect speech is?",The teacher advised to work hard to succeed.,The teacher advised that they should work hard to succeed.,The teacher advised them to work hard to succeed.,The teacher advised working hard to succeed.,C,Advising someone is correctly converted using 'advised to'.,Imperative Sentences,Easy,English,Direct and Indirect Speech
"The sentence ""The guide said, 'The hotel is on your left'"" becomes?",The guide said that the hotel is on your left.,The guide said that the hotel was on your left.,The guide told me that the hotel was on my left.,The guide said the hotel is on my left.,C,Pronoun and tense changes according to indirect speech rules.,Pronoun Changes,Medium,English,Direct and Indirect Speech
"The sentence ""'I will be there at 5,' she promised"" in indirect speech is?",She promised that she will be there at 5.,She promised that she would be there at 5.,She promised to be there at 5.,She promised being there at 5.,B,Promises change future tense to conditional in indirect speech.,Promises,Easy,English,Direct and Indirect Speech
"The sentence ""The teacher asked, 'Have you finished your work?'"" becomes?",The teacher asked if I had finished my work.,The teacher asked if you have finished your work.,The teacher asked if you had finished your work.,The teacher inquired if you have finished your work.,A,Question changes to statement with 'if' and tense and pronoun changes.,Interrogative Sentences,Medium,English,Direct and Indirect Speech
"The sentence ""'I can do it,' he boasted"" in indirect speech is?",He boasted that he can do it.,He boasted that he could do it.,He boasted he is able to do it.,He boasted of doing it.,B,Boasting changes 'can' to 'could' in indirect speech.,Boasts and Claims,Hard,English,Direct and Indirect Speech
"The sentence ""The teacher said, 'Practice makes perfect'"" becomes?",The teacher said that practice makes perfect.,The teacher said that practice made perfect.,The teacher stated practice makes perfect.,The teacher said practice makes perfect.,A,Proverbs remain in present tense in indirect speech.,Proverbs,Easy,English,Direct and Indirect Speech
"The sentence ""'Don't be late,' she warned"" becomes?",She warned not to be late.,She warned them not to be late.,She warned that they shouldn't be late.,She warned them against being late.,B,Warning someone is correctly converted using 'warned not to'.,Warnings,Medium,English,Direct and Indirect Speech
