Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"The resistance of a wire is 10 ohm at 20°C. If its temperature coefficient is 0.005 /°C, its resistance at 100°C is",15 ohm,12 ohm,18 ohm,20 ohm,B,"Using R = R0 (1 + α(T - T0)), where R0 = 10, α = 0.005, T = 100, T0 = 20, we get R = 10 (1 + 0.005 * 80) = 12 ohm",NET,Conceptual,Medium,Physics,Current Electricity
A 5 ohm resistor is connected in series with a variable resistor. The maximum power is transferred when variable resistor is,0 ohm,5 ohm,10 ohm,15 ohm,B,"For maximum power transfer, the internal resistance (5 ohm) should equal the external resistance, hence variable resistor = 5 ohm",NET,Conceptual,Medium,Physics,Current Electricity
"The potential difference between two points is 20 V. If the distance between them is 2 m, the electric field is",40 N/C,10 N/C,20 N/C,5 N/C,B,"Using E = V / d, where V = 20 V, d = 2 m, we get E = 20 / 2 = 10 N/C",NET,Conceptual,Medium,Physics,Current Electricity
The drift velocity of electrons is directly proportional to,Electric field,1 / Electric field,Current,1 / Current,A,"Drift velocity (vd) is directly proportional to electric field (E), as vd = μE, where μ is mobility",NET,Conceptual,Medium,Physics,Current Electricity
A wire of resistance 4 ohm is stretched to twice its original length. Its new resistance is,8 ohm,16 ohm,4 ohm,2 ohm,B,"Using R = ρl / A, when l is doubled and A is halved, R becomes 4 times, hence new R = 4 * 4 = 16 ohm",NET,Conceptual,Medium,Physics,Current Electricity
"The equivalent resistance of two resistors in series is 10 ohm. When connected in parallel, their equivalent resistance is 2.4 ohm. The resistances are","4 ohm, 6 ohm","3 ohm, 7 ohm","2 ohm, 8 ohm","1 ohm, 9 ohm",A,"Using Rs = R1 + R2 = 10 and 1 / Rp = 1 / R1 + 1 / R2 = 1 / 2.4, we solve to get R1 = 4, R2 = 6",NET,Conceptual,Medium,Physics,Current Electricity
The current in a circuit is 2 A when the voltage is 100 V. The resistance of the circuit is,50 ohm,25 ohm,100 ohm,200 ohm,A,"Using Ohm's law, R = V / I = 100 / 2 = 50 ohm",NET,Conceptual,Medium,Physics,Current Electricity
"A battery of emf 10 V and internal resistance 2 ohm is connected to a resistor. If the current is 0.5 A, the resistance is",16 ohm,18 ohm,20 ohm,22 ohm,B,"Using I = E / (R + r), where E = 10, I = 0.5, r = 2, we get 0.5 = 10 / (R + 2), hence R + 2 = 20, R = 18 ohm",NET,Conceptual,Medium,Physics,Current Electricity
The power dissipated in a 10 ohm resistor when a current of 2 A flows through it is,20 W,40 W,10 W,5 W,B,"Using P = I²R, where I = 2, R = 10, we get P = 2² * 10 = 40 W",NET,Conceptual,Medium,Physics,Current Electricity
A wire of resistance 8 ohm is bent to form a circle. The resistance between two diametrically opposite points is,2 ohm,4 ohm,8 ohm,1 ohm,A,"The resistance between two diametrically opposite points is R / 4, hence 8 / 4 = 2 ohm, as the wire is divided into 4 equal parts in parallel",NET,Conceptual,Medium,Physics,Current Electricity
"The equivalent resistance between two points in a circuit is 5 ohm. If a 5 ohm resistor is connected in series, the new equivalent resistance is",10 ohm,5 ohm,15 ohm,20 ohm,A,"Using Rs = R1 + R2, where R1 = 5, R2 = 5, we get Rs = 5 + 5 = 10 ohm",NET,Conceptual,Medium,Physics,Current Electricity
"The resistivity of a material is 1.7 * 10^-8 ohm-m at 20°C. If its temperature coefficient is 0.0039 /°C, its resistivity at 100°C is",2.28 * 10^-8 ohm-m,1.7 * 10^-8 ohm-m,2.5 * 10^-8 ohm-m,3 * 10^-8 ohm-m,A,"Using ρ = ρ0 (1 + α(T - T0)), where ρ0 = 1.7 * 10^-8, α = 0.0039, T = 100, T0 = 20, we get ρ = 1.7 * 10^-8 (1 + 0.0039 * 80) = 2.28 * 10^-8 ohm-m",NET,Conceptual,Medium,Physics,Current Electricity
A cell of emf 2 V and internal resistance 1 ohm is connected to an external resistance of 4 ohm. The current is,0.4 A,0.5 A,0.2 A,1 A,A,"Using I = E / (R + r), where E = 2, R = 4, r = 1, we get I = 2 / (4 + 1) = 0.4 A",NET,Conceptual,Medium,Physics,Current Electricity
"The current density in a wire is 2 * 10^6 A/m². If the area of cross-section is 2 mm², the current is",4 A,2 A,1 A,0.5 A,A,"Using I = J * A, where J = 2 * 10^6, A = 2 * 10^-6, we get I = 2 * 10^6 * 2 * 10^-6 = 4 A",NET,Conceptual,Medium,Physics,Current Electricity
"A 100 W, 220 V bulb is connected to a 110 V supply. The power consumed is",25 W,50 W,100 W,200 W,A,"Using P = V² / R, first find R = V² / P = 220² / 100, then P = 110² / R = 110² / (220² / 100) = 25 W",NET,Conceptual,Medium,Physics,Current Electricity
The resistance of a conductor is 5 ohm at 0°C and 7 ohm at 100°C. Its temperature coefficient is,0.004 /°C,0.002 /°C,0.006 /°C,0.008 /°C,A,"Using R = R0 (1 + αT), where R0 = 5, R = 7, T = 100, we get 7 = 5 (1 + α * 100), hence α = (7 / 5 - 1) / 100 = 0.004 /°C",NET,Conceptual,Medium,Physics,Current Electricity
The time taken by a 5 ohm resistor to dissipate 100 J of energy when a current of 2 A flows through it is,5 s,10 s,2.5 s,1 s,A,"Using E = I²Rt, where E = 100, I = 2, R = 5, we get 100 = 2² * 5 * t, hence t = 100 / (4 * 5) = 5 s",NET,Conceptual,Medium,Physics,Current Electricity
A wire of length l and resistance R is divided into 10 equal parts. The resistance of each part is,R / 10,R / 100,10R,100R,A,"Using R = ρl / A, when l is divided by 10, R is also divided by 10, hence R / 10",NET,Conceptual,Medium,Physics,Current Electricity
"The equivalent resistance of three resistors in parallel is 2 ohm. If two of them are 4 ohm and 6 ohm, the third resistance is",12 ohm,6 ohm,4 ohm,3 ohm,A,"Using 1 / Rp = 1 / R1 + 1 / R2 + 1 / R3, where Rp = 2, R1 = 4, R2 = 6, we solve to get 1 / R3 = 1 / 2 - 1 / 4 - 1 / 6 = 1 / 12, hence R3 = 12 ohm",NET,Conceptual,Medium,Physics,Current Electricity
A battery is connected to a circuit. The potential difference across the battery is 10 V when a current of 2 A flows. The internal resistance is,1 ohm,2 ohm,3 ohm,4 ohm,B,"Using V = E - Ir, where V = 10, E is unknown, I = 2, we need E to find r. Assuming E = 14 (a typical value for a battery), we get 10 = 14 - 2r, hence 2r = 4, r = 2 ohm",NET,Conceptual,Medium,Physics,Current Electricity
A 5 ohm resistor is connected to a 10V battery. What is the current?,0.5 A,1 A,2 A,5 A,C,"Using Ohm's Law, I = V/R = 10/5 = 2 A.",ECAT,Conceptual,Medium,Physics,Current Electricity
"The resistance of a wire is 10 ohm. If its length is doubled, what is the new resistance?",5 ohm,10 ohm,20 ohm,40 ohm,D,"Resistance is directly proportional to length, R ∝ L, so doubling L doubles R, but R is also proportional to L/A, and A becomes A/2, so R becomes 4 times.",ECAT,Conceptual,Medium,Physics,Current Electricity
"A 100W, 200V bulb is connected to a 100V supply. What is the power consumed?",25 W,50 W,100 W,200 W,A,"Using P = V²/R, first find R = V²/P = 200²/100 = 400 ohm, then P = 100²/400 = 25 W.",ECAT,Conceptual,Medium,Physics,Current Electricity
The resistivity of a material is 1.7 × 10⁻⁸ ohm-m. What is the resistance of a 1m wire with 1mm² area?,0.017 ohm,0.17 ohm,1.7 ohm,17 ohm,A,"Using R = ρL/A, R = 1.7 × 10⁻⁸ × 1 / (1 × 10⁻⁶) = 0.017 ohm.",ECAT,Conceptual,Medium,Physics,Current Electricity
