Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"If sin(A) = 1/2 and cos(B) = 1/2, what is sin(A + B)?",1,0, 1/2,√3/2,B,"Using sin(A + B) = sin(A)cos(B) + cos(A)sin(B), we find sin(A + B) = 1/2 * 1/2 + √3/2 * √3/2 = 1/2 + 3/4 = 0 + 3/4 - 1/4 = 1/2 + 1/2 = 1, but here A = 30° and B = 60° or vice versa, so sin(A + B) = sin(90°) = 1, however, if A = B = 30°, then sin(60°) = √3/2. For A = 30° and B = 60°, cos(A) = √3/2, sin(B) = √3/2. So, sin(30° + 60°) = sin(30°)cos(60°) + cos(30°)sin(60°) = 1/2 * 1/2 + √3/2 * √3/2 = 1.",NET,Conceptual,Medium,Mathematics,Trigonometric Identities
What is the value of tan(45° + 30°)?,(√3 + 1)/(√3 - 1),(√3 - 1)/(√3 + 1),2 + √3,2 - √3,C,"Using tan(A + B) = (tan(A) + tan(B))/(1 - tan(A)tan(B)), we get tan(75°) = (1 + 1/√3)/(1 - 1/√3) = (√3 + 1)/(√3 - 1) = 2 + √3.",NET,Conceptual,Medium,Mathematics,Trigonometric Identities
Simplify: sin(2x)/2sin(x),cos(x),sin(x),tan(x),cot(x),A,"Using the double-angle identity sin(2x) = 2sin(x)cos(x), we simplify to cos(x).",NET,Conceptual,Medium,Mathematics,Trigonometric Identities
"If cos(x) = 3/5, what is cos(2x)?", 7/25,-7/25, 17/25,-17/25,A,"Using cos(2x) = 2cos²(x) - 1, we find cos(2x) = 2(3/5)² - 1 = 2(9/25) - 1 = 18/25 - 25/25 = -7/25.",NET,Conceptual,Medium,Mathematics,Trigonometric Identities
What is the value of sin(15°)?,(√6 + √2)/4,(√6 - √2)/4,(√3 + 1)/2√2,(√3 - 1)/2√2,B,"Using sin(A - B) = sin(A)cos(B) - cos(A)sin(B), sin(15°) = sin(45° - 30°) = sin(45°)cos(30°) - cos(45°)sin(30°) = (√2/2)(√3/2) - (√2/2)(1/2) = (√6 - √2)/4.",NET,Conceptual,Medium,Mathematics,Trigonometric Identities
Simplify: (1 + tan²(x))/sec²(x),1,sin²(x),cos²(x),tan²(x),A,"Since 1 + tan²(x) = sec²(x), the expression simplifies to sec²(x)/sec²(x) = 1.",NET,Conceptual,Medium,Mathematics,Trigonometric Identities
What is the value of cos(105°)?,(√2 - √6)/4,(√2 + √6)/4,(√6 - √2)/4,-(√6 + √2)/4,A,"Using cos(A + B) = cos(A)cos(B) - sin(A)sin(B), cos(105°) = cos(60° + 45°) = cos(60°)cos(45°) - sin(60°)sin(45°) = (1/2)(√2/2) - (√3/2)(√2/2) = (√2 - √6)/4.",NET,Conceptual,Medium,Mathematics,Trigonometric Identities
Simplify: sin(x)cos(3x) + cos(x)sin(3x),sin(4x),sin(2x),cos(4x),cos(2x),A,"Using sin(A + B) = sin(A)cos(B) + cos(A)sin(B), the expression simplifies to sin(x + 3x) = sin(4x).",NET,Conceptual,Medium,Mathematics,Trigonometric Identities
"If sin(x) = 1/3, what is sin(2x)?",4√2/9,2√2/9,√2/3, 2/3,A,"Using sin(2x) = 2sin(x)cos(x) and cos(x) = √(1 - sin²(x)), we find cos(x) = √(1 - (1/3)²) = √(8/9) = 2√2/3, so sin(2x) = 2(1/3)(2√2/3) = 4√2/9.",NET,Conceptual,Medium,Mathematics,Trigonometric Identities
What is the value of tan(22.5°)?,√2 - 1,√2 + 1,1 - √2,1 + √2,A,"Using tan(A/2) = (1 - cos(A))/sin(A), tan(22.5°) = tan(45°/2) = (1 - cos(45°))/sin(45°) = (1 - √2/2)/(√2/2) = √2 - 1.",NET,Conceptual,Medium,Mathematics,Trigonometric Identities
