Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"At a given temperature, what is the term for the pressure exerted by the molecules of a liquid that have escaped into the vapor phase?",Vapor pressure,Atmospheric pressure,Boiling point,Surface tension,A,Vapor pressure is the pressure exerted by vapor molecules; atmospheric pressure is unrelated to the liquid's vapor.,Vapor Pressure,Easy,Chemistry,Liquids
"What property of a liquid is responsible for its resistance to an external force, such as spreading or penetration?",Viscosity,Surface tension,Density,Boiling point,B,Surface tension causes a liquid to behave as if it has an 'elastic skin' at its surface; viscosity is related to flow.,Surface Tension,Easy,Chemistry,Liquids
Which of the following liquids will have the highest vapor pressure at a given temperature?,Liquid with strong intermolecular forces,Liquid with weak intermolecular forces,Liquid with high boiling point,Liquid with high viscosity,B,"Weak intermolecular forces mean molecules can escape more easily, increasing vapor pressure; strong forces reduce vapor pressure.",Vapor Pressure,Medium,Chemistry,Liquids
Why does the boiling point of a liquid increase with an increase in external pressure?,More energy is required to overcome intermolecular forces,Increased pressure reduces intermolecular forces,"External pressure pushes molecules together, increasing boiling point",Higher pressure allows more molecules to escape,C,"External pressure increases the energy needed for molecules to escape, thus raising the boiling point; intermolecular forces are not directly affected.",Boiling Point,Medium,Chemistry,Liquids
The normal boiling point of a liquid is the temperature at which its vapor pressure equals,1 atm,2 atm,0.5 atm,The critical pressure,A,Normal boiling point is defined at 1 atm; other pressures define different boiling points.,Boiling Point,Easy,Chemistry,Liquids
Surface tension is responsible for which of the following phenomena?,Spreading of a liquid on a surface,Formation of spherical droplets,Increased viscosity,Decreased boiling point,B,"Surface tension minimizes the surface area, forming spherical droplets; spreading is related to surface tension but is not the same.",Surface Tension,Medium,Chemistry,Liquids
"What is the term for the temperature above which a liquid cannot exist, no matter how much pressure is applied?",Critical temperature,Boiling point,Melting point,Triple point,A,"Critical temperature is the maximum temperature for a liquid; above it, the substance is a gas; boiling point is pressure-dependent.",Critical Temperature,Easy,Chemistry,Liquids
The viscosity of a liquid typically,Increases with temperature,Decreases with temperature,Remains constant with temperature,Is independent of intermolecular forces,B,Viscosity decreases as temperature increases because molecules move more freely; strong intermolecular forces increase viscosity.,Viscosity,Medium,Chemistry,Liquids
"For a given liquid, the viscosity is affected by",Intermolecular forces,Molecular weight,Both A and B,Neither A nor B,C,Both intermolecular forces and molecular weight affect viscosity; stronger forces and larger molecules increase viscosity.,Viscosity,Medium,Chemistry,Liquids
A liquid's ability to wet a surface is related to its,Surface tension,Viscosity,Density,Adhesive forces,D,Adhesive forces between the liquid and surface determine wetting; surface tension affects the liquid's behavior on the surface.,Surface Tension and Wetting,Medium,Chemistry,Liquids
The enthalpy of vaporization is the energy required to,Melt a solid,Vaporize a liquid,Sublime a solid,Change the temperature of a liquid,B,Enthalpy of vaporization is the energy needed to vaporize a liquid; melting and sublimation are different processes.,Enthalpy of Vaporization,Easy,Chemistry,Liquids
Liquids with high intermolecular forces tend to have,Low boiling points,High boiling points,Low viscosity,Low surface tension,B,"Strong intermolecular forces require more energy to overcome, thus increasing the boiling point; viscosity and surface tension are also affected.",Intermolecular Forces,Medium,Chemistry,Liquids
The process by which a liquid transforms into vapor at its boiling point is called,Evaporation,Boiling,Sublimation,Condensation,B,Boiling occurs at the boiling point; evaporation occurs at the surface below the boiling point; sublimation is a solid-to-gas transition.,Boiling,Easy,Chemistry,Liquids
"At the critical temperature, the distinction between the liquid and vapor phases",Becomes more pronounced,Disappears,Remains unchanged,Is unaffected by pressure,B,"At the critical temperature, the liquid and vapor phases become indistinguishable; this is a defining characteristic.",Critical Temperature,Hard,Chemistry,Liquids
Which property of a liquid is a measure of its resistance to flow?,Viscosity,Surface tension,Density,Vapor pressure,A,Viscosity measures the resistance to flow; surface tension is related to the 'skin' on the liquid's surface.,Viscosity,Easy,Chemistry,Liquids
"As external pressure on a liquid increases, its boiling point",Decreases,Increases,Remains the same,Is unaffected,B,"Increased external pressure requires more energy for the liquid to boil, thus increasing the boiling point.",Boiling Point,Easy,Chemistry,Liquids
The phenomenon where a liquid flows through a narrow tube without the need for pressure is known as,Capillary action,Viscosity,Surface tension,Diffusion,A,Capillary action is driven by the combination of adhesive and cohesive forces; it's not directly related to viscosity or diffusion.,Capillary Action,Medium,Chemistry,Liquids
Liquids with low intermolecular forces generally have,High boiling points,Low vapor pressures,Low viscosities,High surface tensions,C,"Low intermolecular forces result in lower viscosity because the molecules can move more freely; boiling point, vapor pressure, and surface tension are also affected.",Intermolecular Forces,Hard,Chemistry,Liquids
The boiling behavior of a liquid under reduced pressure is characterized by,Increased boiling point,Decreased boiling point,No change in boiling point,Increased viscosity,B,Reduced pressure decreases the boiling point because less energy is needed for molecules to escape; viscosity is not directly related.,Boiling Point,Medium,Chemistry,Liquids
"For most liquids, as the temperature increases, the viscosity",Increases,Decreases,Remains constant,Becomes infinite,B,"Increasing temperature provides more energy for molecules to move, reducing viscosity; most liquids follow this trend.",Viscosity,Easy,Chemistry,Liquids
A liquid exerts a surface tension force of 0.08 N over a length of 0.1 m. Calculate the surface tension.,0.008 N/m,0.08 N/m,0.8 N/m,8 N/m,C,Surface tension is force divided by length. Option B is force without division by length.,Surface Tension Calculation,Easy,Chemistry,Liquids
