Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
Which database model organizes data into tables with well-defined schemas?,Hierarchical,Relational,Network,Object-Oriented,B,"Relational databases organize data into tables with well-defined schemas, using primary and foreign keys to establish relationships.",NET,Conceptual,Medium,Computer_Science,Databases
What is the purpose of indexing in databases?,To improve data integrity,To enhance query performance,To ensure data consistency,To reduce storage space,B,Indexing improves query performance by allowing the database to quickly locate specific data.,NET,Conceptual,Medium,Computer_Science,Databases
Which SQL clause is used to filter groups of rows?,WHERE,HAVING,GROUP BY,ORDER BY,B,The HAVING clause filters groups of rows based on conditions applied to grouped data.,NET,Conceptual,Medium,Computer_Science,Databases
What is the result of a FULL OUTER JOIN operation?,Only matching rows from both tables,"All rows from both tables, with NULLs in non-matching columns",Only rows from the left table,Only rows from the right table,B,"A FULL OUTER JOIN returns all rows from both tables, with NULLs in columns where there are no matches.",NET,Conceptual,Medium,Computer_Science,Databases
Which database concept ensures that the database remains in a consistent state?,Atomicity,Consistency,Isolation,Durability,B,"Consistency ensures that the database remains in a valid state, even after multiple transactions.",NET,Conceptual,Medium,Computer_Science,Databases
What is the purpose of a transaction log in a database?,To store database metadata,To record changes made to the database,To optimize query performance,To improve data security,B,"A transaction log records changes made to the database, allowing for recovery in case of failures.",NET,Conceptual,Medium,Computer_Science,Databases
Which data modeling approach represents data as a collection of objects?,Relational,Object-Oriented,Entity-Relationship,Dimensional,B,"Object-Oriented data modeling represents data as a collection of objects, encapsulating data and behavior.",NET,Conceptual,Medium,Computer_Science,Databases
What is the difference between a PRIMARY KEY and a UNIQUE constraint?,A PRIMARY KEY allows NULL values,A UNIQUE constraint allows duplicate values,A PRIMARY KEY is used for indexing,"A PRIMARY KEY cannot be NULL, while a UNIQUE constraint can have one NULL value",D,"A PRIMARY KEY uniquely identifies each row and cannot be NULL, while a UNIQUE constraint ensures uniqueness but allows one NULL value.",NET,Conceptual,Medium,Computer_Science,Databases
Which database normalization rule eliminates transitive dependencies?,1NF,2NF,3NF,BCNF,C,3NF eliminates transitive dependencies by ensuring that non-key attributes depend only on the primary key.,NET,Conceptual,Medium,Computer_Science,Databases
What is the purpose of a database view?,To store data in a physical table,To simplify complex queries,To improve data security,To enhance data integrity,B,A database view simplifies complex queries by providing a virtual table based on a SELECT statement.,NET,Conceptual,Medium,Computer_Science,Databases
Which SQL statement is used to modify the structure of a database table?,ALTER,CREATE,DROP,TRUNCATE,A,"The ALTER statement modifies the structure of a database table, such as adding or dropping columns.",NET,Conceptual,Medium,Computer_Science,Databases
What is the result of a LEFT JOIN operation?,Only matching rows from both tables,"All rows from the left table, with NULLs in non-matching columns",Only rows from the right table,All rows from both tables,B,"A LEFT JOIN returns all rows from the left table, with NULLs in columns where there are no matches in the right table.",NET,Conceptual,Medium,Computer_Science,Databases
Which database concept ensures that transactions are executed independently?,Atomicity,Consistency,Isolation,Durability,C,"Isolation ensures that transactions are executed independently, without interference from other transactions.",NET,Conceptual,Medium,Computer_Science,Databases
What is the purpose of a stored procedure?,To improve data security,To simplify complex queries,To encapsulate a set of SQL statements,To enhance data integrity,C,"A stored procedure encapsulates a set of SQL statements, improving code reusability and maintainability.",NET,Conceptual,Medium,Computer_Science,Databases
