Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
What is the primary function of a compiler?,To translate source code into machine code,To execute source code directly,To debug source code,To optimize source code,A,"A compiler translates source code into machine code that the computer's processor can execute directly, a process essential for programming.",NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What data structure follows LIFO?,Queue,Stack,Tree,Graph,B,"LIFO (Last In, First Out) is a principle where the last item added is the first to be removed, characteristic of a stack data structure.",NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What is the time complexity of binary search?,O(1),O(log n),O(n),O(n log n),B,"Binary search divides the search interval in half with each step, resulting in a time complexity of O(log n) for n elements.",NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What is the primary purpose of an operating system?,To manage computer hardware and provide services to software,To compile source code,To debug applications,To optimize database queries,A,"An operating system manages computer hardware resources and provides common services to application software, enabling their execution.",NET,Conceptual,Medium,Computer_Science,Information Technology Basics
Which protocol is used for sending emails?,SMTP,HTTP,FTP,TCP,A,SMTP (Simple Mail Transfer Protocol) is used for sending and receiving email between email servers and clients.,NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What is the difference between RAM and ROM?,"RAM is non-volatile, ROM is volatile","RAM is used for storage, ROM is used for execution","RAM is volatile, ROM is non-volatile","RAM is slower, ROM is faster",C,"RAM (Random Access Memory) is volatile, losing its data when power is turned off, whereas ROM (Read-Only Memory) is non-volatile, retaining its data.",NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What is a firewall?,A device that enhances network speed,A system that controls incoming and outgoing network traffic,A protocol for secure data transfer,A software for data recovery,B,A firewall is a network security system that monitors and controls incoming and outgoing network traffic based on predetermined security rules.,NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What is the function of DNS?,To translate domain names into IP addresses,To assign IP addresses dynamically,To manage email services,To host websites,A,DNS (Domain Name System) translates human-readable domain names into the numerical IP addresses that computers use to communicate.,NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What is the purpose of a VPN?,To increase internet speed,To provide secure and encrypted connection over a public network,To manage network traffic,To block advertisements,B,"A VPN (Virtual Private Network) provides a secure, encrypted connection between a user's device and a VPN server, protecting data from interception.",NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What is the advantage of using a linked list over an array?,Faster access time,Dynamic size and efficient insertion/deletion,Less memory usage,Simpler implementation,B,"Linked lists offer dynamic size and efficient insertion/deletion of elements without shifting all elements, unlike arrays.",NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What is the purpose of a cookie in web browsing?,To store user preferences and track user sessions,To enhance browser security,To block malicious scripts,To improve page loading speed,A,"Cookies are small text files stored on a user's device by a web browser, used to store user preferences and track user sessions.",NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What is the difference between a hub and a switch?,"A hub is intelligent, a switch is not","A hub broadcasts data to all ports, a switch sends data to the intended recipient","A hub operates at layer 3, a switch at layer 2","A hub is faster, a switch is slower",B,"A hub broadcasts incoming data to all its ports, whereas a switch forwards data to the specific port of the intended recipient, improving network efficiency.",NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What is the role of a router in a network?,To connect devices within a network,To connect multiple networks and route traffic between them,To enhance network security,To optimize network speed,B,"A router connects multiple networks and routes traffic between them, using network address translation and routing tables.",NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What is the primary function of a database management system?,To store and manage data efficiently,To compile source code,To debug applications,To optimize network performance,A,"A DBMS (Database Management System) is software that manages and stores data in a structured and controlled manner, ensuring data integrity and security.",NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What is normalization in database design?,The process of optimizing database performance,The process of organizing data to minimize data redundancy,The process of securing database from unauthorized access,The process of backing up database,B,"Normalization involves organizing data in a database to minimize data redundancy and dependency, improving data integrity.",NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What is the difference between TCP and UDP?,"TCP is connectionless, UDP is connection-oriented","TCP is connection-oriented, UDP is connectionless","TCP is faster, UDP is slower","TCP is used for email, UDP is used for web",B,"TCP (Transmission Control Protocol) is connection-oriented, ensuring reliable data transfer, whereas UDP (User Datagram Protocol) is connectionless, prioritizing speed over reliability.",NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What is the purpose of a subnet mask?,To determine the network and host parts of an IP address,To assign IP addresses dynamically,To manage network traffic,To enhance network security,A,"A subnet mask is used to divide an IP address into network and host parts, helping devices determine whether a destination is on the same network.",NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What is the function of an IP address?,To identify a device on a network,To manage network traffic,To enhance network security,To optimize network speed,A,"An IP address is a unique identifier assigned to a device on a network, enabling communication between devices.",NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What is the advantage of cloud computing?,Reduced scalability,Increased capital expenditure,On-demand resource availability and scalability,Enhanced data security risks,C,"Cloud computing offers on-demand availability of computing resources and scalability, reducing the need for upfront capital expenditure.",NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What is the primary purpose of encryption?,To compress data,To protect data from unauthorized access,To enhance network performance,To backup data,B,"Encryption is the process of converting plaintext into unreadable ciphertext, protecting data from unauthorized access and ensuring confidentiality.",NET,Conceptual,Medium,Computer_Science,Information Technology Basics
What is the output of the expression 2 + 3 * 4?,20,14,11,24,B,"Follow order of operations: first multiply 3 and 4 to get 12, then add 2 to get 14.",ECAT,Conceptual,Medium,Computer_Science,Information Technology Basics
What is the binary representation of the decimal number 12?,1100,1010,1110,1001,A,Divide 12 by 2 repeatedly and record remainders to get binary 1100.,ECAT,Conceptual,Medium,Computer_Science,Information Technology Basics
