Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,"The old woman lived alone, with ____ to look after ____.",Someone / her,Anyone / herself,Everyone / she,No one / her,D
2,"Fill in the blank with suitable preposition: He will not apologize _______ you for what he did, as he acted in good faith.",to,for,by,with,A
3,"If you come across my keys, bring them to me, ____?",don't you,isn't you,can't you,None of these,D
4,"Recently, in which country was an ex-national security chief, Suh Hoon, arrested over a border killing?",North Korea,South Korea,Indonesia,None of these,B
5,The current President Csaba Kőrösi of the UN General Assembly for the 77th session belongs to which country?,Malaysia,Hungary,Turkey,UAE,B
6,How long did it take to complete the Metro Bus project?,9 months,13 months,1 year and 6 months,2 years,B
7,Sergey Lavrov is the Foreign Minister of which country?,Russia,US,Ukraine,Belarus,A
8,Who is the Current Foreign Minister of Iran?,Amir Kabir,Hussain Amir Abdllohian,Mohammad Javad Zarif,Mirza Abolhassan Khan Ilchi,B
9,Who is the Current President of the Financial Action Task Force (FATF)?,Marshall Billingslea,T Raja Kumar,David Hil,Dr. Marcus Pleyer,D
10,Joe Biden was elected as a senator from which US state?,Alaska,Delaware,Pennsylvania,None of these,B
11,The UK left the European Union completely on 31 January 2020. This process is named:,Wexen deal,Brexit,Both A & B,None of these,B
12,An area of land which is surrounded by ocean water from three sides is called ___________.,Gulf,Peninsula,Strait,Bight,B
13,Which UN Agency has its headquarter in Paris?,UNICEF,ILO,UNESCO,FAO,C
14,China became a member of the World Trade Organization in ___________.,1998,2001,2004,2006,B
15,"In which region of Punjab was X-1 discovered, expected to be the country's largest oil- producing well in 2014?","Attock, Punjab","Rahim Yaar Khan, Punjab","Jehlum, Punjab","Chakwal, Punjab",C
16,What was the new name given to the Rawalpindi Metro Bus service?,Islamabad Metro Bus,Pakistan Metro Bus,Awami Metro Bus,Capital Metro Bus,B
17,Nancy Pelosi is controversial in the news because she visited which country?,Malaysia,Taiwan,Hong Kong,Russia,B
18,Liz Truss quit as Prime Minister of the UK after ________ weeks?,four weeks,five weeks,six weeks,None of these,C
19,Hugo Chávez is the ex-president of ___________.,Venezuela,Brazil,Bolivia,Egypt,A
