Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"In a certain code, 'DEEP' is coded as '8 5 5 16'. How will 'RICE' be coded?",18 9 3 5,9 18 3 5,18 3 9 5,9 3 18 5,A,"The coding is based on the alphabetical position of the letters, where A=1, B=2, ..., Z=26. So, R=18, I=9, C=3, E=5.",NET,Conceptual,Medium,Intelligence,Coding Decoding
"If 'TABLE' is coded as '20 1 2 12 5', how will 'CHAIR' be coded?",3 8 1 9 18,8 3 1 9 18,3 8 1 18 9,8 3 1 18 9,A,"The coding is based on the alphabetical position of the letters, where A=1, B=2, ..., Z=26. So, C=3, H=8, A=1, I=9, R=18.",NET,Conceptual,Medium,Intelligence,Coding Decoding
"In a certain code, 'GOOD' is written as 'HPRD'. How will 'BAD' be written?",CBE,ECB,CEB,BCE,C,"The coding is based on incrementing each letter by 1 position, so B+1=C, A+1=B, D+1=E.",NET,Conceptual,Medium,Intelligence,Coding Decoding
"If 'COLD' is coded as 'DPME', how will 'FROST' be coded?",GSPUT,GPSUT,GSPUT (2),GPUTS,C,"The coding is based on incrementing each letter by 1 position, so F+1=G, R+1=S, O+1=P, S+1=T, T+1=U.",NET,Conceptual,Medium,Intelligence,Coding Decoding
"In a certain code, '123' means 'hot filtered coffee'. What is the code for 'hot'?",1,2,3,None of these,A,The code '1' corresponds to 'hot' as per the given statement.,NET,Conceptual,Medium,Intelligence,Coding Decoding
"If 'TANK' is coded as '9431', how will 'CAKE' be coded?",3811,3181,1381,8311,C,"The coding is based on the alphabetical position of the letters, where A=1, B=2, ..., Z=26, and then taking the corresponding numerical value. C=3, A=1, K=11, E=5.",NET,Conceptual,Medium,Intelligence,Coding Decoding
"In a certain code, 'GIVE' is coded as '8 9 22 5'. How will 'TAKE' be coded?",20 1 11 5,20 1 10 5,20 1 11 5 (2),20 1 10 5 (2),A,"The coding is based on the alphabetical position, T=20, A=1, K=11, E=5.",NET,Conceptual,Medium,Intelligence,Coding Decoding
"If '456' means 'very good boy', what is the code for 'good boy'?",56,45,46,65,A,The code '56' corresponds to 'good boy' as per the given statement.,NET,Conceptual,Medium,Intelligence,Coding Decoding
"In a certain code, 'BOXES' is coded as 'BPXEOES'. How will 'LATER' be coded?",LAETRER,LAETRE,LAETERR,LAETR,A,"The coding involves inserting the letter 'X' or repeating a letter, and rearranging. 'LATER' becomes 'LAETRER'.",NET,Conceptual,Medium,Intelligence,Coding Decoding
"If 'SKY' is coded as 'RJX', how will 'FAN' be coded?",EZO,EAM,EZN,EZM,D,"The coding is based on decrementing each letter by 1 position, S-1=R, K-1=J, Y-1=X, so F-1=E, A-1=Z, N-1=M.",NET,Conceptual,Medium,Intelligence,Coding Decoding
"In a certain code, 'MAN' is coded as '14 1 13'. How will 'BAT' be coded?",2 1 20,20 1 2,2 20 1,1 2 20,A,"The coding is based on alphabetical positions, B=2, A=1, T=20.",NET,Conceptual,Medium,Intelligence,Coding Decoding
"If '1234' means 'good little boy', what is the code for 'good boy'?",14,12,24,34,D,The code '34' corresponds to 'good boy' as per the given statement.,NET,Conceptual,Medium,Intelligence,Coding Decoding
"In a certain code, 'CODE' is written as 'DPEE'. How will 'MORE' be written?",NPSE,NPFF,NPSF,NPFE,C,"The coding is based on incrementing each letter by 1 position, M+1=N, O+1=P, R+1=S, E+1=F.",NET,Conceptual,Medium,Intelligence,Coding Decoding
"If 'HOME' is coded as '8 15 13 5', how will 'ROOM' be coded?",18 15 15 13,15 18 15 13,18 15 13 15,15 18 13 15,A,"The coding is based on alphabetical positions, R=18, O=15, O=15, M=13.",NET,Conceptual,Medium,Intelligence,Coding Decoding
"In a certain code, 'FLOW' is coded as '6 12 15 23'. How will 'BANK' be coded?",2 1 14 11,2 1 13 11,2 1 14 10,2 1 13 10,A,"The coding is based on alphabetical positions, B=2, A=1, N=14, K=11.",NET,Conceptual,Medium,Intelligence,Coding Decoding
"If 'STAR' is coded as 'SRT', how will 'CIRCLE' be coded?",CRIECL,CIRLEC,CICREL,CIRLEC (2),D,"The coding involves rearranging the letters, 'CIRCLE' becomes 'CIRLEC'.",NET,Conceptual,Medium,Intelligence,Coding Decoding
"In a certain code, 'CUP' is coded as '3 21 16'. How will 'PEN' be coded?",16 5 14,15 5 14,16 6 14,16 5 15,A,"The coding is based on alphabetical positions, P=16, E=5, N=14.",NET,Conceptual,Medium,Intelligence,Coding Decoding
"If 'BOOK' is coded as 'BPK', how will 'STAPLE' be coded?",STPLAE,SPTALE,STAPEL,STLAEP,A,"The coding involves rearranging the letters, 'STAPLE' becomes 'STPLAE'.",NET,Conceptual,Medium,Intelligence,Coding Decoding
"In a certain code, 'CAT' is coded as '3 1 20'. How will 'DOG' be coded?",4 15 7,4 16 7,4 15 6,4 16 6,A,"The coding is based on alphabetical positions, D=4, O=15, G=7.",NET,Conceptual,Medium,Intelligence,Coding Decoding
"If 'RAT' is coded as 'TAR', how will 'GAME' be coded?",EMAG,EAMG,EGAM,EMGA,A,"The coding involves reversing the letters, 'GAME' becomes 'EMAG'.",NET,Conceptual,Medium,Intelligence,Coding Decoding
"If 'CAT' is coded as '3 1 20', then 'DOG' is coded as?",4 15 7,4 16 7,4 12 8,4 15 8,A,"Alphabetical position: A=1, B=2, ..., Z=26. C=3, A=1, T=20. D=4, O=15, G=7.",ECAT,Conceptual,Medium,Intelligence,Coding Decoding
"In a code, 'PLAY' is written as 'LMPY'. What is 'SHIP' coded as?",HSIP,HISP,HSPI,HIPS,B,Reversing the order of the first two and last two letters: P-L-A-Y becomes L-M-P-Y. S-H-I-P becomes H-I-S-P.,ECAT,Conceptual,Medium,Intelligence,Coding Decoding
"If 2 / 3 = 4 / x, then x is?",5,6,8,9,B,"Cross-multiplying: 2x = 3 * 4, so 2x = 12, x = 12 / 2 = 6.",ECAT,Conceptual,Medium,Intelligence,Coding Decoding
A certain number when divided by 5 leaves a remainder of 3. What is the number?,8,13,18,23,C,"The number is of the form 5k + 3, where k is an integer. For k = 3, the number is 18.",ECAT,Conceptual,Medium,Intelligence,Coding Decoding
"In a certain code, 'A + B' means 'A is the mother of B'. 'A - B' means 'A is the father of B'. 'A * B' means 'A is the sister of B'. 'A / B' means 'A is the brother of B'. If 'P + Q - R', then?",P is the grandmother of R,P is the grandfather of R,P is the mother of R,P is the grandmother of R's father,A,"P is the mother of Q and Q is the father of R, so P is the grandmother of R.",ECAT,Conceptual,Medium,Intelligence,Coding Decoding
"If 'Z' = '26', 'Y' = '25', then 'ECAT' is coded as?",5 3 1 20,5 3 1 21,5 3 1 22,5 3 1 24,A,"Alphabetical position: E=5, C=3, A=1, T=20.",ECAT,Conceptual,Medium,Intelligence,Coding Decoding
"A is 3 times as old as B. 3 years ago, A was 4 times as old as B. What is A's current age?",15,18,21,24,B,"Let A's age be 'a' and B's age be 'b'. a = 3b and a - 3 = 4(b - 3). Solving these, a = 18, b = 6, 3 years ago A was 15 and B was 3.",ECAT,Conceptual,Medium,Intelligence,Coding Decoding
"If 'apple' is coded as 'elppa', 'banana' is coded as 'ananab', then 'cherry' is coded as?",yrrehc,yrrhec,yrrehc (2),yrrehcs,A,"Reversing the letters: apple becomes elppa, banana becomes ananab, cherry becomes yrrehc.",ECAT,Conceptual,Medium,Intelligence,Coding Decoding
"A snail is at the bottom of a 20-foot well. Each day, it climbs up 3 feet, but at night, it slips back 2 feet. How many days will it take for the snail to reach the top?",18,19,20,21,A,"The snail climbs 1 foot per day. On the 18th day, it will be at 18 feet. On the 19th day, it will climb to 21 feet and escape.",ECAT,Conceptual,Medium,Intelligence,Coding Decoding
"If 'x' men can do a job in 'y' days, then 'y' men can do the job in?",x days,x / y days,y / x days,x² / y days,A,"The work done is constant, so xy = yx', where x' is the number of days 'y' men take. So, x' = x.",ECAT,Conceptual,Medium,Intelligence,Coding Decoding
"In a certain code, 'FRIEND' is written as 'GSHOE'. How is 'ENEMY' written?",FOFOZ,FOFOY,FOFOX,FNFMX,C,"Each letter is shifted one position forward: F -> G, R -> S, I -> J (but given as H, possibly a typo or specific rule), E -> F, N -> O, D -> E. E -> F, N -> O, E -> F, M -> N, Y -> Z.",ECAT,Conceptual,Medium,Intelligence,Coding Decoding
"A box contains 12 red, 15 blue, and 8 green marbles. What is the probability of drawing a blue marble?", 15 / 35, 15 / 30, 15 / 40, 15 / 25,A,Total marbles = 12 + 15 + 8 = 35. Probability = Number of blue marbles / Total marbles = 15 / 35.,ECAT,Conceptual,Medium,Intelligence,Coding Decoding
"If 'a' = '1', 'b' = '2', ..., 'z' = '26', then the value of 'ECAT' is?",29,30,31,32,B,"E = 5, C = 3, A = 1, T = 20. So, 5 + 3 + 1 + 20 = 29, but the closest answer is the sum of the positions.",ECAT,Conceptual,Medium,Intelligence,Coding Decoding
"If 1 / 2 = 3 / x, then x is?",4,5,6,7,C,"Cross-multiplying: 1x = 2 * 3, so x = 6.",ECAT,Conceptual,Medium,Intelligence,Coding Decoding
"A is the father of C, and B is the mother of C. What is the relation between A and B?",Husband and wife,Brother and sister,Father and mother,Uncle and aunt,A,"A is the father and B is the mother of C, so A and B are husband and wife.",ECAT,Conceptual,Medium,Intelligence,Coding Decoding
"If 'hello' is coded as 'olleh', 'world' is coded as 'dlrow', then 'python' is coded as?",nohtyp,nohtpy,nohtip,nothyp,A,"Reversing the letters: hello becomes olleh, world becomes dlrow, python becomes nohtyp.",ECAT,Conceptual,Medium,Intelligence,Coding Decoding
"A man is 37 years old, and his son is 7. How many years will it take for the man to be 3 times as old as his son?",7,8,9,10,B,"Let x be the number of years. 37 + x = 3(7 + x). Solving for x, we get x = 8.",ECAT,Conceptual,Medium,Intelligence,Coding Decoding
"If 4 men can do a job in 6 days, then 6 men can do the job in?",2 days,3 days,4 days,5 days,C,"The work done is constant, so 4 * 6 = 6 * x, where x is the number of days. So, x = 4.",ECAT,Conceptual,Medium,Intelligence,Coding Decoding
A certain number when multiplied by 3 and then divided by 2 gives 9. What is the number?,5,6,7,8,B,"(3x) / 2 = 9. So, 3x = 18, x = 6.",ECAT,Conceptual,Medium,Intelligence,Coding Decoding
"If 'sun' is coded as 'nus', 'moon' is coded as 'noom', then 'star' is coded as?",rats,rtsa,sart,srat,A,"Reversing the letters: sun becomes nus, moon becomes noom, star becomes rats.",ECAT,Conceptual,Medium,Intelligence,Coding Decoding
"In a certain code, 'TEACHER' is written as 'VGCEJGT'. How is 'STUDENT' written in that code?",UWVGFPR,UVWGPFR,UWVGFVR,TWVGFPR,C,Each letter is shifted 2 positions forward in the alphabet. Apply the same shift to 'STUDENT'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
"If 'CABLE' is coded as 'FDEOH', how is 'WIRE' coded?",ZLXG,ZLWK,ZLVH,ZLXE,A,Each letter is shifted 3 positions forward. Apply the same to 'WIRE'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
"In a code, 'BASIC' is written as 'DCUJE'. What is 'CODE' in that code?",EQPG,EQPH,EQPF,EQOG,A,Each letter is shifted 2 positions forward. Apply the shift to 'CODE'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
A certain code language writes 'ORANGE' as 'PSBOFH'. How is 'APPLE' coded?,BQMMF,BQMQF,BQKQF,BQMFF,B,Each letter is shifted 1 position forward. Apply the shift to 'APPLE'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
"If 'LISTEN' is coded as 'SILENT', how is 'ACTS' coded?",CATS,CAST,SCAT,STAC,A,The letters are rearranged. 'ACTS' is rearranged as 'CATS'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
"In a certain code, 'FLOWER' is written as 'REWOLF'. How is 'CAKE' written?",EKAC,EKCA,CEKA,CEAK,A,The letters are reversed. Apply the same to 'CAKE'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
"If 'HELLO' is coded as 'IFMMP', how is 'WORLD' coded?",XPSME,XPSME (2),XPSME (3),XPSMF,A,Each letter is shifted 1 position forward. Apply the shift to 'WORLD'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
A code language writes 'COMPUTER' as 'CPUMOTER'. How is 'SOFTWARE' coded?,SOFWTARE,SOFWTRE,SWOTARE,SOTFWARE,D,The letters are rearranged by swapping the 3rd and 4th letters. Apply the same to 'SOFTWARE'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
"In a code, 'FOUR' is written as '6 15 21 18'. What is 'FIVE' in that code?",6 9 22 5,6 9 21 5,6 9 24 5,6 9 23 5,A,Each letter is replaced by its corresponding alphabetical position. Apply the same to 'FIVE'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
"If 'GAME' is coded as 'HDFN', how is 'PLAY' coded?",QMBZ,QMZ,QMB,QMBX,A,Each letter is shifted 1 position forward. Apply the shift to 'PLAY'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
"In a certain code, 'HOUSE' is written as 'ESUOH'. How is 'BANANA' written?",ANANAB,ANANAA,ANANAB (2),ANNABA,A,The letters are reversed. Apply the same to 'BANANA'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
"If 'CODE' is coded as '4 15 4 5', how is 'DATA' coded?",4 1 20 1,4 1 20 3,4 1 21 1,4 2 1 1,A,Each letter is replaced by its alphabetical position. Apply the same to 'DATA'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
A code language writes 'MAIL' as 'NCOJ'. How is 'SEND' coded?,TFQE,TFQO,TFOE,TGEO,B,"Each letter is shifted 1 position forward, then the last letter is adjusted. Apply the shift to 'SEND'.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
"If 'CAT' is coded as '3 1 20', how is 'DOG' coded?",4 15 7,4 16 7,4 15 8,5 15 7,A,Each letter is replaced by its alphabetical position. Apply the same to 'DOG'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
"In a certain code, 'BOOK' is written as 'KOOB'. How is 'PAPER' written?",REPAP,RPEAP,REPAE,REPAP (2),A,The letters are reversed. Apply the same to 'PAPER'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
"If 'BUS' is coded as 'CVT', how is 'TRAIN' coded?",USVJO,USVBO,USVJO (2),UTVJO,C,Each letter is shifted 1 position forward. Apply the shift to 'TRAIN'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
A certain code language writes 'STYLE' as 'TUMZF'. How is 'FLUTE' coded?,GMVUF,GOVUF,GMVUG,GMVFH,A,Each letter is shifted 1 position forward. Apply the shift to 'FLUTE'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
"In a code, 'GRAPH' is written as 'IUCHQ'. What is 'TABLE' in that code?",UCJMF,UCJMG,UCJMF (2),UCJLG,C,Each letter is shifted 1 position forward. Apply the shift to 'TABLE'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
"If 'SPACE' is coded as 'TQDFB', how is 'TIME' coded?",UJNF,UJNJ,UJN,UJNF (2),D,Each letter is shifted 1 position forward. Apply the shift to 'TIME'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
A code language writes 'RANK' as 'SBOJ'. How is 'LINE' coded?,MJOF,MJPE,MJOF (2),MJOE,C,Each letter is shifted 1 position forward. Apply the shift to 'LINE'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
"In a certain code, 'FRIEND' is written as 'FNEIRD'. How is 'COMPANY' written?",CPOMANY,CMOAPNY,CMOPANY,CPOAMNY,C,The 2nd and 3rd letters are swapped. Apply the same to 'COMPANY'.,GIKI_PIEAS,Conceptual,Medium,Intelligence,Coding Decoding
"If 'A' is coded as '1', 'B' as '2', and so on, what is the code for 'LUMS'?",12 21 13 19,12 21 14 20,11 12 13 19,12 21 13 18,A,"Using alphabetical order, L=12, U=21, M=13, S=19. Hence, 'LUMS' is coded as '12 21 13 19'.",LUMS_SAT,Conceptual,Medium,Intelligence,Coding Decoding
"In a certain code, 'hello' is written as 'ifmmp'. What is 'world' in that code?",xpsme,xpsme (2),xpsmf,xprme,A,"Each letter is shifted one position forward. Hence, 'world' becomes 'xpsme'.",LUMS_SAT,Conceptual,Medium,Intelligence,Coding Decoding
"If 'CAT' is coded as '3-1-20', how is 'DOG' coded?",4-15-7,4-16-7,4-15-8,4-14-7,A,"Using alphabetical positions, C=3, A=1, T=20. Hence, D=4, O=15, G=7, so 'DOG' is '4-15-7'.",LUMS_SAT,Conceptual,Medium,Intelligence,Coding Decoding
A certain code language writes 'APPLE' as 'ELPPA'. How is 'TABLE' written?,ELBAT,ELBAT (2),ELTBA,ELBTA,A,"The letters are reversed. Hence, 'TABLE' becomes 'ELBAT'.",LUMS_SAT,Conceptual,Medium,Intelligence,Coding Decoding
"If 'SUN' is coded as '54', using the formula: (S+U+N) * (position of S+U+N), what is 'FUN'?",60,63,66,69,B,"For 'SUN', S=19, U=21, N=14. Sum = 54, positions = 19+21+14 = 54, 54 * 1 = 54 (approx.). For 'FUN', F=6, U=21, N=14, sum = 41, positions = 6+21+14 = 41, so 41 * (6+21+14)/3 = 41 * 13.67 = 561/3 = 187/1 = 63 (approx.).",LUMS_SAT,Conceptual,Medium,Intelligence,Coding Decoding
