Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,Mood is considered a type of which effect?,Writing,Expression,Presentation,None of these,B
2,Incision : Scalpel :: ______ : ______,Furrow : Plow,Cut : Saw,Hospital : Patient,None of these,A
3,"He says, ""I shall go there"".",He says that he will go there.,He said that I will go there.,He says that I will went there.,None of these,A
4,What does the idiom 'to call a spade a spade' mean?,To speak in plain terms,To dig up the truth,To use the correct tool for the job,To disguise the truth with euphemisms,A
5,"The idiom ""a hard nut to crack"" means:",Someone who needs guidance,A difficult person or problem,Someone who solves puzzles easily,None of these,B
6,Call on means:,pay a visit to someone,Invite someone,Criticize someone,None of these,A
7,khamosh' Translate the best English translation of the word.,Introvert,Futile,Ingenuous,None of these,A
8,Complete the proverb: There is no place like ____,School,Office,Home,Park,C
9,Here is to there as He is to ____.,Her,She,Him,None of these,C
10,Choose the correct article: I eat ____ egg for breakfast every day.,An,A,The,Article not required,A
11,Choose the correct one:,"He doesn't have a house in Karachi, therefore he lives in a rented house.","He doesn't have a house in Karachi; therefore, he lives in a rented house.",He doesn't have a house in Karachi therefore he lives in a rented house.,None of these,B
12,Choose the antonym of BARREN:,Radiant,Fertile,Besiege,Reduce,B
13,Choose the correct preposition in the following sentence: The birds are sitting ______ the trees.,on,in,over,into,B
14,I met ____ European.,a,an,the,None of these,A
15,The antonym of OPAQUE is:,Misty,Shiny,Covered,Transparent,D
16,The antonym of Yoke is:,Freedom,Chain,Bond,Harness,A
17,Match the following English proverb with its Urdu equivalent: More to it than meets the eye.,"Nau naqad, na terah udhaar",Chhota munh badi baat,Chor ki darhi mein tinka,Dal mein kuchh kaala,D
18,The performance of our players was ____ either,bad as I had expected,worse than I had expected,worse than expectation,worst than was expected,B
19,The departmental store is open ____ eight to eleven.,From,By,Between,During,A
20,Fill in the blank: Alia parted _____ her parents in tears.,from,with,of,by,A
21,"Convert to indirect speech: She said, ""Go upstairs.""",She told me to go upstairs.,She said me to upstairs,She told me that go upstairs,She told me to went upstairs,A
22,"""Queer"" means:",Unusual,Applaud,Derogate,Scorn,A
23,I cannot come to see you ____ tomorrow.,By,Till,Until,Unless,C
24,I went ____ to my family.,Strait,directly,Rightly,None of these,B
25,"""Pro bono publico"" means:",Against the public interest,Public involvement,For the public good,Public demands,C
26,Choose the best synonym of TRIFLE:,Average,Trivial,Usual,Timely,B
27,He inquired ____ my work in office.,To,into,on,at,B
28,Everyone is ignorant ____ something.,of,at,the,to,A
29,Complete the proverb: Let the sleeping dogs _,bark,sleep,growl,lie,D
30,"His office is always in apple-pie order. What does the idiom/phrase ""apple-pie order"" mean?",Neat & tidy,Disordered,Mismanaged,Ornamental,A
31,Our team played _____.,well,well done,badly,in a good way,A
32,"The idiom ""Out of the blue"" means:",Higher than sky,Once upon a time,An unexpected way,Many times,C
33,______ she is a good runner but I have not seen her running.,Possibly,Apparently,Doubtfully,None of these,B
34,Diana would have got up earlier if _______.,she knew the train left at 6.30,the alarm clock went off on time,you had woken her up,she could sleep well,C
35,Choose the best synonym of INSOLENT:,Disrespectful,Doubtful,Daring,Envy,A
36,This work is ____ his capacity:,beyond,under,over,in,A
37,"Change the narration':_ I said to my son, ""You are sure to top the list of the successful candidates"".",I said to my son that he is sure to top the list of the successful candidates,I said to my son if he was sure to top the list of the successful candidates.,I told my son that he was sure to top the list of the successful candidates,I told my son that he were sure to have topped the list of the successful candidates,B
38,"Ayesha's art of fiction is so ____, as her mother and grandparents are renowned artists.",Popular,Famed,Innate,None of these,C
39,Which of the following adjectives compare persons and things?,Descriptive adjectives,Comparative adjectives,Demonstrative adjectives,Possessive adjectives,B
40,Fill in the blank with a suitable word: Atiqa was so shy; she felt _____ when she went on stage.,Worried,Anxious,Agitated,Nervous,D
41,Ice is to white as coal is to ____.,Red,Black,Brown,None of these,B
42,"He succeeded by dint of perseverance and sheer hard work. Which part of speech is ""by dint of"" in this sentence?",Noun,Adverb,Conjunction,Preposition,D
43,Choose the correct meaning of: To fish in troubled waters,To make a personal profit out of a disturbance,To dive in deep water,To go for a daunting task,None of these,A
44,Choose the analogy of words written in capital letters. Speak: Stammer,Walk: Stagger,Strut: Walk,Speech: Stage,None of these,A
45,"""He is the boy of obedience."" Obedience in this sentence is a _____ noun:",Collective,Virtual,Abstract,Concrete,C
46,What is the synonym of Disparate?,Anxious,Different,Excited,Afraid,B
47,The green-eyed monster means:,Hatred,Jealousy,Love,Live,B
48,"I am sure I have met your mother's brother before. Here ""before"" is:",Verb,Adjective,Adverb,Noun,C
49,"Choose the option with a correct conjunction to complete the following sentence. Saeed is a conceited boy ______, I dislike very much.",who,whose,that,None of these,A
50,The synonym of Cheeky is:,To mark the thumb on a legal paper,Impudent,An easy choice,None of these,B
51,Fill in the blank: Abdul grabbed the boy and rolled him on the ground to '''' the flames.,Fizz out,Smother,Burn out,Encourage,B
52,The antonym of Enmity:,Discord,Hostility,Friendship,Acrimony,C
53,Choose the correct sentence: I am very obliged to him.,many obliged,much obliged,so obliged,None of these,B
54,"Select one word that best matches the given explanation. Not interesting, funny, etc., because of being used too often",Simple,Hackneyed,Dip,None of these,B
55,Don't count your '''' before they are hatched. Complete the proverb.,Quails,Sparrows,Ducks,Chickens,D
56,Please fill in the blank identifying analogous expression. Lithe : Grace:: Slovenly : Filth,Filth,Asleep,Dance,None of these,A
57,Ambiguous means:,Crystal,Obstacle,Hazy,Obnoxious,C
58,These cattle is mine. Choose below the correct answer.,These cattle are mine,These cattles are mine,These cattles is mine,None of these,A
59,The students in our school are ____ in other schools.,smarter,Smarter than,Smarter than those,more smarter than,C
60,Choose the antonym: Transience,Slowness,Permanence,Lack of confidence,None of these,B
61,Change narration: He asked his friend if he liked chess.,"He asked his friend, ""Why you like chess""?","He asked his friend, ""Did you like chess""?","He said to his friend, ""Did you like chess""?",None of these,D
62,Choose appropriate prepositions to complete the sentence from the given options: He depended ______ their meeting him ______ the railway station.,to/at,on/at,at/at,at/on,B
63,Complete the sentence. Ask the driver ______,How much will pay.,How long it takes to the airport.,where were keys.,None of these,D
64,I left my shoes under the kitchen table. Under is a(n):,Adverb,Adjective,Preposition,Pronoun,C
65,"The antonym of ""Pseudonym"" is:",Real name,Famous name,Assumed name,Mentality,A
66,Change the voice: These mills grind corn.,Corn was ground by those mills.,Corn is ground by these mills.,Corn has been ground by this mill.,None of these.,B
67,"The synonym of ""Churlish"" is:",Brave,Shy,Uncivilized,Foolish,C
68,"Choose the correct sentence that best represents the reported speech: She said to him, ""Consult a doctor.""",She ordered him to please consult a physician.,She advised him to consult a doctor.,She told him that he should go to a medical practitioner.,She said to him to consult a doctor immediately.,B
69,Bull: Cow :: Cock: __________,Hen,Duck,Chick,None of these,A
70,Change voice: Prepare yourself for the worst.,The worst should be prepared by yourself.,"For the worst, preparation should be made by you.",You be prepared for the worst.,Be prepared for the worst.,D
71,Choose the Antonym of Indolent:,Clumsy,Obese,Diligent,Low,C
72,You are angry ______ me on this matter.,In,To,With,None of these,C
73,The synonym of Grisly is:,Earthly,Horrible,Naughty,Paining,B
74,"'""To end in smoke"" means:",to make completely understood,to destroy or ruin oneself,to excite great applause,to overcome someone,B
75,Give the meaning of the idiom: To wash one's dirty linen in public,To criticize one's nature in public,To quarrel in the open,To do some ugly work in public,To discuss dirty and scandalous matters of a personal nature in the presence of,D
76,"Complete the Proverb: ""Make hay while the ______ shines.""",Moon,Jupiter,Sun,Earth,C
77,"Complete the sentence: You had already left by 7:00 o'clock, ____ you?",Didn't,Weren't,Hadn't,Couldn't,C
78,Fill in the blank: Whatever he does is always contrary ____ my wishes.,On,To,With,From,B
79,Laudable means:,Profitable,Lovable,Affectionate,Commendable,D
80,The synonym of Zest is:,Enthusiasm,Passive,Dislike,Various,A
81,Choose the right one:,Many a soldier lost his life in war.,Many a soldier lost their lives in war.,Many a soldier lost their life in wars.,None of these,A
82,Choose the Antonym of Fickle:,Spotless,Industrious,Welcome,Loyal,D
83,The antonym of Courageous is:,Audacious,Timid,Spirited,None of these,B
84,Pull your socks up means:,To get ready,To start,To finish,To improve,D
