Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"In an industrial synthesis of artificial gemstones, graphite is converted to diamond. Based on PTB thermochemical data, what is the enthalpy change for this transition?",-1.9 kJ/mol,+1.9 kJ/mol,-393.5 kJ/mol,+393.5 kJ/mol,B,"Diamond has higher enthalpy than graphite by 1.9 kJ/mol. Graphite is the more stable allotrope at standard conditions, making diamond formation endothermic.",Hess's Law,Medium,Chemistry,Thermochemistry
A food scientist uses a bomb calorimeter to measure the caloric content of a new snack. Which thermodynamic property is being directly measured?,Internal energy change (ΔE),Enthalpy change (ΔH),Work done by the system,Pressure-volume work,A,"Bomb calorimeters operate at constant volume, measuring internal energy change. Glass calorimeters measure enthalpy because they operate at constant atmospheric pressure.",Calorimetry,Easy,Chemistry,Thermochemistry
An athlete uses an instant cold pack containing a pouch of water and dry ammonium nitrate. Which thermochemical process causes the cooling effect?,Exothermic dissolution,Enthalpy of neutralization,Endothermic dissolution,Enthalpy of hydration,C,"Ammonium nitrate dissolution is endothermic, absorbing heat from the surroundings. Exothermic options like calcium chloride would make a hot pack instead.",Enthalpy of solution,Easy,Chemistry,Thermochemistry
"In a laboratory waste treatment, 1 mole of dilute HCl is neutralized by 1 mole of dilute NaOH. What is the approximate heat released?",-13.7 kJ/mol,+57.3 kJ/mol,-285.8 kJ/mol,-57.3 kJ/mol,D,Neutralization of a strong acid and strong base always releases 57.3 kJ/mol. Option B is incorrect as it represents the endothermic reverse process.,Enthalpy of neutralization,Easy,Chemistry,Thermochemistry
An engineer chooses Magnesium Oxide (MgO) over Sodium Chloride (NaCl) for lining a high-temperature furnace. Why is MgO thermodynamically more suitable?,MgO has a higher lattice energy,NaCl has a higher lattice energy,MgO has a lower enthalpy of formation,NaCl is more exothermic during formation,A,"Lattice energy increases with higher ionic charge. Mg2+ and O2- have higher charges than Na+ and Cl-, making MgO much more stable.",Lattice Energy,Medium,Chemistry,Thermochemistry
"During a combustion test of fuel in a rigid steel bomb, no volume change occurs. Which equation correctly describes the energy change observed?",ΔH = qp,ΔE = qv,W = PΔV,ΔH = ΔE + PΔV,B,"In a rigid container, volume is constant, so ΔV is zero. This means work (PΔV) is zero, and all heat goes to ΔE.",First Law of Thermodynamics,Medium,Chemistry,Thermochemistry
"In an internal combustion engine, the expanding gases push a piston against a constant external pressure. What is the mathematical expression for this work?",W = P/ΔV,W = ΔP V,W = -PΔV,W = +PΔV,C,"Work is done by the system when gas expands, which is a negative value in PTB convention. Option D fails because it uses positive sign.",First Law of Thermodynamics,Hard,Chemistry,Thermochemistry
"A chemical plant produces Carbon Monoxide as an intermediate. Since it cannot be measured directly, what is its standard enthalpy of formation using Hess's Law?",-393.5 kJ/mol,-110.5 kJ/mol,-283.0 kJ/mol,+110.5 kJ/mol,B,"Standard enthalpy of formation for CO is -110.5 kJ/mol. -393.5 kJ/mol is the value for CO2, which is a common confusion for students.",Hess's Law,Medium,Chemistry,Thermochemistry
"In the construction industry, the setting of cement involves the hydration of calcium silicates. What is the nature of this thermochemical process?",Exothermic,Endothermic,Isothermic,Adiabatic,A,Hydration is always an exothermic process as water molecules form bonds with ions. Option B is incorrect because hydration cannot be endothermic.,Enthalpy of hydration,Easy,Chemistry,Thermochemistry
A manufacturer uses vacuum deposition to coat glass with gaseous silver atoms. What is always true about the standard enthalpy of atomization for silver?,Always negative,Zero for elements,Exothermic,Always positive,D,"Atomization involves breaking all metallic or covalent bonds in a substance to form gaseous atoms, which always requires energy (endothermic).",Enthalpy of atomization,Medium,Chemistry,Thermochemistry
