Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
4,I am envious ______ them.,of,in,about,on,A
5,Umbrella is to Rain as:,Light is to Sight,Glare is to Stare,Vaccine is to Disease,Wear is to Wool,C
6,Childhood and innocence lie cheek by jowl.,Together,One after another,Proportionately,Closely,D
7,Change the following statement into passive voice: I saw him leaving the house.,He was seen leave the house by me,He was seen leaving the house by me,He was see leaving the house by me,none of these,B
8,"The following question consists of two words each that have a certain relationship to each other, followed by four lettered pairs of words. Select the lettered pair that has the same relationship as the original pair of words: Stickler : Insist",Laggard : Outlast,Braggart : Boast,Haggler : Concede,Trickster : Risk,B
9,Choose the correct sentence.,We received summons to attend the court.,We received a summons to attend the court.,We received a summoned to attend court.,None of these,B
10,"The idiomatic phrase ""Out and Out"" means:",Completely,Miss out,Long for something,None of these,A
11,Choose the best meaning of the idiomatic phrase: A burning question,A confusing question,A simple question,A forgotten issue,An important question,D
12,He has given ______ smoking.,in,away,up,None of these,C
13,Fill in the blank with suitable words: ____ people have ____ knowledge of physics.,"Very few, some","A few, some","Few, little","A few, very little",B
14,Choose the correct preposition. She broke ______ tears.,in,with,for,into,D
15,Choose the correct part of speech for 'along' in the sentence: 'He is walking along the road.',Conjunction,Adverb,Preposition,None of these,C
16,Fill in the blank: She ran ____ him into the courtyard.,After,Before,For,With,A
17,Choose the antonym: Aboriginal,Popular,Modern,Native,None of these,B
18,The antonym of Conceal is:,Cover,Screen,Denote,None of these,D
19,The antonym of Diligent is?,Hardworking,Intent,Lazy,Active,C
20,The synonym of Amplify is:,Diminish,Enlarge,Meager,Enhance,B
21,A person who can neither read nor write is?,Literate,Illiterate,Garrulous,None of these,B
22,Give the meaning of the idiom: Spick and Span,meanwhile,neat and clean,in the meantime,None of these,B
23,Which preposition correctly completes the sentence: He should bear ____ my statement.,With,At,In,To,A
24,barhaain' Translate into English.,Involve,Develop,Maintain,None of these,B
25,He aimed _______ the flying bird.,at,by,of,with,A
26,Young: Old :: Morning: _____ (choose the word that best completes the analogy),Late,Early,Time,Night,D
27,Pick out the most effective word from the given words to fill in the blank to make the sentence meaningful. Two of the fugitives managed to remain free by adeptly avoiding the ______ of the police.,Observe,Pursuit,Torture,None of these,B
28,Fill in the blank: We will go there ____ foot.,With,By,On,At,C
29,Drought is a one-word substitution for:,Lack of rain,A shooting game,Run away from war,Outdated syrup,A
30,Glutton for punishment' means:,Masochist,Conform,Sadist,Normal,A
31,Identify the closest meaning of the underlined word. Only astute politicians can meet this situation.,Wicked,Shrewd,Corrupt,Honest,A
32,'A synonym for ''to conjecture'' is:,To believe,To guess,To find,None of the above,B
33,The synonym of Exude is:,Ooze,Overflow,Exit,None of these,A
34,Correct sentence: This is the _____ tree in the forest.,old,oldest,elder,None of these,B
35,Give the meaning of the Idiom: To throw up the sponge,to offer a challenge,To surrender or give up contest,to become utterly disappointed,None of these,B
36,Which type of Adverb is used to show how often a thing happened:,Adverb of frequency,Adverb of place,Adverbs of Degree,Conjunctive adverbs,A
37,Change the voice: The box can contain no more.,No more this box can contain.,No more can be contained in the box.,No more could be contained in this box.,None of these,B
38,"Consider the word ""Segregation"": choose the word given below that reveals the opposite meaning.",Appreciation,Collecting,Integration,Union,C
39,Side with' means:,To go against,To Stop,To support,None of these,C
40,The synonym of Impetuous is:,Resourceful,Violent,Pleasing,Rash,D
41,"The synonym of ""scampering"" is:",Running,Jogging,Sleeping,Both A & B,A
42,Pick out the correct sentence.,Aslam and I am the project partners.,I and Aslam are the project partners.,I and Aslam were project partners.,None of these,B
43,"Find the correct indirect sentence: Majid said, ""It may rain tomorrow.""",Majid told that it may rain tomorrow.,Majid suggested that it might rain tomorrow.,Majid said that it might rain the next day.,Majid told it might rain the next day.,C
44,"Anna has finished her work, now she is ____ home.",going,going to,going to the,going towards the,A
45,Don't count your '''' before they are hatched. Complete the proverb.,Quails,Sparrows,Ducks,Chickens,D
46,"Change the narration: Ali asked, ""How long will it take to travel from Germany to South Africa?""",Ali asked how long would it take to travel from Germany to South Africa.,Ali asked how long it will take to travel from Germany to South Africa.,Ali was asking how long must it take to travel from Germany to South Africa.,None of these,A
47,"The synonym of ""Prodigal"" is:",Provident,Profligate,Miserly,Frugal,B
48,We have got plenty of time for work. We ______ not hurry.,May,Will,Need,None of these,C
49,"Choose the correct meaning of the idiom: ""Spick and span""",Material gains,Clean and fresh,Untidy,Scattered,B
50,"'Complete the idiom: ""Don''t judge a book by _""",Its reading,Its cover,Its size,Its colour,B
51,"What is the meaning of ""Along in years""?",Getting tired,Getting old,Time to rest,Unsuccessful,B
52,A diplomatic representative of one country in another is known as:,Arbitrator,Antagonist,Ambassador,Aristocrat,C
53,The antonym of Sophomoric is:,Venerable,Foolish,Infantile,None of these,A
54,Choose the best meaning of the idiomatic phrase: To turn the tables,to turn someone,to turn the situation to one's own side,to reverse the condition completely,None of these,C
55,A child born after father's death is ______.,Heir,Posthumous,Pseudonym,Orphan,B
56,"Complete the sentence: ""It is fifteen years since I ____ him.""",leave,left,had left,None of these,B
57,Which of these typically comes immediately after a noun to modify it?,Verb Phrase,Adjective Phrase,Adverb Phrase,None of these,B
58,Restive is the opposite of:,buoyant,placid,resistant,retiring,B
59,Time is running _____.,Out,Over,Away,In,A
60,Choose the alternative which best expresses the meaning of the idiom: To End in Smoke.,To come to nothing,Keep away from,Extreme hard work,None of these,A
61,Swim is to Fish as Walk is to ____.,Man,Bird,Chair,Legs,A
62,What is the synonym of Predecessor?,Antecedent,Derivative,Outgrowth,Spin-off,A
63,Fill in the blank: The manager likes to be ____ control.,about,of,in,on,C
64,Accolade means:,To give up completely,Keenness of mind or insight,An award or salute,Sharp or Harsh in Language,C
65,An ____ attack on the reputation or integrity of someone or something ____.,Aspersion,Aversion,Apersion,None of these,A
66,Here is to there as He is to ____.,Her,She,Him,None of these,C
