Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"A factory's quality control team detects a defect in every 5th product. If they inspected 20 products, how many defects did they find?",3,4,5,6,B,"Defects occur every 5th product, so at 5th, 10th, 15th, and 20th products, totaling 4 defects. Option A fails because it miscounts the number of defects.",Pattern Recognition in Quality Control,Easy,Logical_Reasoning,Course of Action
"A series of numbers is given as 2, 5, 8, 11, 14. What is the next number in the sequence?",15,17,18,20,B,"The pattern adds 3 to each number to get the next number, so 14 + 3 = 17. Option C fails because it incorrectly adds 4 instead of 3.",Identifying Number Sequences,Easy,Logical_Reasoning,Course of Action
"A librarian arranges books on shelves such that the number of books on each shelf follows the sequence 3, 6, 9, 12. How many books will be on the 5th shelf?",13,15,16,18,B,"The sequence increases by 3 each time, so for the 5th shelf, it will be 12 + 3 = 15. Option A fails because it doesn't follow the sequence correctly.",Recognizing Patterns in Arrangements,Medium,Logical_Reasoning,Course of Action
"In a coding challenge, a programmer notices that the number of bugs reported follows a pattern: 1, 2, 4, 8. If the pattern continues, how many bugs will be reported on the 5th day?",16,18,20,24,A,"The pattern doubles each time, so on the 5th day, it will be 8 * 2 = 16. Option B fails because it doesn't correctly double the number.",Analyzing Growth Patterns,Medium,Logical_Reasoning,Course of Action
"A population of bacteria grows in a pattern: 100, 200, 400, 800. What will be the population after the next division?",1200,1600,1800,2000,B,"The population doubles each time, so after the next division, it will be 800 * 2 = 1600. Option A fails because it doesn't correctly double the population.",Understanding Exponential Growth,Easy,Logical_Reasoning,Course of Action
"A child is building a tower with blocks, following a pattern of 2, 5, 8, 11 blocks per layer. How many blocks will be in the 6th layer?",14,17,20,23,B,"The pattern adds 3 each time, so for the 6th layer, it will be 11 + 3 + 3 = 17. Option D fails because it miscounts the number of layers.",Pattern Recognition in Construction,Medium,Logical_Reasoning,Course of Action
"In a game, the score doubles every level: 10, 20, 40, 80. What will be the score at the 5th level?",100,120,160,200,C,"The score doubles each level, so at the 5th level, it will be 80 * 2 = 160. Option B fails because it doesn't correctly double the score.",Analyzing Score Patterns,Medium,Logical_Reasoning,Course of Action
"A sequence of letters is given as A, C, E, G. What is the next letter in the sequence?",H,I,J,K,B,"The pattern increments by 2 letters in the alphabet, so the next letter after G is I. Option A fails because it only increments by 1.",Identifying Alphabetical Sequences,Easy,Logical_Reasoning,Course of Action
"A manufacturing plant produces parts in a sequence: 5, 10, 15, 20. How many parts will be produced on the 6th day?",25,30,35,40,A,"The sequence increases by 5 each day, so on the 6th day, it will be 20 + 5 = 25. Option B fails because it skips to the 7th day's production.",Recognizing Production Patterns,Easy,Logical_Reasoning,Course of Action
"A series of symbols is given as *, **, ***, ****. What comes next in the sequence?",*****,******,****,*,A,"The pattern adds one more '*' each time, so the next sequence will have five '*'. Option C fails because it decreases instead of increases.",Identifying Symbol Sequences,Easy,Logical_Reasoning,Course of Action
"In a certain code, the number of characters used to represent a number follows the sequence 2, 3, 5, 7. What will be the number of characters for the next number?",9,11,12,13,B,"The sequence represents prime numbers, so the next prime after 7 is 11. Option A fails because 9 is not a prime number.",Understanding Prime Number Sequences,Hard,Logical_Reasoning,Course of Action
"A student notices that the number of students attending a study group follows a pattern: 4, 7, 10, 13. How many students will attend on the 5th day?",14,15,16,17,C,"The pattern increases by 3 each day, so on the 5th day, it will be 13 + 3 = 16. Option B fails because it doesn't correctly add 3.",Analyzing Attendance Patterns,Medium,Logical_Reasoning,Course of Action
"A series of numbers is given as 1, 4, 9, 16. What comes next in the sequence?",20,25,30,36,B,"The sequence represents square numbers, so the next square after 16 is 25. Option A fails because it's not a perfect square.",Recognizing Square Number Sequences,Medium,Logical_Reasoning,Course of Action
"In a game, the player's power increases in a pattern: 2, 4, 8, 16. What will be the power at the 5th level?",32,36,40,48,A,"The power doubles each level, so at the 5th level, it will be 16 * 2 = 32. Option B fails because it doesn't correctly double the power.",Analyzing Power Growth Patterns,Medium,Logical_Reasoning,Course of Action
"A sequence of shapes has 3, 6, 9, 12 sides. How many sides will the next shape have?",13,15,16,18,B,"The sequence increases by 3 each time, so the next shape will have 12 + 3 = 15 sides. Option A fails because it doesn't follow the sequence correctly.",Recognizing Patterns in Shapes,Medium,Logical_Reasoning,Course of Action
"A certain investment grows in a pattern: $100, $150, $225, $337.50. What will be the amount after the next growth period?",$450,$506.25,$550,$600,B,"The investment grows by 50% each period, so after the next period, it will be $337.50 * 1.5 = $506.25. Option A fails because it doesn't correctly calculate the 50% increase.",Understanding Investment Growth Patterns,Hard,Logical_Reasoning,Course of Action
"A pattern of numbers is 1, 3, 6, 10. What comes next in the sequence?",12,15,16,20,B,"The sequence represents triangular numbers, so the next number is 10 + 5 = 15. Option C fails because it's not the correct triangular number.",Identifying Triangular Number Sequences,Hard,Logical_Reasoning,Course of Action
"A city's population grows in a pattern: 1000, 1200, 1440, 1728. What will be the population after the next growth period?",2000,2073.6,2100,2200,B,"The population grows by 20% each period, so after the next period, it will be 1728 * 1.2 = 2073.6. Option A fails because it doesn't correctly calculate the 20% increase.",Analyzing Population Growth Patterns,Hard,Logical_Reasoning,Course of Action
"A series of numbers is 2, 6, 12, 20. What is the next number in the sequence?",28,30,32,36,B,"The pattern increases by adding 4, 6, 8, and so on, so the next difference should be 10, making the next number 20 + 10 = 30. Option A fails because it adds 8 instead of 10.",Recognizing Patterns with Increasing Differences,Hard,Logical_Reasoning,Course of Action
"In a sequence, the numbers are 1, 2, 4, 8, 16. What is the pattern, and what comes next?","Adding 1, 32","Doubling, 32","Squaring, 256","Cubing, 4096",B,"The pattern doubles each time, so the next number is 16 * 2 = 32. Option C fails because it incorrectly identifies the pattern as squaring.",Identifying Doubling Patterns,Easy,Logical_Reasoning,Course of Action
"If a policy reduces emissions, air quality improves. A new policy reduced emissions. What logically follows?",Air quality improved.,Air quality will not improve.,Emissions will increase again.,Other policies are unnecessary.,A,Modus ponens applies. Option C contradicts the premise.,Modus Ponens,Easy,Logical_Reasoning,Course of Action
All mammals have lungs. Whales are mammals. What conclusion is valid?,Whales have lungs.,Whales breathe through gills.,Some mammals lack lungs.,Fish are mammals.,A,Syllogistic structure applies. Option B is a factual error.,Syllogistic Reasoning,Medium,Logical_Reasoning,Course of Action
"If a student studies, they pass. A student did not pass. What logically follows?",They did not study.,They studied but failed.,They need to study harder.,The exam was unfair.,A,Modus tollens applies. Option B ignores the premise’s necessity.,Modus Tollens,Medium,Logical_Reasoning,Course of Action
A survey shows 80% of students prefer online classes. A conclusion is drawn: 'Most people prefer online learning.' What flaw exists?,Hasty generalization.,False cause.,Circular reasoning.,Ad hominem.,A,Sample size and scope limit validity. Option B misrepresents the flaw.,Logical Fallacies,Hard,Logical_Reasoning,Course of Action
"If a car is out of fuel, it stalls. The car stalled. What conclusion is valid?",It ran out of fuel.,It has engine trouble.,Fuel level was checked.,Stalling causes fuel loss.,A,Affirming the consequent is invalid. Option A assumes causality incorrectly.,Fallacy Detection,Medium,Logical_Reasoning,Course of Action
All birds have feathers. Penguins are birds. What conclusion is valid?,Penguins have feathers.,Penguins can fly.,Feathers indicate flight.,All feathered creatures are birds.,A,Syllogistic logic applies. Option D reverses the premise.,Syllogistic Reasoning,Easy,Logical_Reasoning,Course of Action
"If X is true, then Y is true. Y is true. What can be concluded?",X is true.,X is false.,Y implies X.,No conclusion.,D,Affirming the consequent is invalid. Option A misapplies logic.,Conditional Logic,Hard,Logical_Reasoning,Course of Action
A study claims caffeine improves memory. It was tested on 10 volunteers. What flaw exists?,Small sample size.,Biased volunteers.,Lack of replication.,All of the above.,A,Sample size limits generalizability. Option C is plausible but not primary.,Scientific Reasoning,Medium,Logical_Reasoning,Course of Action
"If a plant lacks sunlight, it wilts. The plant is wilted. What conclusion is valid?",It lacked sunlight.,Other factors caused wilting.,Sunlight is irrelevant.,Wilted plants never recover.,B,Multiple causes exist for wilting. Option A assumes single cause.,Causal Reasoning,Hard,Logical_Reasoning,Course of Action
All reptiles lay eggs. Some birds lay eggs. What conclusion is valid?,Birds are reptiles.,Egg-laying is shared.,Reptiles are birds.,Eggs imply non-animals.,B,Shared traits exist. Option A is a categorical error.,Classification Logic,Medium,Logical_Reasoning,Course of Action
"If a person exercises daily, they stay healthy. A person is healthy. What conclusion is valid?",They exercise daily.,Health does not require exercise.,They may or may not exercise.,Exercise is unnecessary.,C,Correlation ≠ causation. Option A is a fallacy.,Ambiguity Analysis,Hard,Logical_Reasoning,Course of Action
A drug trial shows 90% success in 100 patients. A conclusion: 'The drug is 90% effective.' What flaw exists?,Selection bias.,Overgeneralization.,Placebo effect.,Small sample size.,B,Generalizing from 100 patients is flawed. Option D is secondary.,Sampling Logic,Medium,Logical_Reasoning,Course of Action
All squares are rectangles. All rectangles have four sides. What conclusion is valid?,All squares have four sides.,All rectangles are squares.,Some rectangles lack sides.,Squares have three sides.,A,Transitive logic applies. Option B reverses the hierarchy.,Transitive Reasoning,Easy,Logical_Reasoning,Course of Action
"If a country raises taxes, it gains revenue. Taxes were raised. What conclusion is valid?",Revenue increased.,Revenue decreased.,Tax rates dropped.,No economic impact.,A,Modus ponens applies. Option B contradicts the premise.,Economic Reasoning,Medium,Logical_Reasoning,Course of Action
Birds can fly. Penguins cannot fly. What conclusion is valid?,Penguins are not birds.,Flying is not universal in birds.,All non-flying animals are penguins.,Birds do not exist.,B,Exceptions exist in categories. Option A is incorrect.,Exception Handling,Medium,Logical_Reasoning,Course of Action
"If a person smokes, they risk cancer. A person does not smoke. What conclusion is valid?",They have no cancer risk.,Smoking is safe.,Risk exists from other causes.,Cancer is non-preventable.,C,Other risks exist. Option A is a fallacy.,Causal Fallacy,Hard,Logical_Reasoning,Course of Action
All mammals are warm-blooded. Whales are mammals. What conclusion is valid?,Whales are warm-blooded.,Whales are cold-blooded.,Mammals are cold-blooded.,Whales are not animals.,A,Syllogistic logic applies. Option B is false.,Taxonomic Logic,Easy,Logical_Reasoning,Course of Action
A survey of 1000 people finds 70% support policy X. What conclusion is valid?,Majority support policy X.,Policy X is perfect.,Minority opposes policy X.,Survey is biased.,A,Statistical majority applies. Option C misrepresents minority.,Statistical Reasoning,Medium,Logical_Reasoning,Course of Action
"If a country invests in education, it grows economically. A country grew economically. What conclusion is valid?",Education was invested in.,Growth occurred without education.,Investment is unimportant.,No correlation exists.,B,Growth can have multiple causes. Option A is a fallacy.,Correlation vs Causation,Hard,Logical_Reasoning,Course of Action
All planets orbit stars. Earth is a planet. What conclusion is valid?,Earth orbits a star.,Stars do not orbit.,Earth is not a planet.,Planets are nonexistent.,A,Syllogistic structure applies. Option C is false.,Astrological Logic,Easy,Logical_Reasoning,Course of Action
A company faces financial difficulties due to market fluctuations. What course of action should the management take to address the issue?,Reduce production costs by outsourcing tasks,Increase product prices to offset losses,Invest in new marketing strategies to attract customers,Diversify the product line to minimize risk,A,"Outsourcing reduces costs, tempting option B fails as it may deter customers",Cost Reduction,Easy,Logical_Reasoning,Course of Action
A new employee is struggling to meet deadlines. What course of action should the supervisor take to support the employee?,Provide additional training and resources,Extend deadlines to reduce stress,Reassign tasks to more experienced employees,Monitor progress closely to identify areas of improvement,A,"Training addresses the root cause, tempting option B fails as it may create dependency",Employee Support,Easy,Logical_Reasoning,Course of Action
A customer complains about a defective product. What course of action should the customer service representative take to resolve the issue?,Offer a replacement or refund,Provide a discount on the next purchase,Explain the product's warranty and return policy,Refer the customer to a supervisor,A,"Replacement or refund addresses the issue directly, tempting option B fails as it may not satisfy the customer",Customer Complaints,Easy,Logical_Reasoning,Course of Action
A team is experiencing communication breakdowns. What course of action should the team leader take to improve communication?,Establish clear goals and expectations,Implement a new project management tool,Schedule regular team meetings,Encourage open feedback and discussion,A,"Clear goals and expectations prevent misunderstandings, tempting option B fails as it may not address the root cause",Team Communication,Medium,Logical_Reasoning,Course of Action
A company wants to reduce its environmental impact. What course of action should the management take to achieve this goal?,Implement recycling programs and reduce waste,Invest in renewable energy sources,Develop sustainable supply chain practices,Reduce water consumption and implement energy-efficient systems,A,"Recycling and waste reduction have immediate impact, tempting option B fails as it may require significant investment",Sustainability,Medium,Logical_Reasoning,Course of Action
A student is struggling to understand a complex concept. What course of action should the teacher take to support the student?,Provide additional resources and practice problems,Offer one-on-one tutoring sessions,Use visual aids and real-life examples to illustrate the concept,Encourage peer-to-peer learning and discussion,A,"Additional resources and practice problems address the knowledge gap, tempting option B fails as it may not be feasible",Student Support,Easy,Logical_Reasoning,Course of Action
A company faces a public relations crisis. What course of action should the management take to address the issue?,Issue a public apology and take responsibility,Defend the company's actions and policies,Launch a social media campaign to shift public opinion,Offer compensation to affected parties,A,"Public apology shows accountability, tempting option B fails as it may escalate the crisis",Crisis Management,Medium,Logical_Reasoning,Course of Action
A team is experiencing conflicts and disagreements. What course of action should the team leader take to resolve the issues?,Establish clear communication channels and protocols,Encourage open feedback and discussion,Develop a conflict resolution process and policy,Mediate conflicts and impose a solution,A,"Clear communication channels prevent misunderstandings, tempting option D fails as it may not address the root cause",Conflict Resolution,Medium,Logical_Reasoning,Course of Action
A company wants to improve its customer service. What course of action should the management take to achieve this goal?,Provide customer service training to employees,Implement a customer feedback system,Hire more customer service representatives,Offer incentives for customer service employees,A,"Training addresses the root cause, tempting option C fails as it may not address the quality of service",Customer Service,Easy,Logical_Reasoning,Course of Action
A student is experiencing stress and anxiety. What course of action should the teacher take to support the student?,Provide resources and referrals for counseling services,Offer extensions on assignments and deadlines,Encourage the student to take breaks and practice self-care,Develop a stress management plan with the student,A,"Counseling services address the root cause, tempting option B fails as it may create dependency",Student Well-being,Easy,Logical_Reasoning,Course of Action
A company faces a supply chain disruption. What course of action should the management take to address the issue?,Diversify the supply chain to minimize risk,Develop a contingency plan for supply chain disruptions,Invest in supply chain visibility and monitoring tools,Negotiate with suppliers to secure priority delivery,A,"Diversification reduces dependence on a single supplier, tempting option D fails as it may not be feasible",Supply Chain Management,Medium,Logical_Reasoning,Course of Action
A team is experiencing a lack of motivation and engagement. What course of action should the team leader take to address the issue?,Recognize and reward employee contributions and achievements,Provide opportunities for professional development and growth,Encourage open feedback and discussion,Implement a performance management system,A,"Recognition and rewards boost morale, tempting option D fails as it may focus on punishment rather than motivation",Team Motivation,Medium,Logical_Reasoning,Course of Action
A company wants to improve its innovation and creativity. What course of action should the management take to achieve this goal?,Encourage experimentation and risk-taking,Provide resources and support for innovation projects,Develop a culture of continuous learning and improvement,Hire employees with diverse skills and expertise,A,"Experimentation and risk-taking drive innovation, tempting option D fails as it may not guarantee innovative thinking",Innovation and Creativity,Medium,Logical_Reasoning,Course of Action
