Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
The rms value of an AC is defined as the value of that DC which produces the same heating effect in a given resistance.,Average power dissipation,Peak current,Root mean square current,Instantaneous current,C,"RMS current is defined as the DC that produces the same heating effect; 'Average power dissipation' is a related concept, not the definition.",RMS Value,Easy,Physics,Alternating Current
"In an AC circuit, the opposition to the flow of current is called",Resistance,Reactance,Impedance,Conductance,C,"Impedance is the total opposition to AC flow; Reactance is a component of impedance, not the total opposition.",Impedance,Easy,Physics,Alternating Current
A capacitor in an AC circuit has a reactance given by Xc = 1 / (2πfC). What happens to Xc when frequency is doubled?,It doubles,It halves,It remains the same,It becomes zero,B,"Xc is inversely proportional to frequency; when frequency doubles, Xc halves. 'It doubles' is the opposite of the correct behavior.",Capacitive Reactance,Medium,Physics,Alternating Current
The unit of inductance is,Henry,Farad,Ohm,Tesla,A,"Henry is the unit of inductance; Farad is the unit of capacitance, not inductance.",Inductance,Easy,Physics,Alternating Current
The power factor of an AC circuit is given by,cosφ,sinφ,tanφ,cotφ,A,"Power factor is defined as cosφ, where φ is the phase angle between voltage and current; 'sinφ' is related to reactive power.",Power Factor,Easy,Physics,Alternating Current
"An inductor is connected to an AC source. If the frequency of the source is doubled, the reactance of the inductor",Remains the same,Doubles,Halves,Becomes zero,B,"Inductive reactance is directly proportional to frequency; when frequency doubles, reactance doubles. 'It halves' is the opposite behavior.",Inductive Reactance,Medium,Physics,Alternating Current
The average power dissipated in an AC circuit is maximum when the power factor is,0,0.5,1,-1,C,"Maximum power dissipation occurs when power factor = 1 (i.e., cosφ = 1); '0' means no real power is dissipated.",Power Factor,Medium,Physics,Alternating Current
The resonance frequency of an LC circuit is given by,1 / (2π√LC),1 / (2πLC),√(L/C),√(C/L),A,"Resonance frequency is given by 1 / (2π√LC); '1 / (2πLC)' is an incorrect formula, missing the square root.",Resonance,Medium,Physics,Alternating Current
The quality factor (Q) of an LC circuit is a measure of its,Bandwidth,Resonance frequency,Selectivity,Power factor,C,"Q factor measures the selectivity or sharpness of resonance; 'Bandwidth' is related to Q, but is not what Q directly measures.",Quality Factor,Medium,Physics,Alternating Current
"In an AC circuit, the voltage and current are in phase when the circuit contains only",Resistance,Inductance,Capacitance,Impedance,A,"In a purely resistive circuit, voltage and current are in phase; 'Inductance' or 'Capacitance' causes a phase shift.",Phase Relationship,Easy,Physics,Alternating Current
The impedance of a series RLC circuit at resonance is,R,Xl,Xc,√(R^2 + (Xl - Xc)^2),A,"At resonance, Xl = Xc, so impedance = R; '√(R^2 + (Xl - Xc)^2)' is the general formula for impedance, not at resonance.",Resonance,Medium,Physics,Alternating Current
The rms value of a sinusoidally varying quantity is,1/√2 times its peak value,1/2 times its peak value,Equal to its peak value,√2 times its peak value,A,"For a sinusoidal quantity, rms = peak / √2; '1/2 times its peak value' is incorrect, it's 1/√2.",RMS Value,Easy,Physics,Alternating Current
A choke coil is used to control current in an AC circuit. It is preferred over a resistor because it,Increases the current,Decreases the current without power loss,Increases the power factor,Decreases the impedance,B,A choke coil (inductor) controls current without significant power loss; 'Increases the current' is the opposite effect.,Choke Coil,Medium,Physics,Alternating Current
The power dissipated in a pure inductor or capacitor is,Maximum,Minimum,Zero,Average,C,Pure inductors and capacitors do not dissipate real power; 'Maximum' is incorrect as they don't consume real power.,Power Dissipation,Easy,Physics,Alternating Current
The current in an AC circuit is wattless when the circuit contains only,Resistance,Inductance or capacitance,Impedance,Conductance,B,Wattless current occurs in purely inductive or capacitive circuits; 'Resistance' does not cause wattless current.,Wattless Current,Medium,Physics,Alternating Current
The transformer works on the principle of,Mutual induction,Self-induction,Electromagnetic induction,Mutual induction and self-induction both,A,Transformers work on the principle of mutual induction; 'Self-induction' is related but not the principle behind transformers.,Transformer,Easy,Physics,Alternating Current
"In a step-up transformer, the number of turns in the secondary coil is",Less than the primary coil,Equal to the primary coil,More than the primary coil,Not related to the primary coil,C,"In a step-up transformer, the secondary coil has more turns than the primary; 'Less than the primary coil' is a step-down configuration.",Transformer,Easy,Physics,Alternating Current
The efficiency of a transformer is defined as the ratio of,Output power to input power,Input power to output power,Output voltage to input voltage,Input voltage to output voltage,A,Efficiency is the ratio of output power to input power; 'Input power to output power' is the inverse ratio.,Transformer Efficiency,Medium,Physics,Alternating Current
The core of a transformer is laminated to reduce,Hysteresis loss,Eddy current loss,Copper loss,Flux leakage,B,"Lamination reduces eddy current loss; 'Hysteresis loss' is reduced by using suitable core material, not lamination.",Transformer Core,Hard,Physics,Alternating Current
"In an LCR circuit, the sharpness of resonance is determined by",Resistance,Inductance,Capacitance,Quality factor,D,"The sharpness of resonance is determined by the quality factor (Q); 'Resistance' affects Q, but Q is the direct measure.",Quality Factor,Hard,Physics,Alternating Current
A 100 Ω resistor is connected to an AC source with an rms voltage of 220 V. What is the rms current?,1.1 A,2.2 A,3.3 A,4.4 A,B,rms current = rms voltage / resistance = 220 V / 100 Ω = 2.2 A. Option A is incorrect because it is half the correct value.,AC Circuit Analysis,Easy,Physics,Alternating Current
"A capacitor is connected to an AC source with a frequency of 50 Hz. If the capacitance is 10 μF, what is the capacitive reactance?",159 Ω,318 Ω,637 Ω,1000 Ω,B,Xc = 1 / (2πfC) = 1 / (2π * 50 Hz * 10e-6 F) = 318 Ω. Option A is incorrect because it is half the correct value.,Capacitive Reactance,Medium,Physics,Alternating Current
An inductor has an inductance of 0.1 H and is connected to an AC source with a frequency of 50 Hz. What is the inductive reactance?,15.7 Ω,31.4 Ω,62.8 Ω,125.6 Ω,B,Xl = 2πfL = 2π * 50 Hz * 0.1 H = 31.4 Ω. Option A is incorrect because it is half the correct value.,Inductive Reactance,Easy,Physics,Alternating Current
"A series RLC circuit has R = 100 Ω, L = 0.1 H, and C = 10 μF. If the frequency of the AC source is 50 Hz, what is the impedance?",100 Ω,150 Ω,200 Ω,250 Ω,B,"First, calculate Xl and Xc. Xl = 31.4 Ω, Xc = 318 Ω. Then, Z = sqrt(R^2 + (Xl - Xc)^2) = sqrt(100^2 + (31.4 - 318)^2) = 150 Ω (approx). Option A is incorrect because it neglects reactance.",Impedance in RLC Circuits,Medium,Physics,Alternating Current
What is the resonant frequency of a series RLC circuit with L = 0.1 H and C = 10 μF?,50 Hz,100 Hz,159 Hz,318 Hz,C,f_res = 1 / (2π sqrt(LC)) = 1 / (2π sqrt(0.1 H * 10e-6 F)) = 159 Hz. Option A is incorrect because it is not the calculated resonant frequency.,Resonance in RLC Circuits,Medium,Physics,Alternating Current
"A transformer has 100 turns in the primary coil and 500 turns in the secondary coil. If the primary voltage is 220 V, what is the secondary voltage?",440 V,880 V,1100 V,2200 V,C,V_secondary = V_primary * (N_secondary / N_primary) = 220 V * (500 / 100) = 1100 V. Option A is incorrect because it is less than the correct value.,Transformer Principles,Easy,Physics,Alternating Current
