Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"A snail is at the bottom of a 20-foot well. Each day, it climbs up 3 feet, but at night, it slips back 2 feet. How many days will it take for the snail to reach the top?",18 days,20 days,15 days,12 days,B,"The snail effectively climbs 1 foot per day. On the 18th day, it reaches 18 feet and on the 18th day's climb, it reaches 21 feet, so it escapes on the 18th day, but since it climbs during the day, the correct count is 18 days.",NET,Conceptual,Medium,Intelligence,Logical Problems
"If 1 / 2 of a number is 20, then 1 / 4 of the number is?",10,20,5,40,A,"First, find the number: 1 / 2 * x = 20 => x = 40. Then, 1 / 4 * 40 = 10.",NET,Conceptual,Medium,Intelligence,Logical Problems
"A man is 4 times as old as his son. In 16 years, he will be twice as old as his son. What is the man's current age?",32,40,24,30,A,"Let's denote man's age as M and son's age as S. M = 4S. In 16 years: M + 16 = 2(S + 16). Substituting M = 4S, we get 4S + 16 = 2S + 32, so 2S = 16, S = 8, and M = 32.",NET,Conceptual,Medium,Intelligence,Logical Problems
A bat and a ball together cost 1.10. The bat costs 1.00 more than the ball. How much does the ball cost?,0.10,0.05,0.15,0.20,B,"Let's denote the ball's cost as x. The bat costs x + 1.00. So, x + (x + 1.00) = 1.10. This simplifies to 2x + 1.00 = 1.10, so 2x = 0.10, and x = 0.05.",NET,Conceptual,Medium,Intelligence,Logical Problems
"There are 5 people in a room. If each person shakes hands with every other person exactly once, how many handshakes occur?",10,15,20,25,A,"The formula to calculate handshakes among 'n' people is n(n-1)/2. For n = 5, we have 5(5-1)/2 = 10.",NET,Conceptual,Medium,Intelligence,Logical Problems
A woman has 2 coins that total 30 cents. One coin is not a nickel. What are the 2 coins?,Quarter and Nickel,Quarter and Dime,Dime and Nickel,Two Dimes,A,The statement 'one coin is not a nickel' implies the other could be a nickel. A quarter (25 cents) and a nickel (5 cents) total 30 cents.,NET,Conceptual,Medium,Intelligence,Logical Problems
"In a family of 6, there are 2 fathers, 2 sons, 1 grandfather, and 1 grandson. How is this possible?",Three generations,Adopted children,Two families merged,Not possible,A,"This is possible if t a grandfather, a father, and a son, thus satisfying all the given conditions.",NET,Conceptual,Medium,Intelligence,Logical Problems
"If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?",100 minutes,5 minutes,1 minute,10 minutes,B,"Each machine takes 5 minutes to make 1 widget. So, 100 machines will make 100 widgets in 5 minutes.",NET,Conceptual,Medium,Intelligence,Logical Problems
"You are in a room with 3 light switches. Each switch corresponds to one of three light bulbs in a room. Each light bulb is either on or off. You can't see the bulbs from where you are, but you can turn the switches on and off as many times as you want. How can you figure out which switch controls which light bulb?","Turn two switches on for 5 minutes, then turn one off","Turn one switch on for 5 minutes, then turn it off and turn another on",Turn one switch on and wait,None of the above,A,"Turn two switches on for 5 minutes. Then, turn one off. Go into the room. The bulb that is on corresponds to one of the switches that was left on. The bulb that is warm but off corresponds to the switch that was turned off. The remaining bulb corresponds to the switch that was never turned on.",NET,Conceptual,Medium,Intelligence,Logical Problems
"A is 3 times as fast as B. If A can complete a job in 24 days, how long will it take B to complete the same job?",48 days,72 days,60 days,30 days,B,"If A is 3 times as fast as B, then B will take 3 times as long as A. So, B will take 3 * 24 = 72 days.",NET,Conceptual,Medium,Intelligence,Logical Problems
