Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"In the mouth, salivary amylase breaks down starch into",Maltose,Glucose,Dextrins,Fructose,C,"Salivary amylase breaks down starch into dextrins and maltose, but primarily dextrins initially. Fructose is not a product.",Salivary Digestion,Easy,Biology,Digestion
Gastric juice contains an enzyme that works best at a very low pH. This enzyme is,Pepsin,Gastric amylase,Trypsin,Chymotrypsin,A,Pepsin is the gastric enzyme that works best at low pH. Trypsin and chymotrypsin work in the small intestine.,Gastric Digestion,Easy,Biology,Digestion
The pancreas secretes bicarbonate ions to,Activate digestive enzymes,Neutralize acidic chyme,Emulsify fats,Absorb nutrients,B,"Bicarbonate ions neutralize acidic chyme from the stomach, creating an optimal pH for pancreatic enzymes.",Pancreatic Juice,Medium,Biology,Digestion
The brush border enzyme that splits maltose into two glucose molecules is,Maltase,Lactase,Sucrase,Amylase,A,Maltase is the enzyme that hydrolyzes maltose into glucose. Lactase and sucrase act on different disaccharides.,Intestinal Digestion,Easy,Biology,Digestion
The presence of fatty acids in the duodenum stimulates the release of,Secretin,Gastrin,CCK,Insulin,C,CCK is released in response to fatty acids and peptides in the duodenum. Secretin is released due to acidic chyme.,Hormonal Control,Medium,Biology,Digestion
The enzyme enterokinase is involved in activating,Pepsinogen,Trypsinogen,Chymotrypsinogen,Procarboxypeptidase,B,"Enterokinase activates trypsinogen to trypsin, which then activates other pancreatic zymogens.",Activation of Enzymes,Medium,Biology,Digestion
The major site for the absorption of nutrients is the,Stomach,Duodenum,Jejunum,Ileum,C,The jejunum is the primary site for nutrient absorption due to its large surface area and specialized transport mechanisms.,Absorption,Easy,Biology,Digestion
Bile salts are important for the digestion of,Carbohydrates,Proteins,Fats,Nucleic acids,C,"Bile salts emulsify fats, increasing their surface area for lipase action. They are not directly involved in carbohydrate, protein, or nucleic acid digestion.",Bile Function,Easy,Biology,Digestion
The hormone gastrin primarily stimulates the secretion of,Gastric juice,Pancreatic juice,Bile,Intestinal juice,A,"Gastrin stimulates the secretion of gastric juice, which contains pepsinogen and HCl.",Hormonal Control,Medium,Biology,Digestion
The pH of the stomach is lowered by the secretion of,Pepsinogen,Gastrin,Hydrochloric acid,Mucus,C,"Hydrochloric acid (HCl) secretion lowers the stomach pH, activating pepsinogen to pepsin.",Gastric Juice,Easy,Biology,Digestion
The digestion of proteins begins in the,Mouth,Stomach,Small intestine,Large intestine,B,Protein digestion starts in the stomach with pepsin. The small intestine continues this process with pancreatic enzymes.,Protein Digestion,Easy,Biology,Digestion
The enzyme lactase is involved in the digestion of,Maltose,Sucrose,Lactose,Starch,C,"Lactase breaks down lactose into glucose and galactose. Maltase acts on maltose, and sucrase on sucrose.",Intestinal Enzymes,Easy,Biology,Digestion
The absorption of vitamin B12 requires,Intrinsic factor,Gastrin,Secretin,CCK,A,"Intrinsic factor, produced by the stomach, is necessary for vitamin B12 absorption in the ileum.",Vitamin Absorption,Medium,Biology,Digestion
Chyme is a mixture of,Food and saliva,Food and gastric juice,Pancreatic juice and bile,Intestinal juice and nutrients,B,Chyme is the semi-fluid mixture of food and gastric juice that leaves the stomach.,Gastric Digestion,Easy,Biology,Digestion
The release of bile into the duodenum is facilitated by,Secretin,CCK,Gastrin,The presence of fatty acids,B,"CCK stimulates the gallbladder to contract, releasing bile into the duodenum. Secretin also plays a role but is not the primary stimulus.",Bile Release,Medium,Biology,Digestion
The primary function of the gallbladder is to,Produce bile,Store bile,Release digestive enzymes,Absorb water,B,"The gallbladder stores and concentrates bile produced by the liver, releasing it when needed.",Gallbladder Function,Easy,Biology,Digestion
The enzyme carboxypeptidase is a pancreatic enzyme that,Activates trypsinogen,Hydrolyzes peptides at the carboxyl end,Emulsifies fats,Digests nucleic acids,B,Carboxypeptidase removes amino acids one by one from the carboxyl end of a peptide chain.,Pancreatic Enzymes,Medium,Biology,Digestion
The main function of the small intestine's villi is to,Secrete digestive enzymes,Absorb nutrients,Store bile,Produce hormones,B,"Villi increase the surface area of the small intestine, enhancing the absorption of nutrients.",Intestinal Structure,Easy,Biology,Digestion
A deficiency in pancreatic amylase would primarily affect the digestion of,Proteins,Fats,Carbohydrates,Nucleic acids,C,Pancreatic amylase breaks down starch into simpler sugars. Its deficiency affects carbohydrate digestion.,Pancreatic Enzymes,Medium,Biology,Digestion
The hormone secretin is released in response to,The presence of proteins in the stomach,Acidic chyme entering the duodenum,Fatty acids in the duodenum,Glucose in the blood,B,"Secretin is released when acidic chyme enters the duodenum, stimulating the pancreas to secrete bicarbonate-rich fluid.",Hormonal Control,Hard,Biology,Digestion
A patient with pancreatic insufficiency is unable to digest fats properly. Which enzyme is responsible for fat digestion?,Amylase,Lipase,Trypsin,Pepsin,B,"Lipase breaks down fats; Amylase is for carbohydrates, Trypsin and Pepsin are proteases.",Pancreatic Juice,Easy,Biology,Digestion
A person with lactose intolerance lacks the enzyme lactase in their small intestine. What is the primary function of lactase?,Breaking down proteins,Breaking down lactose into glucose and galactose,Breaking down starch into maltose,Breaking down fats into fatty acids,B,"Lactase splits lactose into glucose and galactose; other enzymes handle proteins, starch, and fats.",Intestinal Enzymes,Easy,Biology,Digestion
