Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
What is the minimum energy required to eject an electron from a metal surface in the photoelectric effect?,Work function,Threshold energy,Ionization energy,Binding energy,A,"Work function is the minimum energy required; it is a characteristic of the metal, not the incident light.",Photoelectric Effect,Easy,Physics,Modern Physics
The energy of a photon is given by which equation?,E = hf,E = mc^2,E = pv,E = 1/2mv^2,A,"E = hf relates photon energy to frequency; 'h' is Planck's constant, 'f' is frequency.",Photon Energy,Easy,Physics,Modern Physics
"What is the phenomenon where an X-ray photon is scattered by a free electron, resulting in a change in wavelength?",Compton effect,Photoelectric effect,Pair production,Bremsstrahlung,A,"Compton effect involves scattering; it demonstrates particle-like behavior of photons, unlike wave-like diffraction.",Compton Effect,Medium,Physics,Modern Physics
"In the context of the Bohr model of the hydrogen atom, what is the term for the energy required to remove an electron from the ground state?",Ionization energy,Electron affinity,Binding energy,Excitation energy,A,"Ionization energy is the energy needed to remove an electron; for hydrogen, it's 13.6 eV.",Bohr Model,Easy,Physics,Modern Physics
What is the term for the production of an electron-positron pair when a high-energy photon interacts with a strong magnetic field or a nucleus?,Pair production,Annihilation,Compton scattering,Bremsstrahlung,A,Pair production involves converting photon energy into matter; requires energy >= 1.022 MeV.,Pair Production,Medium,Physics,Modern Physics
The half-life of a radioactive substance is a measure of its,Activity,Decay constant,Stability,Rate of decay,D,Half-life is the time for half the nuclei to decay; it's inversely related to the decay constant.,Radioactivity,Medium,Physics,Modern Physics
The de Broglie wavelength of a particle is related to its,Momentum,Energy,Frequency,Speed,A,"de Broglie wavelength = h/p, where 'h' is Planck's constant and 'p' is momentum.",de Broglie Hypothesis,Easy,Physics,Modern Physics
"In an X-ray tube, the minimum wavelength (λ_min) of the emitted X-rays is related to the potential difference (V) between the cathode and anode by",λ_min = hc/eV,λ_min = eV/hc,λ_min = h/eV,λ_min = e/hV,A,"λ_min = hc/eV is derived from the maximum energy (eV) of the electrons, which equals the photon energy (hc/λ).",X-ray Production,Hard,Physics,Modern Physics
The phenomenon of electron emission from a metal surface when light is shone on it is known as,Photoelectric effect,Thermionic emission,Field emission,Secondary emission,A,"Photoelectric effect involves light-induced electron emission; energy depends on light frequency, not intensity.",Photoelectric Effect,Easy,Physics,Modern Physics
The energy levels in a hydrogen atom are given by the equation E_n = -13.6 eV/n^2. What is the energy of the electron in the ground state?,-13.6 eV,-6.8 eV,0 eV,13.6 eV,A,"For n = 1, E_1 = -13.6 eV; negative energy indicates bound state.",Bohr Model,Easy,Physics,Modern Physics
The process by which a nucleus emits an alpha particle is known as,Alpha decay,Beta decay,Gamma decay,Proton emission,A,Alpha decay involves emission of 2 protons and 2 neutrons as a single particle.,Radioactivity,Easy,Physics,Modern Physics
"When a positron and an electron collide, they undergo",Annihilation,Pair production,Compton scattering,Bremsstrahlung,A,Annihilation converts matter into energy; typically produces two 0.511 MeV gamma photons.,Annihilation,Medium,Physics,Modern Physics
The intensity of X-rays produced in an X-ray tube depends on,The number of electrons hitting the target,The energy of the electrons hitting the target,The wavelength of the X-rays,The type of target material,A,"Intensity is proportional to the number of electrons (tube current), not their energy.",X-ray Production,Medium,Physics,Modern Physics
The rest mass energy of an electron is approximately,0.511 MeV,1.022 MeV,931.5 MeV,938 MeV,A,0.511 MeV is the rest mass energy of an electron (or positron); it's a fundamental constant.,Relativistic Energy,Easy,Physics,Modern Physics
The Compton shift in wavelength is given by Δλ = λ' - λ = (h/m_ec)(1 - cosθ). What does 'm_e' represent?,Mass of the electron,Mass of the photon,Mass of the proton,Mass of the neutron,A,m_e is the rest mass of the electron; it's a key parameter in Compton scattering.,Compton Effect,Medium,Physics,Modern Physics
The maximum kinetic energy of the photoelectrons emitted from a metal surface is,Directly proportional to the frequency of the incident light,Directly proportional to the intensity of the incident light,Inversely proportional to the work function of the metal,Independent of the frequency of the incident light,A,"K_max = hf - φ; it's directly related to frequency, not intensity, and φ is the work function.",Photoelectric Effect,Medium,Physics,Modern Physics
