Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
A wheel rotating at 120 rpm has an angular velocity of,4π rad/s,2π rad/s,12.57 rad/s,6.28 rad/s,C,Angular velocity = 120 rpm = 2 rps = 2 * 2π rad/s = 4π rad/s = 12.57 rad/s. Option A is close but not exact.,Angular Velocity,Easy,Physics,Rotational and Circular Motion
The unit of angular displacement in SI system is,degree,radian,revolution,rotation,B,"Angular displacement is measured in radians. Degree is an alternative unit, but not SI unit.",Angular Displacement,Easy,Physics,Rotational and Circular Motion
A body moving in a circular path with constant speed has,constant velocity,constant acceleration,variable acceleration,zero acceleration,C,"Though speed is constant, direction changes, so acceleration is variable. Option B is incorrect as acceleration is not constant.",Circular Motion,Medium,Physics,Rotational and Circular Motion
The angular momentum of a rotating body is given by,L = Iω,L = Iα,L = mv,L = ma,A,Angular momentum (L) equals moment of inertia (I) times angular velocity (ω). Option B refers to torque.,Angular Momentum,Easy,Physics,Rotational and Circular Motion
"A particle is moving in a circular path. If its speed is increasing, then",its acceleration is directed towards the center,its acceleration is directed away from the center,its acceleration has a tangential component,its acceleration is zero,C,"Increasing speed implies tangential acceleration. Thus, total acceleration has a tangential component. Option A is partially correct but incomplete.",Circular Motion,Medium,Physics,Rotational and Circular Motion
The moment of inertia of a body depends upon,mass and size,mass and density,shape and size,"mass, size, and shape",D,"Moment of inertia depends on mass distribution, size, and shape. Options A, B, and C are incomplete.",Moment of Inertia,Easy,Physics,Rotational and Circular Motion
The torque acting on a body is given by,τ = r x F,τ = r . F,τ = F / r,τ = r / F,A,Torque (τ) is the cross product of radius vector (r) and force (F). Option B refers to work done.,Torque,Easy,Physics,Rotational and Circular Motion
A body rotating with constant angular velocity has,zero angular acceleration,constant angular acceleration,variable angular acceleration,non-zero angular acceleration,A,Constant angular velocity implies zero angular acceleration. Option D is incorrect as there is no angular acceleration.,Angular Acceleration,Easy,Physics,Rotational and Circular Motion
The rotational kinetic energy of a body is given by,K = 1/2 Iω^2,K = 1/2 mv^2,K = Iω,K = 1/2 Iα^2,A,Rotational kinetic energy (K) equals half the product of moment of inertia (I) and angular velocity squared (ω^2).,Rotational Kinetic Energy,Easy,Physics,Rotational and Circular Motion
"A wheel is rotating with an initial angular velocity. To stop it, a constant torque is applied. The angular displacement it covers before coming to rest is proportional to",initial angular velocity,square of initial angular velocity,initial angular acceleration,square of torque,B,"Using ω_f^2 = ω_i^2 + 2αθ, when ω_f = 0, θ ∝ ω_i^2. Option A is incorrect as it's not directly proportional to initial angular velocity.",Rotational Kinematics,Medium,Physics,Rotational and Circular Motion
The angular frequency of a simple pendulum is,√(g/L),√(L/g),2π√(L/g),1/(2π)√(g/L),A,"Angular frequency = √(g/L). Option D refers to frequency, not angular frequency.",Simple Pendulum,Medium,Physics,Rotational and Circular Motion
A body is moving in a circular path with a constant angular velocity. The direction of its acceleration is,towards the center,away from the center,tangential to the path,perpendicular to the path,A,Centripetal acceleration is directed towards the center. Option C is incorrect as there's no tangential acceleration when speed is constant.,Circular Motion,Easy,Physics,Rotational and Circular Motion
The law of conservation of angular momentum states that,total angular momentum remains constant if no external torque acts,total angular momentum remains constant if no external force acts,angular momentum is always conserved,angular momentum is never conserved,A,Angular momentum is conserved when there's no external torque. Option B is incorrect as it refers to linear momentum.,Conservation of Angular Momentum,Easy,Physics,Rotational and Circular Motion
A particle is moving in a circular path. The direction of its linear velocity is,towards the center,away from the center,tangential to the path,perpendicular to the path,C,"Linear velocity is always tangential to the circular path. Option A is incorrect as it refers to acceleration, not velocity.",Circular Motion,Easy,Physics,Rotational and Circular Motion
The moment of inertia of a ring about its diameter is,MR^2,1/2 MR^2,1/4 MR^2,2 MR^2,B,Moment of inertia of a ring about its diameter = 1/2 MR^2. Option A refers to moment of inertia about an axis perpendicular to its plane.,Moment of Inertia,Medium,Physics,Rotational and Circular Motion
The rotational analog of force is,torque,angular momentum,moment of inertia,angular velocity,A,Torque is the rotational analog of force. Option B is incorrect as it's related to angular momentum.,Torque,Easy,Physics,Rotational and Circular Motion
A body is rotating about a fixed axis. The work done by a torque is given by,W = τθ,W = Fd,W = 1/2 Iω^2,W = τω,A,Work done by a torque = τθ. Option C refers to rotational kinetic energy.,Rotational Work,Medium,Physics,Rotational and Circular Motion
The angular momentum of a system is conserved when,no external torque acts,no external force acts,no friction is present,the system is isolated,A,Angular momentum is conserved when there's no external torque. Option B refers to conservation of linear momentum.,Conservation of Angular Momentum,Easy,Physics,Rotational and Circular Motion
A wheel is rotating with a constant angular acceleration. Its angular velocity after n rotations is,√(2α(2πn)),√(α(2πn)),√(4α(2πn)),√(α(πn)),A,"Using ω_f^2 = ω_i^2 + 2αθ, when ω_i = 0, ω_f = √(2α(2πn)). Option B is incorrect as it doesn't correctly apply the formula.",Rotational Kinematics,Hard,Physics,Rotational and Circular Motion
"A particle moves in a circular path of radius R. If its speed is increasing at a rate 'a', the magnitude of its total acceleration is",√(v^4/R^2 + a^2),√(v^4/R^2 - a^2),√(v^2/R + a),√(v^2/R - a),A,Total acceleration = √(centripetal acceleration^2 + tangential acceleration^2) = √(v^4/R^2 + a^2).,Circular Motion,Hard,Physics,Rotational and Circular Motion
A wheel of radius 0.4 m rotates with a constant angular velocity of 5 rad/s. What is its linear velocity?,1 m/s,2 m/s,3 m/s,4 m/s,B,Linear velocity = angular velocity * radius = 5 rad/s * 0.4 m = 2 m/s. Option A is incorrect because it underestimates the velocity.,Relationship between linear and angular velocity,Medium,Physics,Rotational and Circular Motion
A car is moving in a circular path of radius 50 m with a speed of 20 m/s. What is its centripetal acceleration?,4 m/s^2,6 m/s^2,8 m/s^2,10 m/s^2,C,Centripetal acceleration = v^2 / r = (20 m/s)^2 / 50 m = 8 m/s^2. Option A is incorrect because it underestimates the acceleration.,Centripetal acceleration,Medium,Physics,Rotational and Circular Motion
A particle is moving in a circular path with a constant speed. What is the direction of its acceleration?,Tangential to the circle,Perpendicular to the plane of the circle,Towards the center of the circle,Away from the center of the circle,C,"The acceleration is directed towards the center of the circle, known as centripetal acceleration. Option A is incorrect because tangential acceleration occurs when speed changes.",Direction of acceleration in circular motion,Easy,Physics,Rotational and Circular Motion
A flywheel rotates with an angular velocity of 10 rad/s and an angular acceleration of 2 rad/s^2. What will be its angular velocity after 5 s?,15 rad/s,20 rad/s,25 rad/s,30 rad/s,B,Angular velocity after time t = initial angular velocity + angular acceleration * t = 10 rad/s + 2 rad/s^2 * 5 s = 20 rad/s. Option A is incorrect because it underestimates the final angular velocity.,Angular velocity and angular acceleration,Medium,Physics,Rotational and Circular Motion
A body is rotating with a constant angular velocity. What is its angular acceleration?,Zero,Constant and non-zero,Increasing,Decreasing,A,Angular acceleration is zero when angular velocity is constant. Option B is incorrect because a constant non-zero angular acceleration would change the angular velocity.,Angular acceleration,Easy,Physics,Rotational and Circular Motion
A disc of moment of inertia 0.5 kg*m^2 is rotating with an angular velocity of 4 rad/s. What is its rotational kinetic energy?,2 J,4 J,6 J,8 J,B,Rotational kinetic energy = 0.5 * moment of inertia * (angular velocity)^2 = 0.5 * 0.5 kg*m^2 * (4 rad/s)^2 = 4 J. Option A is incorrect because it underestimates the energy.,Rotational kinetic energy,Medium,Physics,Rotational and Circular Motion
A particle is moving in a circular path of radius 0.2 m with a constant speed of 4 m/s. What is its period?,0.1π s,0.2π s,0.3π s,0.4π s,B,Period = 2πr / v = 2π * 0.2 m / 4 m/s = 0.1π s * 2 = 0.2π s (using v = 2πr/T). Option A is incorrect because it is half the correct period.,Period of circular motion,Medium,Physics,Rotational and Circular Motion
A wheel is rotating with an initial angular velocity of 2 rad/s and an angular acceleration of 1 rad/s^2. How many radians will it rotate in 4 s?,12 rad,16 rad,20 rad,24 rad,B,Angular displacement = initial angular velocity * t + 0.5 * angular acceleration * t^2 = 2 rad/s * 4 s + 0.5 * 1 rad/s^2 * (4 s)^2 = 8 + 8 = 16 rad. Option A is incorrect because it underestimates the displacement.,Angular displacement,Medium,Physics,Rotational and Circular Motion
What is the moment of inertia of a solid sphere of mass 2 kg and radius 0.3 m about its diameter?,0.072 kg*m^2,0.082 kg*m^2,0.092 kg*m^2,0.102 kg*m^2,A,Moment of inertia = (2/5) * mass * radius^2 = (2/5) * 2 kg * (0.3 m)^2 = 0.072 kg*m^2. Option B is incorrect because it overestimates the moment of inertia.,Moment of inertia of a solid sphere,Hard,Physics,Rotational and Circular Motion
"A body is rotating about a fixed axis with an angular velocity of 3 rad/s. If its moment of inertia is 0.8 kg*m^2, what is its angular momentum?",1.2 kg*m^2/s,2.4 kg*m^2/s,3.6 kg*m^2/s,4.8 kg*m^2/s,B,Angular momentum = moment of inertia * angular velocity = 0.8 kg*m^2 * 3 rad/s = 2.4 kg*m^2/s. Option A is incorrect because it underestimates the angular momentum.,Angular momentum,Medium,Physics,Rotational and Circular Motion
A ring of mass 1 kg and radius 0.4 m is rotating about its axis with an angular velocity of 5 rad/s. What is its rotational kinetic energy?,1 J,2 J,3 J,4 J,B,Rotational kinetic energy = 0.5 * moment of inertia * (angular velocity)^2 = 0.5 * (1 kg * (0.4 m)^2) * (5 rad/s)^2 = 2 J. Option A is incorrect because it underestimates the energy.,Rotational kinetic energy of a ring,Medium,Physics,Rotational and Circular Motion
"A disc is rotating with an angular velocity of 6 rad/s. If its angular velocity is doubled, by what factor does its rotational kinetic energy increase?",2,4,6,8,B,Rotational kinetic energy is proportional to the square of angular velocity. Doubling angular velocity increases energy by 2^2 = 4 times. Option A is incorrect because it underestimates the increase.,Effect of angular velocity on rotational kinetic energy,Easy,Physics,Rotational and Circular Motion
A particle is moving in a circular path with a radius of 0.5 m and a speed of 3 m/s. What is its centripetal force if its mass is 2 kg?,12 N,18 N,24 N,36 N,B,"Centripetal force = (mass * v^2) / r = (2 kg * (3 m/s)^2) / 0.5 m = 36 N. Option B is 18 N, which is incorrect because it is half the correct force.",Centripetal force,Medium,Physics,Rotational and Circular Motion
A wheel of radius 0.6 m is rotating with an angular velocity of 4 rad/s. What is the linear speed of a point on its rim?,1.2 m/s,2.4 m/s,3.6 m/s,4.8 m/s,B,Linear speed = angular velocity * radius = 4 rad/s * 0.6 m = 2.4 m/s. Option A is incorrect because it underestimates the speed.,Linear speed of a point on a rotating wheel,Easy,Physics,Rotational and Circular Motion
"A body is rotating with a constant angular acceleration. If its initial angular velocity is 1 rad/s and it rotates through an angle of 10 rad in 2 s, what is its angular acceleration?",2 rad/s^2,4 rad/s^2,6 rad/s^2,8 rad/s^2,B,"Using θ = ω0*t + 0.5*α*t^2, we get 10 rad = 1 rad/s * 2 s + 0.5 * α * (2 s)^2. Solving for α gives 4 rad/s^2. Option A is incorrect because it underestimates the angular acceleration.",Angular acceleration,Hard,Physics,Rotational and Circular Motion
A solid cylinder of mass 3 kg and radius 0.2 m is rotating about its axis with an angular velocity of 2 rad/s. What is its rotational kinetic energy?,0.12 J,0.24 J,0.36 J,0.48 J,B,Rotational kinetic energy = 0.5 * moment of inertia * (angular velocity)^2 = 0.5 * (0.5 * 3 kg * (0.2 m)^2) * (2 rad/s)^2 = 0.24 J. Option A is incorrect because it underestimates the energy.,Rotational kinetic energy of a solid cylinder,Medium,Physics,Rotational and Circular Motion
"A particle is moving in a circular path of radius 1 m with a constant speed. If its period is 2π s, what is its speed?",0.5 m/s,1 m/s,1.5 m/s,2 m/s,B,Speed = 2πr / T = 2π * 1 m / 2π s = 1 m/s. Option A is incorrect because it underestimates the speed.,Speed of a particle in circular motion,Easy,Physics,Rotational and Circular Motion
