Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
The nucleus of an atom consists of which particles?,Protons and electrons,Protons and neutrons,Neutrons and electrons,"Protons, neutrons, and electrons",B,Nucleus contains protons and neutrons. Electrons orbit the nucleus.,Nuclear Structure,Easy,Physics,Nuclear Physics
What is the term for the total number of protons in an atomic nucleus?,Mass number,Atomic number,Neutron number,Nuclear number,B,Atomic number is the count of protons in the nucleus.,Nuclear Terminology,Easy,Physics,Nuclear Physics
Which type of radiation has the highest penetrating power?,Alpha particles,Beta particles,Gamma rays,X-rays,C,Gamma rays are highly penetrating due to their nature as electromagnetic radiation.,Types of Radiation,Medium,Physics,Nuclear Physics
The half-life of a radioactive substance is 10 years. What fraction remains after 30 years?,1/2,1/4,1/8,1/16,C,"After 3 half-lives, 1/8 of the substance remains.",Radioactive Decay,Medium,Physics,Nuclear Physics
"In nuclear reactions, what is conserved?",Mass only,Energy only,Both mass and energy,Neither mass nor energy,C,Mass-energy conservation applies in nuclear reactions.,Nuclear Reactions,Easy,Physics,Nuclear Physics
What is the process by which a heavy nucleus splits into two or more lighter nuclei?,Nuclear fusion,Radioactive decay,Nuclear fission,Nuclear reaction,C,Nuclear fission is the splitting of a heavy nucleus.,Nuclear Fission,Easy,Physics,Nuclear Physics
The binding energy per nucleon is maximum for which nucleus?,Hydrogen-1,Helium-4,Iron-56,Uranium-238,C,"Iron-56 has the highest binding energy per nucleon, making it most stable.",Nuclear Stability,Medium,Physics,Nuclear Physics
What is the term for the energy required to remove a nucleon from a nucleus?,Binding energy,Nuclear energy,Separation energy,Ionization energy,C,Separation energy is the energy needed to remove a nucleon.,Nuclear Terminology,Medium,Physics,Nuclear Physics
"In a nuclear reactor, what is the function of the moderator?",To absorb neutrons,To slow down neutrons,To cool the reactor,To control the reaction rate,B,Moderator slows down neutrons to increase the probability of fission.,Nuclear Reactors,Medium,Physics,Nuclear Physics
What is the result of the fusion of two light nuclei?,A heavier nucleus and energy release,A lighter nucleus and energy absorption,No change in nucleus,Only energy release,A,Nuclear fusion results in a heavier nucleus and energy release.,Nuclear Fusion,Easy,Physics,Nuclear Physics
The activity of a radioactive sample is measured in which unit?,Becquerel (Bq),Sievert (Sv),Gray (Gy),Curie (Ci),A,"Becquerel is the SI unit of activity, measuring decays per second.",Radioactivity Units,Easy,Physics,Nuclear Physics
What is the effect of increasing temperature on the rate of radioactive decay?,Increases the rate,Decreases the rate,No effect,Reverses the decay,C,Radioactive decay rate is independent of temperature.,Radioactive Decay,Medium,Physics,Nuclear Physics
Which radiation is most easily stopped by a sheet of paper?,Alpha particles,Beta particles,Gamma rays,X-rays,A,Alpha particles are stopped by a sheet of paper due to their large mass and charge.,Types of Radiation,Easy,Physics,Nuclear Physics
The mass defect of a nucleus is related to its binding energy by which equation?,E = mc^2,E = m/c^2,E = m*c,E = m/c,A,Mass defect is converted into binding energy according to Einstein's equation.,Nuclear Binding Energy,Hard,Physics,Nuclear Physics
"In a nuclear reaction, if the mass of the products is less than the mass of the reactants, what happens to the missing mass?",It is converted into energy,It is absorbed by the surroundings,It is stored in the nucleus,It disappears,A,Missing mass is converted into energy according to E=mc^2.,Nuclear Reactions,Medium,Physics,Nuclear Physics
What is the primary purpose of control rods in a nuclear reactor?,To slow down neutrons,To absorb neutrons,To cool the reactor,To generate electricity,B,Control rods absorb neutrons to regulate the reaction rate.,Nuclear Reactors,Medium,Physics,Nuclear Physics
The decay constant of a radioactive substance is 0.1 s^-1. What is its half-life?,6.93 s,0.693 s,10 s,1 s,A,Half-life = ln(2)/decay constant = 0.693/0.1 = 6.93 s.,Radioactive Decay,Hard,Physics,Nuclear Physics
Which of the following is an example of nuclear fusion?,Uranium-238 decaying into Thorium-234,Hydrogen nuclei combining to form Helium,Carbon-14 decaying into Nitrogen-14,Uranium-235 undergoing fission,B,Hydrogen nuclei fusing to form Helium is an example of nuclear fusion.,Nuclear Fusion,Easy,Physics,Nuclear Physics
The ionizing power is maximum for which type of radiation?,Alpha particles,Beta particles,Gamma rays,X-rays,A,Alpha particles have the highest ionizing power due to their charge and mass.,Types of Radiation,Medium,Physics,Nuclear Physics
What is the term for the spontaneous emission of radiation from a nucleus?,Radioactivity,Nuclear reaction,Nuclear fission,Nuclear fusion,A,Radioactivity is the spontaneous emission of radiation from an unstable nucleus.,Radioactivity,Easy,Physics,Nuclear Physics
"A sample of radioactive material has 4.0 x 10^18 atoms. If its decay constant is 0.02 s^-1, how many atoms decay in 2 seconds?",1.28 x 10^18,3.20 x 10^17,6.40 x 10^17,1.60 x 10^18,A,"Using N = N0 * e^(-λt), we find the remaining atoms, then subtract from initial. Most tempting wrong option 'D' assumes linear decay.",Radioactive Decay,Medium,Physics,Nuclear Physics
The half-life of a radioactive substance is 10 years. What fraction of the substance remains after 30 years?,1/8,1/4,1/2,1/16,A,"After 3 half-lives, the fraction remaining is (1/2)^3 = 1/8. Option 'C' is wrong as it's after 1 half-life.",Half-Life,Easy,Physics,Nuclear Physics
A nucleus of Uranium-238 undergoes alpha decay. What is the mass number of the resulting nucleus?,234,236,238,240,A,Alpha decay reduces mass number by 4. Resulting nucleus has mass number 238 - 4 = 234. Option 'B' incorrectly adds 2 protons.,Alpha Decay,Easy,Physics,Nuclear Physics
"The binding energy per nucleon for a nucleus is 8.5 MeV. If the nucleus has 100 nucleons, what is its total binding energy?",850 MeV,85 MeV,8.5 MeV,0.085 MeV,A,Total binding energy = binding energy per nucleon * number of nucleons = 8.5 MeV * 100 = 850 MeV. Option 'B' divides instead of multiplying.,Nuclear Binding Energy,Medium,Physics,Nuclear Physics
"In a nuclear reactor, the moderator is used to",absorb neutrons,slow down neutrons,speed up neutrons,reflect neutrons,B,Moderator slows down neutrons to increase probability of fission. Option 'A' is wrong as it's the function of control rods.,Nuclear Reactors,Easy,Physics,Nuclear Physics
The mass defect of a nucleus is 0.1 u. What is its binding energy?,93 MeV,93.1 MeV,9.3 MeV,931 MeV,A,Binding energy = mass defect * 931 MeV/u = 0.1 u * 931 MeV/u = 93.1 MeV. Option 'C' forgets to multiply by 931.,Mass Defect and Binding Energy,Medium,Physics,Nuclear Physics
"A radioactive sample has an activity of 1000 Bq. If its decay constant is 0.01 s^-1, how many radioactive atoms are present?",100000,10000,1000,50000,A,"Activity = λN, so N = Activity / λ = 1000 / 0.01 = 100000. Option 'B' incorrectly divides by 0.1.",Radioactivity,Medium,Physics,Nuclear Physics
The energy released in a nuclear fission reaction is approximately,200 MeV,20 MeV,2 MeV,0.2 MeV,A,Fission releases around 200 MeV of energy per reaction. Option 'B' underestimates this energy.,Nuclear Fission,Easy,Physics,Nuclear Physics
"In a nuclear fusion reaction, two deuterium nuclei combine to form a helium nucleus. What is the resulting nucleus?",Helium-4,Helium-3,Tritium,Helium-2,A,"Deuterium-deuterium fusion produces Helium-3 and a neutron, or Helium-4 and a gamma ray (less common). Most stable result is Helium-4 (after including the other products).",Nuclear Fusion,Hard,Physics,Nuclear Physics
The count rate of a radioactive sample decreases from 1600 counts per minute to 100 counts per minute in 8 hours. What is its half-life?,2 hours,1 hour,4 hours,8 hours,A,"Using the formula for count rate and half-life, we can determine that the half-life is 2 hours. Option 'C' misinterprets the count rate directly as half-life.",Half-Life,Medium,Physics,Nuclear Physics
The decay constant of a radioactive substance is 0.05 s^-1. What is its half-life?,13.86 s,1.386 s,0.1386 s,138.6 s,A,Half-life = ln(2) / λ = 0.693 / 0.05 = 13.86 s. Option 'B' uses wrong value for ln(2).,Radioactive Decay,Medium,Physics,Nuclear Physics
The mass of a nucleus is less than the sum of the masses of its constituent nucleons. This difference is called,mass defect,binding energy,nuclear energy,ionization energy,A,"The mass difference is known as mass defect, which is related to binding energy. Option 'B' confuses the effect (binding energy) with the cause (mass defect).",Mass Defect,Easy,Physics,Nuclear Physics
A sample of Radon-222 has a half-life of 3.8 days. How long will it take for the sample to decay to 1/16 of its original amount?,15.2 days,7.6 days,3.8 days,30.4 days,A,"To decay to 1/16, it takes 4 half-lives (1/2)^4 = 1/16. 4 * 3.8 days = 15.2 days. Option 'B' calculates for 2 half-lives.",Half-Life,Medium,Physics,Nuclear Physics
The energy released when a nucleus is formed from its constituent nucleons is called,binding energy,ionization energy,excitation energy,nuclear energy,A,"The energy released is known as binding energy, which holds the nucleus together. Option 'D' is too broad and not specific.",Nuclear Binding Energy,Easy,Physics,Nuclear Physics
A nucleus undergoes beta decay. What happens to its atomic number?,Increases by 1,Decreases by 1,Remains the same,Increases by 2,A,"In beta decay, a neutron converts to a proton, increasing the atomic number by 1. Option 'B' is wrong as it's the case for positron emission or electron capture.",Beta Decay,Easy,Physics,Nuclear Physics
The radiation that is most penetrating is,gamma radiation,alpha particles,beta particles,neutrons,A,Gamma radiation is the most penetrating due to its lack of charge and mass. Option 'B' is wrong as alpha particles are heavily ionizing but not penetrating.,Radiation Types,Easy,Physics,Nuclear Physics
"In a nuclear reaction, mass is converted into energy according to the equation",E = mc^2,E = mc,E = m/c,E = m/c^2,A,Einstein's equation relates mass (m) and energy (E) with the speed of light (c). Option 'B' forgets to square 'c'.,Mass-Energy Equivalence,Easy,Physics,Nuclear Physics
"The activity of a radioactive sample is 5000 Bq. If the decay constant is 0.02 min^-1, how many nuclei are present?",250000,25000,2500,250,A,"Activity = λN, so N = Activity / λ. Converting λ to s^-1, we get N = 5000 / (0.02/60) = 250000. Option 'B' uses λ in min^-1 directly.",Radioactivity,Hard,Physics,Nuclear Physics
"A proton and a neutron combine to form a deuterium nucleus, releasing 2.2 MeV of energy. What is the mass defect?",0.0024 u,0.024 u,0.002 u,0.24 u,A,Mass defect = Energy released / 931 MeV/u = 2.2 MeV / 931 MeV/u = 0.0024 u. Option 'B' incorrectly divides by 93 instead of 931.,Mass Defect and Binding Energy,Medium,Physics,Nuclear Physics
The process by which a heavy nucleus splits into two or more lighter nuclei is called,nuclear fission,nuclear fusion,radioactive decay,nuclear reaction,A,"Nuclear fission is the process of a heavy nucleus splitting. Option 'B' is the opposite process, where lighter nuclei combine.",Nuclear Fission,Easy,Physics,Nuclear Physics
"A nucleus undergoes alpha decay, reducing its mass number by 4 and atomic number by 2. How many neutrons remain in the daughter nucleus if the parent had 146 neutrons and 92 protons?",144,140,142,146,B,Neutrons = (Parent protons + neutrons) - decay losses. Alpha decay removes 2 protons and 2 neutrons. Option D fails to subtract 2 neutrons.,Alpha Decay and Nuclear Composition,Medium,Physics,Nuclear Physics
A sample of ²³⁸U (half-life 4.5 billion years) has 1/8th the original activity. How many half-lives have elapsed?,3,4,2,5,A,"Activity halves every half-life. 1/8 = (1/2)^3, so 3 half-lives elapsed. Option B incorrectly adds one more half-life.",Radioactive Half-Life Calculations,Easy,Physics,Nuclear Physics
"If a neutron star converts 0.7% of its mass to energy, what is the energy released? (Given: mass = 2.8 × 10³⁰ kg, c = 3 × 10⁸ m/s)",1.8 × 10⁵⁰ J,2.1 × 10⁵¹ J,1.89 × 10⁵⁰ J,1.89 × 10⁵² J,C,Use E = Δmc² = 0.007 × 2.8 × 10³⁰ × (9 × 10¹⁶). Option A incorrectly omits the 0.7% conversion factor.,Mass-Energy Equivalence in Stars,Hard,Physics,Nuclear Physics
The binding energy of ⁴He is 28.3 MeV. What is its binding energy per nucleon?,7.08 MeV,14.15 MeV,28.3 MeV,56.6 MeV,A,Binding energy per nucleon = total BE / mass number. 28.3 MeV / 4 = 7.08 MeV. Option B divides by 2 instead of 4.,Binding Energy Per Nucleon,Easy,Physics,Nuclear Physics
"In a fission reaction, 0.001 kg of mass is converted to energy. How much energy is released? (c = 3 × 10⁸ m/s)",9 × 10¹³ J,9 × 10¹⁴ J,9 × 10¹² J,9 × 10¹¹ J,A,E = mc² = 0.001 × (3 × 10⁸)² = 9 × 10¹³ J. Option B misplaces the decimal.,Energy from Mass Defect,Medium,Physics,Nuclear Physics
A nuclear reactor produces 2000 MW for 1 hour. How many joules of energy are generated?,7.2 × 10⁹ J,7.2 × 10¹⁰ J,2 × 10⁹ J,2 × 10¹¹ J,A,Energy = power × time = 2000 × 10⁶ W × 3600 s = 7.2 × 10⁹ J. Option B miscalculates unit conversion.,Power and Energy in Reactors,Medium,Physics,Nuclear Physics
"If a neutron moderator slows neutrons from 2 MeV to 0.025 eV, what is the ratio of their kinetic energies before and after?",80000:1,1:80000,1000:1,1:1000,A,"Energy ratio = 2 × 10⁶ eV / 0.025 eV = 80,000. Option C ignores the correct unit conversion.",Neutron Moderation in Reactors,Medium,Physics,Nuclear Physics
A ³²P sample decays with a half-life of 14.3 days. What fraction remains after 28.6 days?,1/4,1/2,1/8,1/16,A,Two half-lives = 28.6 days. Remaining fraction = (1/2)² = 1/4. Option C miscalculates half-life count.,Exponential Decay of Radioisotopes,Easy,Physics,Nuclear Physics
"In beta-minus decay, a neutron converts to a proton via emission of a(n)...",electron and neutrino,positron and neutrino,electron and antineutrino,gamma photon,C,Beta-minus decay emits an electron and antineutrino. Option A incorrectly includes neutrino instead of antineutrino.,Beta Decay Mechanism,Medium,Physics,Nuclear Physics
A fusion reaction releases 2.4 × 10¹⁵ J of energy. What mass was converted to energy? (c = 3 × 10⁸ m/s),26.7 g,26.7 kg,2.67 g,0.267 kg,A,m = E/c² = 2.4 × 10¹⁵ / (9 × 10¹⁶) = 0.0267 kg = 26.7 g. Option B misplaces decimal.,Mass Defect in Fusion,Hard,Physics,Nuclear Physics
The binding energy of ¹²C is 92.16 MeV. What is the average binding energy per nucleon?,7.68 MeV,12.0 MeV,9.216 MeV,23.04 MeV,A,Binding energy per nucleon = 92.16 MeV / 12 = 7.68 MeV. Option C divides by atomic number instead of mass number.,Nuclear Binding Energy Calculations,Easy,Physics,Nuclear Physics
A ¹⁴C sample has 25% of its original activity. How many half-lives have passed?,2,3,4,1,A,Activity halves per half-life. 25% = (1/2)² = 2 half-lives. Option B miscalculates as three.,Carbon Dating and Half-Life,Easy,Physics,Nuclear Physics
"If a nucleus emits two alpha particles and one beta particle, what is the net change in atomic number?",-3,-1,-5,-2,A,"Each alpha reduces atomic number by 2 (total -4), beta increases by 1. Net change = -3. Option D ignores beta decay.",Decay Series and Atomic Number Change,Medium,Physics,Nuclear Physics
