Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,The severity of the 2005 Kashmir earthquake on the Richter scale was _________.,6.9,7.6,7.1,None of these,B
2,The national animal of Pakistan is the ____________.,Rabbit,Deer,Tiger,Markhor,D
3,The First Amendment to the Constitution of Pakistan was related to the __________.,Demarcation of the border of Pakistan,Declaration of Islam as a state religion,Both A and B,None of these,A
4,"The invader Amir Timur, also known as Tamerlane, reached Delhi in which year?",In 1399,In 1398,In 1412,In 1414,B
5,"After being deposed, Shah Jahan spent his last years under house arrest in which fort?",Red Fort,Agra Fort,Lahore Fort,Rohtas Fort,B
6,Jalal-ud-din Akbar was the son of _____________.,Nasir-ud-din Humayun,Shah Jahan,Jahangir,Babur,A
7,Who was the first Muslim king of India?,Muhammad Tughluq,Ibrahim Lodhi,Qutb-ud-din Aibak,Humayun,C
8,"The first US ambassador to Pakistan, Paul H. Alling, was appointed on:",on 10 August 1947,on 15 August 1947,on 20 September 1947,on 17 September 1947,C
9,ICT stands for _________.,Islamabad Capital Total,Islamabad City Tribes,Islamabad Capital Territory,Islamabad City Territory,C
10,Rohri is a city located in the district of:,"Lahore, Punjab","Sukkur, Sindh","Mardan, KPK",None of these,B
11,The Shakir Ali Museum is located in _________.,Lahore,Peshawar,Faisalabad,Islamabad,A
12,How many members were in the Simon Commission?,Five,Seven,Nine,Ten,B
13,When was Pakistan's first satellite Badr-I launched?,on 18 July 1990,on 1 June 1992,on 16 July 1990,on 12 July 1988,C
14,The first secretary of the All-India Khilafat Committee was _________.,Mohammad Ali Jauhar,Maulana Shaukat Ali,Maulana Hasrat Mohani,None of these,B
15,When did Taiwan separate from China?,1947,1949,1963,1977,B
16,State Bank of Pakistan was inaugurated on:,"on 17th August, 1947","on 14th December, 1947","on 10th January, 1948","on 1st July, 1948",D
17,The administrative headquarters of North Waziristan is __________.,Mir Ali,Datta Khel,Miranshah,Ghulam Khan,C
18,How is the President of Pakistan elected?,By the National Assembly,By the Senate,By Provincial Assemblies,"By the National Assembly, Senate, and Provincial Assemblies",D
