Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
What is the primary purpose of using restriction endonucleases in genetic engineering?,To synthesize new DNA strands,To amplify DNA sequences,To cut DNA at specific recognition sites,To ligate DNA fragments,C,"Restriction endonucleases cut DNA at specific sequences, creating compatible ends for cloning; they don't synthesize or ligate DNA.",Genetic Engineering Tools,Easy,Biology,Biotechnology
A scientist wants to introduce a gene for pest resistance into a crop plant. Which vector is commonly used?,Bacteriophage,Ti plasmid,Retrovirus,Cosmid,B,"Ti plasmid is used for plant transformation; bacteriophage and cosmid are used in bacteria, retrovirus in animals.",Gene Transfer Methods,Medium,Biology,Biotechnology
What is the role of DNA ligase in cloning?,To cut DNA at specific sites,To synthesize complementary DNA strands,To join DNA fragments together,To degrade unwanted DNA,C,"DNA ligase seals gaps between DNA fragments; it doesn't cut, synthesize, or degrade DNA.",DNA Manipulation Enzymes,Easy,Biology,Biotechnology
Which technique is used to amplify a specific DNA sequence?,Gel electrophoresis,Polymerase Chain Reaction (PCR),DNA sequencing,Cloning,B,"PCR amplifies specific DNA sequences; gel electrophoresis separates DNA, sequencing determines order, cloning makes copies.",DNA Amplification Techniques,Easy,Biology,Biotechnology
What is the function of a selectable marker in a cloning vector?,To identify the insert size,To facilitate cloning of large DNA fragments,To select cells that have taken up the vector,To enhance expression of the insert,C,Selectable markers allow identification of cells containing the vector; they don't directly affect insert size or expression.,Cloning Vectors,Medium,Biology,Biotechnology
A researcher is studying the expression of a gene using a reporter gene. What is the typical function of a reporter gene?,To produce a toxic protein,To enhance the expression of the gene of interest,To indicate the activity of the promoter,To silence the gene of interest,C,"Reporter genes indicate promoter activity; they don't produce toxins, enhance expression, or silence genes directly.",Gene Expression Analysis,Medium,Biology,Biotechnology
Which of the following is an application of biotechnology in medicine?,Production of biofuels,Development of genetically modified crops,Production of recombinant vaccines,Bioremediation,C,"Recombinant vaccines are a medical application; biofuels, GM crops, and bioremediation are industrial/agricultural/environmental applications.",Medical Applications of Biotechnology,Easy,Biology,Biotechnology
What is the purpose of using a cDNA library?,To store genomic DNA fragments,To clone genes based on their expression,To sequence entire genomes,To amplify specific DNA sequences,B,"cDNA libraries represent expressed genes; they don't store genomic DNA, sequence genomes, or amplify specific sequences directly.",cDNA Libraries,Medium,Biology,Biotechnology
"In genetic engineering, what is the term for the process of introducing foreign DNA into a host cell?",Transformation,Transduction,Transfection,Conjugation,A,"Transformation refers to direct DNA uptake; transduction involves viruses, transfection is used for animal cells, conjugation is bacterial cell-to-cell transfer.",Gene Transfer Methods,Medium,Biology,Biotechnology
What is the main advantage of using embryonic stem cells in biotechnology?,They are easily available,They can differentiate into any cell type,They are less likely to cause immune rejection,They can be cultured indefinitely,B,"Embryonic stem cells are pluripotent; they can become any cell type, unlike adult stem cells which are multipotent.",Stem Cell Biology,Hard,Biology,Biotechnology
Which enzyme is responsible for synthesizing cDNA from mRNA?,DNA polymerase,Reverse transcriptase,RNA polymerase,Taq polymerase,B,"Reverse transcriptase synthesizes cDNA from RNA; DNA polymerase synthesizes DNA from DNA, RNA polymerase transcribes DNA to RNA.",cDNA Synthesis,Easy,Biology,Biotechnology
A scientist is using gel electrophoresis to separate DNA fragments. What is the basis of separation?,Size and charge,Size only,Charge only,Sequence,A,"DNA separation is based on size (length) and charge; DNA is negatively charged, so size is the main variable.",DNA Separation Techniques,Medium,Biology,Biotechnology
What is the role of Taq polymerase in PCR?,To synthesize primers,To ligate DNA fragments,To amplify DNA sequences,To degrade DNA,C,"Taq polymerase amplifies DNA; it doesn't synthesize primers, ligate DNA, or degrade DNA.",PCR Components,Easy,Biology,Biotechnology
Which vector is commonly used to clone large DNA fragments?,Plasmid,Bacteriophage,Cosmid,YAC (Yeast Artificial Chromosome),D,"YACs can hold very large DNA inserts; cosmids hold up to 40 kb, plasmids and bacteriophages hold smaller fragments.",Cloning Vectors for Large DNA,Hard,Biology,Biotechnology
What is the primary purpose of using bioinformatics tools in biotechnology?,To analyze genomic data,To amplify DNA sequences,To clone genes,To express proteins,A,"Bioinformatics tools analyze genomic and proteomic data; they don't directly amplify, clone, or express genes/proteins.",Bioinformatics,Medium,Biology,Biotechnology
"In gene therapy, what is the goal of using viral vectors?",To deliver healthy copies of a gene to cells,To induce an immune response,To diagnose genetic disorders,To produce recombinant proteins,A,"Viral vectors deliver therapeutic genes to cells; they don't primarily induce immunity, diagnose disorders, or produce proteins.",Gene Therapy,Medium,Biology,Biotechnology
What is the term for the process of analyzing the protein products of genes?,Genomics,Transcriptomics,Proteomics,Metabolomics,C,"Proteomics studies protein products; genomics studies genes, transcriptomics studies RNA, metabolomics studies metabolic products.",Omics Technologies,Hard,Biology,Biotechnology
Which of the following is a benefit of using genetically modified crops?,Increased water requirement,Reduced pesticide use,Decreased nutritional value,Increased susceptibility to pests,B,GM crops can reduce pesticide use through pest resistance; they don't inherently increase water needs or reduce nutrition.,Agricultural Biotechnology,Easy,Biology,Biotechnology
What is the purpose of DNA sequencing?,To amplify DNA sequences,To clone genes,To determine the order of nucleotides,To express proteins,C,"DNA sequencing determines nucleotide order; it doesn't amplify, clone, or directly lead to protein expression.",DNA Sequencing,Easy,Biology,Biotechnology
A gene editing technique that allows for precise modifications to the genome is known as?,CRISPR-Cas9,PCR,Cloning,DNA sequencing,A,"CRISPR-Cas9 enables precise genome editing; PCR amplifies DNA, cloning makes copies, sequencing determines order.",Gene Editing Techniques,Medium,Biology,Biotechnology
A patient is diagnosed with a genetic disorder caused by a point mutation. Which biotechnology technique is used to detect this mutation?,PCR,DNA sequencing,Gene therapy,DNA fingerprinting,B,"DNA sequencing detects the exact mutation, while PCR amplifies the DNA region; gene therapy treats the disorder.",Genetic Engineering,Medium,Biology,Biotechnology
A biotech company is developing a genetically modified crop resistant to a specific herbicide. What is the primary gene transfer method used?,Agrobacterium-mediated transformation,Electroporation,Microinjection,Biolistics,A,Agrobacterium is commonly used for plant transformation; biolistics is also used but less common for herbicide resistance.,Genetic Engineering in Plants,Easy,Biology,Biotechnology
A scientist is studying the expression of a specific gene in a disease model. Which technique is best suited for quantifying mRNA levels?,RT-PCR,Western blotting,Northern blotting,ELISA,A,RT-PCR quantifies mRNA; Western blotting detects proteins; Northern blotting is less sensitive than RT-PCR.,Gene Expression Analysis,Medium,Biology,Biotechnology
A genetic counselor is analyzing a family's pedigree to assess the risk of a genetic disorder. What biotechnology tool is used for this purpose?,DNA fingerprinting,PCR,Genetic linkage analysis,Karyotyping,C,Genetic linkage analysis identifies disease-linked genes; karyotyping detects chromosomal abnormalities.,Genetic Counseling,Hard,Biology,Biotechnology
A researcher is developing a vaccine using recombinant DNA technology. Which vector is commonly used for expressing the antigen?,Plasmid,Bacteriophage,Cosmid,YAC,A,Plasmids are commonly used for antigen expression; bacteriophages and cosmids are used for cloning larger DNA fragments.,Recombinant DNA Technology,Easy,Biology,Biotechnology
A patient is treated with a recombinant protein produced through biotechnology. Which disease is likely being treated if the protein is insulin?,Diabetes mellitus,Hyperthyroidism,Growth hormone deficiency,Hemophilia,A,Insulin treats diabetes mellitus; growth hormone deficiency is treated with recombinant growth hormone.,Recombinant Proteins,Easy,Biology,Biotechnology
A biologist is studying the function of a specific gene by analyzing its knockout in mice. What technique is used to create the knockout?,CRISPR-Cas9,RNA interference,Gene editing,Homologous recombination,A,CRISPR-Cas9 is a precise gene editing tool; homologous recombination is used in traditional knockout methods.,Gene Editing,Medium,Biology,Biotechnology
A forensic scientist is analyzing DNA evidence from a crime scene. Which technique is used to amplify the DNA sample?,PCR,DNA sequencing,DNA fingerprinting,Gene therapy,A,PCR amplifies DNA; DNA sequencing determines the DNA sequence; DNA fingerprinting identifies individuals.,Forensic Biotechnology,Easy,Biology,Biotechnology
A company is producing a recombinant vaccine. What is the primary advantage of using a recombinant vaccine over a traditional vaccine?,Increased immunogenicity,Reduced production cost,Improved safety,Broader antigenic coverage,C,Recombinant vaccines are safer as they contain specific antigens; traditional vaccines may contain inactivated pathogens.,Recombinant Vaccines,Medium,Biology,Biotechnology
A researcher is using gel electrophoresis to separate DNA fragments. What is the basis for the separation?,Size,Charge,Sequence,Concentration,A,Gel electrophoresis separates DNA by size; charge is a factor but size is the primary basis.,DNA Separation Techniques,Easy,Biology,Biotechnology
A genetic disorder is caused by a frameshift mutation. Which biotechnology technique can be used to correct this mutation?,Gene editing,Gene expression analysis,DNA sequencing,PCR,A,Gene editing corrects mutations; DNA sequencing detects mutations; PCR amplifies DNA regions.,Gene Therapy,Medium,Biology,Biotechnology
A scientist is producing a recombinant protein in E. coli. What is the primary advantage of using E. coli as an expression system?,High yield,Post-translational modifications,Eukaryotic expression,Low cost,D,E. coli is a low-cost expression system; it lacks post-translational modifications found in eukaryotes.,Recombinant Protein Expression,Medium,Biology,Biotechnology
A doctor is using genetic testing to diagnose a genetic disorder in a fetus. What is the primary source of fetal DNA for this test?,Amniotic fluid,Maternal blood,Chorionic villus sampling,Fetal tissue,A,Amniotic fluid contains fetal cells; chorionic villus sampling is also used but involves placental tissue.,Prenatal Diagnosis,Easy,Biology,Biotechnology
A researcher is studying the genetic basis of a disease using genome-wide association studies (GWAS). What is the primary goal of GWAS?,Identifying disease-causing genes,Understanding gene expression,Developing gene therapy,Diagnosing genetic disorders,A,GWAS identifies genetic variants associated with diseases; gene expression analysis is a separate technique.,Genome-Wide Association Studies,Medium,Biology,Biotechnology
A scientist is using RNA interference (RNAi) to study gene function. What is the mechanism by which RNAi silences gene expression?,Degrading mRNA,Inhibiting transcription,Blocking translation,Activating gene expression,A,RNAi degrades mRNA; it does not directly inhibit transcription or block translation.,RNA Interference,Medium,Biology,Biotechnology
A researcher is studying the effects of a specific gene knockout on development. Which model organism is commonly used for this purpose?,Drosophila melanogaster,Caenorhabditis elegans,Mus musculus,Arabidopsis thaliana,C,Mus musculus (mice) are commonly used for gene knockout studies due to their genetic similarity to humans.,Model Organisms,Easy,Biology,Biotechnology
A doctor is using genetic screening to identify carriers of a genetic disorder. What is the primary benefit of identifying carriers?,Preventing disease transmission,Diagnosing the disease early,Treating the disease,Understanding disease genetics,A,Identifying carriers helps prevent disease transmission through genetic counseling and family planning.,Genetic Screening,Medium,Biology,Biotechnology
A biologist is analyzing the phylogenetic relationship between different species using DNA sequences. What is the primary advantage of using DNA sequences for phylogenetic analysis?,High resolution,Morphological information,Fossil record data,Ecological information,A,DNA sequences provide high-resolution phylogenetic information; morphological and fossil data are also used but are less precise.,Phylogenetic Analysis,Hard,Biology,Biotechnology
A scientist uses a restriction enzyme that cuts DNA at a palindrome sequence. What is unusual about the cut ends?,They are phosphorylated,They are blunt,They are sticky with 5' overhangs,They are complementary and can reanneal,D,"Sticky ends are complementary and can reanneal; Not all palindromic cuts produce sticky ends, some are blunt.",Restriction Enzymes,Medium,Biology,Biotechnology
Why is Taq polymerase used in PCR instead of human DNA polymerase?,It is more accurate,It is thermostable,It has proofreading ability,It is faster,B,"Taq polymerase is thermostable, allowing it to withstand high PCR temperatures; Human DNA polymerase is not thermostable.",Polymerase Chain Reaction,Easy,Biology,Biotechnology
"In genetic engineering, what is an exception to the typical function of a selectable marker?",It always confers antibiotic resistance,It can be used to identify recombinant cells,It sometimes causes insertional inactivation,It is always constitutively expressed,C,"Selectable markers can cause insertional inactivation when a gene is inserted within them, disrupting their function.",Selectable Markers,Hard,Biology,Biotechnology
A gene of interest is cloned into a plasmid vector. What is a common method to confirm successful cloning?,PCR of the insert,Restriction digestion analysis,DNA sequencing,All of the above methods are used,D,"Multiple methods are used to confirm cloning success, including PCR, restriction digestion, and DNA sequencing.",Cloning,Easy,Biology,Biotechnology
Why are retroviruses used as vectors in gene therapy?,They can integrate into the host genome,They are non-pathogenic,They have a DNA genome,They are easy to culture,A,"Retroviruses integrate into the host genome, allowing for stable expression of the therapeutic gene; They are actually pathogenic.",Gene Therapy,Medium,Biology,Biotechnology
What is a characteristic of DNA ligase used in genetic engineering?,It requires a template,It seals nicks in double-stranded DNA,It is specific to blunt ends,It requires ATP or NAD+ as a cofactor,D,"DNA ligase requires ATP (or NAD+ in some cases) to form a phosphodiester bond; It seals nicks, not just specific to blunt ends.",DNA Ligase,Medium,Biology,Biotechnology
"In biotechnology, what is the purpose of using a cDNA library?",To clone genomic DNA,To study gene expression in different tissues,To amplify a specific gene,To identify protein-protein interactions,B,"cDNA libraries represent expressed genes, allowing study of gene expression across different tissues; They lack introns.",cDNA Libraries,Medium,Biology,Biotechnology
