Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"A force of 10 N acts on a body, displacing it by 2 m in the direction of the force. What is the work done?",5 J,10 J,20 J,40 J,C,"Work done is calculated as force times displacement in the direction of the force, so 10 N * 2 m = 20 J.",Work Done by a Constant Force,Easy,Physics,Work and Energy
The energy of a body due to its motion is called,Potential energy,Kinetic energy,Mechanical energy,Thermal energy,B,"Kinetic energy is the energy of motion, whereas potential energy is stored energy.",Kinetic Energy,Easy,Physics,Work and Energy
A 2 kg object is moving at a speed of 4 m/s. What is its kinetic energy?,4 J,8 J,16 J,32 J,C,Kinetic energy = 0.5 * m * v^2 = 0.5 * 2 kg * (4 m/s)^2 = 16 J.,Kinetic Energy,Medium,Physics,Work and Energy
The unit of energy in the SI system is,Joule,Watt,Newton,Pascal,A,"Joule is the SI unit of energy, whereas Watt is the unit of power.",Units of Energy,Easy,Physics,Work and Energy
A body is lifted to a height of 10 m. What type of energy does it possess at this height?,Kinetic energy,Potential energy,Thermal energy,Electrical energy,B,"At a height, the body possesses potential energy due to its position.",Potential Energy,Easy,Physics,Work and Energy
The work-energy theorem states that the net work done on an object is equal to its change in,Potential energy,Kinetic energy,Momentum,Acceleration,B,The work-energy theorem relates net work done to the change in kinetic energy.,Work-Energy Theorem,Medium,Physics,Work and Energy
A 5 kg block is pulled up a frictionless incline to a height of 3 m. What is the work done?,150 J,147 J,150 N,0 J,A,"Work done = m * g * h = 5 kg * 9.8 m/s^2 * 3 m = 147 J, closest answer is 150 J.",Work Done Against Gravity,Medium,Physics,Work and Energy
The rate of doing work is called,Energy,Power,Force,Momentum,B,Power is the rate at which work is done or energy is transferred.,Power,Easy,Physics,Work and Energy
A machine does 100 J of work in 5 seconds. What is its power?,20 W,50 W,100 W,500 W,A,Power = work / time = 100 J / 5 s = 20 W.,Power,Medium,Physics,Work and Energy
The law of conservation of energy states that energy cannot be,Created,Destroyed,Transformed,Both A and B,D,"Energy cannot be created or destroyed, only transformed from one form to another.",Conservation of Energy,Easy,Physics,Work and Energy
"A ball is thrown upwards. At the highest point, its energy is entirely",Kinetic,Potential,Thermal,Both kinetic and potential,B,"At the highest point, the ball's energy is entirely potential due to its height.",Energy Transformation,Medium,Physics,Work and Energy
The energy stored in a stretched spring is an example of,Kinetic energy,Potential energy,Thermal energy,Electrical energy,B,A stretched spring stores potential energy due to its elastic deformation.,Potential Energy,Easy,Physics,Work and Energy
"A force of 20 N acts on a body at an angle of 60 degrees to its direction of motion. If the body moves 5 m, what is the work done?",25 J,50 J,75 J,100 J,B,Work done = F * d * cos(θ) = 20 N * 5 m * cos(60°) = 20 * 5 * 0.5 = 50 J.,Work Done by a Force at an Angle,Medium,Physics,Work and Energy
A body of mass 10 kg is moving with a velocity of 2 m/s. Its kinetic energy is,10 J,20 J,40 J,200 J,B,Kinetic energy = 0.5 * m * v^2 = 0.5 * 10 kg * (2 m/s)^2 = 20 J.,Kinetic Energy,Easy,Physics,Work and Energy
"A car accelerates from rest to a speed of 20 m/s. If its mass is 1500 kg, what is the work done?",150 kJ,300 kJ,450 kJ,600 kJ,B,"Work done = change in kinetic energy = 0.5 * m * (v_f^2 - v_i^2) = 0.5 * 1500 kg * (20 m/s)^2 = 300,000 J = 300 kJ.",Work-Energy Theorem,Hard,Physics,Work and Energy
"A 50 N force is applied to a body, causing it to move 4 m in 2 seconds. What is the average power delivered?",25 W,50 W,100 W,200 W,C,"Work done = F * d = 50 N * 4 m = 200 J, Power = work / time = 200 J / 2 s = 100 W.",Power,Medium,Physics,Work and Energy
The potential energy of a body at a height of 5 m is 245 J. What is its mass?,2 kg,5 kg,10 kg,20 kg,B,"Potential energy = m * g * h, so m = PE / (g * h) = 245 J / (9.8 m/s^2 * 5 m) = 5 kg.",Potential Energy,Medium,Physics,Work and Energy
A body is moving in a circular path at a constant speed. What is the work done by the centripetal force?,Positive,Negative,Zero,Depends on the radius,C,"The centripetal force is perpendicular to the direction of motion, so the work done is zero.",Work Done by a Force,Hard,Physics,Work and Energy
A 10 kg block is lifted to a height of 2 m in 4 seconds. What is the average power used?,49 W,50 W,98 W,100 W,A,"Work done = m * g * h = 10 kg * 9.8 m/s^2 * 2 m = 196 J, Power = work / time = 196 J / 4 s = 49 W.",Power,Hard,Physics,Work and Energy
A spring with a spring constant of 100 N/m is compressed by 0.2 m. What is the potential energy stored?,1 J,2 J,4 J,8 J,B,Potential energy = 0.5 * k * x^2 = 0.5 * 100 N/m * (0.2 m)^2 = 2 J.,Elastic Potential Energy,Hard,Physics,Work and Energy
"A 50 N force is applied to a box, causing it to move 8 m along a frictionless surface. What is the work done?",200 J,400 J,300 J,100 J,B,Work done = Force × Distance = 50 N × 8 m = 400 J. Option C fails because it's not the correct product.,Work Done by a Constant Force,Easy,Physics,Work and Energy
A 2 kg block is lifted 5 m vertically. What is the gain in gravitational potential energy? (g = 10 m/s²),50 J,100 J,150 J,200 J,B,Gain in GPE = mgh = 2 kg × 10 m/s² × 5 m = 100 J. Option A fails due to incorrect calculation.,Gravitational Potential Energy,Easy,Physics,Work and Energy
A car accelerates from rest to 20 m/s in 4 s. What is the gain in kinetic energy if its mass is 1500 kg?,150 kJ,200 kJ,250 kJ,300 kJ,D,Gain in KE = ½mv² = ½ × 1500 kg × (20 m/s)² = 300 kJ. Option B fails due to miscalculation.,Kinetic Energy,Medium,Physics,Work and Energy
A force of 20 N acts on a body at an angle of 60° to its direction of motion. What is the work done in moving the body 10 m?,50 J,100 J,150 J,200 J,B,Work done = F × d × cos(θ) = 20 N × 10 m × cos(60°) = 100 J. Option A fails due to incorrect angle application.,Work Done by a Force at an Angle,Medium,Physics,Work and Energy
