Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
The hybridization of carbon in CH4 is,sp,sp²,sp³,dsp²,C,"Carbon in CH4 is bonded to four atoms, requiring sp³ hybridization for tetrahedral geometry.",NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
The most stable conformation of n-butane is,Eclipsed,Staggered,Gauche,Anti,D,Anti conformation is most stable due to least steric hindrance between bulky groups.,NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
The reaction of alkyl halide with NaI in acetone is an example of,SN1,SN2,E1,E2,B,NaI in acetone favors SN2 due to strong nucleophile and polar aprotic solvent.,NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
The compound with the highest boiling point among the following is,CH₃CH₂CH₃,CH₃CH₂OH,CH₃OCH₃,CH₃CHO,B,Hydrogen bonding in CH₃CH₂OH increases its boiling point.,NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
The IUPAC name of (CH₃)₃CCH₂CH₃ is,"2,2-Dimethylbutane","2,2,2-Trimethylbutane","3,3-Dimethylpentane","2,2-Dimethylpentane",D,Longest chain has 5 carbons; two methyl groups are on C-2.,NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
The major product of dehydration of 2-methyl-2-butanol is,2-Methyl-1-butene,2-Methyl-2-butene,3-Methyl-1-butene,3-Methyl-2-butene,B,Most stable alkene (more substituted) is formed according to Zaitsev's rule.,NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
Which of the following is a chiral molecule?,CH₃CH₂CH₂CH₃,CH₃CH₂CH(CH₃)₂,CH₃CH(CH₃)CH₂CH₃,CH₃CH₂CH₂OH,C,Presence of a stereocenter (asymmetric carbon) makes the molecule chiral.,NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
The order of reactivity of alkyl halides towards SN2 reaction is,3° > 2° > 1°,1° > 2° > 3°,2° > 1° > 3°,3° > 1° > 2°,B,SN2 reactivity decreases with increasing steric hindrance around the reaction center.,NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
The compound that will not give iodoform test is,CH₃CH₂OH,CH₃CHO,CH₃CH(OH)CH₃,(CH₃)₃COH,D,Iodoform test requires a methyl group attached to the carbonyl or a secondary alcohol with a methyl group.,NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
The reaction of Grignard reagent with CO2 gives,Alcohol,Ketone,Carboxylic acid,Aldehyde,C,"Grignard reagent adds to CO2 to form a carboxylate, which upon acidification gives a carboxylic acid.",NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
The most acidic compound among the following is,CH₃COOH,CCl₃COOH,HCOOH,ClCH₂COOH,B,Electron-withdrawing groups (like Cl) increase acidity; three Cl atoms make CCl₃COOH most acidic.,NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
The compound that will undergo Friedel-Crafts alkylation is,Benzene,Nitrobenzene,Chlorobenzene,Aniline,A,Benzene is most reactive towards Friedel-Crafts alkylation due to its high electron density.,NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
The reaction of benzene with Cl2 in presence of AlCl3 is,Electrophilic substitution,Nucleophilic substitution,Electrophilic addition,Nucleophilic addition,A,"AlCl3 catalyzes the formation of Cl⁺ electrophile, which substitutes onto the benzene ring.",NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
The compound with the formula C4H8O that gives a positive Tollens' test is,Butanal,2-Butanone,Butan-2-ol,Tetrahydrofuran,A,"Tollens' test is positive for aldehydes, which have a reducible carbonyl group.",NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
The best leaving group among the following halides is,F⁻,Cl⁻,Br⁻,I⁻,D,I⁻ is the best leaving group due to its weak basicity and good ability to stabilize the negative charge.,NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
The reaction that involves the formation of a carbocation is,SN2,SN1,E2,E1cB,B,SN1 involves the formation of a carbocation intermediate before nucleophilic attack.,NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
The compound that will not react with Na is,CH₃OH,C2H5OH,H2O,C6H5OH,D,Phenol reacts very slowly with Na compared to alcohols and water.,NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
The hybridization of the carbon atom in CO2 is,sp,sp²,sp³,dsp²,A,"CO2 has a linear geometry, indicating sp hybridization on the carbon atom.",NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
The functional group in CH₃COCH₃ is,Aldehyde,Ketone,Carboxylic acid,Ester,B,The carbonyl group (C=O) bonded to two alkyl groups is characteristic of a ketone.,NET,Conceptual,Medium,Chemistry,Organic Chemistry Fundamentals
