Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
A researcher extracts sap from an infected tobacco plant and passes it through a porcelain filter. Which organism would still be present in the filtrate?,Escherichia coli,Tobacco Mosaic Virus,Streptococcus pneumoniae,Bacillus anthracis,B,Viruses pass through filters that retain bacteria. Tobacco Mosaic Virus is the correct answer; bacteria like E. coli are trapped by such filters.,History of Virology,Easy,Biology,Acellular Life
"During the assembly of an Adenovirus particle, how many individual protein subunits or capsomeres are required to form its icosahedral capsid?",162 capsomeres,200 capsomeres,210 capsomeres,252 capsomeres,D,"Adenovirus has 252 capsomeres. 162 is the count for Herpes virus, which is a common point of confusion for students.",Structure of Viruses,Easy,Biology,Acellular Life
A clinician observes a virus that acquires its outer lipid bilayer from the host cell's nuclear membrane. This characteristic is diagnostic of which viral group?,Herpes virus,T4 Bacteriophage,Adenovirus,Polio virus,A,"Herpes virus is enveloped, acquiring its lipid layer from the host nuclear membrane. Bacteriophages are typically naked, lacking such envelopes.",Structure of Viruses,Medium,Biology,Acellular Life
"In a laboratory culture of E. coli, a viral genome integrates into the bacterial chromosome and replicates along with it. What is this integrated viral DNA termed?",Provirus,Virion,Prophage,Capsid,C,The prophage is the integrated viral genome in lysogeny. A provirus refers specifically to integrated eukaryotic viral DNA like HIV.,Life Cycle of Bacteriophage,Medium,Biology,Acellular Life
A patient is diagnosed with an RNA virus that uses an enzyme to synthesize a DNA template. Which enzyme is essential for this specific viral replication?,DNA Polymerase,Reverse transcriptase,RNA Polymerase,Integrase,B,"Reverse transcriptase converts RNA to DNA in retroviruses. RNA polymerase synthesizes RNA from DNA, which is the opposite of the required process.",Classification of Viruses,Hard,Biology,Acellular Life
"Microscopic examination of a specific virus reveals a complex, brick-shaped symmetry. To which viral group does this pathogen most likely belong?",Tadpole-shaped,Rod-shaped,Brick-shaped,Spherical-shaped,C,"Poxviruses like Smallpox are brick-shaped. Parvoviruses and Adenoviruses are icosahedral, representing different structural symmetries in virology.",Structure of Viruses,Easy,Biology,Acellular Life
"During the attachment phase of a T4 bacteriophage to an E. coli cell, which specific structure facilitates the initial recognition of the receptor sites?",Tail sheath,End plate,Capsid head,Tail fibers,D,"Tail fibers are responsible for attachment to receptor sites. The tail sheath contracts to inject DNA, but it does not perform recognition.",Life Cycle of Bacteriophage,Medium,Biology,Acellular Life
A child presents with symptoms of infantile paralysis. The causative agent is an RNA virus characterized by which specific morphology?,Spherical RNA virus,Tadpole DNA virus,Rod-shaped DNA virus,Helical RNA virus,A,"Polio virus is a spherical RNA virus. Paramyxoviruses are also RNA viruses but cause mumps/measles, not infantile paralysis.",Human Diseases,Easy,Biology,Acellular Life
A blood transfusion recipient develops jaundice. Laboratory tests confirm a DNA virus that is often referred to as serum hepatitis. Which virus is this?,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis D,B,Hepatitis B is a DNA virus known as serum hepatitis. Hepatitis A is an RNA virus typically transmitted via the feco-oral route.,Human Diseases,Hard,Biology,Acellular Life
A patient develops painful vascular lesions in the mouth and lips. Which specific virus is the most common cause of these oral lesions?,Varicella zoster,Herpes simplex type 2,Herpes simplex type 1,Epstein-Barr virus,C,"Herpes simplex type 1 causes oral lesions. Type 2 is primarily responsible for genital herpes, though both belong to the same family.",Human Diseases,Medium,Biology,Acellular Life
