Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,The highest point of Africa is:,Mt. Everest,Mt. Kilimanjaro,Mt. McKinley,Mt. Ellsworth,B
2,What is the total length of the Pak-Iran border?,595 km,695 km,795 km,905 km,D
3,The soil maturity color of northeastern areas is:,Dark Brown,Grey,Reddish,None of these,C
4,The largest coal-producing country in the world is:,US,India,China,Australia,C
5,The world's longest river is _________.,Nile,Mississippi,Amazon,Tiber,A
6,The River Volga pours its water into the ________.,Black Sea,Caspian Sea,Baltic Sea,Arabian Sea,B
7,The Greenwich (England) is at ____ degree longitude.,0,45,90,None of these,A
8,Province having largest coastline:,Punjab,Balochistan,Sindh,Khyber Pakhtunkhwa,B
9,Which of the following river does not form delta before falling into sea?,Amazon River,Ok Tedi River,Columbia River,None of these,C
10,What is the total area of Africa?,"25,061,002 km²","31, 921, 119 km²","30, 365, 700 km²","40, 100, 091 km²",C
11,What is the total area of North America?,"24,709, 000 km²","26,606, 001 km²","27,701, 201 km²","19,909,289 km²",A
12,Varadero Beach is located in which country?,Cuba,Nicaragua,Panama,None of these,A
13,Another name of K2 is:,Godwin Austen,Broad Peak,Koyo Zom,None of these,A
14,The Lahore-Abdul Hakeem motorway is known as:,M2,M3,M4,M5,B
15,Great Salt Lake is located in:,"Utah, US","Arizona, US","Florida, US","Colorado, US",A
16,Which is the wettest or rainiest place in the world?,"Tutunendo, Colombia","Mawsynram, India","Cropp River, New Zeland",None of these,B
17,Antarctica is situated in the:,North Hemisphere,South Hemisphere,Eastern Hemisphere,Western Hemisphere,B
18,The largest among the following is:,The Earth,The Sun,A Solar System,A Galaxy,D
19,Which country is referred to as the Boot of Europe?,Spain,Greece,Italy,Portugal,C
20,"Which nation is called ""the land of a thousand hills""?",Italy,Thailand,Rawanda,Finland,C
21,The Gulf of Siam is located in:,Southern Thailand,North Russia,USA,Northern UK,A
22,Which one is the biggest ocean in the world?,Arctic,Pacific,Atlantic,Indian,B
23,The Earth has an equatorial circumference of ______.,"24,902 miles","34, 902 miles","44, 902 miles",None of these,A
24,What is the longest day in the Northern Hemisphere?,20th June,21st June,22nd December,23rd December,B
25,Which of the following is considered the deepest lake in the world?,Lake Victoria,Lake Superior,Lake Baikal,Lake Erie,C
26,The longest river in the world is:,Amazon,Yangtze,Nile,Mississippi,C
27,The capital of Belgium is:,La Paz,Ottawa,Brussels,None of these,C
28,"The Heavy Mechanical Complex, Taxila, was set up with the aid of which country?",China,Japan,USA,U.K.,A
29,Which is the largest coral reef in the world?,Mesoamerican Reef,Florida Keys Reef,Great Barrier Reef,None of these,C
30,Manchar Lake' is situated in:,KPK,Punjab,Sindh,Balochistan,C
31,"The Himalayas, Alps, Andes and Rockies are examples of which kind of mountains:",Fold mountains,Volcanic mountains,Block mountains,Glacier mountains,A
32,Which among the following is a left bank tributary of the Indus River?,Zanskar,Gilgit,Shyok,Kabul,A
33,Which continent has no desert?,Antarctica,Europe,Africa,North America,B
34,The largest lake in East Asia is:,Caspian Sea,Slave Lake,Qinghai Lake,Great Salt Lake,C
35,The valley of Peshawar is drained by the ______ river.,Indus,Chenab,Jhelum,Kabul,D
36,The Khunjerab Pass connects Pakistan with:,Iran,Afghanistan,China,None of these,C
37,In which district of Punjab is Kallar Kahar Lake situated?,Jhelum,Chakwal,Sargodha,Mianwali,B
38,"Which country is called the ""Rainbow Nation""?",Spain,South Africa,Netherlands,Switzerland,B
39,Which range links Pakistan with China?,Hindu Kush,Himalayas,Karakoram,None of these,C
40,Which is the largest city in the world by land area?,Delhi,Tokyo,Chicago,New York,D
41,Manchar Lake is situated in:,Jamshoro,Larkana,Thatta,Hyderabad,A
42,Kallar Kahar is situated in _______.,Kirthar Range,Salt Range,Koh-e-Sufaid Range,Sulaiman Range,B
43,Pishin valley is situated in which province:,Punjab,Sindh,KPK,Balochistan,D
44,Name the longest river of Pakistan.,Indus,Kabul,Chenab,Sutlej,A
45,What is the highest peak of the Koh-e-Safaid?,Takatu,Sikeram,Kalachitta,Swat,B
46,The Persian Gulf and the Gulf of Oman are connected by the Strait of:,Palk,Hormuz,Gibraltar,Bosphorus,B
47,The largest volcano of the world is:,Mauna Loa,Mauna Kea,Mount Etna,None of These,A
48,The mountain range that separates Europe from Asia is:,Ural Mountains,Aral Mountains,Hindukush Mountains,Himalayas,A
49,"The first gas field, discovered in 1952, was at:",Dhulian,Sui,Mial,Pirkoh,B
50,Batura is the second-largest glacier in Pakistan with a length of:,57 km,67 km,68.5 km,69 km,A
51,The second most important layer of Earth's atmosphere is:,Mesosphere,Troposphere,Stratosphere,None of these,C
52,"Budapest, the capital of Hungary, is situated on the bank of which river?",River spree,River volga,River danube,River ob,C
53,Which among the following is the largest lake surface area?,Baikal,Superior,Caspian Sea,None of the above,C
54,When did the production of iron ore start in Pakistan?,1956,1957,1958,1959,B
55,Who is known as the father of geography?,Herodotus,Eratosthenes,Aristotle,None of these,B
56,Kathmandu is the capital of:,Maldives,Nepal,Nigeria,Indonesia,B
57,The Red Sea is located between:,Africa and North America,Africa and Asia,Asia and Europe,None of these,B
58,When was Pakistan International Airlines (PIA) established?,1949,1955,1960,1965,B
59,The Upper Swat Canal starts from:,Malakand,Abazai,Kabul,Jhelum,A
