subject,q_num,csv_answer,pdf_answer,question
General_Knowledge,38,C,D,Khandhar City is located in __________.
General_Knowledge,72,C,D,Global Warming is a threat to all of us is a warning by:
General_Knowledge,108,C,D,The United Kingdom EU referendum (or the Brexit referendum) took place on:
General_Knowledge,121,C,D,AM stands for ________.
General_Knowledge,124,A,D,The CPEC agreement was signed during the Chinese President's visit to Pakistan i
General_Knowledge,148,A,B,Sinologists study which country?
General_Knowledge,150,B,D,Tripoli is a major seaport of
General_Knowledge,217,B,D,Congress is the Parliament of ___________.
General_Knowledge,236,A,D,Mana mountain is present in _________.
General_Knowledge,302,B,C,Gasherbrum mountain is present in _________.
General_Knowledge,309,C,B,Who was the last king of Afghanistan?
General_Knowledge,319,A,B,____ is a type of preferred stock that provides a greater guarantee of dividend 
General_Knowledge,354,B,C,Which country's parliament has the largest membership:
General_Knowledge,376,A,D,"'The murder of Archduke Ferdinand, the heir to the Austrian throne, became the i"
General_Knowledge,379,B,D,What is the international governing body for table tennis?
General_Knowledge,439,C,D,Amnesty International is an organization for:
General_Knowledge,452,A,B,Where is Devils Tower located?
General_Knowledge,460,A,D,What is the area covered by Hudson Bay?
General_Knowledge,483,B,D,The second-largest desert in the world by area is the
General_Knowledge,523,A,B,Rwanda will be the Second African Country to host The Commonwealth Heads of Gove
General_Knowledge,553,C,D,Which country does not have any mosquitoes?
General_Knowledge,556,A,B,Sugar used in a sugarcane company is:
General_Knowledge,599,B,C,Which Country is not involved in BRICS?
General_Knowledge,607,A,B,The first social medical center was built in:
General_Knowledge,612,A,C,The International Court of Justice is headed by:
General_Knowledge,710,A,C,Who colonized Argentina in the 16th century?
General_Knowledge,776,A,B,El Al is the airline of
General_Knowledge,841,A,D,"In a hundred-meter race, the false start time is:"
General_Knowledge,904,A,C,What is the area of Great Britain Island?
General_Knowledge,909,D,C,Which country suffered the maximum in World War 2?
General_Knowledge,1010,A,B,The Winter Olympics 2022 were held in:
General_Knowledge,1021,A,B,ANP is the news agency of ___________.
General_Knowledge,1049,B,C,The war fought from 1939-1945 between the Axis and Allied powers is known as
General_Knowledge,1053,C,A,CENTO stands for:
General_Knowledge,1096,B,D,People's Liberation Army is ascribed to:
General_Knowledge,1097,A,B,Volga is the name of river. It is also name of canal of ________.
General_Knowledge,1109,A,D,Zimbabwe has the highest number of ______ official languages.
General_Knowledge,1125,A,D,Homo erectus is an early human being found in:
General_Knowledge,1133,A,C,How many headsmen (Jalad) are in Pakistan's jail?
General_Knowledge,1303,C,D,Penang is a seaport of ________.
General_Knowledge,1365,A,D,Lhotse 2 mountain is situated in ________.
General_Knowledge,1366,A,C,By what name the parliament of Turkey is known?
General_Knowledge,1395,A,D,The share of industry in the GDP of Pakistan after partition was:
General_Knowledge,1400,A,B,The 2017 Heart of Asia - Istanbul Ministerial Process was hosted by which countr
General_Knowledge,1404,C,D,A village called Abu Simbel is located in which country.
General_Knowledge,1460,B,C,Mikhail Gorbachev started which movement for reform and restructuring in 1986?
General_Knowledge,1464,C,D,The SAARC secretariat is located in:
General_Knowledge,1477,A,D,The major government policies that can be used to pursue its macroeconomic goals
General_Knowledge,1507,D,C,"Name the author of ""The Policy Logic Of Land Reforms in Pakistan."""
General_Knowledge,1536,B,C,What is the name of Iran's new currency?
General_Knowledge,1541,B,D,Kangaroos are mostly found in
General_Knowledge,1549,A,B,Which among the following has no permanent river?
General_Knowledge,1592,B,A,How many Emirates comprise the United Arab Emirates?
General_Knowledge,1597,B,D,The United Arab Emirates comprises how many emirates?
General_Knowledge,1614,A,D,"The world's most famous physicist, Stephen Hawking has __________ children's."
General_Knowledge,1618,A,B,Cordoba Mosque built by which ruler:
General_Knowledge,1636,A,C,What is the area covered by Gulf of California?
General_Knowledge,1660,A,B,"'What is meant by ""Apiary""?"
General_Knowledge,1755,A,B,In which country is the port of Lagos situated?
General_Knowledge,1781,D,B,How many countries are members of SAARC?
General_Knowledge,1803,C,D,The country with the highest ratio of urban population in South Asia is_________
General_Knowledge,1871,B,D,Oxford University college removed Suu Kyi's portrait after _________ criticism.
General_Knowledge,1886,B,D,Pakistan faced sanctions under the Pressler Amendment in 1990 by which country?
General_Knowledge,1918,A,C,Kyoto City is in which Country.
General_Knowledge,1934,B,D,What is the source of the Danube River?
General_Knowledge,1977,A,D,First battle of Panipat began on _________.
General_Knowledge,1978,A,D,How many recognized sovereign states in Europe are landlocked
General_Knowledge,1988,A,D,Which plane was used to drop the atomic bomb on Hiroshima:
General_Knowledge,1992,B,D,What is the old capital of Kazakhstan?
General_Knowledge,1998,A,C,The largest exporter of LNG is:
General_Knowledge,2011,B,D,The 2020 Olympics were scheduled to be held in:
General_Knowledge,2059,C,D,The Capital Asset Pricing model calculate expected investment_________
General_Knowledge,2118,C,D,"During an earthquake, the major destruction is caused by the energy released due"
General_Knowledge,2119,A,C,Which sides fought the Battle of Himera (480 BC)?
General_Knowledge,2127,A,C,UPI is the news agency of ___________.
General_Knowledge,2153,A,D,Sky News is a news TV channel of:
General_Knowledge,2163,B,C,What is the approximate area of the Karakoram Range?
General_Knowledge,2177,A,B,Who was the author of the 95 Theses?
General_Knowledge,2192,A,B,SAARC was established in:
General_Knowledge,2239,C,D,Name the Oman airline.
General_Knowledge,2262,A,B,Cathay Pacific is an airline of:
General_Knowledge,2275,B,D,The highest population growth rate among the following countries is in
