Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
140,"Select the appropriate meaning of the given idiom, ""To take French leave"".",Leave without any information,Leave with written permission,Casual leave,None of these,A
141,Match the following English proverb with its Urdu equivalent: More to it than meets the eye.,"Nau naqad, na terah udhaar",Chhota munh badi baat,Chor ki darhi mein tinka,Dal mein kuchh kaala,D
143,Antonym of Anonymous:,Incognito,Nameless,Mystery,Signed,D
144,"""To worship the rising sun"" means:",Withdraw from a contest,Assume responsibility,Succeed in fighting,To curry favour,D
146,"The Captain said to his men, ""Stand at ease.""",The Captain urged his men to stand at ease.,The Captain commanded his men to stand at ease.,The Captain wanted his men to stand at ease.,The Captain told his men that they should stand at ease.,B
147,Choose the correct preposition. He is quick ______ mathematics.,at,in,of,to,A
149,She is used to _______ the hardships of life.,facing,faced,to get faced,to have faced,A
150,Identify the wrong spelling:,Transepir,Transfer,Tranquil,Calmness,A
151,"'Choose the correct antonym for ""Infallible"":",Imperfect,impeccable,Flawless,Reliable,A
153,Find the word similar in meaning to the word 'Trespass':,Contemplative,Persuasive,Expository,Intrude,D
154,"A ""Soliloquy"" in drama refers to:",A humorous exchange between characters,A long speech by one character alone on stage,A dialogue between two characters,None of these,B
156,He ____ his family to live alone.,Exile,Banished,Deserted,None of these,C
157,The antonym of turmoil is:,Chaos,Ferment,Serenity,None of these,C
159,We don't rely ______ our enemies.,to,on,of,None of these,B
160,Choose the word similar in meaning to the given word. Knave:,Rogue,Rare,Attune,Larceny,A
162,Fill in the blank with a suitable article: Please close ____ window. It's cold in here.,A,An,The,Article not required,C
163,"The meaning of ""subway"" is:",Underground path,Down path,Both A and B,None of the above,A
164,Choose the correct sentence: The house catch a fire.,Caught fire,Catch fire,Catch the fire,None of these,A
165,"of the reported speech. He said, ""How cruel of him!""",He remarked that it was very cruel of him.,He said that it was very cruel.,He asked it was cruel of him.,He remarked that it is very cruel of him.,A
166,"Choose the correct meaning of the idiom: ""Spill the beans"".",To misbehave,To reveal a secret,To talk irrelevantly,None of these,B
167,Choose the correct form of verb: The examination ____ at '9:30. Don't be late.,Starts,Will start,Is going to start,Is starting,A
168,"What is the meaning of the idiom ""To turn over a new leaf""?",To cover up one's fault by wearing new marks,To change the old habits and adopt new ones,To change completely one's course of action,To shift attention to new problems after having studied the old ones thoroughly,B
169,Which type of Adverb is used to show how often a thing happened:,Adverb of frequency,Adverb of place,Adverbs of Degree,Conjunctive adverbs,A
170,Fill in the blank: She learnt the poem ____ heart.,With,By,From,To,B
172,"Choose the right option to complete the indirect narration of the direct speech given in quotation marks: ""Why is he crying?"" Ahmad wants to know ______",why he was crying.,Why was he crying.,why is he crying.,None of these,A
173,A place where fish are kept is called ______?,Aviary,Apiary,Aquarium,None of these,C
175,Climate shifts disrupt farming and ______ thousands of species of animals and plants.,wear off,make out,put across,wipe out,D
176,Choose the synonym of Ablution:,Censure,Mutiny,Survival,Washing,D
178,He is ____ worried about his car issue ____ he goes to the garage.,so much/that,so/-,-/the,None of these,A
179,The business of making fashionable and expensive dresses is termed as:,Haute Couture,Salon,Prêt-à-porter,None of these,A
181,A partner in crime is called an:,Accomplice,Linguist,Polyglot,None of these,A
182,Choose the meaning of the Urdu word: Manaqib,Standard,Characteristics,Isolated,Mentality,B
183,Fill in the blank: You must attend ____ the lecture.,on,to,with,in,B
184,To end in smoke means:,To make completely understand,To overcome someone,To come to nothing,None of these,C
185,Choose the correct article/subject-verb agreement from the given options: ______ opportunities you have got should not be missed.,An,The,A,None of these,B
186,CV or curriculum vitae is very often used; from which language is the term curriculum vitae derived?,French,Greek,Latin,German,C
187,Choose the correct one:,"He doesn't have a house in Karachi, therefore he lives in a rented house.","He doesn't have a house in Karachi; therefore, he lives in a rented house.",He doesn't have a house in Karachi therefore he lives in a rented house.,None of these,B
188,Fun shanas (Translate into English):,Artist,Virtuoso,Connoisseur,None of these,C
189,'Fill in the blank: I _ upon his privacy.,intruded,approached,violated,counted,A
190,"If it is ""just what the doctor ordered,"" it's ____.",Totally wrong,Still a dream,What you need,Something new,C
191,"Near the London Eye, there is a bridge ____ the Thames River.",above,over,off,towards,B
192,How did this incident come _____.,around,about,by,at,B
194,Choose the best English translation of the phrase: Khumiyaza bhugatna,At daggers drawn,To bear the expenses,To tolerate,To pay through the nose,D
195,"Turn to passive voice: ""The child chose the hat.""",The hat is chosen by the child.,The hat was chosen by the child.,The hat was being chosen by the child.,The hat should be chosen by the child.,B
