Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"Complete the series: 1, 2, 4, 8, 16, ?",32,31,30,29,A,"The series is obtained by doubling the previous term, a classic example of a geometric progression.",NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 2, 6, 12, 20, 30, ?",42,40,38,36,A,"The difference between consecutive terms increases by 2, 4, 6, 8, ... , indicating a quadratic relationship.",NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 1, 4, 9, 16, 25, ?",36,35,34,33,A,"The series consists of perfect squares of natural numbers, i.e., 1², 2², 3², 4², 5², ... .",NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 3, 6, 9, 12, 15, ?",18,17,19,20,A,The series is an arithmetic progression with a common difference of 3.,NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 1, 3, 5, 7, 9, ?",11,10,12,13,A,"The series consists of consecutive odd numbers, with a common difference of 2.",NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 2, 5, 8, 11, 14, ?",17,16,18,19,A,The series is an arithmetic progression with a common difference of 3.,NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 4, 9, 16, 25, 36, ?",49,48,50,47,A,"The series consists of perfect squares of natural numbers, starting from 2².",NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 1, 2, 6, 24, 120, ?",720,719,721,718,A,"The series consists of factorials, i.e., 1!, 2!, 3!, 4!, 5!, ... .",NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 2, 4, 8, 16, 32, ?",64,63,65,62,A,"The series is obtained by doubling the previous term, a classic example of a geometric progression.",NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 5, 10, 15, 20, 25, ?",30,29,31,32,A,The series is an arithmetic progression with a common difference of 5.,NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 3, 9, 27, 81, 243, ?",729,728,730,727,A,"The series is obtained by multiplying the previous term by 3, a classic example of a geometric progression.",NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 1, 8, 27, 64, 125, ?",216,215,217,214,A,"The series consists of perfect cubes of natural numbers, i.e., 1³, 2³, 3³, 4³, 5³, ... .",NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 2, 7, 12, 17, 22, ?",27,26,28,29,A,The series is an arithmetic progression with a common difference of 5.,NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 4, 12, 36, 108, 324, ?",972,971,973,970,A,"The series is obtained by multiplying the previous term by 3, a classic example of a geometric progression.",NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 1, 6, 15, 28, 45, ?",66,65,67,64,A,"The series consists of numbers that increase by a growing difference: +5, +9, +13, +17, ... .",NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 9, 16, 25, 36, 49, ?",64,63,65,62,A,"The series consists of perfect squares of natural numbers, starting from 3².",NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 3, 5, 9, 17, 33, ?",65,64,66,63,A,"The series is formed by adding 2, 4, 8, 16, ... to the previous term, a classic example of a sequence related to powers of 2.",NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 2, 10, 30, 68, 130, ?",222,221,223,220,A,"The series is formed by the formula n³ + 1, where n = 1, 2, 3, ... .",NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 1, 3, 7, 15, 31, ?",63,62,64,61,A,"The series is obtained by subtracting 1 from the powers of 2, i.e., 2^n - 1.",NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 8, 27, 64, 125, 216, ?",343,342,344,341,A,"The series consists of perfect cubes of natural numbers, starting from 2³.",NET,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 2, 5, 10, 17, 26, ?",35,37,40,45,B,"The pattern is obtained by adding 3, 5, 7, 9, 11, ... to the previous term, so the next difference is 11, making the next term 26 + 11 = 37.",ECAT,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 1, 3, 6, 10, 15, ?",21,22,24,28,A,"The series is formed by adding 2, 3, 4, 5, 6, ... to the previous term, so the next term is 15 + 6 = 21.",ECAT,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 1, 1, 2, 3, 5, ?",7,8,9,11,B,"The series is a Fibonacci sequence where each term is the sum of the two preceding terms, so the next term is 5 + 3 = 8.",ECAT,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 3, 5, 7, 9, 11, ?",13,14,15,17,A,"The series is an arithmetic progression with a common difference of 2, so the next term is 11 + 2 = 13.",ECAT,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 2, 3, 5, 7, 11, ?",13,15,17,19,A,"The series consists of prime numbers, so the next term is the next prime number, which is 13.",ECAT,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 2, 6, 12, 20, 30, 42, ?",56,58,62,66,A,"The pattern is obtained by adding 4, 6, 8, 10, 12, 14, ... to the previous term, so the next difference is 14, making the next term 42 + 14 = 56.",ECAT,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 5, 10, 20, 40, 80, ?",120,160,180,240,B,"The series is a geometric progression with a common ratio of 2, so the next term is 80 * 2 = 160.",ECAT,Conceptual,Medium,Intelligence,Series Completion
"1, 2, 4, 8, 16, ?",32,31,30,29,A,"The sequence is obtained by doubling the previous term, so the next term is 16 * 2 = 32.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"2, 6, 12, 20, 30, ?",42,40,38,36,A,"The sequence is formed by adding 4, 6, 8, 10, ... to the previous term, so the next difference is 12 + 30 = 42.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"1, 4, 9, 16, 25, ?",36,35,34,33,A,"The sequence consists of perfect squares of natural numbers, so the next term is 6² = 36.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"3, 6, 9, 12, 15, ?",18,17,19,20,A,"The sequence is formed by adding 3 to the previous term, so the next term is 15 + 3 = 18.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"2, 4, 8, 16, 32, ?",64,63,62,61,A,"The sequence is obtained by doubling the previous term, so the next term is 32 * 2 = 64.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"5, 10, 15, 20, 25, ?",30,31,29,28,A,"The sequence is formed by adding 5 to the previous term, so the next term is 25 + 5 = 30.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"1, 3, 5, 7, 9, ?",11,10,12,13,A,"The sequence consists of odd natural numbers, so the next term is 9 + 2 = 11.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"4, 9, 16, 25, 36, ?",49,48,47,46,A,"The sequence consists of perfect squares of natural numbers starting from 2, so the next term is 7² = 49.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"2, 5, 8, 11, 14, ?",17,16,18,19,A,"The sequence is formed by adding 3 to the previous term, so the next term is 14 + 3 = 17.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"1, 2, 4, 7, 11, ?",16,15,17,18,A,"The sequence is formed by adding 1, 2, 3, 4, ... to the previous term, so the next difference is 5 + 11 = 16.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"3, 9, 27, 81, 243, ?",729,728,730,727,A,"The sequence is obtained by multiplying the previous term by 3, so the next term is 243 * 3 = 729.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"1, 8, 27, 64, 125, ?",216,215,217,218,A,"The sequence consists of perfect cubes of natural numbers, so the next term is 6³ = 216.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"2, 6, 12, 20, 30, 42, ?",56,55,54,53,A,"The sequence is formed by adding 4, 6, 8, 10, 12, ... to the previous term, so the next difference is 14 + 42 = 56.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"4, 12, 36, 108, 324, ?",972,971,973,970,A,"The sequence is obtained by multiplying the previous term by 3, so the next term is 324 * 3 = 972.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"1, 6, 15, 28, 45, ?",66,65,67,64,A,"The sequence is formed by adding 5, 9, 13, 17, ... to the previous term, so the next difference is 21 + 45 = 66.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"2, 3, 5, 7, 11, ?",13,12,14,15,A,"The sequence consists of prime numbers, so the next term is 13.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"3, 5, 7, 9, 11, ?",13,12,14,15,A,"The sequence consists of odd natural numbers starting from 3, so the next term is 11 + 2 = 13.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"1, 4, 7, 10, 13, ?",16,15,17,18,A,"The sequence is formed by adding 3 to the previous term, so the next term is 13 + 3 = 16.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"2, 9, 28, 65, 126, ?",217,216,218,219,A,"The sequence is formed by the formula n³ + 1, so the next term is 6³ + 1 = 217.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"5, 7, 10, 14, 19, ?",25,24,26,27,A,"The sequence is formed by adding 2, 3, 4, 5, ... to the previous term, so the next difference is 6 + 19 = 25.",GIKI_PIEAS,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 2, 4, 8, 16, ?",32,30,36,48,A,"The series is obtained by doubling the previous term, hence the next term is 16 * 2 = 32.",LUMS_SAT,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 1, 4, 9, 16, ?",25,20,22,24,A,"The series consists of squares of natural numbers (1², 2², 3², 4²), so the next term is 5² = 25.",LUMS_SAT,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 3, 6, 12, 24, ?",48,40,36,30,A,"Each term is twice the preceding term, hence the series follows a geometric progression with common ratio 2.",LUMS_SAT,Conceptual,Medium,Intelligence,Series Completion
"Complete the series: 5, 10, 20, 40, ?",80,60,70,50,A,"The series is obtained by doubling the previous term, indicating a geometric progression with a common ratio of 2.",LUMS_SAT,Conceptual,Medium,Intelligence,Series Completion
