Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"A patient experiences a loss of tactile sensitivity in their fingertips, specifically for light touch. Which specialized receptor is primarily responsible for this sensation?",Meissner's corpuscles,Pacinian corpuscles,Krause's end bulbs,Ruffini endings,A,Meissner's corpuscles are specialized for light touch; Pacinian corpuscles fail here as they are receptors for deep pressure and vibration.,Receptors,Easy,Biology,Coordination and Control
"During the resting membrane potential of a neuron, which ion's high permeability and outward leakage primarily maintain the internal negative charge?",Sodium ions,Potassium ions,Chloride ions,Calcium ions,B,Potassium ions leak out through non-gated channels to maintain negativity; sodium ions fail because their influx would cause depolarization instead.,Nerve Impulse,Medium,Biology,Coordination and Control
A neurotransmitter is released into the synaptic cleft to propagate a signal. Which enzyme specifically inactivates acetylcholine to prevent continuous stimulation?,Monoamine oxidase,Catechol-O-methyltransferase,Acetylcholinesterase,Tyrosine hydroxylase,C,Acetylcholinesterase hydrolyzes acetylcholine to terminate the signal; Adrenaline is a different neurotransmitter and does not break down acetylcholine in synapses.,Synapse,Easy,Biology,Coordination and Control
A clinical examination reveals that a patient can perceive sensations but cannot relay sensory information to the correct cerebral cortex area. Which structure is damaged?,Hypothalamus,Pons,Cerebellum,Thalamus,D,The thalamus acts as the main relay station for sensory input; the hypothalamus fails as it primarily regulates homeostasis and hormones.,Brain,Medium,Biology,Coordination and Control
"In a laboratory experiment, the dorsal root of a spinal nerve in a frog is surgically severed. What is the most likely physiological outcome?",Loss of sensory perception,Loss of motor control,Loss of both sensation and motor,Exaggerated muscle reflexes,A,The dorsal root carries sensory fibers only; the ventral root is incorrect because it carries motor fibers responsible for muscle contraction.,Spinal Cord,Hard,Biology,Coordination and Control
Which cranial nerve is distinct for extending beyond the head and neck to innervate thoracic and abdominal viscera like the heart?,Trigeminal nerve,Vagus nerve,Facial nerve,Glossopharyngeal nerve,B,The vagus nerve is the tenth cranial nerve; the facial nerve is incorrect as it is the seventh cranial nerve.,Peripheral Nervous System,Easy,Biology,Coordination and Control
A student suddenly encounters a predator while hiking. Which physiological change is triggered by the activation of the sympathetic nervous system?,Constriction of pupils,Increased intestinal peristalsis,Dilation of pupils,Decreased heart rate,C,The sympathetic system dilates pupils for better vision; the parasympathetic system fails because it causes pupillary constriction and promotes digestion.,Autonomic Nervous System,Medium,Biology,Coordination and Control
"A child presents with stunted physical growth, mental retardation, and dry skin due to congenital thyroid hormone deficiency. What is this condition?",Gigantism,Acromegaly,Myxoedema,Cretinism,D,Cretinism results from congenital thyroid deficiency; Myxoedema fails as it refers to thyroid deficiency occurring specifically in adult life.,Thyroxine,Easy,Biology,Coordination and Control
"After consuming a large volume of water, a person produces dilute urine. Which hormone's secretion is suppressed to allow this homeostatic adjustment?",Antidiuretic hormone,Aldosterone,Oxytocin,Atrial natriuretic peptide,A,"Low ADH reduces water reabsorption in collecting ducts; Aldosterone fails because it primarily regulates sodium and potassium balance, not pure water.",Pituitary Hormones,Hard,Biology,Coordination and Control
A patient with Addison's disease shows low blood pressure and high serum potassium. Which adrenal cortex hormone is specifically lacking in this case?,Cortisol,Aldosterone,Epinephrine,Androgens,B,Aldosterone promotes sodium reabsorption and potassium excretion; Cortisol fails as it primarily regulates glucose metabolism rather than electrolyte balance.,Adrenal Hormones,Medium,Biology,Coordination and Control
"Immediately following a carbohydrate-rich meal, which specific cells in the Islets of Langerhans increase their secretory activity to maintain glucose homeostasis?",Alpha cells,Delta cells,Beta cells,F cells,C,Beta cells produce insulin to lower blood glucose; Alpha cells fail because they secrete glucagon which increases blood glucose levels.,Pancreas,Easy,Biology,Coordination and Control
"During the follicular phase of the menstrual cycle, rising estrogen levels eventually suppress the release of FSH. This is an example of:",Positive feedback,Feed-forward mechanism,Neutral feedback,Negative feedback,D,High estrogen levels inhibit FSH via negative feedback; positive feedback fails because it would amplify the signal rather than suppressing it.,Feedback Mechanism,Medium,Biology,Coordination and Control
"In the process of phototropism, a plant stem bends towards light. On which part of the stem does auxin accumulate to facilitate elongation?",Lighted side,Shaded side,Root cap,Vascular cambium,B,"Auxin accumulates on the shaded side, causing cell elongation; the lighted side fails because auxin is sensitive to light and migrates.",Auxins,Hard,Biology,Coordination and Control
A farmer wishes to induce 'bolting' or rapid stem elongation in a rosette plant like cabbage. Which hormone should be applied commercially?,Gibberellins,Abscisic acid,Cytokinins,Ethene,A,Gibberellins induce bolting and stem elongation; Abscisic acid fails because it is a growth inhibitor that promotes dormancy and abscission.,Gibberellins,Easy,Biology,Coordination and Control
"During a period of severe drought, a plant prevents excessive transpiration by closing its stomata. Which hormone acts as the primary stress signal?",Auxin,Cytokinin,Abscisic acid,Gibberellin,C,Abscisic acid promotes stomatal closure during water stress; Cytokinins fail as they generally promote cell division and delay leaf senescence.,Abscisic Acid,Medium,Biology,Coordination and Control
"Which type of neuron is characterized by having a single long dendron and a relatively short axon, carrying impulses toward the CNS?",Motor neuron,Interneuron,Relay neuron,Sensory neuron,D,Sensory neurons have long dendrons and short axons; motor neurons fail because they have many short dendrites and one long axon.,Neurons,Easy,Biology,Coordination and Control
"When a person accidentally touches a hot object, they withdraw their hand before feeling pain. Which structure serves as the primary coordinator here?",Cerebral cortex,Spinal cord,Medulla oblongata,Hypothalamus,B,The spinal cord coordinates the reflex arc directly; the medulla oblongata fails because it controls involuntary autonomic functions like breathing.,Reflex Arc,Medium,Biology,Coordination and Control
"An athlete suffers a head injury and subsequently struggles with maintaining balance and performing smooth, coordinated muscular movements. Which brain region is likely affected?",Cerebellum,Cerebrum,Midbrain,Pons,A,The cerebellum coordinates precise voluntary movements and balance; the cerebrum fails as it is responsible for conscious thought and sensory processing.,Brain,Hard,Biology,Coordination and Control
A patient is diagnosed with hypocalcemia. Which hormone is released by the body to increase blood calcium levels by stimulating bone resorption?,Calcitonin,Thyroxine,Parathormone,Somatotropin,C,Parathormone increases blood calcium by mobilizing it from bone; Calcitonin fails because it lowers blood calcium by promoting bone deposition.,Parathyroid,Easy,Biology,Coordination and Control
"In myelinated neurons, the nerve impulse travels significantly faster by jumping from one non-myelinated gap to the next. What are these gaps called?",Schwann cells,Nodes of Ranvier,Myelin sheaths,Synaptic knobs,B,Nodes of Ranvier are the gaps where saltatory conduction occurs; Schwan cells fail because they are the cells that form the myelin.,Nerve Impulse,Medium,Biology,Coordination and Control
"A 45-year-old woman experiences a decreased metabolic rate, mental dullness, and puffiness of hands and face. Which condition is she likely suffering from?",Graves' disease,Myxedema,Exophthalmic goitre,Cretinism,B,"Myxedema results from thyroid underactivity in adults, causing puffiness. Graves' disease is the tempting wrong choice, but it involves hyperthyroidism.",Thyroid Gland,Medium,Biology,Coordination and Control
A farm worker exposed to organophosphate pesticides shows muscle tremors and spasms due to inhibited acetylcholinesterase. What is the direct physiological result?,Inhibition of acetylcholine synthesis,Blocking of post-synaptic receptors,Continuous stimulation of the post-synaptic membrane,Prevention of calcium influx in pre-synaptic knob,C,Acetylcholinesterase breaks down acetylcholine; its inhibition leads to continuous stimulation. Acetylcholine synthesis is incorrect as the neurotransmitter is already present.,Synapse,Hard,Biology,Coordination and Control
A potted plant placed near a window bends towards the light source. Which hormone is primarily responsible for this differential growth?,Auxins,Gibberellins,Cytokinins,Abscisic acid,A,"Auxins migrate to the dark side, causing cell elongation there. Gibberellins are tempting but primarily affect stem elongation via different mechanisms.",Plant Hormones,Easy,Biology,Coordination and Control
A patient with a brain tumor loses the ability to regulate body temperature and experiences disrupted sleep-wake cycles. Which region is affected?,Cerebellum,Medulla oblongata,Thalamus,Hypothalamus,D,The hypothalamus acts as the body's thermostat and regulates sleep. The thalamus is tempting but serves as a sensory relay center.,Central Nervous System,Medium,Biology,Coordination and Control
A teenager is diagnosed with Type 1 Diabetes. Which hormone's deficiency is responsible for the high blood glucose levels observed in this patient?,Glucagon,Insulin,Somatostatin,Epinephrine,B,"Insulin promotes glucose uptake and glycogen synthesis. Glucagon is the opposite, increasing blood glucose levels during fasting states.",Pancreas,Easy,Biology,Coordination and Control
"During a routine checkup, a doctor strikes the patellar tendon, causing the leg to kick. Which neuron first transmits the stimulus?",Motor neuron,Effector organ,Sensory neuron,Interneuron,C,"In a reflex arc, the sensory neuron carries the impulse to the CNS. The motor neuron is tempting but carries the response away.",Reflex Arc,Medium,Biology,Coordination and Control
"A hiker encounters a bear, causing an immediate increase in heart rate and dilation of the pupils. Which system is activated?",Sympathetic nervous system,Parasympathetic nervous system,Somatic nervous system,Central nervous system,A,The sympathetic system prepares the body for 'fight or flight' by dilating pupils. The parasympathetic system constricts them during rest.,Peripheral Nervous System,Easy,Biology,Coordination and Control
"A patient presents with high blood pressure, muscle wasting, and a 'moon face' appearance due to adrenal cortex overactivity. What is the diagnosis?",Addison's disease,Cushing's syndrome,Diabetes insipidus,Acromegaly,B,"Cushing's syndrome involves excessive cortisol, causing a moon face. Addison's disease is tempting but involves a deficiency of adrenal hormones.",Adrenal Gland,Hard,Biology,Coordination and Control
A grapevine tendril comes into contact with a wooden stake and begins to coil around it. This directional growth response is known as:,Phototropism,Geotropism,Thigmonasty,Haptotropism,D,"Haptotropism is a growth response to touch, such as climbing. Thigmonasty is tempting but is a non-directional turgor movement.",Plant Movements,Medium,Biology,Coordination and Control
The speed of a nerve impulse is significantly increased in certain neurons due to the insulating fatty layer called the:,Myelin sheath,Nodes of Ranvier,Dendrites,Axoplasm,A,"Myelin sheaths act as insulators, allowing saltatory conduction. Nodes of Ranvier are where the impulse jumps, not the insulation itself.",Nerve Impulse,Easy,Biology,Coordination and Control
A patient suffers from excessive thirst and produces large volumes of very dilute urine. This condition results from a deficiency of:,Oxytocin,Aldosterone,Antidiuretic hormone,Cortisol,C,ADH increases water reabsorption; its lack causes dilute urine in Diabetes Insipidus. Diabetes Mellitus is tempting but involves glucose regulation.,Pituitary Gland,Medium,Biology,Coordination and Control
An elderly man exhibits involuntary tremors and a mask-like face due to the degeneration of dopamine-producing neurons. Which disorder is this?,Alzheimer's disease,Parkinson's disease,Epilepsy,Multiple Sclerosis,B,Parkinson's is caused by the death of dopamine-producing neurons. Alzheimer's is tempting but involves acetylcholine deficiency and memory loss.,Nervous Disorders,Hard,Biology,Coordination and Control
"A researcher applies a hormone to a cabbage plant, causing it to undergo rapid stem elongation before flowering. Which hormone was used?",Auxins,Cytokinins,Gibberellins,Abscisic acid,C,Gibberellins induce 'bolting' or rapid stem elongation in rosette plants. Auxins are tempting but primarily control apical dominance.,Plant Hormones,Easy,Biology,Coordination and Control
"After a head injury, a gymnast is unable to maintain balance and shows jerky, uncoordinated movements. Which part of the brain is damaged?",Cerebellum,Cerebrum,Pons,Midbrain,A,The cerebellum coordinates complex voluntary movements and balance. The cerebrum is tempting but handles higher-order thinking and sensory perception.,Central Nervous System,Medium,Biology,Coordination and Control
A patient develops increased excitability of nerves and painful muscular spasms after the accidental removal of the parathyroid glands. This is:,Hypercalcemia,Cretinism,Acromegaly,Tetany,D,Low blood calcium (hypocalcemia) leads to tetany and muscle twitching. Hypercalcemia is tempting but results from overactive parathyroid glands.,Parathyroid Gland,Hard,Biology,Coordination and Control
Certain sedative drugs work by enhancing the effect of an inhibitory neurotransmitter. Which of the following is an inhibitory neurotransmitter?,Adrenaline,GABA,Acetylcholine,Dopamine,B,GABA is the primary inhibitory neurotransmitter in the CNS. Adrenaline is tempting but is typically an excitatory neurotransmitter.,Synapse,Easy,Biology,Coordination and Control
"During a severe drought, a plant prevents excessive water loss by closing its stomata. Which hormone mediates this stress response?",Auxin,Cytokinin,Ethene,Abscisic acid,D,Abscisic acid (ABA) promotes stomatal closure during water stress. Ethene is tempting but is primarily involved in fruit ripening.,Plant Hormones,Medium,Biology,Coordination and Control
A 14-year-old boy begins to develop secondary sexual characteristics. Which cells in the testes are responsible for secreting the necessary hormone?,Sertoli cells,Germinal epithelium,Interstitial cells,Corpus luteum,C,Interstitial (Leydig) cells produce testosterone. Sertoli cells are tempting but provide nourishment to developing sperm cells.,Gonads,Easy,Biology,Coordination and Control
A stroke patient can feel touch but cannot localize where it is coming from on the body. Which sensory relay center is likely affected?,Thalamus,Hypothalamus,Hippocampus,Amygdala,A,The thalamus relays all sensory information except smell to the cerebrum. The hypothalamus is tempting but focuses on homeostasis.,Central Nervous System,Medium,Biology,Coordination and Control
A farmer places a few ripe bananas in a crate of green mangoes to speed up their ripening. Which gas is responsible?,Abscisic acid,Ethene,Cytokinin,Gibberellin,B,Ethene (ethylene) is a gaseous hormone that triggers fruit ripening. Cytokinin is tempting but is involved in cell division.,Plant Hormones,Easy,Biology,Coordination and Control
"While most plant hormones are known to promote growth, one specific hormone induces seed dormancy and prevents germination. Identify this substance.",Gibberellins,Auxins,Cytokinins,Abscisic acid,D,"ABA inhibits growth and promotes dormancy, while Gibberellins are the most tempting wrong choice because they specifically break dormancy.",Plant Hormones,Hard,Biology,Coordination and Control
"In myelinated neurons, the nerve impulse exhibits a unique jumping behavior that significantly increases its velocity. Where does this 'jump' occur?",The entire myelin sheath,Nodes of Ranvier,The cell body,Synaptic vesicles,B,"Impulse jumps between nodes of Ranvier in saltatory conduction; myelin sheath is tempting but it acts as an insulator, not the jumping site.",Nerve Impulse,Medium,Biology,Coordination and Control
"A doctor taps the patellar tendon of a patient, causing an immediate leg extension. This specific reflex arc is unique because it lacks interneurons.",Monosynaptic reflex,Polysynaptic reflex,Autonomic reflex,Conditional reflex,A,The knee-jerk reflex is the only monosynaptic human reflex; polysynaptic is tempting because almost every other reflex involves at least one interneuron.,Reflex Arc,Easy,Biology,Coordination and Control
"Cortisol, a lipid-soluble steroid hormone, regulates metabolism. What is its primary mechanism of action upon reaching a target cell?",Binding to surface receptors,Activation of cAMP,Binding to intracellular receptors,Opening of sodium channels,C,Steroids are lipid-soluble and bind intracellularly; peptide hormones are tempting because they require membrane-bound receptors to initiate secondary messenger cascades.,Hormones,Medium,Biology,Coordination and Control
A 45-year-old patient has a condition affecting both digestive enzyme secretion and blood sugar regulation. Which organ functions as both exocrine and endocrine?,Adrenal gland,Thyroid gland,Pancreas,Pituitary gland,C,The pancreas is a unique heterocrine gland with both functions; the adrenal gland is tempting because it has two distinct histological regions.,Endocrine Glands,Easy,Biology,Coordination and Control
