Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
A patient with a fractured femur experiences muscle spasms. What type of muscle fiber is primarily responsible for these spasms?,Type I,Type II,Purkinje fiber,Smooth muscle fiber,B,"Type II fibers are responsible for muscle spasms, unlike Type I.",Muscle Fiber Types,Easy,Biology,Support and Movement
An individual with scoliosis has an abnormal curvature of the spine. Which type of cartilage is found between the vertebrae?,Hyaline cartilage,Fibrocartilage,Elastic cartilage,Adipose cartilage,B,"Fibrocartilage is found in intervertebral discs, providing cushioning.",Cartilage Types,Easy,Biology,Support and Movement
A person with osteoporosis has a higher risk of fractures due to decreased bone density. Which hormone helps regulate calcium levels in the blood?,Parathyroid hormone,Thyroid hormone,Adrenal hormone,Growth hormone,A,"Parathyroid hormone regulates calcium levels, unlike thyroid hormone.",Hormonal Regulation of Bones,Easy,Biology,Support and Movement
An athlete with a torn ligament experiences joint instability. What is the primary function of ligaments in the human body?,To produce movement,To provide stability,To absorb shock,To facilitate blood flow,B,"Ligaments provide stability, unlike tendons which produce movement.",Ligament Function,Easy,Biology,Support and Movement
A patient with a spinal cord injury experiences paralysis. Which part of the skeletal system provides protection for the spinal cord?,Ribcage,Vertebral column,Pelvis,Sternum,B,"Vertebral column protects the spinal cord, unlike ribcage.",Skeletal System Functions,Easy,Biology,Support and Movement
A person with a muscle strain experiences pain and limited mobility. What is the primary function of skeletal muscle in the human body?,To produce movement,To regulate body temperature,To facilitate digestion,To filter waste,A,"Skeletal muscle produces movement, unlike smooth muscle.",Skeletal Muscle Function,Easy,Biology,Support and Movement
An individual with a joint replacement experiences improved mobility. Which type of joint allows for the greatest range of motion?,Ball-and-socket joint,Hinge joint,Pivot joint,Saddle joint,A,"Ball-and-socket joints allow for the greatest range of motion, unlike hinge joints.",Joint Types,Easy,Biology,Support and Movement
A person with a tendon injury experiences pain and limited mobility. What is the primary function of tendons in the human body?,To produce movement,To provide stability,To connect muscles to bones,To facilitate blood flow,C,"Tendons connect muscles to bones, unlike ligaments.",Tendon Function,Easy,Biology,Support and Movement
An athlete with a stress fracture experiences pain and limited mobility. What is the primary function of the periosteum in the human body?,To produce bone tissue,To provide stability,To facilitate blood flow,To cover and protect bones,D,"Periosteum covers and protects bones, unlike endosteum.",Periosteum Function,Medium,Biology,Support and Movement
A person with a bone tumor experiences pain and limited mobility. Which type of bone cell is responsible for breaking down bone tissue?,Osteoblast,Osteoclast,Osteocyte,Chondrocyte,B,"Osteoclasts break down bone tissue, unlike osteoblasts.",Bone Cells,Medium,Biology,Support and Movement
An individual with a muscle imbalance experiences poor posture. What is the primary function of the core muscles in the human body?,To produce movement,To provide stability,To facilitate digestion,To regulate body temperature,B,"Core muscles provide stability, unlike limb muscles.",Core Muscle Function,Medium,Biology,Support and Movement
