Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,A recently cloned Arctic wolf was created by __________?,UK,USA,CHINA,FRANCE,C
2,The headquarter of the International Express Carriers Conference (IECC) is located in ___________.,Switzerland,Kenya,France,Libya,A
3,The length of its day and the tilt of its axis are almost identical to those of the earth. This is true for ___________.,Uranus,Neptune,Saturn,Mars,D
4,When was the global treaty that bans nuclear weapons adopted at the United Nations?,"On 7 July, 2017","On 17 June, 2017","On 15 January, 2017","On 5 Feburary, 2017",A
5,Who became the first black woman Press Secretary of the White House?,Jen Psaki,Karine Jean-Pierre,Symone Sanders,Anita Dunn,B
6,Which of the following 16-year-old girls became Finland's prime minister for a day?,Aava Murto,Vindhya Shinawatra,Katrin Jakobsdottir,None of these,A
7,"After which famous poet of Pakistan was a train service named, launched on June 9, 2014?",Allama Iqbal,Habib Jalib,Faiz Ahmad Faiz,Ahmad Faraz,C
8,"After the Ukraine crisis, which of the following countries submitted applications to join NATO?",Finland,Sweden,Belarus,Both A & B,D
9,Which region of the world is currently expected to go into recession?,Asia,Africa,Europe,None of These,C
10,When did the Pakistan Navy successfully test-fire an anti-ship missile from its Sea King helicopter in the northern Arabian Sea?,"on 3rd May, 2017","on 23rd September, 2017","on 4th March, 2017","on 10th April, 2017",B
11,Which two countries called for an urgent UN Security Council meeting after Israeli Minister Ben Gvir's visit to Al-Aqsa?,Turkey and China,China and Saudi Arabia,China and UAE,None of these,C
12,FATF has put Pakistan on the grey list from ___________.,on May,on June,on July,on August,B
13,"Which country has recently applied to become a member of the group of emerging countries, BRICS?",Canada,Iran,Israel,Japan,B
14,Who is the current Managing Director of the International Monetary Fund (as of early 2024)?,Kristalina Georgieva,Christine Lagarde,Dominique Strauss-Kahn,Rodrigo de Rato,A
15,The first five shelters for the homeless will be built in which city?,Rawalpindi,Faisalabad,Lahore,Multan,C
16,The winner of the T20 World Cup 2022 gets the prize money of __________?,US $1.6 million,US $1.8 million,US $2.0 million,None of these,A
17,The constitution of the European Union has not been ratified by ___________.,Italy,Netherland,France,USA,C
18,What is the name of the current Crown Prince of Saudi Arabia?,Salman bin Muhammad,Nayef bin Muhammad,Muhammad bin Nayef,None of these,D
