Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"When a magnet is moved towards a coil, what is the direction of induced current according to Lenz's law?",Same as the direction of motion of the magnet,Opposite to the direction of motion of the magnet,Perpendicular to the direction of motion of the magnet,In the direction of the magnetic field,B,"Lenz's law states that induced current opposes the change, so it flows opposite to the magnet's motion. Option A fails because it suggests the current aids the change.",Lenz's Law,Easy,Physics,Electromagnetic Induction
A coil is placed in a changing magnetic field. What is the name of the phenomenon that causes a current to flow in the coil?,Electromagnetic induction,Magnetic resonance,Electric polarization,Magnetic polarization,A,"Electromagnetic induction is the phenomenon where a changing magnetic field induces an electric current. Option B fails because resonance involves matching frequencies, not changing fields.",Electromagnetic Induction,Easy,Physics,Electromagnetic Induction
The unit of magnetic flux is?,Weber,Tesla,Henry,Ampere,A,"Magnetic flux is measured in Weber. Option B fails because Tesla is the unit of magnetic field strength, not flux.",Magnetic Flux,Easy,Physics,Electromagnetic Induction
Faraday's law of electromagnetic induction is mathematically expressed as?,ε = -N(dΦ/dt),ε = N(dΦ/dt),ε = -(dΦ/dt),ε = (dΦ/dt),A,"Faraday's law states ε = -N(dΦ/dt), including the negative sign for Lenz's law. Option D fails because it lacks the negative sign and N.",Faraday's Law,Medium,Physics,Electromagnetic Induction
A transformer works on the principle of?,Electromagnetic induction,Mutual induction,Self-induction,Electromagnetic radiation,B,"Transformers work on mutual induction between two coils. Option A is related but broader, as it includes self-induction too.",Mutual Induction,Easy,Physics,Electromagnetic Induction
The induced emf in a coil is proportional to?,Rate of change of magnetic flux,Magnetic flux,Resistance of the coil,Number of turns of the coil,A,"Faraday's law states that induced emf is proportional to the rate of change of magnetic flux. Option B fails because it's the rate of change, not flux itself.",Faraday's Law,Medium,Physics,Electromagnetic Induction
The back emf induced in a coil is due to?,Self-induction,Mutual induction,Electromagnetic radiation,Resistance of the coil,A,Back emf is due to self-induction when current changes. Option B fails because mutual induction involves two coils.,Self-Induction,Medium,Physics,Electromagnetic Induction
The coefficient of self-induction is measured in?,Henry,Farad,Tesla,Weber,A,Self-inductance is measured in Henry. Option B fails because Farad is the unit of capacitance.,Self-Induction,Easy,Physics,Electromagnetic Induction
The magnetic flux linked with a coil is given by Φ = 5t^2 + 2t + 3. The induced emf at t = 2s is?,22 V,-22 V,20 V,-20 V,B,"ε = -dΦ/dt = -(10t + 2) at t=2, ε = -22 V. Option A fails because it lacks the negative sign.",Faraday's Law,Medium,Physics,Electromagnetic Induction
A conducting loop is placed in a uniform magnetic field. The loop is then rotated. What is induced?,Current,Emf,Magnetic field,Electric field,B,"Rotating the loop changes the flux, inducing an emf. Option C fails because the magnetic field is uniform and unchanging.",Electromagnetic Induction,Medium,Physics,Electromagnetic Induction
The principle of conservation of energy is related to?,Lenz's law,Faraday's law,Ampere's law,Gauss's law,A,Lenz's law is related to conservation of energy as it opposes the change. Option B fails because Faraday's law describes the induction phenomenon.,Lenz's Law,Medium,Physics,Electromagnetic Induction
A magnet is dropped through a long copper tube. The acceleration of the magnet is?,Equal to g,Less than g,Greater than g,Zero,B,"Induced currents in the tube oppose the magnet's fall, reducing its acceleration. Option A fails because it neglects the induced currents.",Applications of Electromagnetic Induction,Hard,Physics,Electromagnetic Induction
The induced emf in a coil rotating in a magnetic field is maximum when the angle between the coil's plane and the field is?,0°,45°,90°,180°,C,"Emf is maximum when the coil is perpendicular to the field, maximizing the rate of change of flux. Option A fails because at 0°, the flux change is minimal.",Electromagnetic Induction,Medium,Physics,Electromagnetic Induction
Mutual inductance between two coils depends on?,Number of turns of the coils,Resistance of the coils,Current in the coils,Magnetic field around the coils,A,"Mutual inductance depends on the number of turns and their geometry. Option B fails because resistance affects current, not mutual inductance directly.",Mutual Induction,Medium,Physics,Electromagnetic Induction
The core of a transformer is laminated to?,Reduce eddy currents,Increase magnetic flux,Reduce magnetic flux,Increase eddy currents,A,"Lamination reduces eddy currents by increasing resistance. Option D fails because it suggests increasing eddy currents, which is undesirable.",Applications of Electromagnetic Induction,Easy,Physics,Electromagnetic Induction
A coil is placed in a magnetic field. The magnetic flux linked with the coil is Φ = 2t^2 + 3t - 1. The induced emf at t = 1s is?,7 V,-7 V,5 V,-5 V,B,"ε = -dΦ/dt = -(4t + 3) at t=1, ε = -7 V. Option A fails because it lacks the negative sign.",Faraday's Law,Hard,Physics,Electromagnetic Induction
The self-inductance of a coil is a measure of?,Its ability to induce emf in another coil,Its ability to oppose changes in current,Its resistance to current flow,Its capacitance,B,Self-inductance measures the coil's ability to oppose changes in current. Option C fails because resistance is a different property.,Self-Induction,Medium,Physics,Electromagnetic Induction
The emf induced in a coil due to a change in current in another coil is called?,Self-induced emf,Mutually induced emf,Back emf,Motional emf,B,Mutually induced emf occurs due to a change in current in another coil. Option A fails because self-induced emf is due to its own current change.,Mutual Induction,Easy,Physics,Electromagnetic Induction
A coil with 500 turns is placed in a magnetic field that changes from 0.2 T to 0.5 T in 0.1 s. What is the average induced EMF?,750 V,1500 V,3000 V,4500 V,B,Average induced EMF = N*dΦ/dt = 500*(0.5-0.2)*A/A / 0.1 = 1500 V. Option A fails due to incorrect calculation.,Faraday's Law of Induction,Medium,Physics,Electromagnetic Induction
A 0.1 m long conductor moves at 5 m/s perpendicular to a 0.8 T magnetic field. What is the induced EMF?,0.2 V,0.4 V,0.6 V,0.8 V,B,Induced EMF = Blv = 0.8*0.1*5 = 0.4 V. Option A fails due to incorrect multiplication.,Motional EMF,Easy,Physics,Electromagnetic Induction
"A coil with an area of 0.05 m^2 is placed in a magnetic field of 0.3 T. If the coil is rotated by 90 degrees in 0.2 s, what is the average induced EMF?",0.075 V,0.15 V,0.3 V,0.6 V,A,Average induced EMF = (Initial flux - Final flux)/dt = (0.3*0.05 - 0)/0.2 = 0.075 V. Option B fails due to ignoring initial flux.,Faraday's Law of Induction,Medium,Physics,Electromagnetic Induction
A solenoid with 1000 turns and a cross-sectional area of 0.01 m^2 is placed in a magnetic field that changes from 0.1 T to 0.4 T in 0.05 s. What is the induced EMF?,60 V,80 V,100 V,120 V,B,"Induced EMF = N*dΦ/dt = 1000*(0.4-0.1)*0.01 / 0.05 = 80 V, but for solenoid it is μ₀*n*I*A, here n = N/l, so we need length. Option A is for different value of N or A.",Faraday's Law of Induction,Hard,Physics,Electromagnetic Induction
A conductor of length 0.2 m is moving with a velocity of 3 m/s in a direction making an angle of 60 degrees with the magnetic field of 0.5 T. What is the induced EMF?,0.15 V,0.26 V,0.3 V,0.45 V,B,Induced EMF = Blv sinθ = 0.5*0.2*3*sin(60) = 0.26 V. Option A fails due to incorrect angle.,Motional EMF,Medium,Physics,Electromagnetic Induction
"The magnetic flux through a coil changes from 0.02 Wb to 0.08 Wb in 0.1 s. If the coil has 200 turns, what is the average induced EMF?",12 V,16 V,20 V,24 V,A,Average induced EMF = N*dΦ/dt = 200*(0.08-0.02)/0.1 = 12 V. Option B fails due to miscalculation.,Faraday's Law of Induction,Easy,Physics,Electromagnetic Induction
"A rectangular coil with 50 turns, area 0.1 m^2 is rotated from a position perpendicular to a 0.2 T magnetic field to a position parallel to the field in 0.05 s. What is the average induced EMF?",4 V,8 V,12 V,20 V,D,Average induced EMF = N*dΦ/dt = 50*(0.2*0.1 - 0)/0.05 = 20 V. Option A fails due to incorrect flux change.,Faraday's Law of Induction,Medium,Physics,Electromagnetic Induction
The magnetic flux through a 100-turn coil is given by Φ = (2t^2 + 3t + 1) Wb. What is the induced EMF at t = 2 s?,900 V,1000 V,1100 V,1200 V,C,"dΦ/dt = (4t + 3) Wb/s, at t = 2, dΦ/dt = 11 Wb/s. Induced EMF = N*dΦ/dt = 100*11 = 1100 V. Option A fails due to wrong differentiation.",Faraday's Law of Induction,Hard,Physics,Electromagnetic Induction
A 0.5 m long conductor is moving at 2 m/s perpendicular to a 1.2 T magnetic field. What is the induced EMF?,1.0 V,1.2 V,1.5 V,2.0 V,B,Induced EMF = Blv = 1.2*0.5*2 = 1.2 V. Option A fails due to miscalculation.,Motional EMF,Easy,Physics,Electromagnetic Induction
"A coil is placed in a magnetic field that is changing at a rate of 0.5 T/s. If the coil has 300 turns and an area of 0.02 m^2, what is the induced EMF?",3 V,6 V,9 V,12 V,A,Induced EMF = N*dΦ/dt = N*A*dB/dt = 300*0.02*0.5 = 3 V. Option B fails due to miscalculation.,Faraday's Law of Induction,Easy,Physics,Electromagnetic Induction
