Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
A biochemical reaction requires a specific amount of energy to initiate the breaking of chemical bonds. This energy requirement is known as:,Kinetic energy,Activation energy,Potential energy,Thermal energy,B,Activation energy is the minimum barrier for reactions; kinetic energy merely describes particle motion and lacks the specific initiation threshold.,Activation energy,Easy,Biology,Enzymes
"In many enzymatic reactions, metal ions like magnesium or iron are required to detach easily from the protein part. These are called:",Coenzymes,Prosthetic groups,Apoenzymes,Activators,D,"Activators are inorganic metallic ions like Mg2+; coenzymes are organic molecules, often vitamin derivatives, which serve a different structural role.",Cofactors,Easy,Biology,Enzymes
The catalytic activity of an enzyme is restricted to a small region containing specific amino acids that determine its shape. This region is:,Active site,Allosteric site,Cofactor site,Regulatory site,A,The active site facilitates catalysis; the allosteric site is a separate regulatory region where non-competitive inhibitors or activators typically bind.,Active site,Medium,Biology,Enzymes
"An enzyme like urease only acts upon urea and no other substrate, even those with similar structures, demonstrating a high degree of:",Reaction specificity,Geometric specificity,Substrate specificity,Stereospecificity,C,Substrate specificity refers to an enzyme acting on one molecule; reaction specificity describes the type of chemical change occurring regardless of substrate.,Enzyme specificity,Medium,Biology,Enzymes
"In a metabolic pathway, the end product binds to the first enzyme to stop the production sequence. This regulatory mechanism is called:",Irreversible inhibition,Feedback inhibition,Competitive inhibition,Non-competitive inhibition,B,Feedback inhibition regulates pathways via the end product; irreversible inhibition permanently destroys enzyme activity through covalent bonding at active sites.,Feedback inhibition,Hard,Biology,Enzymes
A non-protein part that is permanently and covalently bonded to the enzyme's protein structure is specifically defined as a:,Prosthetic group,Coenzyme,Activator,Apoenzyme,A,Prosthetic groups are permanently attached non-protein components; coenzymes are loosely attached organic molecules that easily dissociate after the catalytic reaction.,Prosthetic group,Easy,Biology,Enzymes
Many enzymes utilize derivatives of vitamins like NAD or FAD to transport chemical groups or electrons. These organic molecules are:,Activator,Apoenzyme,Coenzyme,Holoenzyme,C,"Coenzymes are organic carriers like NAD; activators are inorganic metal ions, which underprepared students often confuse with organic cofactors.",Coenzyme,Medium,Biology,Enzymes
Malonic acid resembles succinic acid and competes for the active site of succinate dehydrogenase. This type of interaction is called:,Non-competitive inhibition,Competitive inhibition,Irreversible inhibition,Uncompetitive inhibition,B,"Competitive inhibitors like malonate mimic the substrate's shape; non-competitive inhibitors bind elsewhere, failing to resemble the substrate's molecular structure.",Competitive inhibitors,Hard,Biology,Enzymes
"When the essential non-protein part is removed from an enzyme, the remaining inactive protein part is known as the:",Holoenzyme,Prosthetic group,Cofactor,Apoenzyme,D,"An apoenzyme is the inactive protein part; a holoenzyme is the complete, active complex including the required cofactor or prosthetic group.",Apoenzyme,Easy,Biology,Enzymes
"During the formation of the enzyme-substrate complex, the substrate undergoes a high-energy, unstable state before becoming products. This is the:",Transition state,Ground state,Product state,Equilibrium state,A,The transition state is the unstable mid-point of a reaction; the product state represents the final stable molecules after catalysis completes.,Enzyme-Substrate Complex,Medium,Biology,Enzymes
Enzymes in the human body generally reach their maximum rate of reaction at which specific temperature according to PTB?,25 degrees Celsius,45 degrees Celsius,37 degrees Celsius,98 degrees Celsius,C,Human enzymes function optimally at 37 degrees Celsius; 25 degrees is standard room temperature and results in lower kinetic energy for collisions.,Optimum Temperature,Easy,Biology,Enzymes
"The enzyme pepsin, which functions in the acidic environment of the stomach, has an optimum pH value of:",7.0,2.0,8.0,4.5,B,Pepsin requires a highly acidic pH of 2.0; a neutral pH of 7.0 would denature the enzyme and stop its activity.,pH effect,Medium,Biology,Enzymes
"Cyanide combines with the iron of cytochrome oxidase at a site other than the active site, blocking respiration. This is:",Non-competitive inhibition,Competitive inhibition,Reversible inhibition,Feedback inhibition,A,"Non-competitive inhibitors bind to separate sites; competitive inhibitors must resemble the substrate to occupy the active site, which cyanide does not.",Non-competitive inhibitors,Hard,Biology,Enzymes
The hypothesis suggesting that the active site is flexible and molds around the substrate for a better fit was proposed by Koshland:,Lock and key model,Fluid mosaic model,Sliding filament model,Induced fit model,D,"The induced fit model describes active site flexibility; the lock and key model incorrectly assumes a rigid, unchanging active site structure.",Induced Fit Model,Easy,Biology,Enzymes
"When all active sites are occupied by substrate molecules, further increasing substrate concentration does not increase the rate. This state is:",Denaturation,Inhibition,Saturation,Activation,C,Saturation occurs when all active sites are busy; denaturation involves the physical unfolding of the protein due to heat or pH.,Substrate concentration,Medium,Biology,Enzymes
Enzymes involved in the process of cellular respiration and ATP production are specifically localized within which organelle?,Ribosomes,Mitochondria,Lysosomes,Golgi apparatus,B,Respiratory enzymes are localized in mitochondria; ribosomes are the site of protein synthesis and do not contain the Krebs cycle enzymes.,Enzyme location,Hard,Biology,Enzymes
"Emil Fischer proposed a model in 1894 where the enzyme and substrate have rigid, complementary shapes. This model is:",Lock and key model,Induced fit model,Allosteric model,Cooperative model,A,The lock and key model emphasizes rigid complementarity; the induced fit model is more accurate as it accounts for conformational changes.,Lock and Key Model,Easy,Biology,Enzymes
The specific part of the active site that transforms the substrate into products by breaking and forming bonds is the:,Binding site,Allosteric site,Prosthetic site,Catalytic site,D,The catalytic site performs the chemical transformation; the binding site's role is limited to orienting and holding the substrate in place.,Active site regions,Medium,Biology,Enzymes
