Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"If a couple has a child with cystic fibrosis, an autosomal recessive disorder, what is the probability that their next child will be a carrier?",1/2,1/3,2/3,3/4,C,"Both parents must be carriers, so 2/3 chance the next child is a carrier.",Autosomal Recessive Disorders,Medium,Biology,Inheritance
What is the purpose of the leading strand during DNA replication?,To synthesize the lagging strand,To synthesize the leading strand,To unwind the double helix,To proofread the new DNA,B,Leading strand is synthesized continuously in the 5' to 3' direction.,DNA Replication,Easy,Biology,Inheritance
A couple has a child with a genetic disorder caused by a dominant allele. What is the probability that the next child will have the disorder?,1/2,1/3,1/4,2/3,A,Each child has a 50% chance of inheriting the dominant allele.,Autosomal Dominant Disorders,Medium,Biology,Inheritance
A genetic test reveals that a couple's child has a chromosomal abnormality. What is the term for the presence of an extra copy of a chromosome?,Aneuploidy,Polyploidy,Triploidy,Trisomy,D,"Trisomy refers to the presence of an extra chromosome, such as in Down syndrome.",Chromosomal Abnormalities,Easy,Biology,Inheritance
What is the term for the movement of molecules from an area of higher concentration to an area of lower concentration?,Osmosis,Diffusion,Active transport,Passive transport,B,Diffusion is the movement of molecules down a concentration gradient.,Cell Transport,Easy,Biology,Inheritance
A genetic disorder caused by a mutation in the CFTR gene is,Sickle cell anemia,Cystic fibrosis,Tay-Sachs disease,Phenylketonuria,B,Cystic fibrosis is caused by a mutation in the CFTR gene.,Genetic Disorders,Easy,Biology,Inheritance
"In a population, what is the term for the total number of alleles for a particular gene?",Gene pool,Genotype,Phenotype,Allele frequency,A,Gene pool refers to the total number of alleles in a population.,Population Genetics,Medium,Biology,Inheritance
"A couple has a child with a genetic disorder caused by a recessive allele. If both parents are carriers, what is the probability that their next child will have the disorder?",1/2,1/3,1/4,2/3,C,Each child has a 25% chance of inheriting two recessive alleles.,Autosomal Recessive Disorders,Medium,Biology,Inheritance
"In a population, what is the term for the frequency of a particular allele?",Genotype frequency,Phenotype frequency,Allele frequency,Gene frequency,C,Allele frequency is the proportion of a particular allele in a population.,Population Genetics,Hard,Biology,Inheritance
What is the term for the phenomenon where a dominant allele has a greater effect on the phenotype than a recessive allele?,Dominance,Recessive,Incomplete dominance,Codominance,A,Dominance refers to the greater effect of a dominant allele.,Mendelian Genetics,Hard,Biology,Inheritance
