subject,q_num,csv_answer,pdf_answer
General_Knowledge,121,C,A
General_Knowledge,1541,B,A
General_Knowledge,1781,D,B
General_Knowledge,1871,B,D
General_Knowledge,2501,C,A
General_Knowledge,2561,D,A
General_Knowledge,2861,C,B
General_Knowledge,3411,D,A
General_Knowledge,3491,D,A
General_Knowledge,3521,D,B
General_Knowledge,3911,C,A
General_Knowledge,3981,D,A
Pakistan_Studies,581,B,A
Pakistan_Studies,1401,A,D
Pakistan_Studies,2011,B,D
Pakistan_Studies,2271,B,A
Pakistan_Studies,2421,C,B
Pakistan_Studies,2952,A,D
Everyday_Science,71,C,D
Everyday_Science,521,B,A
Everyday_Science,1641,A,B
Everyday_Science,2441,A,C
Everyday_Science,3831,A,D
Everyday_Science,3901,D,B
Everyday_Science,4131,D,A
Everyday_Science,4231,D,B
Everyday_Science,4281,A,B
Islamiyat,323,B,D
Islamiyat,663,D,B
Islamiyat,713,B,D
Islamiyat,1303,A,C
English,4,A,B
English,364,C,A
English,474,B,A
English,775,A,C
Basic_Computer,781,D,C
Basic_Computer,1031,A,D
Basic_Computer,1101,D,A
Geography,125,C,D
