Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"The number of elements in the group 1, -1, i, -i under multiplication is",4,3,2,infinite,A,"The group is closed under multiplication and has 4 distinct elements, hence the order is 4.",NET,Conceptual,Medium,Mathematics,Number Systems and Groups
The value of (2 + 3i) / (1 - i) is,(1/2) + (5/2)i,(1/2) - (5/2)i,1 + 5i,1 - 5i,A,"To divide complex numbers, multiply numerator and denominator by the conjugate of the denominator: (2 + 3i)(1 + i) / (1 - i)(1 + i).",NET,Conceptual,Medium,Mathematics,Number Systems and Groups
"In the group Z6 under addition modulo 6, the order of 4 is",3,2,6,1,A,"The order of an element a is the smallest n such that na = 0 mod 6. For 4, 3*4 = 12 = 0 mod 6.",NET,Conceptual,Medium,Mathematics,Number Systems and Groups
The number 1010101 in binary is equal to,85,63,127,255,A,Convert binary to decimal by evaluating 1*2^6 + 0*2^5 + 1*2⁴ + 0*2³ + 1*2² + 0*2^1 + 1*2^0.,NET,Conceptual,Medium,Mathematics,Number Systems and Groups
"The group 1, 2, 3, 4 under multiplication modulo 5 is",cyclic,abelian but not cyclic,not a group,none,A,"The group is closed, associative, has identity, and each element has an inverse. It's cyclic because 2 generates the group.",NET,Conceptual,Medium,Mathematics,Number Systems and Groups
"If a and b are integers, then the number of solutions to the congruence ax ≡ b (mod n) is","0 or gcd(a, n)","1 or gcd(a, n)","gcd(a, n)",0 or 1,A,"The congruence has a solution if and only if gcd(a, n) divides b. The number of solutions is gcd(a, n).",NET,Conceptual,Medium,Mathematics,Number Systems and Groups
The value of ∫(1 / (1 + x²)) dx from 0 to 1 is,π / 4,π / 2,1,0,A,The integral of 1 / (1 + x²) is arctan(x). Evaluate from 0 to 1: arctan(1) - arctan(0) = π / 4.,NET,Conceptual,Medium,Mathematics,Number Systems and Groups
The number of generators of the cyclic group Z12 is,4,2,6,12,A,"The number of generators is φ(12), where φ is Euler's totient function, counting numbers less than 12 and coprime to it.",NET,Conceptual,Medium,Mathematics,Number Systems and Groups
The remainder when 7^1000 is divided by 25 is,1,7,24,0,A,Use modular arithmetic and the fact that 7⁴ ≡ 1 (mod 25) to simplify 7^1000 mod 25.,NET,Conceptual,Medium,Mathematics,Number Systems and Groups
The value of √(-16) + √(-9) is,7i,5i,-7i,-5i,A,"√(-16) = 4i and √(-9) = 3i, so their sum is 7i.",NET,Conceptual,Medium,Mathematics,Number Systems and Groups
The number of subgroups of the group Z under addition is,infinite,2,1,0,A,"For every n in Z, there is a subgroup nZ, hence infinite subgroups.",NET,Conceptual,Medium,Mathematics,Number Systems and Groups
The product of two complex numbers (2 + 3i) and (4 - 5i) is,23 + 2i,23 - 2i,-7 + 22i,-7 - 22i,A,Use the distributive property: (2 + 3i)(4 - 5i) = 8 - 10i + 12i - 15i² = 23 + 2i.,NET,Conceptual,Medium,Mathematics,Number Systems and Groups
The order of the element 5 in Z12 under addition modulo 12 is,12,"12 / gcd(12, 5)",5,1,B,"The order of an element a in Z_n is n / gcd(n, a). Here, gcd(12, 5) = 1, so the order is 12.",NET,Conceptual,Medium,Mathematics,Number Systems and Groups
The number 123 in base 8 is equal to,83,75,64,128,A,Convert from base 8 to decimal: 1*8² + 2*8 + 3 = 64 + 16 + 3 = 83.,NET,Conceptual,Medium,Mathematics,Number Systems and Groups
The value of (1 + i)⁴ is,-4,4,0,1,A,"(1 + i)² = 2i, so (1 + i)⁴ = (2i)² = -4.",NET,Conceptual,Medium,Mathematics,Number Systems and Groups
The group Z4 × Z2 is,cyclic,abelian but not cyclic,not abelian,none,B,The direct product of abelian groups is abelian. Z4 × Z2 is not cyclic because it has no element of order 8.,NET,Conceptual,Medium,Mathematics,Number Systems and Groups
The value of 2^100 mod 7 is,2,4,1,0,B,"Use the property that a^(p-1) ≡ 1 (mod p) for p prime. Here, 2³ ≡ 1 (mod 7), so 2^100 = (2³)³3 * 2 ≡ 4 (mod 7).",NET,Conceptual,Medium,Mathematics,Number Systems and Groups
The number of elements of order 2 in S3 is,3,2,1,0,A,"S3 has 3 elements of order 2: (12), (13), and (23).",NET,Conceptual,Medium,Mathematics,Number Systems and Groups
The value of 3^(-1) mod 7 is,5,3,2,4,A,"Find x such that 3x ≡ 1 (mod 7). By inspection or using the extended Euclidean algorithm, x = 5.",NET,Conceptual,Medium,Mathematics,Number Systems and Groups
"The number of cosets of the subgroup 0, 3 in Z6 is",3,2,6,1,A,"The index of a subgroup H in G is |G| / |H|. Here, |Z6| = 6 and |0, 3| = 2, so the index is 6 / 2 = 3.",NET,Conceptual,Medium,Mathematics,Number Systems and Groups
The value of (2³ × 3²) / (2 × 3) is,12,6,8,4,A,"Using laws of exponents, (2³ × 3²) / (2 × 3) = 2² × 3 = 4 × 3 = 12.",ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
"If a number is divisible by 12, it is also divisible by",24,6,4,3,D,"Since 12 is divisible by 3, any number divisible by 12 is also divisible by 3.",ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
The sum of the first 5 prime numbers is,18,28,25,30,B,"First 5 primes are 2, 3, 5, 7, 11. Sum = 2 + 3 + 5 + 7 + 11 = 28.",ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
The HCF of 48 and 18 is,6,12,8,4,A,"Using Euclid's algorithm, HCF(48, 18) = HCF(18, 12) = HCF(12, 6) = 6.",ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
The value of √((2 + √3) / (2 - √3)) is,2 + √3,√3 + 1,2 - √3,√3 - 1,A,"Rationalizing the denominator, we get √((2 + √3) / (2 - √3)) = √((2 + √3)² / (4 - 3)) = 2 + √3.",ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
The number of elements in the set x: x is a multiple of 3 and x < 20 is,6,7,5,8,A,"Multiples of 3 less than 20 are 3, 6, 9, 12, 15, 18. There are 6 elements.",ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
"If a ≡ b (mod n), then",a - b is divisible by n,a + b is divisible by n,a × b is divisible by n,a / b is divisible by n,A,"By definition, a ≡ b (mod n) means a - b is divisible by n.",ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
The number of divisors of 24 is,6,8,4,10,B,Prime factorization of 24 is 2³ × 3. Number of divisors = (3 + 1) × (1 + 1) = 8.,ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
The value of (1 / 2)³ × (1 / 2)² is, 1 / 16, 1 / 32, 1 / 8, 1 / 4,B,"Using laws of exponents, (1 / 2)³ × (1 / 2)² = (1 / 2)⁵ = 1 / 32.",ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
"If x is an integer and x² is even, then x is",always even,always odd,sometimes even,sometimes odd,A,"If x² is even, then x must be even, as the square of an odd number is odd.",ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
The LCM of 12 and 15 is,60,30,45,120,A,"LCM(12, 15) = LCM(2² × 3, 3 × 5) = 2² × 3 × 5 = 60.",ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
The value of (√2 + 1) / (√2 - 1) is,3 + 2√2,3 - 2√2,2 + √2,2 - √2,A,"Rationalizing the denominator, we get (√2 + 1) / (√2 - 1) = (√2 + 1)² / (2 - 1) = 3 + 2√2.",ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
The number of subsets of a set with 5 elements is,25,32,10,16,B,Number of subsets = 2⁵ = 32.,ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
"If a and b are integers and a + b = 0, then",a = b = 0,a = -b,a = b,a > b,B,"a + b = 0 implies a = -b, so a is the additive inverse of b.",ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
The value of (2 / 3) + (1 / 6) is, 5 / 6, 3 / 4, 1 / 2, 2 / 3,A,"LCM of 3 and 6 is 6. So, (2 / 3) + (1 / 6) = (4 / 6) + (1 / 6) = 5 / 6.",ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
The number 1234 is divisible by,3,4,2,all of these,D,"1234 is even, so divisible by 2. Last two digits 34 are divisible by 2 but not 4. Sum of digits = 10, not divisible by 3.",ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
The value of ∫(1 / x) dx from 1 to 2 is,log 2,log 1 / 2, 1 / 2,1,A,"∫(1 / x) dx = log|x|. Evaluating from 1 to 2, we get log 2 - log 1 = log 2.",ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
"If x and y are positive integers and x + y = 10, the maximum value of x × y is",25,20,24,30,A,"x × y is maximum when x = y = 5, so x × y = 25.",ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
The value of (3 × 10³) + (2 × 10²) + (1 × 10¹) is,3210,3200,321,3021,A,"Evaluating the expression, we get 3000 + 200 + 10 = 3210.",ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
"The number of ways to arrange the digits 1, 2, 3 is",3,6,9,12,B,Number of arrangements = 3! = 3 × 2 × 1 = 6.,ECAT,Conceptual,Medium,Mathematics,Number Systems and Groups
"If a ≡ b (mod n), then what is the value of a - b?",Multiple of n,Divisor of n,Factor of n,Prime number,A,"a ≡ b (mod n) implies n divides a - b, so a - b is a multiple of n.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
The number of generators of a cyclic group of order 12 is,4,6,8,12,A,"Number of generators = φ(12) = φ(4)*φ(3) = 2*2 = 4, where φ is Euler's totient function.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
"If (a, b) = 1 and (a, c) = 1, then what is (a, bc)?",1,a,b,c,A,"(a, bc) = 1 since a is coprime to both b and c, hence coprime to bc.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
The order of the element 3 in the multiplicative group of integers modulo 7 is,1,2,6,3,C,"3^1 ≡ 3, 3² ≡ 2, 3³ ≡ 6, 3⁴ ≡ 4, 3^5 ≡ 5, 3^6 ≡ 1 (mod 7), so order is 6.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
The number 1010101 is divisible by,3,7,11,13,A,"Sum of digits = 1 + 0 + 1 + 0 + 1 + 0 + 1 = 4, not divisible by 3, but 1010101 = 10101*100 + 1, checking divisibility by 3 using the sum of digits 1+0+1+0+1 = 3, which is divisible by 3.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
"If G is a group and a, b ∈ G, then (ab)^-1 =",a^-1 b^-1,b^-1 a^-1,a^-1 b,b a^-1,B,"(ab)(b^-1 a^-1) = a(b b^-1)a^-1 = a(1)a^-1 = aa^-1 = 1, so (ab)^-1 = b^-1 a^-1.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
The number of subgroups of a cyclic group of order 20 is,4,6,8,10,B,"Number of divisors of 20 = 6 (1, 2, 4, 5, 10, 20), and each divisor corresponds to a subgroup.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
The remainder when 3^100 is divided by 7 is,1,2,3,4,D,"3^6 ≡ 1 (mod 7), so 3^100 = (3^6)^16 * 3⁴ ≡ 1^16 * 81 ≡ 4 (mod 7).",GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
"If a and b are integers and a ≡ b (mod m), then a² ≡",b (mod m),b² (mod m),2b (mod m),b³ (mod m),B,a ≡ b (mod m) implies a² ≡ b² (mod m) by property of modular arithmetic.,GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
The least common multiple of 12 and 15 is,60,120,180,240,A,"LCM(12, 15) = (12*15)/GCD(12, 15) = (12*15)/3 = 60.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
The number of elements of order 2 in the symmetric group S3 is,1,2,3,4,C,"S3 = (1), (12), (13), (23), (123), (132), elements of order 2 are (12), (13), (23), so 3 elements.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
"If G is an abelian group, then for a, b ∈ G, (ab)^n =",a^n b,a b^n,a^n b^n,b^n a^n,C,(ab)^n = a^n b^n since G is abelian and elements commute.,GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
The greatest common divisor of 48 and 18 is,6,8,12,16,A,"Using Euclidean algorithm: GCD(48, 18) = GCD(18, 12) = GCD(12, 6) = 6.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
The number of distinct cosets of a subgroup H of index 3 in a group G is,2,3,4,6,B,Index of H in G = number of distinct cosets = 3.,GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
"If a is an integer and a ≡ 1 (mod 5), then a² ≡",1 (mod 5),2 (mod 5),3 (mod 5),4 (mod 5),A,a ≡ 1 (mod 5) implies a² ≡ 1² ≡ 1 (mod 5).,GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
The order of the element 2 in the multiplicative group of integers modulo 11 is,5,10,8,6,B,"2^1 ≡ 2, 2² ≡ 4, 2³ ≡ 8, 2⁴ ≡ 5, 2^5 ≡ 10, 2^6 ≡ 9, 2^7 ≡ 7, 2^8 ≡ 3, 2^9 ≡ 6, 2^10 ≡ 1 (mod 11), so order is 10.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
The number of integers less than 100 and relatively prime to 100 is,20,30,40,50,C,"φ(100) = φ(4)*φ(25) = 2*20 = 40, where φ is Euler's totient function.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
"If (a, n) = 1, then the congruence ax ≡ b (mod n) has",No solution,Exactly one solution,Infinitely many solutions,At most one solution,B,"Since (a, n) = 1, a has a multiplicative inverse mod n, so the congruence has a unique solution.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
The sum of all the positive divisors of 12 is,28,24,20,16,A,"Divisors of 12 are 1, 2, 3, 4, 6, 12, and their sum = 1 + 2 + 3 + 4 + 6 + 12 = 28.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
"If G is a cyclic group of order n, then the number of automorphisms of G is",n,φ(n),n-1,n+1,B,"Number of automorphisms = φ(n), where φ is Euler's totient function, since each automorphism is determined by the image of a generator.",GIKI_PIEAS,Conceptual,Medium,Mathematics,Number Systems and Groups
"If a number is divisible by 4 and 6, it must be divisible by their LCM. What is the LCM of 4 and 6?",8,10,12,24,C,"The LCM of two numbers is the product of the numbers divided by their GCD. GCD(4, 6) = 2, LCM = (4 * 6) / 2 = 12.",LUMS_SAT,Conceptual,Medium,Mathematics,Number Systems and Groups
