Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
The sum of the first n terms of an AP is n² + 2n. The common difference is,2,4,6,8,B,"Using the sum formula for AP, Sn = n/2 [2a + (n-1)d], we equate and simplify to find d = 4.",NET,Conceptual,Medium,Mathematics,Sequences and Series
"If the 5th term of a GP is 16 and the 8th term is 128, then the common ratio is", 1/2,2,4,8,B,"Using the nth term formula for GP, ar^(n-1), we get ar⁴ = 16 and ar^7 = 128. Dividing gives r³ = 8, so r = 2.",NET,Conceptual,Medium,Mathematics,Sequences and Series
The sum of an infinite GP is 16 and the sum of the squares of its terms is 128. The first term is,4,8,12,16,B,"Using the sum formula for infinite GP, a/(1-r) = 16, and a²/(1-r²) = 128. Simplifying yields a = 8.",NET,Conceptual,Medium,Mathematics,Sequences and Series
"The 10th term of the sequence 3, 6, 12, ... is",1536,1538,3072,3076,A,"The sequence is a GP with r = 2. Using the nth term formula, ar^(n-1), we get 3*2^(10-1) = 1536.",NET,Conceptual,Medium,Mathematics,Sequences and Series
"If the sum of the first n natural numbers is 1/5 times the sum of their squares, then n is",5,6,7,8,C,"Using the sum formulas, n(n+1)/2 = 1/5 * n(n+1)(2n+1)/6. Simplifying yields n = 7.",NET,Conceptual,Medium,Mathematics,Sequences and Series
The sum of the series 1 + 1/2 + 1/4 + ... is,1,2,3,4,B,This is an infinite GP with a = 1 and r = 1/2. The sum is a/(1-r) = 1/(1-1/2) = 2.,NET,Conceptual,Medium,Mathematics,Sequences and Series
"If the nth term of an AP is 2n + 1, then the sum of the first n terms is",n² + n,n² - n,n² + 2n,n² - 2n,A,"Using the nth term formula, we find a = 3 and d = 2. Then, Sn = n/2 [2a + (n-1)d] = n² + n.",NET,Conceptual,Medium,Mathematics,Sequences and Series
The product of the first 5 terms of a GP is 32. The third term is,1,2,4,8,B,"Using the nth term formula, the product of the first 5 terms is a^5 * r^(1+2+3+4) = a^5 * r^10 = 32. So, ar² = 2.",NET,Conceptual,Medium,Mathematics,Sequences and Series
"If the sum of three numbers in AP is 15 and their product is 80, then the numbers are","2, 5, 8","3, 5, 7","4, 5, 6","1, 5, 9",A,"Let the numbers be a-d, a, a+d. Then, 3a = 15 and (a-d)a(a+d) = 80. Solving gives a = 5 and d = 3.",NET,Conceptual,Medium,Mathematics,Sequences and Series
The sum of the series 1 + 3 + 5 + ... to n terms is,n²,n² + 1,n(n+1),n(n+1)/2,A,This is an AP with a = 1 and d = 2. The sum is n/2 [2a + (n-1)d] = n².,NET,Conceptual,Medium,Mathematics,Sequences and Series
"If the 2nd term of a GP is 6 and the 5th term is 48, then the common ratio is",1,2,3,4,B,"Using the nth term formula, ar = 6 and ar⁴ = 48. Dividing gives r³ = 8, so r = 2.",NET,Conceptual,Medium,Mathematics,Sequences and Series
"The 12th term of the AP -4, -1, 2, ... is",29,30,31,32,A,"Using the nth term formula, a + (n-1)d = -4 + (12-1)3 = 29.",NET,Conceptual,Medium,Mathematics,Sequences and Series
The sum of an infinite GP is 4 and the first term is 2. The common ratio is, 1/4, 1/2, 3/4,1,B,"Using the sum formula, a/(1-r) = 4, we get 2/(1-r) = 4. So, r = 1/2.",NET,Conceptual,Medium,Mathematics,Sequences and Series
"If the sum of n terms of an AP is 2n² + 3n, then the nth term is",4n + 1,4n - 1,4n + 2,4n - 2,A,"Using the sum formula, Sn = n/2 [2a + (n-1)d] = 2n² + 3n. Simplifying yields an = 4n + 1.",NET,Conceptual,Medium,Mathematics,Sequences and Series
The sum of the cubes of the first n natural numbers is,(n(n+1)/2)²,n(n+1)(2n+1)/6,n²(n+1)²/4,n(n+1)/2,A,The sum of cubes of first n natural numbers is (sum of first n natural numbers)² = (n(n+1)/2)².,NET,Conceptual,Medium,Mathematics,Sequences and Series
"The 8th term of the sequence 1, 2, 4, 8, ... is",128,256,64,16,A,"This is a GP with r = 2. Using the nth term formula, 2^(8-1) = 128.",NET,Conceptual,Medium,Mathematics,Sequences and Series
"If the ratio of the sum of n terms of two APs is (2n+1):(3n+1), then the ratio of their 10th terms is",21:31,21:32,22:31,22:33,A,"Using the sum ratio formula and substituting n = 19, we get the ratio of 10th terms as 21:31.",NET,Conceptual,Medium,Mathematics,Sequences and Series
The sum of the first n odd numbers is,n²,n² + 1,n(n+1),n(n+1)/2,A,The sequence of odd numbers is an AP with a = 1 and d = 2. The sum is n/2 [2a + (n-1)d] = n².,NET,Conceptual,Medium,Mathematics,Sequences and Series
"If the 3rd term of a GP is 4 and the 6th term is 32, then the common ratio is",1,2,3,4,B,"Using the nth term formula, ar² = 4 and ar^5 = 32. Dividing gives r³ = 8, so r = 2.",NET,Conceptual,Medium,Mathematics,Sequences and Series
