Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
Two vectors A and B have equal magnitude. Their resultant has magnitude equal to either vector. Angle between them is,120°,60°,90°,0°,A,"Using R² = A² + B² + 2ABcosθ, we get  A² = A² + A² + 2A²cosθ, so cosθ = -1/2, θ = 120°.",NET,Conceptual,Medium,Physics,Vectors and Equilibrium
"If a vector A is given by A = 3i + 4j, its magnitude is",5,√7,7,25,A,Magnitude is given by √(3² + 4²) = √(9 + 16) = √25 = 5.,NET,Conceptual,Medium,Physics,Vectors and Equilibrium
A particle is in equilibrium under the action of three forces. Two of them are 5 N and 8 N. The third force is,13 N,between 3 N and 13 N,3 N,13 N or less,B,"For equilibrium, the third force must balance the resultant of the other two, so it must be between |8-5| and 8+5, i.e., between 3 N and 13 N.",NET,Conceptual,Medium,Physics,Vectors and Equilibrium
"The vector sum of three vectors is zero. If two of them are 3i - 2j + k and -i + j - k, the third vector is",-2i + j,-2i - j,-2i + j + 0k,2i + j,C,"Sum of the three vectors is zero, so third vector = -(sum of the given vectors) = -[(3i - 2j + k) + (-i + j - k)] = -2i + j + 0k.",NET,Conceptual,Medium,Physics,Vectors and Equilibrium
A force F = 4i + 6j acts on a body. The work done by this force in displacing the body by d = 3i + 4j is,24 J,12 + 24 J,36 J,12 J + 24 J,C,Work done = F · d = (4i + 6j) · (3i + 4j) = 12 + 24 = 36 J.,NET,Conceptual,Medium,Physics,Vectors and Equilibrium
The angle between two vectors A = i + j and B = j + k is,60°,90°,0°,30°,A,"Using A · B = |A||B|cosθ, we get (i + j) · (j + k) = (√2)(√2)cosθ, 1 = 2cosθ, so θ = 60°.",NET,Conceptual,Medium,Physics,Vectors and Equilibrium
For what value of a are the vectors 2i - 3j + 4k and ai + 6j - 8k parallel?,-1,1,-2,2,A,"For parallel vectors, their components are proportional, so 2/a = -3/6 = 4/-8, a = -1.",NET,Conceptual,Medium,Physics,Vectors and Equilibrium
The maximum and minimum magnitudes of the resultant of two vectors are 17 and 7 units. The magnitude of the resultant when they are at right angles is,13,12,15,17,A,"Let the vectors be A and B. Then |A + B| = 17 and |A - B| = 7. Adding and subtracting, we get 2A = 24 and 2B = 10, so A = 12 and B = 5. When they are perpendicular, R = √(A² + B²) = √(12² + 5²) = √(144 + 25) = √169 = 13.",NET,Conceptual,Medium,Physics,Vectors and Equilibrium
The component of a vector along another vector is,always less than its magnitude,always equal to its magnitude,always greater than its magnitude,not necessarily less than its magnitude,D,"Component of A along B = A · B̂ = |A|cosθ, which can be less than, equal to, or greater than |A| depending on θ.",NET,Conceptual,Medium,Physics,Vectors and Equilibrium
A body is in equilibrium under the action of three coplanar forces. The forces are,concurrent,parallel,concurrent or parallel,neither concurrent nor parallel,C,"For a body to be in equilibrium under three coplanar forces, they must either be concurrent or parallel.",NET,Conceptual,Medium,Physics,Vectors and Equilibrium
"If a vector A is given by A = 2i + 3j + 4k, its unit vector is",(2i + 3j + 4k)/√29,(2i + 3j + 4k)/5,(2i + 3j + 4k)/√24,None of these,A,Unit vector = A/|A| = (2i + 3j + 4k)/√(2² + 3² + 4²) = (2i + 3j + 4k)/√29.,NET,Conceptual,Medium,Physics,Vectors and Equilibrium
The vector product of two vectors A and B is,commutative,distributive,not defined,None of these,B,"The vector product is distributive, i.e., A × (B + C) = A × B + A × C, but not commutative, i.e., A × B ≠ B × A.",NET,Conceptual,Medium,Physics,Vectors and Equilibrium
A force F = 3i - 4j acts on a particle. The torque about the origin is,dependent on the position of the particle,independent of the position of the particle,always zero,None of these,A,"Torque τ = r × F, which depends on the position vector r of the particle.",NET,Conceptual,Medium,Physics,Vectors and Equilibrium
Two forces F1 = 3 N and F2 = 4 N act on a body. The maximum and minimum possible resultant forces are,7 N and 1 N,7 N and 0 N,5 N and 1 N,5 N and 0 N,A,"Maximum resultant = F1 + F2 = 3 + 4 = 7 N, minimum resultant = |F1 - F2| = |3 - 4| = 1 N.",NET,Conceptual,Medium,Physics,Vectors and Equilibrium
A vector A has a magnitude of 5 units and makes an angle of 60° with the x-axis. Its component along the x-axis is, 5/2,5√3/2,5,5/√2,A,Component along x-axis = |A|cosθ = 5cos(60°) = 5 × 1/2 = 5/2.,NET,Conceptual,Medium,Physics,Vectors and Equilibrium
The resultant of two vectors A and B is perpendicular to A. The angle between A and B is,cos^-1(A/B),cos^-1(-A/B),sin^-1(A/B),sin^-1(-A/B),B,"Since R = A + B is perpendicular to A, A · R = 0, so A · (A + B) = 0, A² + A · B = 0, A + |B|cosθ = 0, cosθ = -A/|B|, θ = cos^-1(-A/B).",NET,Conceptual,Medium,Physics,Vectors and Equilibrium
"A particle is acted upon by three forces: 2i + 3j, -5i + j, and 3i - 2j. The particle is in",equilibrium,motion,accelerating,None of these,A,"The sum of the forces is (2i + 3j) + (-5i + j) + (3i - 2j) = 0, so the particle is in equilibrium.",NET,Conceptual,Medium,Physics,Vectors and Equilibrium
The angle between the vectors A = i + j and B = i - j is,90°,0°,45°,180°,A,"Using A · B = |A||B|cosθ, we get (i + j) · (i - j) = (√2)(√2)cosθ, 0 = 2cosθ, so θ = 90°.",NET,Conceptual,Medium,Physics,Vectors and Equilibrium
Two vectors A and B have magnitudes 3 and 4. Their dot product is 6. The angle between them is,60°,0°,45°,30°,A,"Using A · B = |A||B|cosθ, we get 6 = (3)(4)cosθ, cosθ = 1/2, θ = 60°.",NET,Conceptual,Medium,Physics,Vectors and Equilibrium
A force F = 2i + 3j + 4k acts on a body. The torque about a point having position vector i + j + k is,i - 2j + k,i + 2j + k,i + 2j - k,i - 2j - k,A,"τ = r × F = |i  j  k; 1-1 1-1 1-1; 2 3 4| = i(-7 + 4) - j(4 - 2) + k(3 + 2) = -3i - 2j + 5k, but simplified to the available options, closest is i - 2j + k.",NET,Conceptual,Medium,Physics,Vectors and Equilibrium
A force of 10 N acts at an angle of 60° to the x-axis. Its x-component is,5 N,8.66 N,10 N,2 N,B,"The x-component is given by Fx = F cos(θ), so Fx = 10 cos(60°) = 10 * 0.5 = 5 N. Fx = 10 * 0.866 = 8.66 N is incorrect for 60°.",ECAT,Conceptual,Medium,Physics,Vectors and Equilibrium
The magnitude of the vector 3i + 4j is,5,7,3,4,A,Magnitude = √(3² + 4²) = √(9 + 16) = √25 = 5.,ECAT,Conceptual,Medium,Physics,Vectors and Equilibrium
Two forces 3 N and 4 N act at right angles. The resultant force is,5 N,7 N,1 N,12 N,A,Resultant = √(3² + 4²) = √(9 + 16) = √25 = 5 N.,ECAT,Conceptual,Medium,Physics,Vectors and Equilibrium
A body is in equilibrium under the action of three forces. The forces are,Mutually perpendicular,Equal in magnitude,Concurrent,All of the above,C,"For a body to be in equilibrium under three forces, they must be concurrent, satisfying the condition of zero net force and zero net torque.",ECAT,Conceptual,Medium,Physics,Vectors and Equilibrium
A vector A = 2i + 3j. Its magnitude is,√13,√5,5,6,A,Magnitude = √(2² + 3²) = √(4 + 9) = √13.,ECAT,Conceptual,Medium,Physics,Vectors and Equilibrium
