Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,"Name the Indian Prime minister, who was awarded Nishan-e- Pakistan.",Lal Bahadur Shastri,Sonia Gandhi,Morarji Ranchhodji Desai,Narendra Modi,C
2,"Besides its main headquarters in New York, how many additional headquarter offices does the UN have?",Five,Three,Four,Two,B
3,The first-ever nuclear bomb was detonated in:,USA,France,New Mexico,None of these,C
4,When was the Right to Proxy Vote abolished in the UK?,1865,1868,1870,1880,B
5,"The Sino-Afghan boundary treaty was signed on November 22, ____.",1893,1963,1973,None of these,B
6,Tirich Mir mountain is present in ________.,China,India,Nepal,Pakistan,D
7,Who has made most number of runs in ODI cricket for Pakistan _____________?,Inzamam-ul-haq,M.Yousaf,Saeed Anwar,Shahid Afridi,A
8,ANSI stands for:,Asian Narcotics Standards Institute,American National Standards Institute,Asian National Standards Institute,American Narcotics Standards Institute,B
9,Michelangelo belongs to which country:,Germany,Japan,Italy,Poland,C
10,Which part is largest coffee exporting part and also exports cotton?,Santos,Le Havre,part Sudan,part Said,A
11,Bill Gates' planned futuristic city will be built in,Los Angeles,Southwestern Arizona,New York,Washington D.C.,B
12,"Golan Heights, sometimes seen in the news, is the disputed region between which of the following countries?",Afghanistan & Pakistan,Iran & Israel,Syria & Israel,None of these,C
13,Which country joined NATO most recently:,Bahrain,Brazil,Kuwait,Sweden,D
14,Gurla Mandhata mountain is present in ________.,India,Nepal,China,Pakistan,C
15,Which country declared total independence from the IMF and World Bank in 2017?,Greece,Bolivia,Argentina,Türkiye,B
16,Ban Ki-moon was the:,President of the Security Council,PM of Japan,Secretary-General of the UNO,President of the Republic of Korea,C
17,Capital and Largest City of Bahrain is_________.,Sitra,Muharraq,Manama,None of these,C
18,Which is considered the oldest of the Seven Wonders of the Ancient World?,The Hanging Gardens of Babylon,The Pyramids of Egypt,The Colossus of Rhodes,The Tomb of Mausolus,B
19,"Maize, rice, and wheat are generally referred to as",Legume Crops,Cereal Crops,Root crops,None of these,B
20,The 'Treaty on Treaties' is the informal name for:,Vienna Convention,Hague Conventions,Geneva Conventions,None of these,A
21,Who is called the pioneer of Idealism:,Aristotle,Plato,Socrates,Alexander,B
22,The Delhi Sultanate came to an end in:,1526,1290,1325,None of these,A
