Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Explanation,Reference,Difficulty,Topic,Board,Type
Which metallic element occupies the center of the porphyrin head in a chlorophyll molecule?,Iron,Magnesium,Copper,Calcium,B,The porphyrin ring of chlorophyll contains a central magnesium atom which is essential for light absorption.,"Biology PTB Class 11, Chapter 11, Page 211",Easy,Photosynthetic Pigments,Punjab,practice
In which part of the chloroplast do the light-dependent reactions of photosynthesis take place?,Thylakoid membrane,Stroma,Mitochondrial matrix,Cytosol,A,The light-dependent reactions occur in the thylakoid membranes where the photosynthetic pigments and electron carriers are located.,"Biology PTB Class 11, Chapter 11, Page 215",Easy,Light Dependent Reactions,Punjab,practice
At which wavelengths does Chlorophyll a show its main absorption peaks in the visible spectrum?,400nm and 500nm,500nm and 600nm,430nm and 660nm,480nm and 700nm,C,Chlorophyll a shows maximum absorption peaks in the blue-violet (430nm) and red (660nm) regions of the visible spectrum.,"Biology PTB Class 11, Chapter 11, Page 213",Moderate,Absorption Spectrum,Punjab,practice
What is the primary product of cyclic photophosphorylation in plants?,ATP and NADPH,ATP only,NADPH and Oxygen,ATP and Oxygen,B,Cyclic photophosphorylation involves only Photosystem I and results in the production of ATP without NADPH or oxygen release.,"Biology PTB Class 11, Chapter 11, Page 218",Moderate,Photophosphorylation,Punjab,practice
"During the carbon fixation phase of the Calvin cycle, CO2 is first attached to which 5-carbon compound?",Glyceraldehyde-3-phosphate,Oxaloacetate,Phosphoglycerate,Ribulose bisphosphate,D,"In the Calvin cycle, the enzyme Rubisco catalyzes the fixation of CO2 to the 5-carbon sugar RuBP.","Biology PTB Class 11, Chapter 11, Page 219",Moderate,Calvin Cycle,Punjab,practice
What is the net gain of ATP molecules directly produced during the process of glycolysis from one molecule of glucose?,4 ATP,2 ATP,36 ATP,38 ATP,B,"While four ATPs are produced in total during glycolysis, two are consumed in the preparatory phase, leaving a net gain of two.","Biology PTB Class 11, Chapter 11, Page 223",Moderate,Glycolysis,Punjab,practice
Which molecule acts as the final electron acceptor at the end of the respiratory electron transport chain?,Oxygen,NAD+,Cytochrome a3,FAD,A,"In the respiratory electron transport chain, oxygen acts as the final electron acceptor and combines with protons to form water.","Biology PTB Class 11, Chapter 11, Page 228",Moderate,Electron Transport Chain,Punjab,practice
During which specific step of the Krebs cycle is FAD reduced to FADH2?,Isocitrate to alpha-ketoglutarate,Alpha-ketoglutarate to Succinyl-CoA,Succinate to Fumarate,Malate to Oxaloacetate,C,FADH2 is generated during the Krebs cycle specifically when succinate is oxidized to fumarate by succinate dehydrogenase.,"Biology PTB Class 11, Chapter 11, Page 226",Moderate,Krebs Cycle,Punjab,practice
The photolysis of water that provides electrons to the light reactions occurs in association with which complex?,Photosystem I,Cytochrome complex,ATP synthase,Photosystem II,D,"Photolysis, the splitting of water to release electrons, protons, and oxygen, occurs specifically at Photosystem II.","Biology PTB Class 11, Chapter 11, Page 217",Moderate,Photolysis,Punjab,practice
"To produce a single molecule of glucose, how many molecules of ATP and NADPH are consumed in the Calvin cycle?",9 ATP and 6 NADPH,18 ATP and 12 NADPH,12 ATP and 12 NADPH,36 ATP and 24 NADPH,B,"Synthesis of one glucose molecule requires six turns of the Calvin cycle, consuming 18 ATP and 12 NADPH molecules.","Biology PTB Class 11, Chapter 11, Page 221",Hard,Bioenergetics Stoichiometry,Punjab,practice
Which central metallic ion is present in the porphyrin head of a chlorophyll molecule?,Iron,Magnesium,Copper,Manganese,B,Magnesium is the central metal atom in the porphyrin head of the chlorophyll molecule.,"PTB Biology Class 11, Chapter 11, Page 211",Easy,Photosynthetic Pigments,Punjab Textbook Board,practice
What functional group is present in Chlorophyll b that replaces the methyl group of Chlorophyll a?,Methyl group,Carboxyl group,Aldehyde group,Hydroxyl group,C,Chlorophyll b differs from chlorophyll a by having a CHO (aldehyde) group instead of a CH3 group.,"PTB Biology Class 11, Chapter 11, Page 211",Moderate,Photosynthetic Pigments,Punjab Textbook Board,practice
Which molecule acts as the source of oxygen released during the process of photosynthesis?,Water,Carbon dioxide,Glucose,Chlorophyll,A,Van Niel hypothesized and later experiments confirmed that oxygen released during photosynthesis comes from water.,"PTB Biology Class 11, Chapter 11, Page 209",Moderate,Light Dependent Reactions,Punjab Textbook Board,practice
"In the Z-scheme of light reactions, what is the final electron acceptor?",Oxygen,Cytochrome complex,Plastoquinone,NADP+,D,"NADP+ is the final electron acceptor in the non-cyclic electron flow, forming NADPH.","PTB Biology Class 11, Chapter 11, Page 216",Moderate,Light Dependent Reactions,Punjab Textbook Board,practice
What is the net gain of ATP molecules during the process of Glycolysis per molecule of glucose?,4 ATP,2 ATP,36 ATP,38 ATP,B,"Although 4 ATP are produced during the payoff phase, 2 are consumed during the preparatory phase, leaving a net gain of 2 ATP.","PTB Biology Class 11, Chapter 11, Page 221",Moderate,Respiration,Punjab Textbook Board,practice
Which three-carbon sugar is the immediate product of the Calvin cycle?,Glucose,Ribulose bisphosphate,Glyceraldehyde-3-phosphate,Oxaloacetate,C,Glyceraldehyde-3-phosphate (G3P) is the direct carbohydrate product of the Calvin cycle.,"PTB Biology Class 11, Chapter 11, Page 218",Moderate,Light Independent Reactions,Punjab Textbook Board,practice
How many CO2 molecules are released during the Krebs cycle phase for every single molecule of glucose oxidized?,Two,Four,Six,One,B,Two turns of the Krebs cycle occur per glucose molecule because each glucose yields two molecules of acetyl-CoA.,"PTB Biology Class 11, Chapter 11, Page 224",Moderate,Respiration,Punjab Textbook Board,practice
Which colors of light are most effective for the process of photosynthesis?,Blue and Red,Green and Yellow,Orange and Violet,Yellow and Blue,A,Chlorophylls absorb light most efficiently in the blue-violet and red wavelengths of the visible spectrum.,"PTB Biology Class 11, Chapter 11, Page 212",Moderate,Photosynthetic Pigments,Punjab Textbook Board,practice
"During cyclic photophosphorylation, which of the following is produced?",NADPH,Oxygen,ATP,Water,C,"In cyclic photophosphorylation, electrons flow back from ferredoxin to the cytochrome complex, generating only ATP and no NADPH.","PTB Biology Class 11, Chapter 11, Page 216",Hard,Light Dependent Reactions,Punjab Textbook Board,practice
How many ATP molecules are produced during the respiratory chain from the oxidation of one molecule of FADH2?,3,4,1,2,D,"According to PTB standards for oxidative phosphorylation, 3 ATP are generated per NADH and 2 ATP per FADH2.","PTB Biology Class 11, Chapter 11, Page 226",Hard,Respiration,Punjab Textbook Board,practice
Which photosynthetic pigment is directly involved in the conversion of light energy to chemical energy?,Chlorophyll a,Chlorophyll b,Carotenoids,Xanthophylls,A,Chlorophyll a is the most abundant and essential photosynthetic pigment as it converts solar energy into chemical energy.,"PTB Biology Grade 11, Chapter 11, Page 212",Easy,Bioenergetics,Punjab,practice
What is the central atom present in the porphyrin ring of the chlorophyll molecule?,Iron,Magnesium,Manganese,Copper,B,"Magnesium is the central atom in the porphyrin ring of chlorophyll, similar to iron in the heme group of hemoglobin.","PTB Biology Grade 11, Chapter 11, Page 213",Moderate,Bioenergetics,Punjab,practice
The splitting of water molecules during the light-dependent reaction occurs at which site?,Photosystem I,Cytochrome complex,Photosystem II,ATP synthase,C,Photolysis of water occurs at Photosystem II to replace the electrons lost by P680 during light absorption.,"PTB Biology Grade 11, Chapter 11, Page 218",Moderate,Bioenergetics,Punjab,practice
"In the Calvin cycle, the first stable product formed after carbon fixation is a three-carbon compound called:",Ribulose bisphosphate,Glyceraldehyde-3-phosphate,Oxaloacetate,3-phosphoglycerate,D,The first stable compound formed in the C3 pathway after CO2 fixation is the 3-carbon molecule 3-phosphoglycerate.,"PTB Biology Grade 11, Chapter 11, Page 221",Moderate,Bioenergetics,Punjab,practice
A graph plotting the effectiveness of different wavelengths of light in stimulating photosynthesis is called the:,Absorption spectrum,Action spectrum,Electromagnetic spectrum,Emission spectrum,B,The action spectrum shows the relative effectiveness of different wavelengths of light in driving photosynthesis.,"PTB Biology Grade 11, Chapter 11, Page 215",Hard,Bioenergetics,Punjab,practice
What is the net gain of ATP molecules during the process of glycolysis from one molecule of glucose?,2 ATP,4 ATP,36 ATP,38 ATP,A,Glycolysis results in a net gain of 2 ATP molecules because 2 ATP are consumed and 4 ATP are produced.,"PTB Biology Grade 11, Chapter 11, Page 225",Moderate,Bioenergetics,Punjab,practice
During which step of the Krebs cycle is FADH2 generated?,Isocitrate to alpha-ketoglutarate,Alpha-ketoglutarate to succinate,Succinate to fumarate,Fumarate to malate,C,"In the Krebs cycle, FADH2 is produced specifically during the oxidation of succinate into fumarate.","PTB Biology Grade 11, Chapter 11, Page 229",Hard,Bioenergetics,Punjab,practice
The final electron acceptor in the respiratory electron transport chain is:,NAD+,FAD,Cytochrome a3,Oxygen,D,Oxygen acts as the final electron and hydrogen acceptor in the electron transport chain to form water.,"PTB Biology Grade 11, Chapter 11, Page 231",Moderate,Bioenergetics,Punjab,practice
The light intensity at which the rate of photosynthesis equals the rate of respiration is known as:,Maximum photosynthesis,Compensation point,Saturation point,Limiting factor point,B,The compensation point is reached when the rate of CO2 intake for photosynthesis equals the rate of CO2 release by respiration.,"PTB Biology Grade 11, Chapter 11, Page 217",Easy,Bioenergetics,Punjab,practice
Which of the following is exclusively involved in cyclic photophosphorylation?,Photosystem I,Photosystem II,Both PSI and PSII,The Stroma,A,Cyclic photophosphorylation involves only Photosystem I and produces ATP but no NADPH or oxygen.,"PTB Biology Grade 11, Chapter 11, Page 219",Hard,Bioenergetics,Punjab,practice
Which of the following is the primary photosynthetic pigment present in all oxygen-evolving photosynthetic organisms?,Chlorophyll b,Chlorophyll a,Carotenes,Xanthophylls,B,Chlorophyll a is the most abundant and essential photosynthetic pigment directly involved in converting light energy to chemical energy.,"Punjab Textbook Biology Grade 11, Chapter 11, Page 212",Easy,Photosynthetic Pigments,Punjab,practice
"In the dark reaction of photosynthesis, what is the primary carbon dioxide acceptor?",Phosphoglycerate,Oxaloacetate,Ribulose bisphosphate,Phosphoenolpyruvate,C,Ribulose bisphosphate (RuBP) is a 5-carbon sugar that acts as the initial CO2 acceptor in the Calvin cycle.,"Punjab Textbook Biology Grade 11, Chapter 11, Page 219",Moderate,Dark Reaction,Punjab,practice
"During light-dependent reactions, the photolysis of water occurs in association with which protein complex?",Photosystem II,Photosystem I,Cytochrome b6-f complex,ATP synthase,A,Photolysis occurs at the oxygen-evolving complex associated with Photosystem II during non-cyclic electron flow.,"Punjab Textbook Biology Grade 11, Chapter 11, Page 216",Moderate,Light Reaction,Punjab,practice
Which metallic ion is located at the center of the porphyrin ring of a chlorophyll molecule?,Iron,Copper,Manganese,Magnesium,D,"The porphyrin ring of chlorophyll is a flat, square structure composed of four joined pyrrole rings with Magnesium at the center.","Punjab Textbook Biology Grade 11, Chapter 11, Page 211",Moderate,Photosynthetic Pigments,Punjab,practice
What is the net gain of ATP molecules produced during the process of glycolysis per glucose molecule?,1 ATP,2 ATP,4 ATP,36 ATP,B,"Glycolysis produces a total of 4 ATPs, but 2 are consumed in the preparatory phase, resulting in a net gain of 2 ATPs.","Punjab Textbook Biology Grade 11, Chapter 11, Page 222",Moderate,Respiration,Punjab,practice
