Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
A chemist needs to synthesize a pure sample of ethyl chloride without the need for complex fractional distillation. Which reagent is most suitable?,Phosphorus trichloride in ether,Thionyl chloride in pyridine,Phosphorus pentachloride in benzene,Concentrated HCl with ZnCl2,B,"SOCl2 yields gaseous SO2 and HCl which escape, leaving pure alkyl halide. PCl3 is tempting but leaves liquid H3PO3 requiring distillation.",Preparation of Alkyl Halides,Easy,Chemistry,Alkyl Halides
"During a nucleophilic substitution reaction, the rate-determining step involves bond cleavage. Which carbon-halogen bond requires the least energy to break in alkyl halides?",C-F bond,C-Cl bond,C-Br bond,C-I bond,D,C-I has the lowest bond energy (238 kJ/mol) making it most reactive. C-F is tempting due to high polarity but is strongest.,Reactivity of Alkyl Halides,Medium,Chemistry,Alkyl Halides
A student accidentally allows moisture to enter a flask containing ethyl magnesium bromide. Which organic compound will be formed as the primary product?,Ethane,Ethanol,Magnesium hydroxide,Ethyl magnesium hydroxide,A,"Grignard reagents react with active hydrogen in water to form alkanes. Ethanol is tempting but it is a product, not the byproduct.",Grignard Reagent,Easy,Chemistry,Alkyl Halides
Optically active 2-bromobutane reacts with aqueous KOH via a single-step concerted mechanism. What is the stereochemical outcome of this specific chemical transformation?,Complete racemization,Retention of configuration,Walden inversion,Partial racemization,C,SN2 reactions proceed with 100% inversion of configuration. Racemization is tempting but only occurs in SN1 mechanisms involving carbocation intermediates.,SN2 Mechanism,Hard,Chemistry,Alkyl Halides
"In a two-step nucleophilic substitution, the first step involves the formation of a reactive intermediate. Which intermediate is most stable and easily formed?",Methyl carbocation,Primary carbocation,Secondary carbocation,Tertiary carbocation,D,Tertiary carbocations are stabilized by three electron-donating alkyl groups. Primary carbocations are tempting but are the least stable in SN1 processes.,SN1 Mechanism,Medium,Chemistry,Alkyl Halides
Sodium metal is reacted with ethyl bromide in a dry ethereal solution. Which symmetrical alkane is produced according to the Wurtz synthesis?,Propane,n-Butane,Isopentane,Methane,B,"Wurtz reaction effectively couples two alkyl groups to form symmetrical alkanes. Propane is tempting but requires mixed halides, leading to low yields.",Wurtz Reaction,Easy,Chemistry,Alkyl Halides
"When comparing the physical properties of various alkyl halides with the same alkyl group, what is the correct descending order of boiling points?",RI > RBr > RCl > RF,RF > RCl > RBr > RI,RCl > RBr > RF > RI,RI > RF > RBr > RCl,A,Boiling points increase with molecular size and polarizability of the halogen. RF is tempting due to electronegativity but has the smallest electron cloud.,Physical Properties,Medium,Chemistry,Alkyl Halides
"2-Chlorobutane undergoes dehydrohalogenation in the presence of alcoholic KOH. According to the PTB, which alkene is the major product of this elimination reaction?",1-Butene,1-Butyne,2-Butene,2-Butyne,C,Saytzeff rule states the more substituted alkene is the major product. 1-butene is tempting but it is less stable and forms in smaller amounts.,Elimination Reactions,Hard,Chemistry,Alkyl Halides
A compound is classified as a tertiary alkyl halide based on its carbon skeleton. Which of the following IUPAC names matches this classification?,2-Chloro-2-methylpropane,2-Chlorobutane,1-Chloro-2-methylpropane,Chlorocyclohexane,A,"In tertiary halides, the halogen-bearing carbon is attached to three other carbons. 2-chlorobutane is tempting but it is a secondary alkyl halide.",Classification,Easy,Chemistry,Alkyl Halides
Methyl magnesium bromide is reacted with propanone (acetone) followed by acidic hydrolysis. What is the class of the resulting organic product?,Secondary alcohol,Tertiary alcohol,Primary alcohol,Carboxylic acid,B,Grignard reagents react with ketones to form tertiary alcohols. Formaldehyde is tempting but it yields primary alcohols upon reaction with Grignard.,Grignard Reagent,Medium,Chemistry,Alkyl Halides
"During nucleophilic substitution, various species act as Lewis bases to attack the electrophilic carbon. Which of the following cannot act as a nucleophile?",NH3,OH-,CN-,H3O+,D,Nucleophiles are electron-rich species with lone pairs or negative charges. H3O+ is tempting but it is a cation and acts as an electrophile.,Nucleophilic Substitution,Easy,Chemistry,Alkyl Halides
"When ethanol is treated with phosphorus trichloride (PCl3), ethyl chloride is formed. Which other phosphorus-containing compound is produced as a byproduct?",POCl3,PH3,H3PO3,H3PO4,C,Reaction with PCl3 produces phosphorous acid (H3PO3). POCl3 is tempting but is specifically the byproduct of the reaction with phosphorus pentachloride (PCl5).,Preparation of Alkyl Halides,Medium,Chemistry,Alkyl Halides
An unknown alkyl halide is heated with aqueous silver nitrate. The formation of which color precipitate would specifically indicate the presence of an iodide ion?,White precipitate,Yellow precipitate,Cream precipitate,No precipitate,B,Silver iodide (AgI) is a yellow precipitate. Silver chloride is tempting but it produces a white precipitate that is soluble in ammonia.,Silver Nitrate Test,Easy,Chemistry,Alkyl Halides
Alkyl fluorides are remarkably stable and generally do not undergo nucleophilic substitution under standard conditions. What is the primary reason for this lack of reactivity?,It is the most polar bond,Fluorine is the smallest halogen,It has the lowest bond enthalpy,It has the highest bond enthalpy,D,RF is least reactive because the C-F bond is the strongest (467 kJ/mol). Polarity is tempting but bond strength determines reactivity here.,Reactivity of Alkyl Halides,Hard,Chemistry,Alkyl Halides
Ethyl magnesium bromide is bubbled with dry ice (solid CO2) followed by treatment with dilute HCl. Which organic acid is synthesized in this reaction?,Propanoic acid,Propanol,Ethanoic acid,Ethyl acetate,A,Grignard reagents add to CO2 to form a salt that hydrolyzes to a carboxylic acid. Ethanol is tempting but requires an aldehyde.,Grignard Reagent,Medium,Chemistry,Alkyl Halides
"In a laboratory experiment, doubling the concentration of the nucleophile results in doubling the rate of substitution for a primary alkyl halide. What is the kinetic order?",First order,Second order,Third order,Zero order,B,SN2 rate depends on both the alkyl halide and the nucleophile concentration. SN1 is tempting but its rate only depends on the alkyl halide.,SN2 Mechanism,Medium,Chemistry,Alkyl Halides
"During the concerted SN2 mechanism, the central carbon atom passes through a high-energy transition state. What is the hybridization of carbon in this transition state?",sp3 hybridized,sp hybridized,sp2 hybridized,Unhybridized,C,"In the SN2 transition state, the carbon is sp2 hybridized with a p-orbital. sp3 is tempting but it describes the reactant and product geometry.",SN2 Mechanism,Hard,Chemistry,Alkyl Halides
Solvent choice is critical in substitution mechanisms. Which type of reaction is significantly accelerated by using a highly polar solvent like water or alcohol?,SN1 reactions,SN2 reactions,Wurtz reactions,Grignard formation,A,"Polar solvents stabilize the carbocation intermediate, increasing the rate of SN1. SN2 is tempting but it is generally slowed by polar protic solvents.",SN1 Mechanism,Medium,Chemistry,Alkyl Halides
A researcher wants to synthesize ethanol using a Grignard reagent and a carbonyl compound. Which carbonyl compound must be chosen for this specific purpose?,Acetaldehyde,Acetone,Formaldehyde,Propionaldehyde,C,Formaldehyde (HCHO) is the only aldehyde that produces a primary alcohol with Grignard reagents. Acetaldehyde is tempting but it produces a secondary alcohol.,Grignard Reagent,Easy,Chemistry,Alkyl Halides
"Propene is treated with anhydrous hydrogen bromide (HBr). Following the standard rule for electrophilic addition in PTB, what is the major organic product formed?",1-Bromopropane,2-Bromopropane,"1,2-Dibromopropane","2,2-Dibromopropane",B,Markownikoff's rule adds the halogen to the carbon with fewer hydrogens. 1-bromopropane is tempting but is the anti-Markownikoff product formed with peroxides.,Preparation of Alkyl Halides,Easy,Chemistry,Alkyl Halides
"In a laboratory SN2 reaction between methyl iodide and NaOH, the initial rate is 0.04 mol/L/s. If the NaOH concentration is increased from 0.1M to 0.4M, what is the new rate?",0.08 mol/L/s,0.16 mol/L/s,0.32 mol/L/s,0.64 mol/L/s,B,SN2 rate depends on both reactants; quadrupling the nucleophile concentration directly quadruples the rate from 0.04 to 0.16 mol/L/s.,SN2 Kinetics,Medium,Chemistry,Alkyl Halides
"Based on PTB bond energy values, which carbon-halogen bond requires the least energy to break during a nucleophilic substitution reaction?",C-F (467 kJ/mol),C-Cl (346 kJ/mol),C-Br (290 kJ/mol),C-I (240 kJ/mol),D,"C-I bond is the weakest (240 kJ/mol) because iodine has the largest atomic radius, making it the most reactive alkyl halide.",Reactivity of Alkyl Halides,Easy,Chemistry,Alkyl Halides
"A student reacts methyl magnesium bromide with solid carbon dioxide in dry ether, followed by dilute HCl hydrolysis. What is the final organic product?",Ethanoic acid,Propanoic acid,Methanoic acid,Propanone,A,Grignard reagents react with dry ice (CO2) followed by hydrolysis to produce carboxylic acids with one additional carbon atom.,Grignard Reagents,Medium,Chemistry,Alkyl Halides
