Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"When environmental temperature drops, the hypothalamus stimulates which response to maintain body temperature?",Sweating,Shivering,Vasodilation,Increased respiration,B,"Shivering generates heat; sweating cools the body, vasodilation increases heat loss, and increased respiration isn't a primary response.",Thermoregulation,Easy,Biology,Homeostasis
"In a negative feedback loop, what is the role of the effector?",To detect changes,To send signals to the hypothalamus,To counteract the change,To store information,C,"Effectors counteract changes; sensors detect changes, and the hypothalamus or control center sends signals.",Negative Feedback Mechanism,Easy,Biology,Homeostasis
A diabetic patient's blood glucose level is high due to lack of insulin. Which organ is responsible for insulin production?,Liver,Pancreas,Kidneys,Adrenal glands,B,"Pancreas produces insulin; liver stores glycogen, kidneys filter blood, and adrenal glands produce adrenaline.",Glucose Homeostasis,Easy,Biology,Homeostasis
Osmoreceptors in the hypothalamus detect changes in blood osmolarity. What is their primary function?,To regulate blood pressure,To control body temperature,To stimulate ADH release,To regulate appetite,C,"Osmoreceptors stimulate ADH release to regulate water balance; they don't directly regulate blood pressure, temperature, or appetite.",Osmoregulation,Medium,Biology,Homeostasis
A person is dehydrated. Which hormone helps the kidneys retain more water?,Aldosterone,ADH (Antidiuretic hormone),Insulin,Glucagon,B,"ADH promotes water retention; aldosterone regulates sodium, insulin and glucagon regulate glucose.",Osmoregulation,Easy,Biology,Homeostasis
Excessive sweating leads to loss of sodium and water. Which mechanism helps restore sodium balance?,Renin-angiotensin-aldosterone system,Sympathetic nervous system,Parasympathetic nervous system,Insulin signaling,A,"Renin-angiotensin-aldosterone system regulates sodium balance; sympathetic and parasympathetic nervous systems regulate various functions, insulin regulates glucose.",Electrolyte Balance,Medium,Biology,Homeostasis
"When blood pH becomes acidic, which buffering system is most effective in neutralizing excess H+?",Bicarbonate buffering system,Phosphate buffering system,Protein buffering system,Ammonia buffering system,A,"Bicarbonate buffering system is most effective in blood; phosphate and protein buffering systems also exist, ammonia is related to kidney function.",Acid-Base Balance,Medium,Biology,Homeostasis
"During intense exercise, lactic acid production increases. What is the primary mechanism to handle this acidosis?",Increased ventilation,Increased ADH release,Increased aldosterone release,Increased insulin release,A,"Increased ventilation helps expel CO2, thus reducing acidosis; ADH and aldosterone regulate water and electrolyte balance, insulin regulates glucose.",Acid-Base Balance,Medium,Biology,Homeostasis
The kidneys play a crucial role in maintaining acid-base balance by excreting which ion?,H+,HCO3-,Na+,K+,A,"Kidneys excrete H+ to maintain acid-base balance; they also regulate HCO3-, Na+, and K+ but H+ is key for acid-base.",Acid-Base Balance,Easy,Biology,Homeostasis
A patient has hyperkalemia. Which system is activated to help lower potassium levels?,Renin-angiotensin-aldosterone system,Insulin signaling,Sympathetic nervous system,Both A and B,D,Aldosterone (from renin-angiotensin-aldosterone system) and insulin help lower potassium levels; sympathetic nervous system has various effects.,Electrolyte Balance,Medium,Biology,Homeostasis
