Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,Choose the correct punctuation. History it has been said is the essence of innumerable biographies.,"History, it has been said is the essence of innumerable biographies.","History, it has been said, is the essence of innumerable biographies.","History it has been said, is the essence of innumerable, biographies.",History it has been said is the essence of innumerable biographies.,B
2,What type of phrase is 'a decent black shirt?,Verb Phrase,Noun Phrase,Prepositional phrase,Infinitive phrase,B
3,"""To set free"" means:",To blame someone,To make peace,To get profit,To release someone,D
4,The synonym of Impetuous is:,Resourceful,Violent,Pleasing,Rash,D
5,Have you applied ____ this job?,for,to,at,None of these,A
6,"Choose the correct Antonym of ""Liberty""?",Freedom,Recovery,Delivered,Slavery,D
8,Fill in the blanks choosing appropriate words given below. You may wait ______ nine o'clock. If your teacher doesn't come ______ then you can leave the class.,at/by,till/at,until/by,None of these,C
9,Correct sentence: This is the _____ tree in the forest.,old,oldest,elder,None of these,B
11,Whatever he does is always contrary ____ my wishes.,with,from,to,None of these,C
12,"The antonym of ""AFFLUENCE"" is?",Dearth,Trash,Indignant,Pungent,A
14,Synonym of VEIL:,Cover,Overt,Blatant,None of these,A
15,Choose the correct phrasal verb to complete the following sentence: I am sure you will ______ your fears gradually.,Come over,Get over,Control over,None of these,B
17,Odds and ends means ______?,To do big things within the knowledge of others,To take the burden upon oneself,Remnants,None of these,C
18,"Antonym of ""Pacific"" is:",Peaceful,Hawkish,Aggressive,Discordant,C
19,"There are two students in my class, ____ boy and ____ girl.","the, a","a, a","an, a","the, an",B
20,The plural of sheep is:,sheeps,sheepers,sheeves,sheep,D
21,Choose the correct meaning of the given idiom: To give up the ghost.,To suffer,To fight evil forces,To die,To become rational,C
22,Choose the voice of the following sentence: A present has been bought for our teacher.,We bought a present for our teacher.,They have bought our teacher a present.,They bought a present for our teacher.,We have bought a present for our teacher.,D
23,Choose the correct synonym of Aficionado:,Novice,Rival,Devotee,Agent,C
24,There are series ____ questions.,to,at,of,None of these,C
25,A diplomatic representative of one country in another is known as:,Arbitrator,Antagonist,Ambassador,Aristocrat,C
27,Fill in the blank: I like mangoes. (Change voice),Mangoes is liked by me.,Mangoes were liked by me.,Mangoes are liked by.,Mangoes are liked by me.,D
28,"As knife is to cut, then shave is to ''''.",Blade,Lather,Mirror,Razor,D
30,"Complete the sentence in reported speech: ""Meet me at the cinema,"" he said.",He asked me to meet him at the cinema.,He asked me to meet me at the cinema.,He asked me to met him at the cinema.,He asked me to meet you at the cinema.,A
31,"Select the correct active form of the given sentence: ""The strike has been called off by the workers.""",The workers have called off the strike.,The workers are calling off the strike.,The strike has called off the workers.,The workers had called off the strike.,A
33,Choose the option with a correct conjunction to complete the following sentence. The client put the phone down ______ I could give an explanation.,Before,as soon as,when,None of these,A
34,Choose the best meaning of the idiomatic phrase: To cross swords,To fight,To defend,To kill,To rob,A
36,He avoided the punishment by a mere ______.,Whisker,Chance,Escape,None of these,A
37,The synonym of ambiguous is:,Vague,Plain,Clear,None of these,A
38,Valour is the opposite of:,admonition,injustice,cowardice,repression,C
39,That policeman is a friend of mine. Identify the part of speech of underlined word.,Adjective,Adverb,Pronoun,Verb,C
40,"Fill in the blank: At that point, the road veered ____ towards the left.",On,Off,Along,About,B
