Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
What is the term for the phenomenon where a liquid flows against gravity?,Viscosity,Surface tension,Capillary action,Diffusion,C,"Capillary action occurs due to the combination of surface tension and adhesive forces, allowing liquids to flow against gravity in narrow tubes.",NET,Conceptual,Medium,Chemistry,Liquids and Solids
Which of the following is a characteristic of a crystalline solid?,Isotropic properties,Anisotropic properties,Amorphous structure,No sharp melting point,B,"Crystalline solids have a regular, three-dimensional arrangement of particles, resulting in anisotropic properties that vary with direction.",NET,Conceptual,Medium,Chemistry,Liquids and Solids
The viscosity of a liquid is related to the strength of its,Intermolecular forces,Intramolecular forces,Electrostatic forces,Gravitational forces,A,"Viscosity is a measure of a liquid's resistance to flow, which is influenced by the strength of intermolecular forces between its molecules.",NET,Conceptual,Medium,Chemistry,Liquids and Solids
What is the name of the process by which a solid changes directly to a gas?,Melting,Sublimation,Deposition,Condensation,B,Sublimation occurs when the intermolecular forces in a solid are weak enough that it can change directly to a gas without going through the liquid phase.,NET,Conceptual,Medium,Chemistry,Liquids and Solids
The unit cell of a crystal lattice is defined by its,Edge lengths and angles,Atomic radius and density,Number of atoms and molecular weight,Crystal structure and lattice energy,A,"The unit cell is the smallest repeating unit of a crystal lattice, defined by its edge lengths (a, b, c) and angles (α, β, γ).",NET,Conceptual,Medium,Chemistry,Liquids and Solids
What type of intermolecular force is responsible for the high boiling point of water?,London dispersion forces,Dipole-dipole interactions,Hydrogen bonding,Ion-dipole interactions,C,"Hydrogen bonding is a strong type of dipole-dipole interaction that occurs between molecules with a hydrogen atom bonded to a highly electronegative atom, such as oxygen.",NET,Conceptual,Medium,Chemistry,Liquids and Solids
The packing efficiency of a face-centered cubic (FCC) lattice is,0.52,0.68,0.74,0.82,C,"The packing efficiency of an FCC lattice is calculated as (π / 3√2) = 0.74, indicating that 74% of the available space is occupied by atoms.",NET,Conceptual,Medium,Chemistry,Liquids and Solids
What is the term for the minimum energy required for a molecule to escape from the surface of a liquid?,Surface tension,Viscosity,Heat of vaporization,Activation energy,C,"The heat of vaporization is the energy required to overcome the intermolecular forces holding molecules at the surface of a liquid, allowing them to escape into the vapor phase.",NET,Conceptual,Medium,Chemistry,Liquids and Solids
"In a simple cubic lattice, the coordination number of an atom is",6,8,12,4,A,"In a simple cubic lattice, each atom is surrounded by 6 nearest neighbors, resulting in a coordination number of 6.",NET,Conceptual,Medium,Chemistry,Liquids and Solids
The phenomenon of supercooling occurs when a liquid is cooled below its,Boiling point,Melting point,Critical temperature,Triple point,B,"Supercooling occurs when a liquid is cooled below its melting point without crystallizing, resulting in a metastable state.",NET,Conceptual,Medium,Chemistry,Liquids and Solids
