Question_Number,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
1,Indian life has four fundamental goals.,three,five,four,none of these,A
2,Standards ensure a measure of quality and hence facilitate more realistic trade-off decisions.,internal use,external use,interchangeability,none of these,A
3,Kant’s ethical theory is:,Ontological,Deontological,Utilitarian,Hedonic,A
4,The total number of stages of moral development proposed by Carol Gilligan is:,Two,Three,Four,Five,B
5,"According to Kantian ethics, which of the following is the most important factor in determining the morality of an action?",Its consequences,The intent behind the action,The cultural context of the action,The emotional response it elicits,B
6,"The term 'Right' is derived from the Latin word rectus, meaning:",Straight' or 'according to rule',Habits or customs,Supreme end,Ideal in life,A
7,"In setting ethical standards, perhaps the most effective step that a company can take is to:",adopt a code of ethics,demonstrate top management support of ethical standards,engage employees in ethics training,take an accommodative stance,A
8,The ethics of ____________ is precisely termed utilitarianism.,Kant,Spencer,J. S. Mill,T. H. Green,C
9,"According to the ____________, euthanasia is usually separated into two categories.",AMA guidelines,Life support machine,Pain relief machine,None of these,A
10,Withholding or withdrawing certain treatment and letting a patient die is called:,Assisted suicide,Suicide,Passive euthanasia,None of these,C
11,Whether man has reached the highest point of development of his moral consciousness?,Natural,Moral,Rational,Divine,D
12,The introduction of computers in the decision-making process contributed a lot in popularizing the management science approach in management.,empirical,management science,contingency,operational,B
13,Kama literally means:,desire,freedom,sex,none of these,C
14,The author of The Data of Ethics is:,Kant,Spencer,Bentham,J. S. Mill,A
15,Maslow’s theory of motivation is:,theory x and y,two factor theory,achievement theory,none of these,C
16,Who owns the property of the company?,Shareholders,Make profits,Encourage business,None of these,A
17,"According to the dictionary, 'Euthanasia' means:",a painless and calm death,a gentle and easy death,a calm and slow death,a good and painless death,A
18,Political intrusion into business:,May be desirable in some circumstances,Is anathema,Politics should have no say in how business is conducted,none of these,A
20,"The codes of ethics exhibit the rights, duties, and obligations of the members of a profession and a professional society.",accountability,codes of ethics,responsibility,commitment,A
21,Strong integrity means you have a high sense of moral and ethical behavior that earns respect of others.,cooperation,confidence,attitude,none of these,C
23,What is the percentage of small businesses that fail within their first five years?,10,25,50,75,C
24,"Ideally, the research participant's identity is not known to the researcher. This is called:",Anonymity,Punishment for the rich,Greater access to resources,Equal distribution of property,A
26,The central concept of Aristotelian ethics and moral philosophy is:,Love,Friendliness,Temperance,Truthfulness,C
27,The process of making a choice when there are different desires is:,wish,will,deliberation,none of these,C
29,Who wrote Utilitarianism?,Immanuel Kant,Jeremy Bentham,J.S.Mill,F. H. Bradley,C
30,Atmospheric issues include all of the following except:,Acid Rain,Global Warming,Air Pollution,Water Quantity,D
32,Codes of conduct and codes of ethics:,are formal statements that describe what an organization expects of its employees,become necessary only after a company has been in legal trouble,"are designed for top executives and managers, not regular employees",rarely become an effective component of the ethics and compliance program,A
33,Personality is:,learned,inherited,partially inherited and partially learned,none of these,B
34,"A holistic approach is a process that allows people to make decisions based on their deeper values which will be economically, socially, and environmentally sound.",holistic approach,ethics management,code of conduct,none of these,C
35,Which ethical principle states that one should avoid causing harm or injury to others?,Deontological,Utilitarian,Non-maleficence,Egalitarian,C
36,The autocratic manipulator who makes employees feel like they are part of the decision-making process even though the manager made the decision. Theory X is the name McGregor gives this style.,authoritarian,participative,free rein,none of these,B
37,"In the opinion of Kant, a right action should satisfy:",Bentham,J. S. Mill,Kant,Herbert Spencer,D
38,Locus of control is a personality attribute that measures the degree to which people believe they control their own fate.,locus of control,culture,values,none of these,B
39,The essential mark of ____________ is that the whole character or personality is involved in the act.,Willing,Desire,Deliberation,Wish,A
41,One is unable to choose between two good moral solutions:,vagueness,conflicting reasons,disagreement,refuse bribe,C
42,Which of the following is not a core principle of the Society for Human Resource Management’s Code of Ethics?,to create an ethical workplace,to evaluate the ethical components of the proposed actions of the employees,to improve the public image of the company,to enhance the profits of the business continuously,A
43,Psychology is a ____________ science.,Normative,Positive,Ideal,Metaphysical,B
44,The following is(are) type(s) of ethics:,Business,Management,Worker,None of these,A
45,IRB is an acronym for which of the following?,Deontological,Ethical skepticism,Utilitarianism,Institutional Review Board,D
46,It is important to be at work ____________ every day and on time unless you are sick or have a family emergency.,Appearance,Attendance,Attitude,Respect,B
47,"According to Kant, it is wrong to break a promise, because:",This act cannot be universalized,Because you will go to jail,Cheating is not acceptable,It adversely affects on trust,A
48,"""Disconnect a feeding tube"" is related with:",practical euthanasia,voluntary euthanasia,passive euthanasia,active euthanasia,D
