Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
"During intense exercise, muscle cells produce lactic acid due to anaerobic breakdown of which molecule?",Glucose,Pyruvate,Glycogen,Fructose,A,"Glucose is broken down anaerobically to pyruvate, then to lactic acid; glycogen is a stored form, not directly broken down.",Anaerobic Respiration,Medium,Biology,Respiration
What is the byproduct of anaerobic respiration in yeast?,Lactic acid,Ethanol,Pyruvate,Acetyl CoA,B,Yeast produces ethanol and CO2 through anaerobic respiration; lactic acid is produced in muscle cells.,Anaerobic Respiration,Easy,Biology,Respiration
Which stage of cellular respiration produces the most ATP molecules?,Glycolysis,Krebs cycle,Oxidative phosphorylation,Pyruvate oxidation,C,Oxidative phosphorylation produces the majority of ATP during cellular respiration through the electron transport chain.,Aerobic Respiration,Easy,Biology,Respiration
The electron transport chain is located in which part of the cell?,Mitochondrial matrix,Mitochondrial inner membrane,Cytoplasm,Mitochondrial outer membrane,B,"The electron transport chain is embedded in the mitochondrial inner membrane, where it pumps protons across the membrane.",Aerobic Respiration,Easy,Biology,Respiration
What is the primary function of the Krebs cycle?,To produce ATP directly,To generate NADH and FADH2,To synthesize glucose,To break down fatty acids,B,"The Krebs cycle produces NADH and FADH2 as byproducts, which are used in the electron transport chain to generate ATP.",Aerobic Respiration,Medium,Biology,Respiration
Which molecule is the final electron acceptor in the electron transport chain?,NAD+,FAD,Oxygen,Cytochrome c,C,"Oxygen is the final electron acceptor, forming water; NAD+ and FAD are electron carriers, not acceptors.",Aerobic Respiration,Easy,Biology,Respiration
What is the net ATP yield from the complete breakdown of one glucose molecule during aerobic respiration?,2 ATP,4 ATP,36-38 ATP,12 ATP,C,"Aerobic respiration yields 36-38 ATP per glucose molecule, considering both substrate-level and oxidative phosphorylation.",Aerobic Respiration,Medium,Biology,Respiration
Glycolysis occurs in which part of the cell?,Mitochondria,Cytoplasm,Nucleus,Endoplasmic reticulum,B,"Glycolysis is the first step in cellular respiration and occurs in the cytoplasm, not in mitochondria.",Glycolysis,Easy,Biology,Respiration
What is the purpose of the pentose phosphate pathway?,To generate ATP,To produce NADPH and pentoses,To synthesize amino acids,To break down glycogen,B,"The pentose phosphate pathway generates NADPH and pentoses, important for biosynthesis and antioxidant defenses.",Pentose Phosphate Pathway,Medium,Biology,Respiration
What is the result of the decarboxylation of pyruvate?,Acetyl CoA,Citrate,Oxaloacetate,Alpha-ketoglutarate,A,"Pyruvate is decarboxylated to form Acetyl CoA, a crucial step linking glycolysis to the Krebs cycle.",Pyruvate Oxidation,Easy,Biology,Respiration
The Krebs cycle is also known as the citric acid cycle because it starts with which compound?,Citrate,Isocitrate,Alpha-ketoglutarate,Succinate,A,"The cycle begins with citrate, hence the name citric acid cycle; citrate is formed from Acetyl CoA and oxaloacetate.",Krebs Cycle,Easy,Biology,Respiration
"In the electron transport chain, protons are pumped from the mitochondrial matrix to which compartment?",Intermembrane space,Mitochondrial matrix,Cytoplasm,Mitochondrial outer membrane,A,"Protons are pumped into the intermembrane space, creating a proton gradient used for ATP synthesis.",Electron Transport Chain,Medium,Biology,Respiration
Anaerobic respiration in muscle cells results in the production of which compound?,Ethanol,Lactic acid,Pyruvate,Acetyl CoA,B,Muscle cells produce lactic acid under anaerobic conditions; ethanol is produced by yeast.,Anaerobic Respiration,Easy,Biology,Respiration
The enzyme responsible for the phosphorylation of ADP to ATP in the electron transport chain is called?,ATP synthase,ATPase,NADH dehydrogenase,Cytochrome c oxidase,A,ATP synthase uses the proton gradient to phosphorylate ADP to ATP; ATPase is involved in ATP hydrolysis.,Oxidative Phosphorylation,Medium,Biology,Respiration
Glycolysis is the metabolic pathway that converts glucose into which molecule?,Pyruvate,Lactate,Acetyl CoA,Citrate,A,Glycolysis converts glucose into pyruvate; lactate is formed under anaerobic conditions in muscle.,Glycolysis,Easy,Biology,Respiration
The process of generating energy from the transfer of electrons is known as?,Substrate-level phosphorylation,Oxidative phosphorylation,Photophosphorylation,Glycolysis,B,Oxidative phosphorylation generates ATP through the electron transport chain; substrate-level phosphorylation is a different mechanism.,Oxidative Phosphorylation,Medium,Biology,Respiration
Which complex in the electron transport chain is responsible for transferring electrons directly to oxygen?,Complex I,Complex II,Complex III,Complex IV,D,"Complex IV (cytochrome c oxidase) transfers electrons to oxygen, the final electron acceptor.",Electron Transport Chain,Hard,Biology,Respiration
What is the role of coenzyme Q in the electron transport chain?,To transfer electrons from Complex I to Complex III,To pump protons across the membrane,To synthesize ATP,To reduce NAD+,A,"Coenzyme Q transfers electrons from Complex I and Complex II to Complex III, facilitating the electron transport chain.",Electron Transport Chain,Hard,Biology,Respiration
The complete breakdown of glucose to carbon dioxide and water yields how many ATP molecules per glucose molecule?,2,4,36-38,12-14,C,"Aerobic respiration of one glucose molecule yields 36-38 ATP, combining glycolysis, Krebs cycle, and oxidative phosphorylation.",Aerobic Respiration,Hard,Biology,Respiration
A patient with pneumonia has difficulty breathing due to reduced gas exchange. Which part of the respiratory system is primarily affected?,Trachea,Bronchioles,Alveoli,Diaphragm,C,"Alveoli are the primary site of gas exchange; trachea and bronchioles are airways, diaphragm is a muscle.",Anatomy of Respiratory System,Easy,Biology,Respiration
"During intense exercise, a 20-year-old's body relies on anaerobic respiration. What is the primary product of anaerobic glycolysis in muscle cells?",Pyruvate,Lactate,Acetyl-CoA,Citrate,B,Lactate is produced from pyruvate in anaerobic conditions; pyruvate is the end product of glycolysis.,Anaerobic Respiration,Medium,Biology,Respiration
