Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Target_exam,Question_type,Difficulty,Subject,Topic
"If sin(x) = 3/5, find cos(x) if x is in the first quadrant.", 4/5,-4/5, 3/4,-3/4,A,"Using the identity sin²(x) + cos²(x) = 1, we find cos(x) = √(1 - sin²(x)) = √(1 - (3/5)²) = 4/5.",NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
The value of tan(45°) is,0,1,√3,1/√3,B,tan(45°) = sin(45°)/cos(45°) = (1/√2)/(1/√2) = 1.,NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
"If cosec(x) = 5/3, find sin(x).", 3/5, 5/3, 4/5, 2/3,A,sin(x) = 1/cosec(x) = 1/(5/3) = 3/5.,NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
The period of sin(x) is,π,2π,π/2,3π,B,"The sine function has a period of 2π, meaning sin(x) = sin(x + 2π).",NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
"If tan(x) = 1/√3, find x in degrees.",30°,45°,60°,90°,A,"tan(30°) = 1/√3, so x = 30°.",NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
The value of sin(90° - x) is equal to,cos(x),sin(x),-cos(x),-sin(x),A,"Using the co-function identity, sin(90° - x) = cos(x).",NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
"If sec(x) = 2, find cos(x).", 1/2,2,1,-1/2,A,cos(x) = 1/sec(x) = 1/2.,NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
The value of cos(180° - x) is,cos(x),-cos(x),sin(x),-sin(x),B,Using the identity cos(180° - x) = -cos(x).,NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
"If cot(x) = √3, find tan(x).",1/√3,√3,1,-1/√3,A,tan(x) = 1/cot(x) = 1/√3.,NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
The value of sin(30°) is, 1/2,√3/2,1,0,A,"sin(30°) = 1/2, a standard trigonometric value.",NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
"If sin(x) = -1/2, find x in the third quadrant.",210°,240°,270°,300°,A,"sin(210°) = -1/2, and 210° is in the third quadrant.",NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
The value of cos(0°) is,0,1,-1, 1/2,B,"cos(0°) = 1, a standard trigonometric value.",NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
"If cos(x) = -4/5, find sin(x) if x is in the second quadrant.", 3/5,-3/5, 4/5,-4/5,A,"Using sin²(x) + cos²(x) = 1, sin(x) = √(1 - (-4/5)²) = 3/5 in the second quadrant.",NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
The value of tan(60°) is,1,√3,1/√3,0,B,"tan(60°) = √3, a standard trigonometric value.",NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
"If sin(x)cos(x) = 1/4, find sin(2x).", 1/2,1, 1/4,0,A,"Using the identity sin(2x) = 2sin(x)cos(x), we get sin(2x) = 2 * (1/4) = 1/2.",NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
The value of cos(90°) is,1,0,-1, 1/2,B,"cos(90°) = 0, a standard trigonometric value.",NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
"If tan(x) = 3/4, find cot(x).", 4/3, 3/4,1,0,A,cot(x) = 1/tan(x) = 4/3.,NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
The value of sin(-x) is,sin(x),-sin(x),cos(x),-cos(x),B,Using the identity sin(-x) = -sin(x).,NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
"If cosec(x) = -2, find sin(x).",-1/2, 1/2,2,-2,A,sin(x) = 1/cosec(x) = -1/2.,NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
The value of sec(0°) is,1,0,-1,undefined,A,sec(0°) = 1/cos(0°) = 1/1 = 1.,NET,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
"If sin(x) = 3/5, then cos(x) = ?", 4/5,-4/5, 3/4,-3/4,A,"Using Pythagorean identity: sin²(x) + cos²(x) = 1, we find cos(x) = √(1 - sin²(x)) = √(1 - (3/5)²) = 4/5.",ECAT,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
"If tan(x) = 1, then x = ?",π/4,π/2,π,0,A,"tan(π/4) = 1, a standard trigonometric value.",ECAT,Conceptual,Medium,Mathematics,Fundamentals of Trigonometry
