Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
The teacher asked the students to identify the 'clause' in the sentence. Which part of speech is a clause?,A verb,A phrase,A group of words with a subject and predicate,An adjective,C,A clause is a group of words with a subject and predicate. Option B is incorrect as a phrase lacks a predicate.,Syntax and Clause Structure,Easy,English,Vocabulary and Lexical Aspects
"In the sentence 'The manager of the company will attend the meeting,' what is the function of 'of the company'?",Adverbial phrase,Adjectival phrase,Noun phrase,Prepositional phrase acting as an adjective,D,"'Of the company' is a prepositional phrase modifying 'manager,' thus acting as an adjective. Option B is close but not specific enough.",Phrases and their Functions,Medium,English,Vocabulary and Lexical Aspects
The word 'bank' can be a financial institution or the side of a river. This characteristic of 'bank' is known as?,Homonymy,Polysemy,Synonymy,Antonymy,A,'Bank' is an example of homonymy as it represents different words with the same spelling. Polysemy involves related meanings.,Lexical Relations,Hard,English,Vocabulary and Lexical Aspects
The prefix 'un-' in 'unhappy' changes the meaning to?,More intense happiness,The opposite of happy,A different kind of happiness,Happiness that is conditional,B,"The prefix 'un-' negates the adjective 'happy,' making it the opposite. Option A is incorrect as 'un-' does not intensify.",Morphology and Word Formation,Easy,English,Vocabulary and Lexical Aspects
"In the sentence 'Having studied all night, she felt confident,' the phrase 'Having studied all night' is an example of?",A participle phrase,A gerund phrase,An infinitive phrase,A finite verb phrase,A,'Having studied all night' is a participle phrase because it begins with a participle. Option B is incorrect as a gerund phrase would function as a noun.,Phrases and their Functions,Medium,English,Vocabulary and Lexical Aspects
"The term for a word that imitates the sound it describes, like 'buzz' or 'meow,' is?",Onomatopoeia,Alliteration,Assonance,Consonance,A,"Onomatopoeia refers to words that phonetically imitate, resemble or suggest the sound that they describe. Other options are incorrect as they relate to sound repetition, not imitation.",Lexical Features,Easy,English,Vocabulary and Lexical Aspects
Which of the following words is an example of a 'blend'?,Smog,Breakfast,Unnecessary,Running,A,"'Smog' is a blend of 'smoke' and 'fog.' Blends combine parts of two words to create a new word. 'Breakfast' is a compound word, not a blend.",Morphology and Word Formation,Medium,English,Vocabulary and Lexical Aspects
The word 'self-portrait' is an example of a?,Compound word,Derivation,Blend,Clitic,A,"'Self-portrait' is a compound word as it is formed by combining two free morphemes. Derivation involves affixes, not compounding.",Morphology and Word Formation,Easy,English,Vocabulary and Lexical Aspects
The term 'oxymoron' refers to a figure of speech that combines?,Two contradictory terms,Two synonymous terms,A noun and its descriptor,An adjective and an adverb,A,"An oxymoron combines contradictory terms, like 'living dead.' It is used for rhetorical effect. Option B is incorrect as it describes synonymy, not oxymoron.",Figurative Language,Medium,English,Vocabulary and Lexical Aspects
The phrase 'kick the bucket' is an example of?,Idiom,Metaphor,Simile,Hyperbole,A,"'Kick the bucket' is an idiom meaning to die. It is not literal and its meaning is not predictable from its individual words. Metaphor and simile involve comparisons, not idiomatic expressions.",Idiomatic Expressions,Medium,English,Vocabulary and Lexical Aspects
The suffix '-ful' in 'hopeful' changes the base word to?,An adverb,An adjective,A noun,A verb,B,The suffix '-ful' forms an adjective from the noun 'hope.' It indicates full of hope. Option C is incorrect as 'hopeful' is not a noun.,Morphology and Word Formation,Easy,English,Vocabulary and Lexical Aspects
A 'portmanteau' word is another term for?,A blend,A compound word,A derived word,An inflected word,A,"A portmanteau word is a blend, like 'smog' or 'brunch.' It combines sounds and meanings of two words. Compound words are separate, like 'bookshelf.'",Morphology and Word Formation,Hard,English,Vocabulary and Lexical Aspects
The word 'unbreakable' is an example of?,Derivation with a prefix and a suffix,Compounding,Conversion,Blending,A,"'Unbreakable' involves both a prefix 'un-' and a suffix '-able,' making it a derived word through both prefixation and suffixation. Compounding involves two free morphemes.",Morphology and Word Formation,Medium,English,Vocabulary and Lexical Aspects
The phrase 'as busy as a bee' is an example of?,Simile,Metaphor,Hyperbole,Personification,A,"'As busy as a bee' compares two things using 'as,' making it a simile. Metaphor states one thing is another, without 'like' or 'as.'",Figurative Language,Easy,English,Vocabulary and Lexical Aspects
The term for the study of the structure and formation of words is?,Morphology,Syntax,Phonetics,Semantics,A,Morphology is the study of the internal structure of words and how they are formed from morphemes. Syntax studies sentence structure.,Linguistic Disciplines,Easy,English,Vocabulary and Lexical Aspects
The process of forming a new word by changing its part of speech without any change in form is?,Conversion,Derivation,Compounding,Blending,A,"Conversion involves changing a word's part of speech without changing its form, like 'light' (verb or noun). Derivation involves affixes.",Morphology and Word Formation,Medium,English,Vocabulary and Lexical Aspects
The figure of speech that involves an exaggeration used for effect is?,Hyperbole,Metaphor,Simile,Personification,A,"Hyperbole is an exaggeration used for emphasis or effect, like 'I'm so hungry I could eat a horse.' Metaphor and simile involve comparisons, not exaggerations.",Figurative Language,Medium,English,Vocabulary and Lexical Aspects
The term 'neologism' refers to?,A newly coined word or expression,An outdated word,A word borrowed from another language,A word with multiple meanings,A,Neologism is a newly coined word or expression. It represents new ideas or concepts. Outdated words are called 'archaisms.',Lexical Change and Neologisms,Hard,English,Vocabulary and Lexical Aspects
The study of meaning in language is known as?,Semantics,Pragmatics,Syntax,Morphology,A,"Semantics is the study of meaning in language, including the meaning of words, phrases, and sentences. Pragmatics considers context in meaning.",Linguistic Disciplines,Easy,English,Vocabulary and Lexical Aspects
"A 'malapropism' involves the misuse of a word, often by?",Using a word that sounds similar to the intended word but has a different meaning,Using an outdated word,Creating a new word,Repeating the same word excessively,A,"Malapropism involves using a word that sounds similar but is incorrect, often leading to humorous effects. It is not about being outdated or creating new words.",Lexical Errors and Malapropisms,Hard,English,Vocabulary and Lexical Aspects
"The new policy has been met with widespread criticism, with many arguing that it will _______ social inequality.",exacerbate,alleviate,mitigate,rectify,A,"Exacerbate means to make worse; alleviate and mitigate mean to make better, rectify means to correct.",Contextual Vocabulary,Medium,English,Vocabulary and Lexical Aspects
The professor's _______ remarks about the student's research were perceived as dismissive and unhelpful.,facetious,sarcastic,candid,didactic,B,Sarcastic remarks are mocking or contemptuous; facetious is also mocking but often with a humorous intent.,Connotation and Tone,Hard,English,Vocabulary and Lexical Aspects
The tourists got lost in the _______ streets of the old city.,labyrinthine,serpentine,circuitous,linear,A,Labyrinthine means complex and confusing; serpentine and circuitous mean winding or indirect.,Descriptive Vocabulary,Easy,English,Vocabulary and Lexical Aspects
The company's financial reports were so _______ that investors had difficulty understanding them.,lucid,opaque,ambiguous,equivocal,B,Opaque means difficult to understand; ambiguous and equivocal mean having multiple meanings.,Contextual Vocabulary,Medium,English,Vocabulary and Lexical Aspects
The politician's speech was criticized for being too _______ and lacking in substance.,verbose,terse,concise,pithy,A,"Verbose means using too many words; terse, concise, and pithy mean using few words.",Descriptive Vocabulary,Easy,English,Vocabulary and Lexical Aspects
The new employee's _______ attitude towards her work was evident in her attention to detail.,fastidious,lackadaisical,meticulous,careless,A,Fastidious and meticulous mean having a strong attention to detail; lackadaisical and careless mean lacking attention.,Contextual Vocabulary,Medium,English,Vocabulary and Lexical Aspects
The artist's use of color was _______ and added to the overall mood of the painting.,garish,subdued,vivid,muted,C,"Vivid means bright and striking; garish means too bright, subdued and muted mean not bright.",Descriptive Vocabulary,Easy,English,Vocabulary and Lexical Aspects
The professor's _______ explanation of the complex theory was easy to follow.,perspicacious,lucid,obscure,abstruse,B,Lucid means clear and easy to understand; perspicacious means having a keen understanding.,Contextual Vocabulary,Medium,English,Vocabulary and Lexical Aspects
The tourists were warned about the _______ currents in the ocean.,treacherous,perilous,hazardous,benign,A,"Treacherous, perilous, and hazardous all mean dangerous; benign means harmless.",Descriptive Vocabulary,Easy,English,Vocabulary and Lexical Aspects
