Question,Option_a,Option_b,Option_c,Option_d,Correct_answer,Explanation,Subtopic,Difficulty,Subject,Topic
A student observes the molecular geometry of a propanone molecule during a modeling session. What is the approximate bond angle around the carbonyl carbon?,109.5 degrees,120 degrees,180 degrees,90 degrees,B,"The carbonyl carbon is sp2 hybridized, creating a trigonal planar arrangement with 120-degree angles. Option A represents sp3 tetrahedral geometry incorrectly.",Structure of Carbonyl Group,Easy,Chemistry,Aldehydes and Ketones
An industrial chemist needs to synthesize Formaldehyde for the production of plastics. Which laboratory method is most commonly utilized for this specific preparation?,Oxidation of Ethanol,Reduction of Formic acid,Oxidation of Methanol,Hydration of Ethene,C,"Formaldehyde is industrially produced by oxidizing methanol over a silver or iron-molybdenum catalyst. Ethanol oxidation produces acetaldehyde, which is a different product.",Preparation of Aldehydes,Easy,Chemistry,Aldehydes and Ketones
"During the reaction of Hydrogen Cyanide with Ethanone, what is the initial and most critical step in the reaction mechanism according to PTB?",Nucleophilic attack on Carbon,Electrophilic attack on Carbon,Nucleophilic attack on Oxygen,Free radical substitution,A,"Nucleophilic addition involves the nucleophile attacking the electrophilic carbon. Oxygen acts as a Lewis base by accepting a proton, not as the primary electrophile.",Nucleophilic Addition Mechanism,Medium,Chemistry,Aldehydes and Ketones
A laboratory technician wants to separate an aldehyde from a non-carbonyl impurity. Which reagent can form a crystalline solid that allows for purification?,Fehling's solution,"2,4-Dinitrophenylhydrazine",Sodium hydroxide,Sodium bisulphite,D,"Sodium bisulphite forms white crystalline adducts with aldehydes, which can be hydrolyzed back to the original compound. Fehling's solution is used for identification, not purification.",Reaction with Sodium Bisulphite,Medium,Chemistry,Aldehydes and Ketones
"In a diagnostic test to confirm the presence of a carbonyl group, a student adds 2,4-Dinitrophenylhydrazine. What visual evidence confirms a positive result?",Blue precipitate,Yellow or Orange precipitate,Silver mirror,White crystalline solid,B,"Brady's reagent (2,4-DNPH) reacts with the carbonyl group to form yellow or orange precipitates. Blue color is associated with Fehling's reagent, not DNPH.",Identification of Carbonyl Group,Easy,Chemistry,Aldehydes and Ketones
A researcher uses Tollen's test to distinguish between Benzaldehyde and Acetone. What is the chemical composition of the Tollen's reagent used in this process?,Alkaline copper tartrate,Alkaline copper citrate,Ammoniacal silver nitrate,Potassium dichromate in acid,C,"Tollen's reagent is specifically ammoniacal silver nitrate. Alkaline copper tartrate is Fehling's solution, which is used for a similar but distinct redox test.",Oxidation of Aldehydes,Easy,Chemistry,Aldehydes and Ketones
A student attempts to perform an Aldol condensation in a basic medium. Which of the following compounds will fail to undergo this reaction?,Benzaldehyde,Ethanal,Propanal,Acetone,A,"Aldol condensation requires at least one alpha-hydrogen to form the enolate ion. Benzaldehyde lacks alpha-hydrogens and undergoes Cannizzaro reaction instead, failing this test.",Aldol Condensation,Medium,Chemistry,Aldehydes and Ketones
"When Formaldehyde is treated with 50% Sodium Hydroxide, it undergoes a specific transformation. What is the nature of this chemical process according to PTB?",Formation of an Aldol,Dehydration to an alkene,Substitution of the alpha-hydrogen,Self oxidation-reduction,D,Cannizzaro reaction is a disproportionation where one molecule reduces to an alcohol and another oxidizes to a salt. Aldol condensation produces beta-hydroxy aldehydes.,Cannizzaro Reaction,Hard,Chemistry,Aldehydes and Ketones
A chemist performs the Haloform reaction on a sample of 2-Pentanone using Iodine and Sodium Hydroxide. What specific physical observation indicates a positive reaction?,Red precipitate,Yellow crystals,Silver mirror,Colorless solution,B,The Iodoform test yields yellow crystals of CHI3 in the presence of methyl ketones. Silver mirror is the result of Tollen's test on aldehydes.,Iodoform Test,Medium,Chemistry,Aldehydes and Ketones
Ethyl magnesium bromide is reacted with Methanal followed by acid hydrolysis. What class of organic compound is the final product of this synthesis?,Primary alcohol,Secondary alcohol,Tertiary alcohol,Carboxylic acid,A,"Formaldehyde reacts with Grignard reagents to produce primary alcohols. Other aldehydes produce secondary alcohols, while ketones produce tertiary alcohols in this reaction.",Reaction with Grignard Reagent,Medium,Chemistry,Aldehydes and Ketones
"Acetaldehyde is treated with Hydroxylamine in an acidic buffer. According to the PTB nomenclature, what is the name of the resulting nitrogenous product?",Hydrazone,Phenylhydrazone,Oxime,Semicarbazone,C,"Hydroxylamine reacts with carbonyls to form oximes. Hydrazones are formed from hydrazine, and phenylhydrazones are formed from phenylhydrazine, making them incorrect distractors.",Reaction with Ammonia Derivatives,Easy,Chemistry,Aldehydes and Ketones
"When unsymmetrical ketones like 2-Butanone are oxidized with powerful oxidizing agents, which rule determines the distribution of carbon atoms in the resulting acids?",Carbonyl stays with larger alkyl,Carbonyl stays with smaller alkyl,Symmetric cleavage always occurs,No cleavage of C-C bonds,B,"Popoff's rule states that during ketone oxidation, the carbonyl group remains with the smaller alkyl group. Option A incorrectly suggests it stays with the larger group.",Oxidation of Ketones,Hard,Chemistry,Aldehydes and Ketones
A biology student uses 'Formalin' to preserve a specimen in the laboratory. What is the standard concentration of formaldehyde in this commercial solution?,10% aqueous Formaldehyde,100% liquid Formaldehyde,50% alcoholic Formaldehyde,40% aqueous Formaldehyde,D,Formalin is a 40% aqueous solution of formaldehyde used for biological preservation. 10% or 100% concentrations do not match the standard PTB definition.,Uses of Formaldehyde,Easy,Chemistry,Aldehydes and Ketones
